County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,year,asian_population,total_population_race
Autauga County,Alabama,1,1,43084,54590,10.6,482,836,75.3,0.4122,169,53773,25253,137900,9880,9.3,2012,,
Baldwin County,Alabama,1,3,158259,183226,16.1,1373,874,79.2,0.4364,1038,50706,26769,172900,17016,8.1,2012,,
Barbour County,Alabama,1,5,13448,27469,11.8,166,577,81.0,0.4758,25,31889,16532,88700,12645,10.0,2012,,
Bibb County,Alabama,1,7,17459,22769,10.4,107,581,80.5,0.4212,80,36824,17611,91600,4953,8.5,2012,,
Blount County,Alabama,1,9,54507,57466,13.4,156,588,77.8,0.4112,230,45192,21155,115200,754,8.5,2012,,
Bullock County,Alabama,1,11,3028,10779,10.7,34,495,80.6,0.4979,24,34500,19822,73900,7609,6.7,2012,,
Butler County,Alabama,1,13,11380,20730,14.1,111,538,76.8,0.4691,36,30752,17564,73500,8961,8.2,2012,,
Calhoun County,Alabama,1,15,88405,117834,12.5,860,611,78.3,0.4532,318,40093,20881,101900,24421,11.1,2012,,
Chambers County,Alabama,1,17,20171,34228,14.3,358,617,78.9,0.4576,17,32181,18478,78000,13409,8.9,2012,,
Cherokee County,Alabama,1,19,24074,25917,16.6,159,602,79.8,0.4556,163,36241,22472,99900,1253,7.7,2012,,
Chilton County,Alabama,1,21,37872,43611,12.3,235,616,77.7,0.4468,160,40834,21132,103700,4314,9.0,2012,,
Choctaw County,Alabama,1,23,7670,13838,16.5,43,611,78.0,0.4709,0,35123,19354,59300,5935,8.3,2012,,
Clarke County,Alabama,1,25,14015,25768,14.6,219,505,77.1,0.52,122,30954,19563,84800,11310,8.4,2012,,
Clay County,Alabama,1,27,11332,13828,16.1,42,424,78.5,0.4216,25,34556,18136,80600,2157,8.0,2012,,
Cleburne County,Alabama,1,29,14122,14905,14.7,97,566,77.5,0.4381,30,37244,19049,91300,573,8.1,2012,,
Coffee County,Alabama,1,31,38651,49966,12.5,355,638,77.7,0.4445,440,44626,23441,126400,8663,9.7,2012,,
Colbert County,Alabama,1,33,43915,54451,15.2,443,601,79.4,0.441,300,40158,22186,101500,8730,8.5,2012,,
Conecuh County,Alabama,1,35,6794,13188,16.6,83,526,76.0,0.5235,72,27064,16648,74200,6130,10.1,2012,,
Coosa County,Alabama,1,37,7647,11305,15.1,5,573,80.4,0.4264,7,37425,18855,74500,3558,7.7,2012,,
Covington County,Alabama,1,39,32054,37803,16.5,334,560,79.3,0.4657,203,35321,20153,86700,4754,8.2,2012,,
Crenshaw County,Alabama,1,41,10142,13971,13.5,78,488,78.0,0.4715,74,37309,21480,70000,3099,8.5,2012,,
Cullman County,Alabama,1,43,77178,80403,14.0,523,599,78.3,0.4471,333,39244,20653,104700,869,8.9,2012,,
Dale County,Alabama,1,45,37588,50129,11.8,598,618,77.2,0.4271,159,45247,22707,96100,9834,10.5,2012,,
Dallas County,Alabama,1,47,12738,43572,12.4,461,533,73.4,0.518,68,26178,16907,73700,30057,9.5,2012,,
DeKalb County,Alabama,1,49,64778,70949,12.2,430,517,76.4,0.4523,1019,36853,18494,89400,1236,8.7,2012,,
Elmore County,Alabama,1,51,60119,79330,11.1,443,736,78.6,0.4039,327,55514,24007,143900,16036,10.3,2012,,
Escambia County,Alabama,1,53,24024,38122,12.6,142,558,81.2,0.4656,1418,31075,16294,85300,12280,8.6,2012,,
Etowah County,Alabama,1,55,85430,104317,13.6,808,608,78.4,0.4514,354,37660,20672,101200,15745,9.0,2012,,
Fayette County,Alabama,1,57,14921,17219,16.0,145,456,79.1,0.4414,38,33090,18675,72600,1942,8.8,2012,,
Franklin County,Alabama,1,59,28001,31664,12.9,298,517,77.6,0.4483,157,37235,19282,82000,1469,10.0,2012,,
Geneva County,Alabama,1,61,23239,26769,15.4,245,559,79.1,0.4525,87,33618,19393,79400,2632,7.9,2012,,
Greene County,Alabama,1,63,1608,9067,14.7,49,413,77.0,0.5081,25,23777,15062,77200,7421,10.6,2012,,
Hale County,Alabama,1,65,6292,15750,13.5,84,471,77.1,0.4905,32,29409,17210,80300,9327,9.4,2012,,
Henry County,Alabama,1,67,11888,17275,16.4,72,537,79.7,0.4333,0,40680,20897,100400,4812,8.4,2012,,
Houston County,Alabama,1,69,71132,101459,12.8,992,641,76.9,0.4712,300,41828,23375,122000,26052,8.4,2012,,
Jackson County,Alabama,1,71,49024,53279,14.7,409,518,79.5,0.4377,1037,37059,20101,92000,1770,7.8,2012,,
Jefferson County,Alabama,1,73,351974,658464,11.1,6742,789,77.6,0.4948,1238,45415,26760,142300,277856,10.0,2012,,
Lamar County,Alabama,1,75,12655,14513,16.5,87,412,79.4,0.5026,4,35271,21410,69900,1728,7.8,2012,,
Lauderdale County,Alabama,1,77,80665,92528,14.9,777,592,80.0,0.4505,430,40701,22833,111900,9372,11.0,2012,,
Lawrence County,Alabama,1,79,26490,34148,13.1,195,512,78.1,0.4183,1892,39526,20315,96600,3803,9.4,2012,,
Lee County,Alabama,1,81,101299,140938,8.1,1644,743,79.8,0.4776,501,43189,23162,149300,32324,21.4,2012,,
Limestone County,Alabama,1,83,68300,83313,10.9,599,605,78.6,0.4448,431,48197,24872,132500,10670,8.2,2012,,
Lowndes County,Alabama,1,85,2874,11304,13.5,77,519,78.1,0.5192,23,28023,17895,70200,8365,9.8,2012,,
Macon County,Alabama,1,87,3365,21214,12.6,228,584,81.0,0.4751,42,27957,16402,77500,17635,18.0,2012,,
Madison County,Alabama,1,89,232397,334661,10.8,2939,725,78.5,0.4597,2262,58242,31367,163300,80303,10.7,2012,,
Marengo County,Alabama,1,91,9688,20909,15.1,140,453,77.3,0.4978,13,34515,20208,89500,10926,9.1,2012,,
