County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,bachelors_and_above_percentage,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,median_household_income,asian_population,per_capita_income,total_population_race,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,Year
Abbeville County,South Carolina,76.5546140449695,45,1,19.7,17759,25387,14.7,20.8,221,11.7,593,78.6,0.4337,18,8.6,15.5,13.7,35067,15,17876,25387,34.8,90300,7144,10.2,2012
Acadia Parish,Louisiana,74.1337017498536,22,1,17.9,48543,61611,10.9,19.1,339,9.3,541,75.2,0.4421,136,14.1,16.5,8.6,38686,169,19369,61611,42.2,88900,11184,9.9,2012
Accomack County,Virginia,75.7989407016313,51,1,11.8,22586,33454,17.5,20.2,199,17.3,741,79.1,0.4717,112,8.0,19.1,7.0,40780,41,22909,33454,39.3,153800,9620,8.0,2012
Ada County,Idaho,80.6992086312901,16,1,9.6,363070,394961,9.3,12.2,4338,37.8,821,76.1,0.434,2117,2.0,13.5,8.5,55499,10244,27522,394961,20.8,193300,4057,9.2,2012
Adair County,Iowa,78.7605442780773,19,1,13.7,7457,7628,18.6,9.9,43,11.5,511,80.1,0.4024,12,3.7,6.3,4.0,47872,46,25147,7628,45.5,96700,11,7.1,2012
Adair County,Kentucky,76.8951273884187,21,1,18.1,17806,18651,14.4,20.6,128,10.8,442,79.1,0.4545,6,15.0,20.6,10.7,31169,36,16824,18651,36.3,78900,536,11.4,2012
Adair County,Missouri,77.8202009710449,29,1,12.7,24094,25542,11.4,24.7,293,25.4,531,81.6,0.4825,83,4.3,13.7,7.1,33284,404,18331,25542,39.6,99300,492,24.1,2012
Adair County,Oklahoma,73.6569132504799,40,1,21.8,10287,22470,12.2,24.9,175,8.5,502,74.8,0.4348,8077,8.5,29.2,7.7,31287,142,14855,22470,43.3,74600,67,8.2,2012
Adams County,Colorado,80.0651767732563,8,1,9.5,351099,442996,7.3,14.2,5251,20.5,947,74.0,0.3984,4751,8.5,21.0,9.5,56633,15792,24357,442996,30.4,188100,14084,9.5,2012
Adams County,Idaho,80.6512582796805,16,3,22.7,3780,3976,23.3,13.8,28,20.4,564,84.2,0.4285,81,1.8,24.8,10.0,35756,4,20462,3976,36.6,142900,0,7.8,2012
Adams County,Illinois,78.3489124357671,17,1,13.9,62707,67098,15.5,13.6,594,21.0,598,78.7,0.4381,72,3.2,8.9,6.6,45691,505,24631,67098,40.5,102500,2418,9.6,2012
Adams County,Indiana,79.10863905292,18,1,9.8,33380,34343,11.7,16.6,92,15.3,560,71.2,0.3836,66,8.6,24.7,7.8,45339,61,19881,34343,41.2,113500,123,8.7,2012
