County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Abbeville County,South Carolina,45,1,15.4,25233,17552,98,79.1,629,0.4343,30,35947,18134,17552,25233,7308,10.6,91200,2013
Acadia Parish,Louisiana,22,1,11.1,61847,48826,384,75.1,524,0.4537,133,37587,19910,48826,61847,10913,9.9,88600,2013
Accomack County,Virginia,51,1,18.1,33289,22712,215,79.4,734,0.4752,130,39328,22703,22712,33289,9487,8.1,153600,2013
Ada County,Idaho,16,1,9.8,401673,368528,4332,76.2,833,0.4393,2092,55210,27452,368528,401673,3912,9.1,183600,2013
Adair County,Iowa,19,1,18.9,7588,7428,37,80.9,526,0.4004,13,47892,25564,7428,7588,28,7.7,90900,2013
Adair County,Kentucky,21,1,14.5,18696,17841,135,80.2,454,0.4499,9,32524,17371,17841,18696,462,12.5,78600,2013
Adair County,Missouri,29,1,11.8,25573,24107,366,81.9,544,0.4854,91,34733,19258,24107,25573,504,24.5,102600,2013
Adair County,Oklahoma,40,1,12.6,22427,10174,197,74.9,518,0.4361,8327,32556,15116,10174,22427,80,8.5,75300,2013
Adams County,Colorado,8,1,7.5,452030,363206,5618,74.0,967,0.399,4548,56270,24195,363206,452030,14314,9.4,186600,2013
Adams County,Idaho,16,3,23.5,3937,3724,26,81.8,565,0.4628,106,35434,21555,3724,3937,0,6.6,150500,2013
Adams County,Illinois,17,1,15.6,67152,62691,611,78.9,576,0.4356,88,45073,24217,62691,67152,2420,9.4,104200,2013
Adams County,Indiana,18,1,11.8,34424,33553,135,71.1,570,0.4006,78,46695,20160,33553,34424,195,8.7,116100,2013
Adams County,Iowa,19,3,20.4,3973,3883,30,81.5,475,0.3818,5,45871,23707,3883,3973,12,6.7,85200,2013
Adams County,Mississippi,28,1,13.0,32308,12702,320,80.5,585,0.5172,39,27381,17544,12702,32308,18405,8.3,80900,2013
Adams County,Nebraska,31,1,13.1,31367,29563,233,78.5,627,0.4374,149,49440,25571,29563,31367,238,12.6,98000,2013
Adams County,North Dakota,38,1,23.1,2328,2249,10,86.8,464,0.4339,34,47798,31502,2249,2328,7,9.7,106300,2013
Adams County,Ohio,39,1,14.3,28406,27746,284,76.6,531,0.4377,47,35678,18235,27746,28406,87,7.9,92900,2013
