County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,age_60_and_over,total_population,white_population,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,per_capita_income,asian_population,Year
Abbeville County,South Carolina,45,1,79.2,562.0,16.9,24997.0,17470.0,77.0,34799.0,0.4267,32.0,24997.0,6986.0,10.5,88300.0,18112.0,17470.0,2015
Acadia Parish,Louisiana,22,1,75.2,535.0,11.6,62163.0,49092.0,539.0,37649.0,0.4679,97.0,62163.0,10838.0,9.5,91000.0,20552.0,49092.0,2015
Accomack County,Virginia,51,1,79.7,733.0,19.0,33115.0,22521.0,233.0,39412.0,0.4624,134.0,33115.0,9496.0,7.9,153300.0,23231.0,22521.0,2015
Ada County,Idaho,16,1,76.8,856.0,10.8,417501.0,381606.0,4215.0,56356.0,0.4515,2377.0,417501.0,4741.0,9.1,188800.0,28851.0,381606.0,2015
Adair County,Iowa,19,1,80.9,553.0,19.5,7426.0,7312.0,55.0,46526.0,0.4225,2.0,7426.0,27.0,7.6,89600.0,25990.0,7312.0,2015
Adair County,Kentucky,21,1,81.1,505.0,15.3,18852.0,17920.0,119.0,33362.0,0.4542,24.0,18852.0,528.0,12.9,82400.0,18277.0,17920.0,2015
Adair County,Missouri,29,1,83.0,594.0,12.4,25560.0,23906.0,323.0,37516.0,0.4941,84.0,25560.0,528.0,27.1,108000.0,19671.0,23906.0,2015
Adair County,Oklahoma,40,1,75.2,526.0,13.2,22236.0,9848.0,185.0,33404.0,0.4527,8936.0,22236.0,66.0,9.0,76600.0,16247.0,9848.0,2015
Adams County,Colorado,8,1,74.4,1039.0,8.1,471206.0,390252.0,5912.0,58946.0,0.404,5229.0,471206.0,15264.0,9.2,198800.0,25039.0,390252.0,2015
Adams County,Idaho,16,3,82.5,573.0,24.3,3880.0,3743.0,48.0,39565.0,0.4302,65.0,3880.0,0.0,6.4,145000.0,21219.0,3743.0,2015
Adams County,Illinois,17,1,78.8,572.0,16.0,67081.0,62462.0,700.0,45965.0,0.4262,170.0,67081.0,2539.0,8.8,110000.0,24380.0,62462.0,2015
Adams County,Indiana,18,1,70.7,545.0,12.1,34642.0,33789.0,144.0,48188.0,0.4255,39.0,34642.0,242.0,8.6,116900.0,21274.0,33789.0,2015
Adams County,Iowa,19,3,80.0,538.0,20.2,3892.0,3788.0,17.0,48043.0,0.4045,2.0,3892.0,27.0,6.4,87800.0,26428.0,3788.0,2015
Adams County,Mississippi,28,1,81.1,588.0,13.4,31979.0,12856.0,218.0,28869.0,0.5156,31.0,31979.0,17757.0,8.3,85600.0,17669.0,12856.0,2015
Adams County,Nebraska,31,1,78.2,623.0,13.8,31442.0,29847.0,282.0,50635.0,0.4599,46.0,31442.0,303.0,12.1,104300.0,27690.0,29847.0,2015
Adams County,North Dakota,38,1,86.0,481.0,22.7,2341.0,2183.0,3.0,52118.0,0.4329,63.0,2341.0,31.0,9.8,126100.0,34005.0,2183.0,2015
Adams County,Ohio,39,1,77.0,562.0,15.0,28229.0,27503.0,238.0,35560.0,0.4515,64.0,28229.0,108.0,7.9,87900.0,18556.0,27503.0,2015
Adams County,Pennsylvania,42,1,81.1,838.0,16.1,101767.0,93927.0,920.0,60356.0,0.4015,96.0,101767.0,1576.0,10.0,193100.0,27870.0,93927.0,2015
Adams County,Washington,53,1,67.6,680.0,9.4,19081.0,12893.0,240.0,46564.0,0.4047,82.0,19081.0,39.0,10.7,138400.0,17564.0,12893.0,2015
Adams County,Wisconsin,55,1,87.6,695.0,24.5,20451.0,19058.0,78.0,43640.0,0.4112,102.0,20451.0,624.0,6.0,131600.0,22783.0,19058.0,2015
Addison County,Vermont,50,1,82.8,879.0,15.1,36943.0,35053.0,341.0,59688.0,0.4175,130.0,36943.0,355.0,13.4,237300.0,29561.0,35053.0,2015
Aiken County,South Carolina,45,3,78.9,696.0,15.4,163908.0,114199.0,1072.0,45759.0,0.4579,358.0,163908.0,40653.0,9.3,128800.0,25321.0,114199.0,2015
Aitkin County,Minnesota,27,1,84.7,633.0,28.6,15839.0,15059.0,91.0,42252.0,0.4338,292.0,15839.0,58.0,5.5,166400.0,25591.0,15059.0,2015
Alachua County,Florida,12,1,83.1,871.0,10.8,254218.0,177612.0,3455.0,43073.0,0.5177,773.0,254218.0,50580.0,22.3,164000.0,25498.0,177612.0,2015
Alamance County,North Carolina,37,1,77.9,745.0,13.6,155258.0,109891.0,1773.0,41814.0,0.4608,590.0,155258.0,28452.0,10.3,138100.0,23434.0,109891.0,2015
Alameda County,California,6,1,79.9,1367.0,10.7,1584983.0,708558.0,24767.0,75619.0,0.4702,9813.0,1584983.0,184883.0,9.7,543100.0,37285.0,708558.0,2015
Alamosa County,Colorado,8,3,78.1,635.0,11.5,16269.0,14159.0,353.0,32395.0,0.5118,327.0,16269.0,303.0,19.6,144300.0,19524.0,14159.0,2015
Albany County,New York,36,1,82.4,919.0,12.8,307463.0,236881.0,4391.0,59887.0,0.4532,411.0,307463.0,38612.0,14.8,208400.0,32779.0,236881.0,2015
Albany County,Wyoming,56,1,84.7,727.0,8.2,37565.0,33616.0,607.0,42834.0,0.4964,283.0,37565.0,481.0,30.2,216100.0,24946.0,33616.0,2015
Albemarle County,Virginia,51,3,80.1,1117.0,14.4,103108.0,84059.0,1069.0,68449.0,0.4817,258.0,103108.0,9658.0,12.0,313800.0,37474.0,84059.0,2015
Alcona County,Michigan,26,1,88.1,609.0,33.9,10550.0,10290.0,11.0,38033.0,0.4337,30.0,10550.0,29.0,5.2,97500.0,23933.0,10290.0,2015
Alcorn County,Mississippi,28,3,77.6,604.0,14.5,37319.0,31563.0,381.0,36163.0,0.4459,79.0,37319.0,4281.0,8.9,84800.0,19467.0,31563.0,2015
Aleutians East Borough,Alaska,2,13,90.5,930.0,5.1,3304.0,712.0,21.0,61518.0,0.3743,979.0,3304.0,304.0,12.1,126100.0,28608.0,712.0,2015
