County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,high_school_only_percentage,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Abbeville County,South Carolina,75.9393059825353,45,1,21.3,616.0,34.6,14.7,35.0,17269.0,24788.0,28.4,22.7,35254.0,24.0,7.2,87.9,9.4,0.4495,34.3,92600.0,21.2,6844.0,24788.0,17269.0,19234.0,2017
Acadia Parish,Louisiana,73.9999754497315,22,1,18.5,593.0,38.1,12.2,405.0,49346.0,62607.0,19.4,21.5,40492.0,36.0,10.3,86.5,8.9,0.4683,40.8,97500.0,26.7,11053.0,62607.0,49346.0,21591.0,2017
Accomack County,Virginia,75.4625664894611,51,1,12.0,771.0,31.4,19.6,259.0,22468.0,32840.0,29.6,19.8,42260.0,109.0,7.1,83.3,5.4,0.4551,39.0,157200.0,20.9,9326.0,32840.0,22468.0,24266.0,2017
Ada County,Idaho,80.5623842009789,16,1,10.2,910.0,41.4,37.6,3518.0,395726.0,435117.0,18.6,11.8,60151.0,2369.0,1.6,90.9,4.3,0.4641,22.4,219900.0,24.8,5615.0,435117.0,395726.0,31642.0,2017
Adair County,Iowa,78.0811397489124,19,1,15.7,549.0,31.4,15.7,75.0,7045.0,7192.0,30.0,9.5,49477.0,0.0,1.9,93.6,3.0,0.4354,45.0,93200.0,21.5,24.0,7192.0,7045.0,28861.0,2017
Adair County,Kentucky,76.3245577659512,21,1,18.5,503.0,39.2,15.8,116.0,18257.0,19304.0,23.6,21.5,36575.0,27.0,12.2,91.3,6.2,0.4436,37.5,85900.0,20.1,700.0,19304.0,18257.0,18408.0,2017
Adair County,Missouri,77.4368641875169,29,1,12.0,610.0,50.9,31.0,252.0,23443.0,25437.0,19.3,26.2,38750.0,56.0,3.3,92.0,5.5,0.5143,35.6,117700.0,18.0,617.0,25437.0,23443.0,21778.0,2017
Adair County,Oklahoma,73.0339399700148,40,1,19.8,549.0,37.6,13.6,182.0,9490.0,22136.0,21.0,30.8,33366.0,9617.0,5.8,73.1,5.5,0.4603,43.2,81200.0,26.4,67.0,22136.0,9490.0,16576.0,2017
Adams County,Colorado,80.2868507759135,8,1,10.7,1172.0,43.9,23.1,6174.0,404397.0,487850.0,14.3,12.2,64087.0,5843.0,7.6,86.6,5.1,0.4058,28.3,241900.0,27.6,15681.0,487850.0,404397.0,27487.0,2017
Adams County,Idaho,80.3383008383321,16,3,19.6,604.0,25.2,20.3,45.0,3779.0,3946.0,38.3,13.8,42727.0,49.0,2.9,84.2,8.7,0.4248,37.2,166500.0,17.6,13.0,3946.0,3779.0,24315.0,2017
Adams County,Illinois,78.0555591364872,17,1,13.8,612.0,35.3,23.4,721.0,62209.0,66787.0,25.4,13.1,48454.0,222.0,2.3,94.4,5.5,0.447,34.9,120200.0,22.6,2689.0,66787.0,62209.0,27256.0,2017
Adams County,Indiana,78.4062056414824,18,1,12.8,588.0,35.6,14.9,192.0,33935.0,35018.0,20.4,18.9,48290.0,16.0,8.5,79.0,5.2,0.43,40.7,118900.0,31.2,328.0,35018.0,33935.0,21534.0,2017
Adams County,Iowa,78.262211852725,19,3,15.3,476.0,30.7,17.3,15.0,3686.0,3785.0,30.2,11.2,49745.0,7.0,2.0,94.2,4.2,0.4157,39.3,84900.0,20.8,16.0,3785.0,3686.0,27022.0,2017
Adams County,Mississippi,73.0608562882492,28,1,15.4,583.0,35.6,17.4,233.0,13449.0,31583.0,23.7,34.2,30359.0,78.0,9.4,83.7,10.9,0.53,34.8,90800.0,23.1,16798.0,31583.0,13449.0,17721.0,2017
Adams County,Nebraska,79.0721996526937,31,1,13.2,655.0,37.4,23.5,258.0,29445.0,31564.0,23.7,12.4,51721.0,105.0,4.3,92.3,4.2,0.4557,29.7,115300.0,23.8,227.0,31564.0,29445.0,28085.0,2017
Adams County,North Dakota,79.2359076234819,38,1,10.2,491.0,33.4,27.4,4.0,2214.0,2368.0,31.4,9.2,54700.0,26.0,1.5,94.1,1.6,0.4527,33.7,144900.0,20.1,39.0,2368.0,2214.0,35933.0,2017
Adams County,Ohio,73.2819116608333,39,1,21.1,571.0,35.0,12.1,205.0,27231.0,27926.0,22.8,23.8,36320.0,158.0,7.5,89.9,7.5,0.476,45.5,98000.0,24.4,124.0,27926.0,27231.0,20248.0,2017
Adams County,Pennsylvania,79.3166168617587,42,1,13.3,871.0,35.2,22.1,892.0,93849.0,101589.0,25.9,8.8,62661.0,52.0,3.8,93.4,4.9,0.3998,41.5,197400.0,20.6,1469.0,101589.0,93849.0,29685.0,2017
Adams County,Washington,79.01824127658,53,1,10.6,691.0,39.1,13.6,201.0,13496.0,19261.0,15.1,23.1,48131.0,556.0,23.3,80.5,5.9,0.4141,26.0,150300.0,35.1,113.0,19261.0,13496.0,18415.0,2017
Adams County,Wisconsin,77.5203182294726,55,1,21.8,720.0,27.8,12.5,68.0,18697.0,20111.0,36.9,13.0,44003.0,139.0,2.9,93.6,8.1,0.4225,42.8,127800.0,14.9,549.0,20111.0,18697.0,24874.0,2017
