County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,disability_rate,Year
Abbeville County,South Carolina,45,1,17220.0,21185.0,34.6,89000.0,6761.0,20.9,24657.0,0.0,6.6,88.4,7.6,0.4769,36685.0,84.0,17220.0,24657.0,29.1,22.5,684.0,34.5,15.9,20.5,2018
Acadia Parish,Louisiana,22,1,49471.0,22784.0,41.2,107700.0,11139.0,26.4,62568.0,20.0,9.9,88.5,9.1,0.4787,41177.0,470.0,49471.0,62568.0,20.0,23.9,624.0,38.1,13.4,18.9,2018
Accomack County,Virginia,51,1,22372.0,24355.0,38.8,165000.0,9574.0,21.0,32742.0,176.0,6.3,83.2,4.2,0.4382,43210.0,321.0,22372.0,32742.0,30.0,19.9,797.0,31.5,18.5,13.3,2018
Ada County,Idaho,16,1,404644.0,33352.0,23.0,242300.0,6204.0,24.5,446052.0,2525.0,1.4,91.7,3.8,0.4659,63137.0,3409.0,404644.0,446052.0,19.1,11.0,950.0,41.4,37.8,10.2,2018
Adair County,Iowa,19,1,6967.0,29984.0,43.1,100100.0,27.0,21.7,7124.0,0.0,2.1,93.7,3.5,0.4293,51859.0,74.0,6967.0,7124.0,30.9,9.1,588.0,31.7,15.4,16.6,2018
Adair County,Kentucky,21,1,18201.0,20166.0,38.7,89600.0,631.0,20.0,19241.0,44.0,10.1,93.1,6.2,0.4696,39346.0,147.0,18201.0,19241.0,24.9,21.6,537.0,38.3,16.3,18.8,2018
Adair County,Missouri,29,1,23100.0,22000.0,35.8,118100.0,870.0,17.9,25325.0,52.0,3.4,91.5,6.5,0.5131,40046.0,269.0,23100.0,25325.0,19.0,26.4,619.0,50.8,30.0,12.3,2018
Adair County,Oklahoma,40,1,9359.0,16851.0,45.6,83500.0,75.0,26.4,22113.0,9727.0,5.1,73.3,5.3,0.4606,32986.0,172.0,9359.0,22113.0,21.2,29.3,567.0,37.4,11.6,19.1,2018
Adams County,Colorado,8,1,410132.0,28897.0,28.4,273000.0,16494.0,27.2,497115.0,6264.0,7.7,88.9,4.4,0.4075,67575.0,6038.0,410132.0,497115.0,14.5,11.5,1270.0,44.0,23.6,10.5,2018
Adams County,Idaho,16,3,3852.0,25143.0,37.7,173100.0,11.0,18.3,4019.0,50.0,3.1,83.4,11.1,0.4228,45319.0,32.0,3852.0,4019.0,37.7,11.4,619.0,25.5,19.1,22.9,2018
