County,State,mean_life_expectancy,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,high_school_only_percentage,total_population_race,unemployment_rate,health_insurance_rate,less_than_9th_grade_percentage,native_american_population,gini_index,median_household_income,housing_cost_burden,poverty_rate,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent,bachelors_and_above_percentage,disability_rate,Year
Abbeville County,South Carolina,76.2480488633423,45,1,22646.0,17221.0,6804.0,20.6,90800.0,34.0,24627.0,5.5,88.9,6.0,15.0,0.479,38741.0,106.0,18.7,28.8,24627.0,17221.0,34.3,681.0,15.6,19.6,2019
Acadia Parish,Louisiana,74.5671405045502,22,1,23122.0,49556.0,10841.0,26.2,118000.0,41.3,62457.0,8.1,89.4,8.9,86.0,0.4791,43396.0,364.0,24.2,20.8,62457.0,49556.0,37.7,662.0,13.3,19.1,2019
Accomack County,Virginia,75.809517106311,51,1,26018.0,22282.0,9331.0,21.2,171800.0,36.7,32673.0,3.9,83.4,6.6,175.0,0.448,46073.0,328.0,19.0,30.6,32673.0,22282.0,31.5,831.0,19.5,14.1,2019
Ada County,Idaho,80.936014639849,16,1,34919.0,413350.0,6274.0,24.0,270800.0,22.4,456849.0,3.9,91.7,1.4,2407.0,0.4615,66293.0,3861.0,10.8,19.7,456849.0,413350.0,41.3,995.0,38.5,10.3,2019
Adair County,Iowa,78.2551121361173,19,1,30822.0,6911.0,39.0,21.4,104600.0,40.5,7085.0,4.2,95.6,2.1,0.0,0.4298,53363.0,48.0,10.9,31.5,7085.0,6911.0,31.9,585.0,18.5,16.0,2019
Adair County,Kentucky,76.6118721957864,21,1,21196.0,18239.0,603.0,19.5,96400.0,39.0,19222.0,5.7,94.6,9.5,45.0,0.4777,38021.0,183.0,20.5,25.6,19222.0,18239.0,38.2,564.0,15.7,21.0,2019
Adair County,Missouri,77.8101753635588,29,1,22847.0,23240.0,680.0,18.6,126800.0,34.4,25369.0,5.7,92.1,3.4,29.0,0.5137,41929.0,277.0,23.8,18.9,25369.0,23240.0,50.3,646.0,31.0,12.4,2019
Adair County,Oklahoma,73.5465287622819,40,1,17026.0,9360.0,36.0,27.0,87600.0,46.6,22220.0,4.8,73.0,4.7,9806.0,0.4472,34695.0,148.0,27.8,21.3,22220.0,9360.0,37.0,561.0,11.6,19.1,2019
Adams County,Colorado,80.7776770732522,8,1,30313.0,411153.0,17014.0,27.0,307600.0,28.6,504108.0,4.0,89.9,7.3,5526.0,0.4052,71202.0,5999.0,10.8,14.8,504108.0,411153.0,44.1,1346.0,24.3,10.4,2019
Adams County,Idaho,80.7342053228818,16,3,28026.0,3911.0,16.0,17.1,215500.0,34.9,4097.0,8.6,88.0,3.5,72.0,0.4392,48856.0,33.0,12.1,40.2,4097.0,3911.0,24.8,685.0,21.2,21.1,2019
