County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage,Year
Abbeville County,South Carolina,45,1,17759,25387,14.7,221,593,78.6,0.4337,18,35067,17759,17876,25387,90300,7144,10.2,2012
Acadia Parish,Louisiana,22,1,48543,61611,10.9,339,541,75.2,0.4421,136,38686,48543,19369,61611,88900,11184,9.9,2012
Accomack County,Virginia,51,1,22586,33454,17.5,199,741,79.1,0.4717,112,40780,22586,22909,33454,153800,9620,8.0,2012
Ada County,Idaho,16,1,363070,394961,9.3,4338,821,76.1,0.434,2117,55499,363070,27522,394961,193300,4057,9.2,2012
Adair County,Iowa,19,1,7457,7628,18.6,43,511,80.1,0.4024,12,47872,7457,25147,7628,96700,11,7.1,2012
Adair County,Kentucky,21,1,17806,18651,14.4,128,442,79.1,0.4545,6,31169,17806,16824,18651,78900,536,11.4,2012
Adair County,Missouri,29,1,24094,25542,11.4,293,531,81.6,0.4825,83,33284,24094,18331,25542,99300,492,24.1,2012
Adair County,Oklahoma,40,1,10287,22470,12.2,175,502,74.8,0.4348,8077,31287,10287,14855,22470,74600,67,8.2,2012
Adams County,Colorado,8,1,351099,442996,7.3,5251,947,74.0,0.3984,4751,56633,351099,24357,442996,188100,14084,9.5,2012
Adams County,Idaho,16,3,3780,3976,23.3,28,564,84.2,0.4285,81,35756,3780,20462,3976,142900,0,7.8,2012
Adams County,Illinois,17,1,62707,67098,15.5,594,598,78.7,0.4381,72,45691,62707,24631,67098,102500,2418,9.6,2012
Adams County,Indiana,18,1,33380,34343,11.7,92,560,71.2,0.3836,66,45339,33380,19881,34343,113500,123,8.7,2012
Adams County,Iowa,19,3,3944,4027,20.6,25,443,81.7,0.4564,6,45099,3944,25709,4027,88100,12,6.6,2012
Adams County,Mississippi,28,1,12794,32391,12.9,250,606,80.3,0.5047,66,27486,12794,17585,32391,81800,18739,8.3,2012
Adams County,Nebraska,31,1,29659,31299,12.9,199,616,78.1,0.4312,126,49017,29659,24866,31299,96900,204,12.6,2012
Adams County,North Dakota,38,1,2269,2325,24.1,14,417,85.2,0.4312,31,42830,2269,26655,2325,89000,1,8.6,2012
Adams County,Ohio,39,1,27875,28524,13.9,251,522,76.7,0.4554,70,34282,27875,18238,28524,94600,89,7.9,2012
Adams County,Pennsylvania,42,1,93884,101352,14.5,733,798,80.1,0.3994,134,58465,93884,26986,101352,204000,1607,10.2,2012
Adams County,Washington,53,1,11632,18575,9.5,273,582,68.0,0.4038,167,41798,11632,16539,18575,131600,24,10.5,2012
Adams County,Wisconsin,55,1,19488,20898,21.8,113,656,86.6,0.3823,124,42781,19488,21683,20898,135900,665,6.0,2012
Addison County,Vermont,50,1,35217,36814,12.7,369,877,81.9,0.4142,114,57785,35217,28550,36814,235500,320,13.2,2012
Aiken County,South Carolina,45,3,111591,160169,14.2,1076,684,78.8,0.4639,413,44399,111591,24677,160169,124900,39908,9.2,2012
Aitkin County,Minnesota,27,1,15432,16166,27.0,105,613,84.3,0.4277,262,41191,15432,24593,16166,173400,76,5.2,2012
Alachua County,Florida,12,1,174623,247973,9.6,3489,895,83.3,0.5101,570,42818,174623,25287,247973,176300,49795,22.8,2012
Alamance County,North Carolina,37,1,105718,151170,12.7,1363,724,77.6,0.4427,374,44155,105718,23517,151170,136500,27279,10.5,2012
Alameda County,California,6,1,695847,1515136,9.8,21987,1265,79.2,0.4634,8456,71516,695847,35434,1515136,514900,185614,10.2,2012
Alamosa County,Colorado,8,3,12652,15750,10.2,270,585,78.3,0.5004,182,38045,12652,19657,15750,133200,115,16.5,2012
Albany County,New York,36,1,237873,304511,11.9,3797,890,81.6,0.4456,593,59359,237873,31924,304511,210200,38343,13.8,2012
Albany County,Wyoming,56,1,32215,36186,7.8,476,710,85.5,0.4983,241,42882,32215,25311,36186,199900,372,30.5,2012
Albemarle County,Virginia,51,3,81403,99484,12.8,981,1080,79.8,0.489,313,67797,81403,37837,99484,332400,9751,13.2,2012
Alcona County,Michigan,26,1,10719,10943,31.5,10,583,87.2,0.4249,33,36931,10719,22069,10943,110200,18,4.9,2012
Alcorn County,Mississippi,28,3,31735,37027,13.8,270,576,77.1,0.4673,81,32846,31735,19003,37027,86300,4341,8.7,2012
Aleutians East Borough,Alaska,2,13,721,3114,3.3,11,847,94.3,0.392,570,58125,721,24932,3114,120900,417,14.5,2012
