County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,poverty_rate,age_60_and_over,total_population,white_population,median_household_income,unemployment_rate,health_insurance_rate,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population,Year
Abbeville County,South Carolina,45,1,20.9,13.7,79.4,611.0,107.0,21.6,17.9,24951.0,17440.0,34652.0,9.4,88.0,38.0,0.4344,10.4,6777.0,88100.0,24951.0,18460.0,17440.0,2016
Acadia Parish,Louisiana,22,1,18.0,11.1,75.0,577.0,489.0,20.6,11.9,62372.0,49287.0,39837.0,9.1,84.4,27.0,0.4644,9.3,11168.0,91600.0,62372.0,20887.0,49287.0,2016
Accomack County,Virginia,51,1,12.4,18.3,79.8,749.0,264.0,19.5,19.5,33060.0,22369.0,38503.0,7.0,82.0,122.0,0.4662,7.7,9573.0,151900.0,33060.0,23337.0,22369.0,2016
Ada County,Idaho,16,1,10.2,37.0,77.2,871.0,4196.0,12.2,11.3,425798.0,388813.0,58099.0,5.3,89.3,2439.0,0.4589,9.0,5253.0,200200.0,425798.0,30086.0,388813.0,2016
Adair County,Iowa,19,1,15.3,16.6,80.7,507.0,62.0,9.7,19.9,7330.0,7188.0,48765.0,2.8,93.7,1.0,0.418,7.4,21.0,95000.0,7330.0,27358.0,7188.0,2016
Adair County,Kentucky,21,1,18.2,16.5,81.3,499.0,144.0,23.3,15.4,19156.0,18164.0,33873.0,5.8,87.9,26.0,0.4495,14.0,593.0,86100.0,19156.0,18463.0,18164.0,2016
Adair County,Missouri,29,1,12.1,30.5,82.6,598.0,295.0,26.0,12.9,25547.0,23649.0,37967.0,6.5,91.2,61.0,0.4906,26.3,565.0,112100.0,25547.0,19804.0,23649.0,2016
Adair County,Oklahoma,40,1,19.3,13.4,75.2,532.0,193.0,30.1,13.6,22161.0,9618.0,33184.0,6.0,73.5,9652.0,0.4557,8.9,79.0,77100.0,22161.0,16018.0,9618.0,2016
Adams County,Colorado,8,1,10.5,22.4,74.6,1098.0,6183.0,12.9,8.4,479977.0,397314.0,61444.0,6.1,84.4,5842.0,0.4046,9.1,15373.0,216700.0,479977.0,26051.0,397314.0,2016
Adams County,Idaho,16,3,20.1,22.7,83.7,548.0,44.0,14.6,25.5,3865.0,3711.0,41335.0,10.8,81.7,73.0,0.4134,5.6,8.0,160700.0,3865.0,22741.0,3711.0,2016
Adams County,Illinois,17,1,13.7,22.6,78.9,590.0,689.0,12.9,16.4,66949.0,62268.0,48065.0,6.4,93.2,172.0,0.4318,8.5,2541.0,116400.0,66949.0,26053.0,62268.0,2016
Adams County,Indiana,18,1,12.6,15.6,70.6,566.0,130.0,18.0,12.3,34813.0,33743.0,47572.0,5.5,78.6,16.0,0.4281,8.8,247.0,114600.0,34813.0,21173.0,33743.0,2016
Adams County,Iowa,19,3,15.4,16.7,80.6,471.0,17.0,9.8,20.3,3822.0,3720.0,48598.0,3.1,92.3,4.0,0.4116,6.7,19.0,88900.0,3822.0,26991.0,3720.0,2016
Adams County,Mississippi,28,1,15.5,18.1,80.1,584.0,280.0,30.4,13.9,31747.0,13522.0,31283.0,10.1,83.6,33.0,0.5069,7.8,17056.0,89400.0,31747.0,18091.0,13522.0,2016
Adams County,Nebraska,31,1,12.6,22.6,77.6,640.0,267.0,11.2,14.0,31536.0,29440.0,51201.0,5.4,90.6,85.0,0.4571,12.3,305.0,110600.0,31536.0,27609.0,29440.0,2016
Adams County,North Dakota,38,1,11.1,27.5,83.8,455.0,3.0,10.5,20.3,2348.0,2203.0,53295.0,2.0,93.2,53.0,0.4317,9.7,24.0,124000.0,2348.0,32594.0,2203.0,2016
Adams County,Ohio,39,1,20.8,10.9,77.3,575.0,151.0,24.5,15.5,28111.0,27298.0,34709.0,9.9,87.3,122.0,0.458,7.8,100.0,94300.0,28111.0,18901.0,27298.0,2016
Adams County,Pennsylvania,42,1,13.5,21.9,81.3,847.0,943.0,9.4,16.7,101759.0,93855.0,61927.0,5.5,92.6,71.0,0.398,10.1,1465.0,194800.0,101759.0,28515.0,93855.0,2016
Adams County,Washington,53,1,9.8,13.8,67.8,697.0,160.0,23.0,9.6,19100.0,13538.0,47554.0,6.1,79.8,342.0,0.4125,10.6,122.0,146400.0,19100.0,17781.0,13538.0,2016
Adams County,Wisconsin,55,1,21.1,12.7,87.8,699.0,79.0,12.7,25.2,20294.0,18913.0,43554.0,9.5,92.3,126.0,0.4182,5.8,646.0,129100.0,20294.0,23668.0,18913.0,2016
Addison County,Vermont,50,1,14.2,35.8,83.3,898.0,330.0,8.7,16.1,36926.0,34962.0,61020.0,5.0,94.8,112.0,0.419,13.2,411.0,236400.0,36926.0,30154.0,34962.0,2016
Aiken County,South Carolina,45,3,14.2,25.3,79.3,733.0,1124.0,17.4,16.0,165146.0,115969.0,46454.0,10.1,86.8,407.0,0.4549,9.0,40545.0,134000.0,165146.0,25602.0,115969.0,2016
Aitkin County,Minnesota,27,1,18.0,16.0,84.7,632.0,101.0,12.8,29.6,15722.0,14937.0,44524.0,7.0,94.0,309.0,0.4224,5.4,62.0,165300.0,15722.0,25780.0,14937.0,2016
Alachua County,Florida,12,1,10.5,41.5,83.1,885.0,3222.0,24.2,11.3,256581.0,178684.0,44702.0,7.0,87.7,785.0,0.5161,22.0,50945.0,165700.0,256581.0,25758.0,178684.0,2016
