County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,health_insurance_rate,unemployment_rate,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Abbeville County,South Carolina,45,1,21.3,14.7,616.0,34.6,35.0,17269.0,24788.0,28.4,22.7,35254.0,24.0,87.9,9.4,0.4495,92600.0,21.2,6844.0,24788.0,17269.0,19234.0,2017
Acadia Parish,Louisiana,22,1,18.5,12.2,593.0,38.1,405.0,49346.0,62607.0,19.4,21.5,40492.0,36.0,86.5,8.9,0.4683,97500.0,26.7,11053.0,62607.0,49346.0,21591.0,2017
Accomack County,Virginia,51,1,12.0,19.6,771.0,31.4,259.0,22468.0,32840.0,29.6,19.8,42260.0,109.0,83.3,5.4,0.4551,157200.0,20.9,9326.0,32840.0,22468.0,24266.0,2017
Ada County,Idaho,16,1,10.2,37.6,910.0,41.4,3518.0,395726.0,435117.0,18.6,11.8,60151.0,2369.0,90.9,4.3,0.4641,219900.0,24.8,5615.0,435117.0,395726.0,31642.0,2017
Adair County,Iowa,19,1,15.7,15.7,549.0,31.4,75.0,7045.0,7192.0,30.0,9.5,49477.0,0.0,93.6,3.0,0.4354,93200.0,21.5,24.0,7192.0,7045.0,28861.0,2017
Adair County,Kentucky,21,1,18.5,15.8,503.0,39.2,116.0,18257.0,19304.0,23.6,21.5,36575.0,27.0,91.3,6.2,0.4436,85900.0,20.1,700.0,19304.0,18257.0,18408.0,2017
Adair County,Missouri,29,1,12.0,31.0,610.0,50.9,252.0,23443.0,25437.0,19.3,26.2,38750.0,56.0,92.0,5.5,0.5143,117700.0,18.0,617.0,25437.0,23443.0,21778.0,2017
Adair County,Oklahoma,40,1,19.8,13.6,549.0,37.6,182.0,9490.0,22136.0,21.0,30.8,33366.0,9617.0,73.1,5.5,0.4603,81200.0,26.4,67.0,22136.0,9490.0,16576.0,2017
Adams County,Colorado,8,1,10.7,23.1,1172.0,43.9,6174.0,404397.0,487850.0,14.3,12.2,64087.0,5843.0,86.6,5.1,0.4058,241900.0,27.6,15681.0,487850.0,404397.0,27487.0,2017
Adams County,Idaho,16,3,19.6,20.3,604.0,25.2,45.0,3779.0,3946.0,38.3,13.8,42727.0,49.0,84.2,8.7,0.4248,166500.0,17.6,13.0,3946.0,3779.0,24315.0,2017
Adams County,Illinois,17,1,13.8,23.4,612.0,35.3,721.0,62209.0,66787.0,25.4,13.1,48454.0,222.0,94.4,5.5,0.447,120200.0,22.6,2689.0,66787.0,62209.0,27256.0,2017
Adams County,Indiana,18,1,12.8,14.9,588.0,35.6,192.0,33935.0,35018.0,20.4,18.9,48290.0,16.0,79.0,5.2,0.43,118900.0,31.2,328.0,35018.0,33935.0,21534.0,2017
Adams County,Iowa,19,3,15.3,17.3,476.0,30.7,15.0,3686.0,3785.0,30.2,11.2,49745.0,7.0,94.2,4.2,0.4157,84900.0,20.8,16.0,3785.0,3686.0,27022.0,2017
Adams County,Mississippi,28,1,15.4,17.4,583.0,35.6,233.0,13449.0,31583.0,23.7,34.2,30359.0,78.0,83.7,10.9,0.53,90800.0,23.1,16798.0,31583.0,13449.0,17721.0,2017
Adams County,Nebraska,31,1,13.2,23.5,655.0,37.4,258.0,29445.0,31564.0,23.7,12.4,51721.0,105.0,92.3,4.2,0.4557,115300.0,23.8,227.0,31564.0,29445.0,28085.0,2017
