County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Autauga County,Alabama,01,001,75.5
Baldwin County,Alabama,01,003,79.3
Barbour County,Alabama,01,005,81.3
Bibb County,Alabama,01,007,80.9
Blount County,Alabama,01,009,78.2
Bullock County,Alabama,01,011,80.5
Butler County,Alabama,01,013,76.6
Calhoun County,Alabama,01,015,78.5
Chambers County,Alabama,01,017,79.2
Cherokee County,Alabama,01,019,80.9
Chilton County,Alabama,01,021,77.5
Choctaw County,Alabama,01,023,78.7
Clarke County,Alabama,01,025,77.5
Clay County,Alabama,01,027,79.6
Cleburne County,Alabama,01,029,77.6
Coffee County,Alabama,01,031,77.6
Colbert County,Alabama,01,033,79.7
Conecuh County,Alabama,01,035,76.9
Coosa County,Alabama,01,037,81.6
Covington County,Alabama,01,039,79.5
Crenshaw County,Alabama,01,041,78.6
Cullman County,Alabama,01,043,78.7
Dale County,Alabama,01,045,78.3
Dallas County,Alabama,01,047,73.8
DeKalb County,Alabama,01,049,76.6
Elmore County,Alabama,01,051,78.7
Escambia County,Alabama,01,053,81.0
Etowah County,Alabama,01,055,78.6
Fayette County,Alabama,01,057,79.4
Franklin County,Alabama,01,059,77.0
Geneva County,Alabama,01,061,79.2
Greene County,Alabama,01,063,78.6
Hale County,Alabama,01,065,77.6
Henry County,Alabama,01,067,79.7
Houston County,Alabama,01,069,77.0
Jackson County,Alabama,01,071,79.5
Jefferson County,Alabama,01,073,77.7
Lamar County,Alabama,01,075,79.4
Lauderdale County,Alabama,01,077,80.3
Lawrence County,Alabama,01,079,79.0
Lee County,Alabama,01,081,79.9
Limestone County,Alabama,01,083,78.5
Lowndes County,Alabama,01,085,77.7
Macon County,Alabama,01,087,81.4
Madison County,Alabama,01,089,78.8
Marengo County,Alabama,01,091,78.0
Marion County,Alabama,01,093,79.5
Marshall County,Alabama,01,095,76.9
Mobile County,Alabama,01,097,76.7
Monroe County,Alabama,01,099,78.1
Montgomery County,Alabama,01,101,76.6
Morgan County,Alabama,01,103,78.3
Perry County,Alabama,01,105,77.0
Pickens County,Alabama,01,107,78.9
Pike County,Alabama,01,109,81.8
Randolph County,Alabama,01,111,77.8
Russell County,Alabama,01,113,75.9
Saint Clair County,Alabama,01,115,78.1
Shelby County,Alabama,01,117,76.6
Sumter County,Alabama,01,119,79.5
Talladega County,Alabama,01,121,79.2
Tallapoosa County,Alabama,01,123,79.3
Tuscaloosa County,Alabama,01,125,80.0
Walker County,Alabama,01,127,78.9
Washington County,Alabama,01,129,76.3
Wilcox County,Alabama,01,131,75.2
Winston County,Alabama,01,133,80.5
Anchorage Municipality,Alaska,02,020,76.7
Bethel Census Area,Alaska,02,050,68.5
Bristol Bay Borough,Alaska,02,060,78.7
