County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
Autauga County,Alabama,01,001,9.4
Baldwin County,Alabama,01,003,7.9
Barbour County,Alabama,01,005,10.6
Bibb County,Alabama,01,007,9.3
Blount County,Alabama,01,009,8.6
Bullock County,Alabama,01,011,8.3
Butler County,Alabama,01,013,8.3
Calhoun County,Alabama,01,015,10.4
Chambers County,Alabama,01,017,8.8
Cherokee County,Alabama,01,019,7.6
Chilton County,Alabama,01,021,8.0
Choctaw County,Alabama,01,023,8.3
Clarke County,Alabama,01,025,9.4
Clay County,Alabama,01,027,8.2
Cleburne County,Alabama,01,029,7.5
Coffee County,Alabama,01,031,8.5
Colbert County,Alabama,01,033,8.2
Conecuh County,Alabama,01,035,9.5
Coosa County,Alabama,01,037,11.4
Covington County,Alabama,01,039,8.2
Crenshaw County,Alabama,01,041,9.2
Cullman County,Alabama,01,043,8.3
Dale County,Alabama,01,045,9.8
Dallas County,Alabama,01,047,9.8
DeKalb County,Alabama,01,049,8.7
Elmore County,Alabama,01,051,10.1
Escambia County,Alabama,01,053,9.9
Etowah County,Alabama,01,055,9.0
Fayette County,Alabama,01,057,8.2
Franklin County,Alabama,01,059,10.4
Geneva County,Alabama,01,061,8.3
Greene County,Alabama,01,063,7.6
Hale County,Alabama,01,065,9.4
Henry County,Alabama,01,067,8.7
Houston County,Alabama,01,069,8.4
Jackson County,Alabama,01,071,8.1
Jefferson County,Alabama,01,073,9.5
Lamar County,Alabama,01,075,7.9
Lauderdale County,Alabama,01,077,11.4
Lawrence County,Alabama,01,079,8.4
Lee County,Alabama,01,081,20.4
Limestone County,Alabama,01,083,8.1
Lowndes County,Alabama,01,085,9.5
Macon County,Alabama,01,087,18.3
Madison County,Alabama,01,089,10.2
Marengo County,Alabama,01,091,9.4
Marion County,Alabama,01,093,8.0
Marshall County,Alabama,01,095,8.7
Mobile County,Alabama,01,097,10.0
Monroe County,Alabama,01,099,9.3
Montgomery County,Alabama,01,101,11.4
Morgan County,Alabama,01,103,8.6
Perry County,Alabama,01,105,17.9
Pickens County,Alabama,01,107,9.8
Pike County,Alabama,01,109,22.1
Randolph County,Alabama,01,111,8.7
Russell County,Alabama,01,113,9.5
Saint Clair County,Alabama,01,115,8.0
Shelby County,Alabama,01,117,8.3
Sumter County,Alabama,01,119,18.9
Talladega County,Alabama,01,121,8.7
Tallapoosa County,Alabama,01,123,9.6
Tuscaloosa County,Alabama,01,125,18.3
Walker County,Alabama,01,127,8.6
Washington County,Alabama,01,129,9.2
Wilcox County,Alabama,01,131,13.2
Winston County,Alabama,01,133,7.4
Anchorage Municipality,Alaska,02,020,12.0
Bethel Census Area,Alaska,02,050,10.9
Bristol Bay Borough,Alaska,02,060,9.1
Fairbanks North Star Borough,Alaska,02,090,16.4
Haines Borough,Alaska,02,100,9.2
Juneau City and Borough,Alaska,02,110,9.4
Kenai Peninsula Borough,Alaska,02,122,9.1
Kodiak Island Borough,Alaska,02,150,9.1
Matanuska-Susitna Borough,Alaska,02,170,9.5
Nome Census Area,Alaska,02,180,10.5
North Slope Borough,Alaska,02,185,8.7
Sitka City and Borough,Alaska,02,220,6.9
Southeast Fairbanks Census Area,Alaska,02,240,9.0
Valdez-Cordova Census Area,Alaska,02,261,14.2
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,12.7
Aleutians East Borough,Alaska,02,013,11.1
Aleutians West Census Area,Alaska,02,016,11.6
Dillingham Census Area,Alaska,02,070,11.5
Lake and Peninsula Borough,Alaska,02,164,11.4
Denali Borough,Alaska,02,068,10.9
Yukon-Koyukuk Census Area,Alaska,02,290,9.1
Hoonah-Angoon Census Area,Alaska,02,105,8.3
Skagway Municipality,Alaska,02,230,7.0
Yakutat City and Borough,Alaska,02,282,7.5
Ketchikan Gateway Borough,Alaska,02,130,9.2
Petersburg Borough,Alaska,02,195,13.7
Prince of Wales-Hyder Census Area,Alaska,02,198,8.4
Wrangell City and Borough,Alaska,02,275,6.1
Apache County,Arizona,04,001,10.5
Cochise County,Arizona,04,003,9.8
Coconino County,Arizona,04,005,19.0
Gila County,Arizona,04,007,7.5
Graham County,Arizona,04,009,11.2
Greenlee County,Arizona,04,011,8.8
Maricopa County,Arizona,04,013,10.0
Mohave County,Arizona,04,015,7.1
Navajo County,Arizona,04,017,9.6
Pima County,Arizona,04,019,12.5
Pinal County,Arizona,04,021,8.7
Santa Cruz County,Arizona,04,023,10.2
Yavapai County,Arizona,04,025,7.5
La Paz County,Arizona,04,012,7.3
Yuma County,Arizona,04,027,13.3
Arkansas County,Arkansas,05,001,8.9
Ashley County,Arkansas,05,003,9.1
Baxter County,Arkansas,05,005,6.0
Benton County,Arkansas,05,007,8.3
Boone County,Arkansas,05,009,8.4
Bradley County,Arkansas,05,011,7.5
Calhoun County,Arkansas,05,013,10.5
Carroll County,Arkansas,05,015,8.5
Chicot County,Arkansas,05,017,10.1
Clark County,Arkansas,05,019,22.1
Clay County,Arkansas,05,021,8.4
Cleburne County,Arkansas,05,023,7.5
Cleveland County,Arkansas,05,025,8.6
Columbia County,Arkansas,05,027,17.0
Conway County,Arkansas,05,029,8.3
Craighead County,Arkansas,05,031,11.9
Crawford County,Arkansas,05,033,8.4
Crittenden County,Arkansas,05,035,9.6
Cross County,Arkansas,05,037,8.4
Dallas County,Arkansas,05,039,6.1
Desha County,Arkansas,05,041,10.1
Drew County,Arkansas,05,043,16.9
Faulkner County,Arkansas,05,045,15.1
Franklin County,Arkansas,05,047,10.0
Fulton County,Arkansas,05,049,7.1
Garland County,Arkansas,05,051,7.7
Grant County,Arkansas,05,053,8.2
Greene County,Arkansas,05,055,10.0
Hempstead County,Arkansas,05,057,7.2
Hot Spring County,Arkansas,05,059,9.2
Howard County,Arkansas,05,061,6.7
Independence County,Arkansas,05,063,8.6
Izard County,Arkansas,05,065,8.1
Jackson County,Arkansas,05,067,8.6
Jefferson County,Arkansas,05,069,10.8
Johnson County,Arkansas,05,071,10.3
Lafayette County,Arkansas,05,073,8.5
Lawrence County,Arkansas,05,075,10.1
Lee County,Arkansas,05,077,10.6
Lincoln County,Arkansas,05,079,12.1
Little River County,Arkansas,05,081,7.3
Logan County,Arkansas,05,083,8.3
Lonoke County,Arkansas,05,085,9.0
Madison County,Arkansas,05,087,8.3
Marion County,Arkansas,05,089,6.5
Miller County,Arkansas,05,091,9.1
Mississippi County,Arkansas,05,093,9.8
Monroe County,Arkansas,05,095,9.9
Montgomery County,Arkansas,05,097,6.8
Nevada County,Arkansas,05,099,8.7
Newton County,Arkansas,05,101,6.4
Ouachita County,Arkansas,05,103,8.2
Perry County,Arkansas,05,105,9.0
Phillips County,Arkansas,05,107,9.4
Pike County,Arkansas,05,109,7.4
Poinsett County,Arkansas,05,111,8.7
Polk County,Arkansas,05,113,6.9
Pope County,Arkansas,05,115,14.4
Prairie County,Arkansas,05,117,7.7
Pulaski County,Arkansas,05,119,9.7
Randolph County,Arkansas,05,121,8.1
Saint Francis County,Arkansas,05,123,8.3
Saline County,Arkansas,05,125,7.4
Scott County,Arkansas,05,127,9.8
Searcy County,Arkansas,05,129,6.5
Sebastian County,Arkansas,05,131,9.7
Sevier County,Arkansas,05,133,9.3
Sharp County,Arkansas,05,135,7.2
Stone County,Arkansas,05,137,7.4
Union County,Arkansas,05,139,8.5
Van Buren County,Arkansas,05,141,6.8
Washington County,Arkansas,05,143,15.4
White County,Arkansas,05,145,12.5
Woodruff County,Arkansas,05,147,9.1
Yell County,Arkansas,05,149,8.3
Alameda County,California,06,001,9.5
