County,State,State_FIPS,County_FIPS,age_60_and_over
Autauga County,Alabama,01,001,10.0
Baldwin County,Alabama,01,003,15.6
Barbour County,Alabama,01,005,11.0
Bibb County,Alabama,01,007,9.7
Blount County,Alabama,01,009,12.5
Bullock County,Alabama,01,011,8.3
Butler County,Alabama,01,013,13.6
Calhoun County,Alabama,01,015,12.0
Chambers County,Alabama,01,017,13.7
Cherokee County,Alabama,01,019,15.9
Chilton County,Alabama,01,021,11.9
Choctaw County,Alabama,01,023,15.3
Clarke County,Alabama,01,025,13.7
Clay County,Alabama,01,027,16.3
Cleburne County,Alabama,01,029,14.0
Coffee County,Alabama,01,031,12.5
Colbert County,Alabama,01,033,14.8
Conecuh County,Alabama,01,035,14.9
Coosa County,Alabama,01,037,15.3
Covington County,Alabama,01,039,15.4
Crenshaw County,Alabama,01,041,13.2
Cullman County,Alabama,01,043,13.4
Dale County,Alabama,01,045,11.5
Dallas County,Alabama,01,047,11.9
DeKalb County,Alabama,01,049,11.7
Elmore County,Alabama,01,051,10.4
Escambia County,Alabama,01,053,12.2
Etowah County,Alabama,01,055,13.2
Fayette County,Alabama,01,057,15.9
Franklin County,Alabama,01,059,12.7
Geneva County,Alabama,01,061,15.0
Greene County,Alabama,01,063,14.0
Hale County,Alabama,01,065,12.3
Henry County,Alabama,01,067,15.4
Houston County,Alabama,01,069,12.1
Jackson County,Alabama,01,071,13.9
Jefferson County,Alabama,01,073,10.8
Lamar County,Alabama,01,075,15.6
Lauderdale County,Alabama,01,077,14.4
Lawrence County,Alabama,01,079,12.3
Lee County,Alabama,01,081,7.7
Limestone County,Alabama,01,083,10.5
Lowndes County,Alabama,01,085,13.0
Macon County,Alabama,01,087,12.1
Madison County,Alabama,01,089,10.5
Marengo County,Alabama,01,091,13.8
Marion County,Alabama,01,093,15.5
Marshall County,Alabama,01,095,12.4
Mobile County,Alabama,01,097,10.8
Monroe County,Alabama,01,099,13.0
Montgomery County,Alabama,01,101,9.8
Morgan County,Alabama,01,103,11.9
Perry County,Alabama,01,105,14.6
Pickens County,Alabama,01,107,14.7
Pike County,Alabama,01,109,11.3
Randolph County,Alabama,01,111,14.2
Russell County,Alabama,01,113,10.7
Saint Clair County,Alabama,01,115,11.2
Shelby County,Alabama,01,117,9.2
Sumter County,Alabama,01,119,12.0
Talladega County,Alabama,01,121,11.8
Tallapoosa County,Alabama,01,123,14.9
Tuscaloosa County,Alabama,01,125,9.1
Walker County,Alabama,01,127,13.6
Washington County,Alabama,01,129,12.8
Wilcox County,Alabama,01,131,11.8
Winston County,Alabama,01,133,14.8
Anchorage Municipality,Alaska,02,020,6.2
Bethel Census Area,Alaska,02,050,5.1
Bristol Bay Borough,Alaska,02,060,8.3
Fairbanks North Star Borough,Alaska,02,090,5.7
Haines Borough,Alaska,02,100,16.7
Juneau City and Borough,Alaska,02,110,7.2
Kenai Peninsula Borough,Alaska,02,122,10.0
Kodiak Island Borough,Alaska,02,150,6.7
Matanuska-Susitna Borough,Alaska,02,170,7.2
Nome Census Area,Alaska,02,180,5.5
North Slope Borough,Alaska,02,185,3.5
Sitka City and Borough,Alaska,02,220,8.1
Southeast Fairbanks Census Area,Alaska,02,240,8.6
Valdez-Cordova Census Area,Alaska,02,261,6.7
Wade Hampton Census Area,Alaska,02,270,4.4
Northwest Arctic Borough,Alaska,02,188,4.9
Aleutians East Borough,Alaska,02,013,2.6
Aleutians West Census Area,Alaska,02,016,4.1
Dillingham Census Area,Alaska,02,070,6.9
Lake and Peninsula Borough,Alaska,02,164,5.9
Denali Borough,Alaska,02,068,5.9
Yukon-Koyukuk Census Area,Alaska,02,290,9.9
Hoonah-Angoon Census Area,Alaska,02,105,14.8
Skagway Municipality,Alaska,02,230,5.3
Yakutat City and Borough,Alaska,02,282,10.5
Ketchikan Gateway Borough,Alaska,02,130,9.3
Petersburg Borough,Alaska,02,195,8.1
Prince of Wales-Hyder Census Area,Alaska,02,198,10.2
Wrangell City and Borough,Alaska,02,275,20.5
Apache County,Arizona,04,001,10.2
Cochise County,Arizona,04,003,15.7
Coconino County,Arizona,04,005,7.9
Gila County,Arizona,04,007,21.5
Graham County,Arizona,04,009,10.1
Greenlee County,Arizona,04,011,9.8
Maricopa County,Arizona,04,013,10.4
Mohave County,Arizona,04,015,21.8
Navajo County,Arizona,04,017,11.8
Pima County,Arizona,04,019,13.5
Pinal County,Arizona,04,021,12.9
Santa Cruz County,Arizona,04,023,11.9
Yavapai County,Arizona,04,025,21.9
La Paz County,Arizona,04,012,33.2
Yuma County,Arizona,04,027,15.5
Arkansas County,Arkansas,05,001,13.9
Ashley County,Arkansas,05,003,14.3
Baxter County,Arkansas,05,005,27.0
Benton County,Arkansas,05,007,11.1
Boone County,Arkansas,05,009,15.7
Bradley County,Arkansas,05,011,15.9
Calhoun County,Arkansas,05,013,14.3
Carroll County,Arkansas,05,015,16.5
Chicot County,Arkansas,05,017,14.6
Clark County,Arkansas,05,019,12.5
Clay County,Arkansas,05,021,16.8
Cleburne County,Arkansas,05,023,21.7
Cleveland County,Arkansas,05,025,14.3
Columbia County,Arkansas,05,027,13.3
Conway County,Arkansas,05,029,15.3
Craighead County,Arkansas,05,031,10.0
Crawford County,Arkansas,05,033,11.6
Crittenden County,Arkansas,05,035,8.8
Cross County,Arkansas,05,037,12.6
Dallas County,Arkansas,05,039,14.9
Desha County,Arkansas,05,041,13.2
Drew County,Arkansas,05,043,12.6
Faulkner County,Arkansas,05,045,8.6
Franklin County,Arkansas,05,047,14.6
Fulton County,Arkansas,05,049,21.7
Garland County,Arkansas,05,051,18.9
Grant County,Arkansas,05,053,13.0
Greene County,Arkansas,05,055,12.2
Hempstead County,Arkansas,05,057,12.8
Hot Spring County,Arkansas,05,059,13.3
Howard County,Arkansas,05,061,13.4
Independence County,Arkansas,05,063,13.0
Izard County,Arkansas,05,065,21.1
Jackson County,Arkansas,05,067,13.0
Jefferson County,Arkansas,05,069,10.8
Johnson County,Arkansas,05,071,12.7
Lafayette County,Arkansas,05,073,16.3
Lawrence County,Arkansas,05,075,15.5
Lee County,Arkansas,05,077,11.3
Lincoln County,Arkansas,05,079,8.7
Little River County,Arkansas,05,081,14.2
Logan County,Arkansas,05,083,15.2
Lonoke County,Arkansas,05,085,9.5
Madison County,Arkansas,05,087,13.3
Marion County,Arkansas,05,089,22.4
Miller County,Arkansas,05,091,11.6
Mississippi County,Arkansas,05,093,10.3
Monroe County,Arkansas,05,095,16.2
Montgomery County,Arkansas,05,097,20.1
Nevada County,Arkansas,05,099,15.5
Newton County,Arkansas,05,101,17.1
Ouachita County,Arkansas,05,103,14.3
Perry County,Arkansas,05,105,15.0
Phillips County,Arkansas,05,107,12.6
Pike County,Arkansas,05,109,14.6
Poinsett County,Arkansas,05,111,13.5
Polk County,Arkansas,05,113,17.8
Pope County,Arkansas,05,115,10.8
Prairie County,Arkansas,05,117,17.6
Pulaski County,Arkansas,05,119,9.8
Randolph County,Arkansas,05,121,15.8
Saint Francis County,Arkansas,05,123,9.8
Saline County,Arkansas,05,125,13.5
Scott County,Arkansas,05,127,15.8
Searcy County,Arkansas,05,129,18.9
Sebastian County,Arkansas,05,131,10.9
Sevier County,Arkansas,05,133,11.8
Sharp County,Arkansas,05,135,22.1
Stone County,Arkansas,05,137,20.7
Union County,Arkansas,05,139,13.0
Van Buren County,Arkansas,05,141,21.6
Washington County,Arkansas,05,143,8.0
White County,Arkansas,05,145,12.2
Woodruff County,Arkansas,05,147,14.4
Yell County,Arkansas,05,149,13.0
Alameda County,California,06,001,9.3
Alpine County,California,06,003,11.6
Amador County,California,06,005,16.9
Butte County,California,06,007,13.2
Calaveras County,California,06,009,19.2
Colusa County,California,06,011,10.9
Contra Costa County,California,06,013,10.6
Del Norte County,California,06,015,11.7
El Dorado County,California,06,017,12.8
Fresno County,California,06,019,8.5
Glenn County,California,06,021,11.7
Humboldt County,California,06,023,11.3
Imperial County,California,06,025,9.2
Inyo County,California,06,027,17.0
Kern County,California,06,029,7.7
Kings County,California,06,031,6.2
