County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Autauga County,Alabama,01,001,76.8
Baldwin County,Alabama,01,003,79.6
Barbour County,Alabama,01,005,81.0
Bibb County,Alabama,01,007,82.6
Blount County,Alabama,01,009,79.2
Bullock County,Alabama,01,011,82.2
Butler County,Alabama,01,013,76.9
Calhoun County,Alabama,01,015,79.2
Chambers County,Alabama,01,017,79.4
Cherokee County,Alabama,01,019,81.2
Chilton County,Alabama,01,021,77.8
Choctaw County,Alabama,01,023,79.8
Clarke County,Alabama,01,025,79.6
Clay County,Alabama,01,027,80.4
Cleburne County,Alabama,01,029,77.2
Coffee County,Alabama,01,031,78.3
Colbert County,Alabama,01,033,80.3
Conecuh County,Alabama,01,035,79.8
Coosa County,Alabama,01,037,85.1
Covington County,Alabama,01,039,78.9
Crenshaw County,Alabama,01,041,77.6
Cullman County,Alabama,01,043,79.5
Dale County,Alabama,01,045,78.7
Dallas County,Alabama,01,047,75.2
DeKalb County,Alabama,01,049,77.2
Elmore County,Alabama,01,051,78.8
Escambia County,Alabama,01,053,81.4
Etowah County,Alabama,01,055,79.7
Fayette County,Alabama,01,057,79.6
Franklin County,Alabama,01,059,77.3
Geneva County,Alabama,01,061,79.8
Greene County,Alabama,01,063,77.8
Hale County,Alabama,01,065,77.9
Henry County,Alabama,01,067,80.5
Houston County,Alabama,01,069,77.3
Jackson County,Alabama,01,071,80.3
Jefferson County,Alabama,01,073,77.9
Lamar County,Alabama,01,075,80.2
Lauderdale County,Alabama,01,077,80.5
Lawrence County,Alabama,01,079,80.0
Lee County,Alabama,01,081,79.9
Limestone County,Alabama,01,083,79.4
Lowndes County,Alabama,01,085,76.5
Macon County,Alabama,01,087,82.7
Madison County,Alabama,01,089,79.5
Marengo County,Alabama,01,091,79.3
Marion County,Alabama,01,093,79.6
Marshall County,Alabama,01,095,77.1
Mobile County,Alabama,01,097,77.5
Monroe County,Alabama,01,099,76.7
Montgomery County,Alabama,01,101,77.9
Morgan County,Alabama,01,103,78.6
Perry County,Alabama,01,105,77.3
Pickens County,Alabama,01,107,80.4
Pike County,Alabama,01,109,81.1
Randolph County,Alabama,01,111,78.4
Russell County,Alabama,01,113,76.4
Saint Clair County,Alabama,01,115,78.6
Shelby County,Alabama,01,117,77.5
Sumter County,Alabama,01,119,80.3
Talladega County,Alabama,01,121,79.8
Tallapoosa County,Alabama,01,123,82.0
Tuscaloosa County,Alabama,01,125,80.1
Walker County,Alabama,01,127,79.2
Washington County,Alabama,01,129,79.1
Wilcox County,Alabama,01,131,79.7
Winston County,Alabama,01,133,81.3
Anchorage Municipality,Alaska,02,020,77.3
Bethel Census Area,Alaska,02,050,67.6
Bristol Bay Borough,Alaska,02,060,81.7
Fairbanks North Star Borough,Alaska,02,090,78.8
