County,State,State_FIPS,County_FIPS,age_18_and_under_percentage
Autauga County,Alabama,01,001,9.3
Baldwin County,Alabama,01,003,8.1
Barbour County,Alabama,01,005,10.0
Bibb County,Alabama,01,007,8.5
Blount County,Alabama,01,009,8.5
Bullock County,Alabama,01,011,6.7
Butler County,Alabama,01,013,8.2
Calhoun County,Alabama,01,015,11.1
Chambers County,Alabama,01,017,8.9
Cherokee County,Alabama,01,019,7.7
Chilton County,Alabama,01,021,9.0
Choctaw County,Alabama,01,023,8.3
Clarke County,Alabama,01,025,8.4
Clay County,Alabama,01,027,8.0
Cleburne County,Alabama,01,029,8.1
Coffee County,Alabama,01,031,9.7
Colbert County,Alabama,01,033,8.5
Conecuh County,Alabama,01,035,10.1
Coosa County,Alabama,01,037,7.7
Covington County,Alabama,01,039,8.2
Crenshaw County,Alabama,01,041,8.5
Cullman County,Alabama,01,043,8.9
Dale County,Alabama,01,045,10.5
Dallas County,Alabama,01,047,9.5
DeKalb County,Alabama,01,049,8.7
Elmore County,Alabama,01,051,10.3
Escambia County,Alabama,01,053,8.6
Etowah County,Alabama,01,055,9.0
Fayette County,Alabama,01,057,8.8
Franklin County,Alabama,01,059,10.0
Geneva County,Alabama,01,061,7.9
Greene County,Alabama,01,063,10.6
Hale County,Alabama,01,065,9.4
Henry County,Alabama,01,067,8.4
Houston County,Alabama,01,069,8.4
Jackson County,Alabama,01,071,7.8
Jefferson County,Alabama,01,073,10.0
Lamar County,Alabama,01,075,7.8
Lauderdale County,Alabama,01,077,11.0
Lawrence County,Alabama,01,079,9.4
Lee County,Alabama,01,081,21.4
Limestone County,Alabama,01,083,8.2
Lowndes County,Alabama,01,085,9.8
Macon County,Alabama,01,087,18.0
Madison County,Alabama,01,089,10.7
Marengo County,Alabama,01,091,9.1
Marion County,Alabama,01,093,7.7
Marshall County,Alabama,01,095,9.3
Mobile County,Alabama,01,097,10.2
Monroe County,Alabama,01,099,8.8
Montgomery County,Alabama,01,101,12.0
Morgan County,Alabama,01,103,8.9
Perry County,Alabama,01,105,14.0
Pickens County,Alabama,01,107,9.2
Pike County,Alabama,01,109,21.1
Randolph County,Alabama,01,111,9.0
Russell County,Alabama,01,113,9.3
Saint Clair County,Alabama,01,115,8.4
Shelby County,Alabama,01,117,8.0
Sumter County,Alabama,01,119,16.6
Talladega County,Alabama,01,121,8.8
Tallapoosa County,Alabama,01,123,8.0
Tuscaloosa County,Alabama,01,125,20.0
Walker County,Alabama,01,127,8.4
Washington County,Alabama,01,129,8.9
Wilcox County,Alabama,01,131,9.1
Winston County,Alabama,01,133,7.7
Anchorage Municipality,Alaska,02,020,12.0
Bethel Census Area,Alaska,02,050,11.6
Bristol Bay Borough,Alaska,02,060,5.4
Fairbanks North Star Borough,Alaska,02,090,15.0
Haines Borough,Alaska,02,100,5.0
Juneau City and Borough,Alaska,02,110,9.2
Kenai Peninsula Borough,Alaska,02,122,8.9
Kodiak Island Borough,Alaska,02,150,12.2
Matanuska-Susitna Borough,Alaska,02,170,8.7
Nome Census Area,Alaska,02,180,11.5
North Slope Borough,Alaska,02,185,11.1
Sitka City and Borough,Alaska,02,220,8.3
Southeast Fairbanks Census Area,Alaska,02,240,8.9
Valdez-Cordova Census Area,Alaska,02,261,7.0
Wade Hampton Census Area,Alaska,02,270,14.4
Northwest Arctic Borough,Alaska,02,188,14.2
Aleutians East Borough,Alaska,02,013,14.5
Aleutians West Census Area,Alaska,02,016,13.4
Dillingham Census Area,Alaska,02,070,12.0
Lake and Peninsula Borough,Alaska,02,164,8.8
Denali Borough,Alaska,02,068,9.5
Yukon-Koyukuk Census Area,Alaska,02,290,10.4
Hoonah-Angoon Census Area,Alaska,02,105,5.6
Skagway Municipality,Alaska,02,230,8.7
Yakutat City and Borough,Alaska,02,282,7.6
Ketchikan Gateway Borough,Alaska,02,130,10.0
Petersburg Borough,Alaska,02,195,7.5
Prince of Wales-Hyder Census Area,Alaska,02,198,8.5
Wrangell City and Borough,Alaska,02,275,5.1
Apache County,Arizona,04,001,10.8
Cochise County,Arizona,04,003,10.7
Coconino County,Arizona,04,005,17.5
Gila County,Arizona,04,007,7.9
Graham County,Arizona,04,009,12.4
Greenlee County,Arizona,04,011,8.1
Maricopa County,Arizona,04,013,10.3
Mohave County,Arizona,04,015,7.1
Navajo County,Arizona,04,017,10.0
Pima County,Arizona,04,019,11.3
Pinal County,Arizona,04,021,8.7
Santa Cruz County,Arizona,04,023,9.2
Yavapai County,Arizona,04,025,7.8
La Paz County,Arizona,04,012,5.5
Yuma County,Arizona,04,027,12.4
Arkansas County,Arkansas,05,001,8.2
Ashley County,Arkansas,05,003,7.8
Baxter County,Arkansas,05,005,6.0
Benton County,Arkansas,05,007,8.6
Boone County,Arkansas,05,009,7.9
Bradley County,Arkansas,05,011,9.3
Calhoun County,Arkansas,05,013,11.2
Carroll County,Arkansas,05,015,8.1
Chicot County,Arkansas,05,017,9.5
Clark County,Arkansas,05,019,22.8
Clay County,Arkansas,05,021,8.2
Cleburne County,Arkansas,05,023,7.4
Cleveland County,Arkansas,05,025,8.2
Columbia County,Arkansas,05,027,16.3
Conway County,Arkansas,05,029,8.8
Craighead County,Arkansas,05,031,13.1
Crawford County,Arkansas,05,033,8.7
Crittenden County,Arkansas,05,035,9.3
Cross County,Arkansas,05,037,8.0
Dallas County,Arkansas,05,039,6.9
Desha County,Arkansas,05,041,6.5
Drew County,Arkansas,05,043,13.9
Faulkner County,Arkansas,05,045,15.3
Franklin County,Arkansas,05,047,9.5
Fulton County,Arkansas,05,049,6.6
Garland County,Arkansas,05,051,8.1
Grant County,Arkansas,05,053,8.1
Greene County,Arkansas,05,055,9.4
Hempstead County,Arkansas,05,057,8.6
Hot Spring County,Arkansas,05,059,8.8
Howard County,Arkansas,05,061,8.6
Independence County,Arkansas,05,063,8.9
Izard County,Arkansas,05,065,7.3
Jackson County,Arkansas,05,067,9.0
Jefferson County,Arkansas,05,069,11.0
Johnson County,Arkansas,05,071,11.0
Lafayette County,Arkansas,05,073,9.8
Lawrence County,Arkansas,05,075,9.7
Lee County,Arkansas,05,077,11.9
Lincoln County,Arkansas,05,079,12.6
Little River County,Arkansas,05,081,8.1
Logan County,Arkansas,05,083,8.2
Lonoke County,Arkansas,05,085,8.4
Madison County,Arkansas,05,087,8.6
Marion County,Arkansas,05,089,6.7
Miller County,Arkansas,05,091,9.7
Mississippi County,Arkansas,05,093,9.7
Monroe County,Arkansas,05,095,9.0
Montgomery County,Arkansas,05,097,7.6
Nevada County,Arkansas,05,099,6.8
Newton County,Arkansas,05,101,7.3
Ouachita County,Arkansas,05,103,8.5
Perry County,Arkansas,05,105,8.2
Phillips County,Arkansas,05,107,9.3
Pike County,Arkansas,05,109,9.0
Poinsett County,Arkansas,05,111,9.0
Polk County,Arkansas,05,113,7.1
Pope County,Arkansas,05,115,15.2
Prairie County,Arkansas,05,117,6.8
Pulaski County,Arkansas,05,119,9.9
Randolph County,Arkansas,05,121,8.8
Saint Francis County,Arkansas,05,123,8.5
Saline County,Arkansas,05,125,7.7
Scott County,Arkansas,05,127,9.6
Searcy County,Arkansas,05,129,6.9
Sebastian County,Arkansas,05,131,9.9
Sevier County,Arkansas,05,133,9.1
Sharp County,Arkansas,05,135,6.8
Stone County,Arkansas,05,137,6.7
Union County,Arkansas,05,139,8.6
Van Buren County,Arkansas,05,141,7.1
Washington County,Arkansas,05,143,14.9
White County,Arkansas,05,145,12.8
Woodruff County,Arkansas,05,147,8.8
Yell County,Arkansas,05,149,8.6
Alameda County,California,06,001,10.2
Alpine County,California,06,003,8.4
Amador County,California,06,005,7.5
Butte County,California,06,007,15.8
Calaveras County,California,06,009,7.1
Colusa County,California,06,011,10.0
Contra Costa County,California,06,013,8.9
Del Norte County,California,06,015,10.5
El Dorado County,California,06,017,8.1
Fresno County,California,06,019,11.9
Glenn County,California,06,021,9.4
Humboldt County,California,06,023,12.7
Imperial County,California,06,025,12.0
Inyo County,California,06,027,7.0
Kern County,California,06,029,11.8
Kings County,California,06,031,12.1
Lake County,California,06,033,7.9
Lassen County,California,06,035,13.3
Los Angeles County,California,06,037,11.1
Madera County,California,06,039,11.0
Marin County,California,06,041,6.5
Mariposa County,California,06,043,5.4
Mendocino County,California,06,045,9.2
Merced County,California,06,047,12.3
Modoc County,California,06,049,6.3
Mono County,California,06,051,12.3
Monterey County,California,06,053,11.7
Napa County,California,06,055,9.5
Nevada County,California,06,057,7.5
Orange County,California,06,059,10.5
Placer County,California,06,061,8.3
Plumas County,California,06,063,6.9
Riverside County,California,06,065,10.8
Sacramento County,California,06,067,10.4
San Benito County,California,06,069,10.0
San Bernardino County,California,06,071,11.8
San Diego County,California,06,073,12.8
San Francisco County,California,06,075,8.8
San Joaquin County,California,06,077,10.9
San Luis Obispo County,California,06,079,16.3
San Mateo County,California,06,081,8.3
Santa Barbara County,California,06,083,15.7
Santa Clara County,California,06,085,9.4
Santa Cruz County,California,06,087,14.8
Shasta County,California,06,089,9.5
Sierra County,California,06,091,6.0
Siskiyou County,California,06,093,7.9
Solano County,California,06,095,10.5
Sonoma County,California,06,097,10.1
Stanislaus County,California,06,099,10.8
Sutter County,California,06,101,10.4
Tehama County,California,06,103,8.7
Trinity County,California,06,105,5.8
Tulare County,California,06,107,11.2
Tuolumne County,California,06,109,8.7
Ventura County,California,06,111,10.5
Yolo County,California,06,113,18.9
Yuba County,California,06,115,10.7
Alamosa County,Colorado,08,003,16.5
Archuleta County,Colorado,08,007,8.3
Baca County,Colorado,08,009,5.4
Bent County,Colorado,08,011,8.5
Chaffee County,Colorado,08,015,6.8
Cheyenne County,Colorado,08,017,7.1
Clear Creek County,Colorado,08,019,4.6
Conejos County,Colorado,08,021,9.3
Costilla County,Colorado,08,023,9.9
Crowley County,Colorado,08,025,11.9
Custer County,Colorado,08,027,5.1
Delta County,Colorado,08,029,7.1
Dolores County,Colorado,08,033,3.4
Douglas County,Colorado,08,035,5.7
Eagle County,Colorado,08,037,9.1
Elbert County,Colorado,08,039,6.3
El Paso County,Colorado,08,041,12.0
Fremont County,Colorado,08,043,7.7
Garfield County,Colorado,08,045,8.7
Gilpin County,Colorado,08,047,5.5
Grand County,Colorado,08,049,5.1
Gunnison County,Colorado,08,051,20.1
Huerfano County,Colorado,08,055,4.4
Jackson County,Colorado,08,057,1.5
Kiowa County,Colorado,08,061,5.3
Kit Carson County,Colorado,08,063,10.1
Lake County,Colorado,08,065,5.3
La Plata County,Colorado,08,067,12.1
Larimer County,Colorado,08,069,14.5
Las Animas County,Colorado,08,071,9.8
Lincoln County,Colorado,08,073,9.3
Logan County,Colorado,08,075,15.4
Mesa County,Colorado,08,077,10.3
Moffat County,Colorado,08,081,9.2
Montezuma County,Colorado,08,083,7.7
Montrose County,Colorado,08,085,6.9
Morgan County,Colorado,08,087,9.0
Otero County,Colorado,08,089,8.7
Ouray County,Colorado,08,091,6.6
Park County,Colorado,08,093,5.1
Phillips County,Colorado,08,095,12.0
Pitkin County,Colorado,08,097,5.6
Prowers County,Colorado,08,099,10.3
Pueblo County,Colorado,08,101,9.8
Rio Blanco County,Colorado,08,103,10.5
Rio Grande County,Colorado,08,105,7.7
Routt County,Colorado,08,107,10.7
Saguache County,Colorado,08,109,9.8
San Miguel County,Colorado,08,113,6.7
Sedgwick County,Colorado,08,115,7.5
Summit County,Colorado,08,117,10.2
Teller County,Colorado,08,119,5.9
Washington County,Colorado,08,121,6.9
Yuma County,Colorado,08,125,7.4
Adams County,Colorado,08,001,9.5
Arapahoe County,Colorado,08,005,8.9
Boulder County,Colorado,08,013,15.6
Broomfield County,Colorado,08,014,8.6
Denver County,Colorado,08,031,9.9
Jefferson County,Colorado,08,059,9.1
Weld County,Colorado,08,123,10.8
Fairfield County,Connecticut,09,001,8.4
Hartford County,Connecticut,09,003,9.5
Litchfield County,Connecticut,09,005,7.4
Middlesex County,Connecticut,09,007,8.3
New Haven County,Connecticut,09,009,10.3
New London County,Connecticut,09,011,11.3
Tolland County,Connecticut,09,013,16.5
Windham County,Connecticut,09,015,10.9
Kent County,Delaware,10,001,11.4
New Castle County,Delaware,10,003,11.1
Sussex County,Delaware,10,005,7.9
Alachua County,Florida,12,001,22.8
Baker County,Florida,12,003,10.3
Bay County,Florida,12,005,10.1
Bradford County,Florida,12,007,9.2
Brevard County,Florida,12,009,8.8
Broward County,Florida,12,011,8.9
Calhoun County,Florida,12,013,8.4
Charlotte County,Florida,12,015,6.1
Citrus County,Florida,12,017,6.2
Clay County,Florida,12,019,9.1
Collier County,Florida,12,021,7.6
Columbia County,Florida,12,023,11.7
Miami-Dade County,Florida,12,086,10.4
DeSoto County,Florida,12,027,12.8
Dixie County,Florida,12,029,9.4
Duval County,Florida,12,031,10.9
Escambia County,Florida,12,033,14.1
Flagler County,Florida,12,035,7.0
Franklin County,Florida,12,037,8.2
Gadsden County,Florida,12,039,9.3
Gilchrist County,Florida,12,041,16.4
Glades County,Florida,12,043,8.0
Gulf County,Florida,12,045,10.0
Hamilton County,Florida,12,047,16.9
Hardee County,Florida,12,049,11.1
Hendry County,Florida,12,051,11.5
Hernando County,Florida,12,053,6.9
Highlands County,Florida,12,055,7.3
Hillsborough County,Florida,12,057,10.4
Holmes County,Florida,12,059,9.6
Indian River County,Florida,12,061,7.5
Jackson County,Florida,12,063,10.1
Jefferson County,Florida,12,065,7.2
Lafayette County,Florida,12,067,11.7
Lake County,Florida,12,069,7.1
Lee County,Florida,12,071,7.9
Leon County,Florida,12,073,22.6
Levy County,Florida,12,075,8.0
Liberty County,Florida,12,077,17.1
Madison County,Florida,12,079,10.2
Manatee County,Florida,12,081,7.5
Marion County,Florida,12,083,7.6
Martin County,Florida,12,085,7.0
Monroe County,Florida,12,087,7.9
Nassau County,Florida,12,089,8.4
Okaloosa County,Florida,12,091,11.4
Okeechobee County,Florida,12,093,9.7
Orange County,Florida,12,095,12.9
Osceola County,Florida,12,097,10.5
Palm Beach County,Florida,12,099,8.6
Pasco County,Florida,12,101,7.4
Pinellas County,Florida,12,103,7.7
Polk County,Florida,12,105,9.2
Putnam County,Florida,12,107,8.9
Saint Johns County,Florida,12,109,8.1
Saint Lucie County,Florida,12,111,8.1
Santa Rosa County,Florida,12,113,9.3
Sarasota County,Florida,12,115,6.4
Seminole County,Florida,12,117,10.7
Sumter County,Florida,12,119,4.2
Suwannee County,Florida,12,121,9.5
Taylor County,Florida,12,123,8.9
Union County,Florida,12,125,10.8
Volusia County,Florida,12,127,9.9
Wakulla County,Florida,12,129,7.8
Walton County,Florida,12,131,7.8
Washington County,Florida,12,133,9.3
Appling County,Georgia,13,001,7.5
Atkinson County,Georgia,13,003,8.3
Bacon County,Georgia,13,005,9.7
Baker County,Georgia,13,007,14.4
Baldwin County,Georgia,13,009,18.0
Banks County,Georgia,13,011,8.6
Barrow County,Georgia,13,013,8.4
Bartow County,Georgia,13,015,8.4
Ben Hill County,Georgia,13,017,11.4
Berrien County,Georgia,13,019,7.9
Bibb County,Georgia,13,021,10.1
Bleckley County,Georgia,13,023,16.8
Brantley County,Georgia,13,025,9.7
Brooks County,Georgia,13,027,10.2
Bryan County,Georgia,13,029,8.2
Bulloch County,Georgia,13,031,29.1
Burke County,Georgia,13,033,9.7
Butts County,Georgia,13,035,12.5
Calhoun County,Georgia,13,037,12.1
Camden County,Georgia,13,039,15.0
Candler County,Georgia,13,043,12.3
Carroll County,Georgia,13,045,12.6
Catoosa County,Georgia,13,047,8.9
Charlton County,Georgia,13,049,7.6
Chatham County,Georgia,13,051,13.2
Chattahoochee County,Georgia,13,053,35.7
Chattooga County,Georgia,13,055,9.5
Cherokee County,Georgia,13,057,8.1
Clarke County,Georgia,13,059,28.8
Clay County,Georgia,13,061,8.3
Clayton County,Georgia,13,063,11.2
Clinch County,Georgia,13,065,11.3
Cobb County,Georgia,13,067,9.6
Coffee County,Georgia,13,069,11.3
Colquitt County,Georgia,13,071,10.7
Columbia County,Georgia,13,073,8.9
Cook County,Georgia,13,075,8.5
Coweta County,Georgia,13,077,8.1
Crawford County,Georgia,13,079,8.9
Crisp County,Georgia,13,081,8.8
Dade County,Georgia,13,083,12.5
Dawson County,Georgia,13,085,8.0
Decatur County,Georgia,13,087,10.3
DeKalb County,Georgia,13,089,10.4
Dodge County,Georgia,13,091,11.3
Dooly County,Georgia,13,093,10.6
Dougherty County,Georgia,13,095,13.0
Douglas County,Georgia,13,097,9.0
Early County,Georgia,13,099,9.0
Echols County,Georgia,13,101,14.8
Effingham County,Georgia,13,103,8.6
Elbert County,Georgia,13,105,10.5
Emanuel County,Georgia,13,107,11.2
Evans County,Georgia,13,109,11.2
Fannin County,Georgia,13,111,6.8
Fayette County,Georgia,13,113,8.1
Floyd County,Georgia,13,115,10.3
Forsyth County,Georgia,13,117,6.5
Franklin County,Georgia,13,119,9.8
Fulton County,Georgia,13,121,11.2
Gilmer County,Georgia,13,123,7.9
Glascock County,Georgia,13,125,5.3
Glynn County,Georgia,13,127,8.9
Gordon County,Georgia,13,129,9.0
Grady County,Georgia,13,131,10.0
Greene County,Georgia,13,133,7.6
Gwinnett County,Georgia,13,135,9.2
Habersham County,Georgia,13,137,9.2
Hall County,Georgia,13,139,9.6
Hancock County,Georgia,13,141,12.1
Haralson County,Georgia,13,143,9.0
Harris County,Georgia,13,145,8.1
Hart County,Georgia,13,147,8.5
Heard County,Georgia,13,149,7.8
Henry County,Georgia,13,151,9.0
Houston County,Georgia,13,153,10.3
Irwin County,Georgia,13,155,10.3
Jackson County,Georgia,13,157,8.8
Jasper County,Georgia,13,159,9.2
Jeff Davis County,Georgia,13,161,9.3
Jefferson County,Georgia,13,163,9.5
Jenkins County,Georgia,13,165,11.4
Johnson County,Georgia,13,167,10.4
Jones County,Georgia,13,169,8.0
Lamar County,Georgia,13,171,14.3
Lanier County,Georgia,13,173,9.3
Laurens County,Georgia,13,175,8.7
Lee County,Georgia,13,177,8.4
Liberty County,Georgia,13,179,16.8
Lincoln County,Georgia,13,181,11.9
Long County,Georgia,13,183,11.6
Lowndes County,Georgia,13,185,18.0
Lumpkin County,Georgia,13,187,16.3
McDuffie County,Georgia,13,189,8.7
McIntosh County,Georgia,13,191,15.2
Macon County,Georgia,13,193,11.8
Madison County,Georgia,13,195,7.8
Marion County,Georgia,13,197,7.6
Meriwether County,Georgia,13,199,9.1
Miller County,Georgia,13,201,10.3
Mitchell County,Georgia,13,205,10.0
Monroe County,Georgia,13,207,9.3
Montgomery County,Georgia,13,209,15.4
Morgan County,Georgia,13,211,7.4
Murray County,Georgia,13,213,9.5
Muscogee County,Georgia,13,215,14.2
Newton County,Georgia,13,217,9.8
Oconee County,Georgia,13,219,7.4
Oglethorpe County,Georgia,13,221,9.2
Paulding County,Georgia,13,223,8.4
Peach County,Georgia,13,225,16.8
Pickens County,Georgia,13,227,7.6
Pierce County,Georgia,13,229,8.1
Pike County,Georgia,13,231,7.9
Polk County,Georgia,13,233,10.0
Pulaski County,Georgia,13,235,6.2
Putnam County,Georgia,13,237,9.6
Quitman County,Georgia,13,239,10.9
Rabun County,Georgia,13,241,7.7
Randolph County,Georgia,13,243,10.5
Richmond County,Georgia,13,245,13.5
Rockdale County,Georgia,13,247,10.1
Schley County,Georgia,13,249,4.1
Screven County,Georgia,13,251,9.5
Seminole County,Georgia,13,253,7.4
Spalding County,Georgia,13,255,9.5
Stephens County,Georgia,13,257,9.7
Stewart County,Georgia,13,259,14.8
Sumter County,Georgia,13,261,14.0
Talbot County,Georgia,13,263,5.8
Taliaferro County,Georgia,13,265,15.5
Tattnall County,Georgia,13,267,11.6
Taylor County,Georgia,13,269,8.1
Telfair County,Georgia,13,271,9.5
Terrell County,Georgia,13,273,12.1
Thomas County,Georgia,13,275,8.3
Tift County,Georgia,13,277,13.5
Toombs County,Georgia,13,279,9.8
Towns County,Georgia,13,281,11.0
Treutlen County,Georgia,13,283,6.4
Troup County,Georgia,13,285,10.5
Turner County,Georgia,13,287,11.6
Twiggs County,Georgia,13,289,9.6
Union County,Georgia,13,291,6.5
