County,State,State_FIPS,County_FIPS,age_60_and_over
Autauga County,Alabama,01,001,12.4
Baldwin County,Alabama,01,003,17.9
Barbour County,Alabama,01,005,13.3
Bibb County,Alabama,01,007,12.0
Blount County,Alabama,01,009,15.5
Bullock County,Alabama,01,011,11.7
Butler County,Alabama,01,013,15.9
Calhoun County,Alabama,01,015,14.0
Chambers County,Alabama,01,017,16.1
Cherokee County,Alabama,01,019,18.6
Chilton County,Alabama,01,021,14.0
Choctaw County,Alabama,01,023,19.0
Clarke County,Alabama,01,025,16.6
Clay County,Alabama,01,027,18.3
Cleburne County,Alabama,01,029,16.3
Coffee County,Alabama,01,031,14.0
Colbert County,Alabama,01,033,16.3
Conecuh County,Alabama,01,035,19.3
Coosa County,Alabama,01,037,17.1
Covington County,Alabama,01,039,17.5
Crenshaw County,Alabama,01,041,15.1
Cullman County,Alabama,01,043,15.6
Dale County,Alabama,01,045,13.6
Dallas County,Alabama,01,047,14.2
DeKalb County,Alabama,01,049,13.8
Elmore County,Alabama,01,051,13.0
Escambia County,Alabama,01,053,14.3
Etowah County,Alabama,01,055,15.3
Fayette County,Alabama,01,057,17.4
Franklin County,Alabama,01,059,14.4
Geneva County,Alabama,01,061,17.1
Greene County,Alabama,01,063,16.1
Hale County,Alabama,01,065,16.0
Henry County,Alabama,01,067,19.0
Houston County,Alabama,01,069,14.4
Jackson County,Alabama,01,071,16.7
Jefferson County,Alabama,01,073,12.3
Lamar County,Alabama,01,075,17.8
Lauderdale County,Alabama,01,077,16.4
Lawrence County,Alabama,01,079,14.9
Lee County,Alabama,01,081,9.3
Limestone County,Alabama,01,083,12.3
Lowndes County,Alabama,01,085,15.5
Macon County,Alabama,01,087,15.3
Madison County,Alabama,01,089,12.2
Marengo County,Alabama,01,091,17.1
Marion County,Alabama,01,093,17.9
Marshall County,Alabama,01,095,14.6
Mobile County,Alabama,01,097,12.9
Monroe County,Alabama,01,099,15.8
Montgomery County,Alabama,01,101,11.6
Morgan County,Alabama,01,103,13.8
Perry County,Alabama,01,105,17.8
Pickens County,Alabama,01,107,15.8
Pike County,Alabama,01,109,13.2
Randolph County,Alabama,01,111,17.6
Russell County,Alabama,01,113,10.6
Saint Clair County,Alabama,01,115,13.8
Shelby County,Alabama,01,117,11.8
Sumter County,Alabama,01,119,13.7
