County,State,mean_life_expectancy,State_FIPS,County_FIPS,asian_population
Autauga County,Alabama,76.3458016126412,01,001,42437.0
Baldwin County,Alabama,78.1131187069305,01,003,179526.0
Barbour County,Alabama,74.7743309934985,01,005,12216.0
Bibb County,Alabama,73.7903133744892,01,007,17268.0
Blount County,Alabama,75.013449464969,01,009,55054.0
Bullock County,Alabama,73.6842860486569,01,011,2276.0
Butler County,Alabama,73.9019445955979,01,013,10414.0
Calhoun County,Alabama,73.4088629777792,01,015,85558.0
Chambers County,Alabama,74.5258741295021,01,017,19483.0
Cherokee County,Alabama,74.4293661472186,01,019,23997.0
Chilton County,Alabama,74.3574576379216,01,021,36599.0
Choctaw County,Alabama,74.5791676770029,01,023,7420.0
Clarke County,Alabama,74.8950304256062,01,025,12935.0
Clay County,Alabama,74.5316289536644,01,027,11106.0
Cleburne County,Alabama,74.3862420952093,01,029,14068.0
Coffee County,Alabama,76.3613073583135,01,031,38923.0
Colbert County,Alabama,74.531880399761,01,033,43288.0
Conecuh County,Alabama,73.5208362803517,01,035,6369.0
Coosa County,Alabama,75.5688098046964,01,037,7133.0
Covington County,Alabama,74.094051609186,01,039,31624.0
Crenshaw County,Alabama,74.1434109951944,01,041,9938.0
Cullman County,Alabama,74.4187888904678,01,043,78392.0
Dale County,Alabama,75.6212203924387,01,045,35889.0
Dallas County,Alabama,72.300300454957,01,047,11257.0
DeKalb County,Alabama,74.664298896307,01,049,60972.0
Elmore County,Alabama,76.0666411732753,01,051,60824.0
Escambia County,Alabama,73.1785510386588,01,053,23095.0
Etowah County,Alabama,73.310801891145,01,055,82710.0
Fayette County,Alabama,73.7501826390878,01,057,14095.0
Franklin County,Alabama,73.6994529156054,01,059,26467.0
Geneva County,Alabama,74.2429861050731,01,061,22871.0
Greene County,Alabama,74.0541627291715,01,063,1445.0
Hale County,Alabama,73.8211347225773,01,065,5898.0
Henry County,Alabama,75.5345409164455,01,067,12179.0
Houston County,Alabama,76.2003724907021,01,069,72387.0
Jackson County,Alabama,73.4860798339663,01,071,47412.0
Jefferson County,Alabama,74.8266754858777,01,073,342591.0
Lamar County,Alabama,74.6405751275356,01,075,12187.0
Lauderdale County,Alabama,76.2332477342409,01,077,80561.0
Lawrence County,Alabama,73.8448626457253,01,079,25942.0
Lee County,Alabama,77.6449270835747,01,081,111986.0
Limestone County,Alabama,77.5937481419663,01,083,75143.0
Lowndes County,Alabama,72.0555793694128,01,085,2546.0
Macon County,Alabama,73.143855116616,01,087,3025.0
Madison County,Alabama,77.6056196958447,01,089,243835.0
Marengo County,Alabama,73.5140531961641,01,091,8855.0
Marion County,Alabama,74.2254868593688,01,093,27886.0
Marshall County,Alabama,74.360519855914,01,095,87887.0
