County,State,State_FIPS,County_FIPS,bachelors_and_above_percentage
Autauga County,Alabama,01,001,22.6
Baldwin County,Alabama,01,003,28.5
Barbour County,Alabama,01,005,12.4
Bibb County,Alabama,01,007,12.9
Blount County,Alabama,01,009,11.7
Bullock County,Alabama,01,011,8.4
Butler County,Alabama,01,013,13.1
Calhoun County,Alabama,01,015,16.8
Chambers County,Alabama,01,017,12.8
Cherokee County,Alabama,01,019,12.1
Chilton County,Alabama,01,021,12.3
Choctaw County,Alabama,01,023,12.2
Clarke County,Alabama,01,025,10.3
Clay County,Alabama,01,027,7.3
Cleburne County,Alabama,01,029,8.2
Coffee County,Alabama,01,031,24.1
Colbert County,Alabama,01,033,17.0
Conecuh County,Alabama,01,035,8.8
Coosa County,Alabama,01,037,7.4
Covington County,Alabama,01,039,13.0
Crenshaw County,Alabama,01,041,9.6
Cullman County,Alabama,01,043,14.7
Dale County,Alabama,01,045,17.2
Dallas County,Alabama,01,047,12.1
DeKalb County,Alabama,01,049,10.0
Elmore County,Alabama,01,051,20.6
Escambia County,Alabama,01,053,10.5
Etowah County,Alabama,01,055,14.3
Fayette County,Alabama,01,057,12.0
Franklin County,Alabama,01,059,9.6
Geneva County,Alabama,01,061,9.9
Greene County,Alabama,01,063,9.2
Hale County,Alabama,01,065,11.1
Henry County,Alabama,01,067,14.9
Houston County,Alabama,01,069,20.5
Jackson County,Alabama,01,071,12.1
Jefferson County,Alabama,01,073,30.3
Lamar County,Alabama,01,075,8.3
Lauderdale County,Alabama,01,077,21.2
Lawrence County,Alabama,01,079,12.4
Lee County,Alabama,01,081,32.7
Limestone County,Alabama,01,083,22.3
Lowndes County,Alabama,01,085,15.1
Macon County,Alabama,01,087,16.1
Madison County,Alabama,01,089,41.8
Marengo County,Alabama,01,091,15.8
Marion County,Alabama,01,093,8.5
Marshall County,Alabama,01,095,16.3
Mobile County,Alabama,01,097,19.5
Monroe County,Alabama,01,099,8.5
Montgomery County,Alabama,01,101,31.3
Morgan County,Alabama,01,103,20.7
Perry County,Alabama,01,105,9.8
Pickens County,Alabama,01,107,9.5
Pike County,Alabama,01,109,23.1
Randolph County,Alabama,01,111,9.2
Russell County,Alabama,01,113,15.0
