County,State,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,01,001,10510.0
Baldwin County,Alabama,01,003,19414.0
Barbour County,Alabama,01,005,12588.0
Bibb County,Alabama,01,007,4979.0
Blount County,Alabama,01,009,915.0
Bullock County,Alabama,01,011,7925.0
Butler County,Alabama,01,013,9030.0
Calhoun County,Alabama,01,015,23735.0
Chambers County,Alabama,01,017,13335.0
Cherokee County,Alabama,01,019,1287.0
Chilton County,Alabama,01,021,4184.0
Choctaw County,Alabama,01,023,5583.0
Clarke County,Alabama,01,025,11246.0
Clay County,Alabama,01,027,1979.0
Cleburne County,Alabama,01,029,424.0
Coffee County,Alabama,01,031,8834.0
Colbert County,Alabama,01,033,8722.0
Conecuh County,Alabama,01,035,5879.0
Coosa County,Alabama,01,037,3640.0
Covington County,Alabama,01,039,4937.0
Crenshaw County,Alabama,01,041,3271.0
Cullman County,Alabama,01,043,948.0
Dale County,Alabama,01,045,9606.0
Dallas County,Alabama,01,047,28677.0
DeKalb County,Alabama,01,049,1040.0
Elmore County,Alabama,01,051,17338.0
Escambia County,Alabama,01,053,12128.0
Etowah County,Alabama,01,055,16039.0
Fayette County,Alabama,01,057,2019.0
Franklin County,Alabama,01,059,1528.0
Geneva County,Alabama,01,061,2440.0
Greene County,Alabama,01,063,6853.0
Hale County,Alabama,01,065,8802.0
Henry County,Alabama,01,067,4762.0
Houston County,Alabama,01,069,27844.0
Jackson County,Alabama,01,071,1699.0
Jefferson County,Alabama,01,073,280804.0
Lamar County,Alabama,01,075,1520.0
Lauderdale County,Alabama,01,077,9316.0
Lawrence County,Alabama,01,079,3801.0
Lee County,Alabama,01,081,36139.0
Limestone County,Alabama,01,083,12042.0
Lowndes County,Alabama,01,085,7722.0
Macon County,Alabama,01,087,15903.0
Madison County,Alabama,01,089,85332.0
Marengo County,Alabama,01,091,10689.0
Marion County,Alabama,01,093,1003.0
Marshall County,Alabama,01,095,2091.0
Mobile County,Alabama,01,097,146423.0
Monroe County,Alabama,01,099,9029.0
Montgomery County,Alabama,01,101,130076.0
Morgan County,Alabama,01,103,14790.0
Perry County,Alabama,01,105,6735.0
Pickens County,Alabama,01,107,8189.0
Pike County,Alabama,01,109,12648.0
Randolph County,Alabama,01,111,4500.0
Russell County,Alabama,01,113,24946.0
