County,State,State_FIPS,County_FIPS,disability_rate
Autauga County,Alabama,01,001,16.0
Baldwin County,Alabama,01,003,14.1
Barbour County,Alabama,01,005,20.0
Bibb County,Alabama,01,007,15.8
Blount County,Alabama,01,009,17.0
Bullock County,Alabama,01,011,20.2
Butler County,Alabama,01,013,21.2
Calhoun County,Alabama,01,015,18.7
Chambers County,Alabama,01,017,19.9
Cherokee County,Alabama,01,019,21.7
Chilton County,Alabama,01,021,17.1
Choctaw County,Alabama,01,023,24.5
Clarke County,Alabama,01,025,15.7
Clay County,Alabama,01,027,19.5
Cleburne County,Alabama,01,029,19.9
Coffee County,Alabama,01,031,17.0
Colbert County,Alabama,01,033,19.9
Conecuh County,Alabama,01,035,22.9
Coosa County,Alabama,01,037,20.7
Covington County,Alabama,01,039,20.9
Crenshaw County,Alabama,01,041,18.5
Cullman County,Alabama,01,043,17.1
Dale County,Alabama,01,045,19.4
Dallas County,Alabama,01,047,20.5
DeKalb County,Alabama,01,049,16.0
Elmore County,Alabama,01,051,15.2
Escambia County,Alabama,01,053,20.0
Etowah County,Alabama,01,055,20.0
Fayette County,Alabama,01,057,24.7
Franklin County,Alabama,01,059,18.8
Geneva County,Alabama,01,061,22.2
Greene County,Alabama,01,063,24.9
Hale County,Alabama,01,065,21.7
Henry County,Alabama,01,067,19.3
Houston County,Alabama,01,069,17.4
Jackson County,Alabama,01,071,18.5
Jefferson County,Alabama,01,073,14.5
Lamar County,Alabama,01,075,23.3
Lauderdale County,Alabama,01,077,15.8
Lawrence County,Alabama,01,079,20.6
Lee County,Alabama,01,081,11.6
Limestone County,Alabama,01,083,13.3
Lowndes County,Alabama,01,085,20.6
Macon County,Alabama,01,087,18.1
Madison County,Alabama,01,089,12.4
Marengo County,Alabama,01,091,22.5
Marion County,Alabama,01,093,24.4
Marshall County,Alabama,01,095,17.5
Mobile County,Alabama,01,097,15.2
Monroe County,Alabama,01,099,15.4
Montgomery County,Alabama,01,101,15.6
Morgan County,Alabama,01,103,15.8
Perry County,Alabama,01,105,28.2
Pickens County,Alabama,01,107,24.2
Pike County,Alabama,01,109,14.8
Randolph County,Alabama,01,111,18.0
Russell County,Alabama,01,113,18.3
