County,State,State_FIPS,County_FIPS,health_insurance_rate
Autauga County,Alabama,01,001,9.6
Baldwin County,Alabama,01,003,14.5
Barbour County,Alabama,01,005,16.9
Bibb County,Alabama,01,007,14.8
Blount County,Alabama,01,009,13.1
Bullock County,Alabama,01,011,14.4
Butler County,Alabama,01,013,16.0
Calhoun County,Alabama,01,015,14.0
Chambers County,Alabama,01,017,16.1
Cherokee County,Alabama,01,019,11.4
Chilton County,Alabama,01,021,16.3
Choctaw County,Alabama,01,023,13.2
Clarke County,Alabama,01,025,17.0
Clay County,Alabama,01,027,14.7
Cleburne County,Alabama,01,029,13.7
Coffee County,Alabama,01,031,11.9
Colbert County,Alabama,01,033,12.3
Conecuh County,Alabama,01,035,23.0
Coosa County,Alabama,01,037,13.6
Covington County,Alabama,01,039,15.1
Crenshaw County,Alabama,01,041,11.5
Cullman County,Alabama,01,043,15.6
Dale County,Alabama,01,045,13.1
Dallas County,Alabama,01,047,16.8
DeKalb County,Alabama,01,049,18.2
Elmore County,Alabama,01,051,11.3
Escambia County,Alabama,01,053,21.9
Etowah County,Alabama,01,055,15.6
Fayette County,Alabama,01,057,11.4
Franklin County,Alabama,01,059,16.9
Geneva County,Alabama,01,061,15.8
Greene County,Alabama,01,063,14.5
Hale County,Alabama,01,065,15.6
Henry County,Alabama,01,067,11.4
Houston County,Alabama,01,069,14.3
Jackson County,Alabama,01,071,14.9
Jefferson County,Alabama,01,073,13.1
Lamar County,Alabama,01,075,12.7
Lauderdale County,Alabama,01,077,13.0
Lawrence County,Alabama,01,079,13.8
Lee County,Alabama,01,081,12.7
Limestone County,Alabama,01,083,12.7
Lowndes County,Alabama,01,085,13.3
Macon County,Alabama,01,087,13.1
Madison County,Alabama,01,089,12.4
Marengo County,Alabama,01,091,12.1
Marion County,Alabama,01,093,12.7
Marshall County,Alabama,01,095,17.6
Mobile County,Alabama,01,097,16.1
Monroe County,Alabama,01,099,16.2
Montgomery County,Alabama,01,101,13.3
Morgan County,Alabama,01,103,15.9
Perry County,Alabama,01,105,16.1
Pickens County,Alabama,01,107,12.7
Pike County,Alabama,01,109,12.2
Randolph County,Alabama,01,111,16.3
Russell County,Alabama,01,113,17.0
Saint Clair County,Alabama,01,115,13.0
Shelby County,Alabama,01,117,9.3
Sumter County,Alabama,01,119,15.9
Talladega County,Alabama,01,121,14.3
Tallapoosa County,Alabama,01,123,14.0
Tuscaloosa County,Alabama,01,125,12.1
Walker County,Alabama,01,127,14.9
Washington County,Alabama,01,129,16.7
Wilcox County,Alabama,01,131,17.3
Winston County,Alabama,01,133,17.5
Anchorage Municipality,Alaska,02,020,16.4
Bethel Census Area,Alaska,02,050,26.1
Bristol Bay Borough,Alaska,02,060,22.5
Fairbanks North Star Borough,Alaska,02,090,13.9
Haines Borough,Alaska,02,100,25.1
Juneau City and Borough,Alaska,02,110,16.3
Kenai Peninsula Borough,Alaska,02,122,23.9
Kodiak Island Borough,Alaska,02,150,26.8
Matanuska-Susitna Borough,Alaska,02,170,20.4
Nome Census Area,Alaska,02,180,29.1
North Slope Borough,Alaska,02,185,28.0
Sitka City and Borough,Alaska,02,220,19.6
Southeast Fairbanks Census Area,Alaska,02,240,22.4
Valdez-Cordova Census Area,Alaska,02,261,25.8
Wade Hampton Census Area,Alaska,02,270,30.1
Northwest Arctic Borough,Alaska,02,188,33.3
Aleutians East Borough,Alaska,02,013,66.2
Aleutians West Census Area,Alaska,02,016,28.0
Dillingham Census Area,Alaska,02,070,34.1
Lake and Peninsula Borough,Alaska,02,164,42.2
Denali Borough,Alaska,02,068,21.8
Yukon-Koyukuk Census Area,Alaska,02,290,39.5
Hoonah-Angoon Census Area,Alaska,02,105,26.3
Skagway Municipality,Alaska,02,230,23.0
Yakutat City and Borough,Alaska,02,282,18.6
Ketchikan Gateway Borough,Alaska,02,130,19.2
Petersburg Borough,Alaska,02,195,24.4
Prince of Wales-Hyder Census Area,Alaska,02,198,34.5
Wrangell City and Borough,Alaska,02,275,19.1
Apache County,Arizona,04,001,27.6
Cochise County,Arizona,04,003,12.7
Coconino County,Arizona,04,005,21.2
Gila County,Arizona,04,007,17.5
Graham County,Arizona,04,009,16.7
Greenlee County,Arizona,04,011,15.6
Maricopa County,Arizona,04,013,17.2
Mohave County,Arizona,04,015,16.7
Navajo County,Arizona,04,017,18.1
Pima County,Arizona,04,019,14.7
Pinal County,Arizona,04,021,15.1
Santa Cruz County,Arizona,04,023,21.5
Yavapai County,Arizona,04,025,16.3
La Paz County,Arizona,04,012,16.1
Yuma County,Arizona,04,027,21.1
Arkansas County,Arkansas,05,001,13.5
Ashley County,Arkansas,05,003,14.8
Baxter County,Arkansas,05,005,14.1
Benton County,Arkansas,05,007,15.9
Boone County,Arkansas,05,009,17.2
Bradley County,Arkansas,05,011,20.2
Calhoun County,Arkansas,05,013,17.5
Carroll County,Arkansas,05,015,18.7
Chicot County,Arkansas,05,017,17.9
Clark County,Arkansas,05,019,14.8
Clay County,Arkansas,05,021,18.7
Cleburne County,Arkansas,05,023,18.5
Cleveland County,Arkansas,05,025,14.3
Columbia County,Arkansas,05,027,16.0
Conway County,Arkansas,05,029,15.7
Craighead County,Arkansas,05,031,17.1
Crawford County,Arkansas,05,033,17.2
Crittenden County,Arkansas,05,035,17.1
Cross County,Arkansas,05,037,18.3
Dallas County,Arkansas,05,039,17.7
Desha County,Arkansas,05,041,19.4
Drew County,Arkansas,05,043,19.7
Faulkner County,Arkansas,05,045,13.5
Franklin County,Arkansas,05,047,17.3
Fulton County,Arkansas,05,049,18.7
Garland County,Arkansas,05,051,18.9
Grant County,Arkansas,05,053,11.7
Greene County,Arkansas,05,055,16.6
Hempstead County,Arkansas,05,057,18.3
Hot Spring County,Arkansas,05,059,16.9
Howard County,Arkansas,05,061,18.3
Independence County,Arkansas,05,063,16.7
Izard County,Arkansas,05,065,22.7
Jackson County,Arkansas,05,067,18.8
Jefferson County,Arkansas,05,069,16.2
Johnson County,Arkansas,05,071,15.5
Lafayette County,Arkansas,05,073,18.0
Lawrence County,Arkansas,05,075,21.6
Lee County,Arkansas,05,077,20.9
Lincoln County,Arkansas,05,079,17.6
Little River County,Arkansas,05,081,17.0
Logan County,Arkansas,05,083,17.3
Lonoke County,Arkansas,05,085,14.8
Madison County,Arkansas,05,087,20.0
Marion County,Arkansas,05,089,18.7
Miller County,Arkansas,05,091,18.6
Mississippi County,Arkansas,05,093,18.4
Monroe County,Arkansas,05,095,18.2
Montgomery County,Arkansas,05,097,22.2
Nevada County,Arkansas,05,099,18.6
Newton County,Arkansas,05,101,22.6
Ouachita County,Arkansas,05,103,13.7
Perry County,Arkansas,05,105,13.2
Phillips County,Arkansas,05,107,16.0
Pike County,Arkansas,05,109,23.1
Poinsett County,Arkansas,05,111,19.9
Polk County,Arkansas,05,113,20.7
Pope County,Arkansas,05,115,17.1
Prairie County,Arkansas,05,117,16.0
Pulaski County,Arkansas,05,119,15.1
Randolph County,Arkansas,05,121,20.1
Saint Francis County,Arkansas,05,123,18.2
Saline County,Arkansas,05,125,12.5
Scott County,Arkansas,05,127,18.4
Searcy County,Arkansas,05,129,21.7
Sebastian County,Arkansas,05,131,19.3
Sevier County,Arkansas,05,133,23.9
Sharp County,Arkansas,05,135,16.3
Stone County,Arkansas,05,137,16.7
Union County,Arkansas,05,139,15.1
Van Buren County,Arkansas,05,141,20.9
Washington County,Arkansas,05,143,18.8
White County,Arkansas,05,145,17.1
Woodruff County,Arkansas,05,147,22.5
Yell County,Arkansas,05,149,20.4
Alameda County,California,06,001,12.4
Alpine County,California,06,003,24.3
Amador County,California,06,005,12.1
Butte County,California,06,007,16.2
Calaveras County,California,06,009,11.2
Colusa County,California,06,011,21.1
Contra Costa County,California,06,013,11.8
Del Norte County,California,06,015,13.9
El Dorado County,California,06,017,10.5
Fresno County,California,06,019,19.9
Glenn County,California,06,021,20.9
Humboldt County,California,06,023,19.5
Imperial County,California,06,025,21.6
Inyo County,California,06,027,16.3
Kern County,California,06,029,20.2
Kings County,California,06,031,19.7
Lake County,California,06,033,19.3
Lassen County,California,06,035,10.6
Los Angeles County,California,06,037,22.2
Madera County,California,06,039,21.1
Marin County,California,06,041,9.4
Mariposa County,California,06,043,13.3
Mendocino County,California,06,045,18.8
Merced County,California,06,047,19.0
Modoc County,California,06,049,16.8
Mono County,California,06,051,20.8
Monterey County,California,06,053,21.1
Napa County,California,06,055,14.2
Nevada County,California,06,057,14.6
Orange County,California,06,059,17.2
Placer County,California,06,061,9.2
Plumas County,California,06,063,18.7
Riverside County,California,06,065,20.0
Sacramento County,California,06,067,13.9
