County,State,State_FIPS,County_FIPS,high_school_only_percentage
Autauga County,Alabama,01,001,32.0
Baldwin County,Alabama,01,003,28.8
Barbour County,Alabama,01,005,33.2
Bibb County,Alabama,01,007,40.5
Blount County,Alabama,01,009,36.0
Bullock County,Alabama,01,011,37.2
Butler County,Alabama,01,013,38.8
Calhoun County,Alabama,01,015,33.1
Chambers County,Alabama,01,017,32.3
Cherokee County,Alabama,01,019,35.8
Chilton County,Alabama,01,021,39.1
Choctaw County,Alabama,01,023,40.0
Clarke County,Alabama,01,025,44.9
Clay County,Alabama,01,027,40.9
Cleburne County,Alabama,01,029,36.4
Coffee County,Alabama,01,031,27.3
Colbert County,Alabama,01,033,35.8
Conecuh County,Alabama,01,035,41.2
Coosa County,Alabama,01,037,43.0
Covington County,Alabama,01,039,36.2
Crenshaw County,Alabama,01,041,41.6
Cullman County,Alabama,01,043,32.4
Dale County,Alabama,01,045,28.9
Dallas County,Alabama,01,047,36.5
DeKalb County,Alabama,01,049,37.8
Elmore County,Alabama,01,051,35.3
Escambia County,Alabama,01,053,35.8
Etowah County,Alabama,01,055,34.7
Fayette County,Alabama,01,057,43.1
Franklin County,Alabama,01,059,32.8
Geneva County,Alabama,01,061,40.2
Greene County,Alabama,01,063,41.1
Hale County,Alabama,01,065,39.1
Henry County,Alabama,01,067,38.7
Houston County,Alabama,01,069,34.7
Jackson County,Alabama,01,071,38.8
Jefferson County,Alabama,01,073,27.8
Lamar County,Alabama,01,075,43.9
Lauderdale County,Alabama,01,077,34.5
Lawrence County,Alabama,01,079,40.5
Lee County,Alabama,01,081,27.0
Limestone County,Alabama,01,083,30.9
Lowndes County,Alabama,01,085,42.8
Macon County,Alabama,01,087,31.9
Madison County,Alabama,01,089,20.9
Marengo County,Alabama,01,091,37.3
Marion County,Alabama,01,093,38.2
Marshall County,Alabama,01,095,30.3
Mobile County,Alabama,01,097,35.2
Monroe County,Alabama,01,099,43.4
Montgomery County,Alabama,01,101,27.3
Morgan County,Alabama,01,103,31.9
Perry County,Alabama,01,105,42.0
Pickens County,Alabama,01,107,47.2
Pike County,Alabama,01,109,35.8
Randolph County,Alabama,01,111,33.2
Russell County,Alabama,01,113,32.5
Saint Clair County,Alabama,01,115,35.8
Shelby County,Alabama,01,117,20.3
Sumter County,Alabama,01,119,45.1
Talladega County,Alabama,01,121,38.8
Tallapoosa County,Alabama,01,123,34.1
Tuscaloosa County,Alabama,01,125,33.0
Walker County,Alabama,01,127,37.1
Washington County,Alabama,01,129,53.4
Wilcox County,Alabama,01,131,40.9
Winston County,Alabama,01,133,28.7
Anchorage Municipality,Alaska,02,020,25.3
Bethel Census Area,Alaska,02,050,43.8
Bristol Bay Borough,Alaska,02,060,24.8
Fairbanks North Star Borough,Alaska,02,090,27.7
Haines Borough,Alaska,02,100,32.7
Juneau City and Borough,Alaska,02,110,25.5
Kenai Peninsula Borough,Alaska,02,122,35.9
Kodiak Island Borough,Alaska,02,150,27.4
Matanuska-Susitna Borough,Alaska,02,170,33.8
Nome Census Area,Alaska,02,180,43.7
North Slope Borough,Alaska,02,185,33.6
Sitka City and Borough,Alaska,02,220,30.3
Southeast Fairbanks Census Area,Alaska,02,240,30.1
Valdez-Cordova Census Area,Alaska,02,261,24.9
Wade Hampton Census Area,Alaska,02,270,51.1
Northwest Arctic Borough,Alaska,02,188,48.7
Aleutians East Borough,Alaska,02,013,40.3
Aleutians West Census Area,Alaska,02,016,35.8
Dillingham Census Area,Alaska,02,070,37.9
Lake and Peninsula Borough,Alaska,02,164,32.5
Denali Borough,Alaska,02,068,29.5
Yukon-Koyukuk Census Area,Alaska,02,290,41.4
Hoonah-Angoon Census Area,Alaska,02,105,28.0
Skagway Municipality,Alaska,02,230,40.3
Yakutat City and Borough,Alaska,02,282,28.6
Ketchikan Gateway Borough,Alaska,02,130,38.1
Petersburg Borough,Alaska,02,195,38.8
Prince of Wales-Hyder Census Area,Alaska,02,198,47.8
Wrangell City and Borough,Alaska,02,275,38.5
Apache County,Arizona,04,001,34.9
Cochise County,Arizona,04,003,24.9
Coconino County,Arizona,04,005,25.1
Gila County,Arizona,04,007,31.3
Graham County,Arizona,04,009,36.8
Greenlee County,Arizona,04,011,39.3
Maricopa County,Arizona,04,013,22.5
Mohave County,Arizona,04,015,33.0
Navajo County,Arizona,04,017,31.3
Pima County,Arizona,04,019,22.9
Pinal County,Arizona,04,021,29.2
Santa Cruz County,Arizona,04,023,27.7
Yavapai County,Arizona,04,025,25.6
La Paz County,Arizona,04,012,31.3
Yuma County,Arizona,04,027,25.6
Arkansas County,Arkansas,05,001,48.1
Ashley County,Arkansas,05,003,46.1
Baxter County,Arkansas,05,005,37.2
Benton County,Arkansas,05,007,29.0
Boone County,Arkansas,05,009,38.8
Bradley County,Arkansas,05,011,37.8
Calhoun County,Arkansas,05,013,54.4
Carroll County,Arkansas,05,015,36.5
Chicot County,Arkansas,05,017,43.1
Clark County,Arkansas,05,019,40.2
Clay County,Arkansas,05,021,43.7
Cleburne County,Arkansas,05,023,39.9
Cleveland County,Arkansas,05,025,47.6
Columbia County,Arkansas,05,027,39.1
Conway County,Arkansas,05,029,46.6
Craighead County,Arkansas,05,031,35.8
Crawford County,Arkansas,05,033,36.8
Crittenden County,Arkansas,05,035,37.4
Cross County,Arkansas,05,037,54.5
Dallas County,Arkansas,05,039,54.1
Desha County,Arkansas,05,041,40.2
Drew County,Arkansas,05,043,37.0
Faulkner County,Arkansas,05,045,33.2
Franklin County,Arkansas,05,047,42.7
Fulton County,Arkansas,05,049,45.1
Garland County,Arkansas,05,051,33.4
Grant County,Arkansas,05,053,41.1
Greene County,Arkansas,05,055,43.8
Hempstead County,Arkansas,05,057,39.9
Hot Spring County,Arkansas,05,059,43.2
Howard County,Arkansas,05,061,43.1
Independence County,Arkansas,05,063,42.2
Izard County,Arkansas,05,065,41.2
Jackson County,Arkansas,05,067,46.3
Jefferson County,Arkansas,05,069,40.9
Johnson County,Arkansas,05,071,40.6
Lafayette County,Arkansas,05,073,46.7
Lawrence County,Arkansas,05,075,45.4
Lee County,Arkansas,05,077,43.9
Lincoln County,Arkansas,05,079,42.3
Little River County,Arkansas,05,081,45.9
Logan County,Arkansas,05,083,39.8
Lonoke County,Arkansas,05,085,35.4
Madison County,Arkansas,05,087,42.1
Marion County,Arkansas,05,089,39.6
Miller County,Arkansas,05,091,43.1
Mississippi County,Arkansas,05,093,39.2
Monroe County,Arkansas,05,095,35.8
Montgomery County,Arkansas,05,097,37.2
Nevada County,Arkansas,05,099,44.1
Newton County,Arkansas,05,101,38.2
Ouachita County,Arkansas,05,103,42.0
Perry County,Arkansas,05,105,47.8
Phillips County,Arkansas,05,107,32.9
Pike County,Arkansas,05,109,41.4
Poinsett County,Arkansas,05,111,41.4
