County,State,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,01,001,531.0
Baldwin County,Alabama,01,003,1788.0
Barbour County,Alabama,01,005,268.0
Bibb County,Alabama,01,007,191.0
Blount County,Alabama,01,009,318.0
Bullock County,Alabama,01,011,138.0
Butler County,Alabama,01,013,194.0
Calhoun County,Alabama,01,015,1017.0
Chambers County,Alabama,01,017,323.0
Cherokee County,Alabama,01,019,228.0
Chilton County,Alabama,01,021,501.0
Choctaw County,Alabama,01,023,121.0
Clarke County,Alabama,01,025,359.0
Clay County,Alabama,01,027,44.0
Cleburne County,Alabama,01,029,96.0
Coffee County,Alabama,01,031,432.0
Colbert County,Alabama,01,033,381.0
Conecuh County,Alabama,01,035,29.0
Coosa County,Alabama,01,037,44.0
Covington County,Alabama,01,039,228.0
Crenshaw County,Alabama,01,041,89.0
Cullman County,Alabama,01,043,567.0
Dale County,Alabama,01,045,773.0
Dallas County,Alabama,01,047,597.0
DeKalb County,Alabama,01,049,403.0
Elmore County,Alabama,01,051,900.0
Escambia County,Alabama,01,053,386.0
Etowah County,Alabama,01,055,837.0
Fayette County,Alabama,01,057,155.0
Franklin County,Alabama,01,059,241.0
Geneva County,Alabama,01,061,142.0
Greene County,Alabama,01,063,66.0
Hale County,Alabama,01,065,35.0
Henry County,Alabama,01,067,35.0
Houston County,Alabama,01,069,1003.0
Jackson County,Alabama,01,071,481.0
Jefferson County,Alabama,01,073,7162.0
Lamar County,Alabama,01,075,69.0
Lauderdale County,Alabama,01,077,762.0
Lawrence County,Alabama,01,079,97.0
Lee County,Alabama,01,081,1182.0
Limestone County,Alabama,01,083,598.0
Lowndes County,Alabama,01,085,55.0
Macon County,Alabama,01,087,166.0
Madison County,Alabama,01,089,3751.0
Marengo County,Alabama,01,091,176.0
Marion County,Alabama,01,093,356.0
Marshall County,Alabama,01,095,714.0
Mobile County,Alabama,01,097,4276.0
Monroe County,Alabama,01,099,118.0
Montgomery County,Alabama,01,101,2241.0
Morgan County,Alabama,01,103,906.0
Perry County,Alabama,01,105,55.0
Pickens County,Alabama,01,107,117.0
Pike County,Alabama,01,109,341.0
Randolph County,Alabama,01,111,132.0
Russell County,Alabama,01,113,785.0
Saint Clair County,Alabama,01,115,483.0
Shelby County,Alabama,01,117,1452.0
Sumter County,Alabama,01,119,183.0
Talladega County,Alabama,01,121,625.0
Tallapoosa County,Alabama,01,123,433.0
Tuscaloosa County,Alabama,01,125,1895.0
Walker County,Alabama,01,127,359.0
Washington County,Alabama,01,129,62.0
Wilcox County,Alabama,01,131,90.0
Winston County,Alabama,01,133,96.0
Anchorage Municipality,Alaska,02,020,4380.0
Bethel Census Area,Alaska,02,050,102.0
Bristol Bay Borough,Alaska,02,060,9.0
Fairbanks North Star Borough,Alaska,02,090,1366.0
Haines Borough,Alaska,02,100,12.0
Juneau City and Borough,Alaska,02,110,392.0
Kenai Peninsula Borough,Alaska,02,122,476.0
Kodiak Island Borough,Alaska,02,150,100.0
