County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Autauga County,Alabama,01,001,3.6
Baldwin County,Alabama,01,003,2.8
Barbour County,Alabama,01,005,8.4
Bibb County,Alabama,01,007,5.8
Blount County,Alabama,01,009,6.9
Bullock County,Alabama,01,011,7.6
Butler County,Alabama,01,013,7.1
Calhoun County,Alabama,01,015,5.5
Chambers County,Alabama,01,017,5.6
Cherokee County,Alabama,01,019,5.9
Chilton County,Alabama,01,021,6.9
Choctaw County,Alabama,01,023,7.3
Clarke County,Alabama,01,025,4.9
Clay County,Alabama,01,027,11.5
Cleburne County,Alabama,01,029,7.5
Coffee County,Alabama,01,031,4.9
Colbert County,Alabama,01,033,5.0
Conecuh County,Alabama,01,035,6.7
Coosa County,Alabama,01,037,10.1
Covington County,Alabama,01,039,7.6
Crenshaw County,Alabama,01,041,9.0
Cullman County,Alabama,01,043,6.7
Dale County,Alabama,01,045,5.3
Dallas County,Alabama,01,047,6.0
DeKalb County,Alabama,01,049,12.3
Elmore County,Alabama,01,051,4.0
Escambia County,Alabama,01,053,5.9
Etowah County,Alabama,01,055,6.0
Fayette County,Alabama,01,057,7.6
Franklin County,Alabama,01,059,11.1
Geneva County,Alabama,01,061,8.6
Greene County,Alabama,01,063,7.9
Hale County,Alabama,01,065,5.8
Henry County,Alabama,01,067,6.4
Houston County,Alabama,01,069,4.5
Jackson County,Alabama,01,071,7.3
Jefferson County,Alabama,01,073,3.1
Lamar County,Alabama,01,075,8.5
Lauderdale County,Alabama,01,077,4.9
Lawrence County,Alabama,01,079,8.1
Lee County,Alabama,01,081,4.1
Limestone County,Alabama,01,083,6.2
Lowndes County,Alabama,01,085,6.8
Macon County,Alabama,01,087,6.1
Madison County,Alabama,01,089,2.9
Marengo County,Alabama,01,091,6.5
Marion County,Alabama,01,093,7.6
Marshall County,Alabama,01,095,9.0
Mobile County,Alabama,01,097,3.9
Monroe County,Alabama,01,099,6.5
Montgomery County,Alabama,01,101,4.7
Morgan County,Alabama,01,103,6.6
Perry County,Alabama,01,105,6.7
Pickens County,Alabama,01,107,6.1
Pike County,Alabama,01,109,5.5
Randolph County,Alabama,01,111,9.9
Russell County,Alabama,01,113,5.8
Saint Clair County,Alabama,01,115,4.7
Shelby County,Alabama,01,117,2.7
Sumter County,Alabama,01,119,5.6
Talladega County,Alabama,01,121,7.0
Tallapoosa County,Alabama,01,123,5.4
Tuscaloosa County,Alabama,01,125,3.1
Walker County,Alabama,01,127,7.8
Washington County,Alabama,01,129,5.3
Wilcox County,Alabama,01,131,6.3
Winston County,Alabama,01,133,9.2
Anchorage Municipality,Alaska,02,020,2.8
Bethel Census Area,Alaska,02,050,8.8
Bristol Bay Borough,Alaska,02,060,3.4
Fairbanks North Star Borough,Alaska,02,090,1.7
Haines Borough,Alaska,02,100,1.2
Juneau City and Borough,Alaska,02,110,1.0
Kenai Peninsula Borough,Alaska,02,122,1.8
Kodiak Island Borough,Alaska,02,150,5.1
Matanuska-Susitna Borough,Alaska,02,170,1.8
Nome Census Area,Alaska,02,180,5.1
North Slope Borough,Alaska,02,185,3.4
Sitka City and Borough,Alaska,02,220,2.3
Southeast Fairbanks Census Area,Alaska,02,240,3.3
Valdez-Cordova Census Area,Alaska,02,261,3.1
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,6.9
Aleutians East Borough,Alaska,02,013,8.3
Aleutians West Census Area,Alaska,02,016,5.0
Dillingham Census Area,Alaska,02,070,7.3
Lake and Peninsula Borough,Alaska,02,164,6.2
Denali Borough,Alaska,02,068,0.8
Yukon-Koyukuk Census Area,Alaska,02,290,7.7
Hoonah-Angoon Census Area,Alaska,02,105,3.2
Skagway Municipality,Alaska,02,230,1.1
Yakutat City and Borough,Alaska,02,282,1.1
Ketchikan Gateway Borough,Alaska,02,130,2.0
Petersburg Borough,Alaska,02,195,2.1
Prince of Wales-Hyder Census Area,Alaska,02,198,1.8
Wrangell City and Borough,Alaska,02,275,4.3
Apache County,Arizona,04,001,11.3
Cochise County,Arizona,04,003,6.2
Coconino County,Arizona,04,005,4.2
Gila County,Arizona,04,007,4.3
Graham County,Arizona,04,009,5.5
Greenlee County,Arizona,04,011,4.3
Maricopa County,Arizona,04,013,6.2
Mohave County,Arizona,04,015,4.7
Navajo County,Arizona,04,017,7.3
Pima County,Arizona,04,019,4.9
Pinal County,Arizona,04,021,5.8
Santa Cruz County,Arizona,04,023,12.8
Yavapai County,Arizona,04,025,3.2
La Paz County,Arizona,04,012,9.9
Yuma County,Arizona,04,027,14.5
Arkansas County,Arkansas,05,001,6.1
Ashley County,Arkansas,05,003,5.8
Baxter County,Arkansas,05,005,4.2
Benton County,Arkansas,05,007,5.9
Boone County,Arkansas,05,009,5.7
Bradley County,Arkansas,05,011,6.8
Calhoun County,Arkansas,05,013,4.7
Carroll County,Arkansas,05,015,7.3
Chicot County,Arkansas,05,017,6.9
Clark County,Arkansas,05,019,4.6
Clay County,Arkansas,05,021,9.7
Cleburne County,Arkansas,05,023,6.0
Cleveland County,Arkansas,05,025,5.2
Columbia County,Arkansas,05,027,5.0
Conway County,Arkansas,05,029,5.0
Craighead County,Arkansas,05,031,4.0
Crawford County,Arkansas,05,033,5.4
Crittenden County,Arkansas,05,035,6.1
Cross County,Arkansas,05,037,6.2
Dallas County,Arkansas,05,039,5.4
Desha County,Arkansas,05,041,7.6
Drew County,Arkansas,05,043,6.0
Faulkner County,Arkansas,05,045,2.7
Franklin County,Arkansas,05,047,6.1
Fulton County,Arkansas,05,049,6.1
Garland County,Arkansas,05,051,3.4
Grant County,Arkansas,05,053,2.9
Greene County,Arkansas,05,055,4.7
Hempstead County,Arkansas,05,057,8.2
Hot Spring County,Arkansas,05,059,4.3
Howard County,Arkansas,05,061,9.1
Independence County,Arkansas,05,063,5.6
Izard County,Arkansas,05,065,6.3
Jackson County,Arkansas,05,067,9.6
Jefferson County,Arkansas,05,069,4.9
Johnson County,Arkansas,05,071,7.5
Lafayette County,Arkansas,05,073,5.1
Lawrence County,Arkansas,05,075,8.1
Lee County,Arkansas,05,077,9.6
Lincoln County,Arkansas,05,079,5.8
Little River County,Arkansas,05,081,2.9
Logan County,Arkansas,05,083,6.0
Lonoke County,Arkansas,05,085,3.3
Madison County,Arkansas,05,087,8.7
Marion County,Arkansas,05,089,3.2
Miller County,Arkansas,05,091,4.4
Mississippi County,Arkansas,05,093,7.3
Monroe County,Arkansas,05,095,7.7
Montgomery County,Arkansas,05,097,8.1
Nevada County,Arkansas,05,099,5.8
Newton County,Arkansas,05,101,5.8
Ouachita County,Arkansas,05,103,3.9
Perry County,Arkansas,05,105,4.8
Phillips County,Arkansas,05,107,8.8
Pike County,Arkansas,05,109,6.9
Poinsett County,Arkansas,05,111,8.2
Polk County,Arkansas,05,113,5.8
Pope County,Arkansas,05,115,5.8
Prairie County,Arkansas,05,117,4.6
Pulaski County,Arkansas,05,119,3.3
Randolph County,Arkansas,05,121,6.6
Saint Francis County,Arkansas,05,123,7.0
Saline County,Arkansas,05,125,3.0
Scott County,Arkansas,05,127,10.3
Searcy County,Arkansas,05,129,4.5
Sebastian County,Arkansas,05,131,7.5
Sevier County,Arkansas,05,133,15.0
Sharp County,Arkansas,05,135,5.2
Stone County,Arkansas,05,137,10.4
Union County,Arkansas,05,139,5.0
Van Buren County,Arkansas,05,141,5.0
Washington County,Arkansas,05,143,7.6
White County,Arkansas,05,145,5.1
Woodruff County,Arkansas,05,147,8.9
Yell County,Arkansas,05,149,10.6
Alameda County,California,06,001,6.9
Alpine County,California,06,003,1.3
Amador County,California,06,005,3.6
Butte County,California,06,007,4.4
Calaveras County,California,06,009,3.2
Colusa County,California,06,011,21.3
Contra Costa County,California,06,013,5.8
Del Norte County,California,06,015,5.6
El Dorado County,California,06,017,2.6
Fresno County,California,06,019,15.2
Glenn County,California,06,021,14.1
Humboldt County,California,06,023,2.5
Imperial County,California,06,025,18.8
Inyo County,California,06,027,4.5
Kern County,California,06,029,14.2
Kings County,California,06,031,13.1
Lake County,California,06,033,6.1
Lassen County,California,06,035,4.5
Los Angeles County,California,06,037,13.1
Madera County,California,06,039,17.1
Marin County,California,06,041,3.9
Mariposa County,California,06,043,1.8
Mendocino County,California,06,045,6.3
Merced County,California,06,047,19.4
Modoc County,California,06,049,4.0
Mono County,California,06,051,9.1
Monterey County,California,06,053,19.4
Napa County,California,06,055,10.1
Nevada County,California,06,057,2.1
Orange County,California,06,059,8.7
Placer County,California,06,061,2.2
Plumas County,California,06,063,2.2
Riverside County,California,06,065,9.4
Sacramento County,California,06,067,6.7
San Benito County,California,06,069,13.8
San Bernardino County,California,06,071,9.7
San Diego County,California,06,073,7.0
San Francisco County,California,06,075,7.8
San Joaquin County,California,06,077,11.7
San Luis Obispo County,California,06,079,4.4
San Mateo County,California,06,081,6.6
Santa Barbara County,California,06,083,12.5
Santa Clara County,California,06,085,7.2
Santa Cruz County,California,06,087,8.8
Shasta County,California,06,089,2.6
Sierra County,California,06,091,2.6
Siskiyou County,California,06,093,3.7
Solano County,California,06,095,5.9
Sonoma County,California,06,097,6.6
Stanislaus County,California,06,099,12.2
Sutter County,California,06,101,12.0
Tehama County,California,06,103,7.3
Trinity County,California,06,105,2.3
Tulare County,California,06,107,20.5
Tuolumne County,California,06,109,2.0
Ventura County,California,06,111,9.9
Yolo County,California,06,113,7.7
Yuba County,California,06,115,7.1
Alamosa County,Colorado,08,003,8.6
Archuleta County,Colorado,08,007,3.6
Baca County,Colorado,08,009,5.2
Bent County,Colorado,08,011,6.9
Chaffee County,Colorado,08,015,2.7
Cheyenne County,Colorado,08,017,4.4
Clear Creek County,Colorado,08,019,0.3
Conejos County,Colorado,08,021,8.8
Costilla County,Colorado,08,023,12.4
Crowley County,Colorado,08,025,6.4
Custer County,Colorado,08,027,1.6
Delta County,Colorado,08,029,3.7
Dolores County,Colorado,08,033,2.7
Douglas County,Colorado,08,035,0.7
Eagle County,Colorado,08,037,5.5
Elbert County,Colorado,08,039,1.0
El Paso County,Colorado,08,041,1.9
Fremont County,Colorado,08,043,3.0
Garfield County,Colorado,08,045,5.9
Gilpin County,Colorado,08,047,0.9
Grand County,Colorado,08,049,0.6
Gunnison County,Colorado,08,051,2.2
Huerfano County,Colorado,08,055,3.8
Jackson County,Colorado,08,057,3.8
Kiowa County,Colorado,08,061,1.2
Kit Carson County,Colorado,08,063,7.8
Lake County,Colorado,08,065,1.3
La Plata County,Colorado,08,067,1.9
Larimer County,Colorado,08,069,1.4
Las Animas County,Colorado,08,071,5.8
Lincoln County,Colorado,08,073,6.6
Logan County,Colorado,08,075,4.7
Mesa County,Colorado,08,077,2.9
Moffat County,Colorado,08,081,3.1
Montezuma County,Colorado,08,083,3.3
Montrose County,Colorado,08,085,4.8
Morgan County,Colorado,08,087,10.0
Otero County,Colorado,08,089,6.7
