County,State,State_FIPS,County_FIPS,median_gross_rent
Autauga County,Alabama,01,001,966.0
Baldwin County,Alabama,01,003,958.0
Barbour County,Alabama,01,005,590.0
Bibb County,Alabama,01,007,714.0
Blount County,Alabama,01,009,662.0
Bullock County,Alabama,01,011,668.0
Butler County,Alabama,01,013,606.0
Calhoun County,Alabama,01,015,680.0
Chambers County,Alabama,01,017,715.0
Cherokee County,Alabama,01,019,606.0
Chilton County,Alabama,01,021,684.0
Choctaw County,Alabama,01,023,533.0
Clarke County,Alabama,01,025,561.0
Clay County,Alabama,01,027,564.0
Cleburne County,Alabama,01,029,575.0
Coffee County,Alabama,01,031,782.0
Colbert County,Alabama,01,033,691.0
Conecuh County,Alabama,01,035,568.0
Coosa County,Alabama,01,037,554.0
Covington County,Alabama,01,039,608.0
Crenshaw County,Alabama,01,041,518.0
Cullman County,Alabama,01,043,685.0
Dale County,Alabama,01,045,725.0
Dallas County,Alabama,01,047,623.0
DeKalb County,Alabama,01,049,619.0
Elmore County,Alabama,01,051,869.0
Escambia County,Alabama,01,053,587.0
Etowah County,Alabama,01,055,669.0
Fayette County,Alabama,01,057,557.0
Franklin County,Alabama,01,059,572.0
Geneva County,Alabama,01,061,615.0
Greene County,Alabama,01,063,609.0
Hale County,Alabama,01,065,510.0
Henry County,Alabama,01,067,608.0
Houston County,Alabama,01,069,741.0
Jackson County,Alabama,01,071,619.0
Jefferson County,Alabama,01,073,878.0
Lamar County,Alabama,01,075,392.0
Lauderdale County,Alabama,01,077,658.0
Lawrence County,Alabama,01,079,540.0
Lee County,Alabama,01,081,831.0
Limestone County,Alabama,01,083,658.0
Lowndes County,Alabama,01,085,650.0
Macon County,Alabama,01,087,611.0
Madison County,Alabama,01,089,829.0
Marengo County,Alabama,01,091,531.0
Marion County,Alabama,01,093,519.0
Marshall County,Alabama,01,095,632.0
Mobile County,Alabama,01,097,846.0
Monroe County,Alabama,01,099,524.0
Montgomery County,Alabama,01,101,869.0
Morgan County,Alabama,01,103,640.0
Perry County,Alabama,01,105,574.0
Pickens County,Alabama,01,107,456.0
Pike County,Alabama,01,109,621.0
Randolph County,Alabama,01,111,612.0
Russell County,Alabama,01,113,800.0
Saint Clair County,Alabama,01,115,748.0
Shelby County,Alabama,01,117,1020.0
Sumter County,Alabama,01,119,578.0
Talladega County,Alabama,01,121,630.0
Tallapoosa County,Alabama,01,123,648.0
Tuscaloosa County,Alabama,01,125,843.0
Walker County,Alabama,01,127,603.0
Washington County,Alabama,01,129,709.0
Wilcox County,Alabama,01,131,524.0
Winston County,Alabama,01,133,525.0
Anchorage Municipality,Alaska,02,020,1306.0
Bethel Census Area,Alaska,02,050,1271.0
Bristol Bay Borough,Alaska,02,060,1000.0
Fairbanks North Star Borough,Alaska,02,090,1296.0
Haines Borough,Alaska,02,100,924.0
Juneau City and Borough,Alaska,02,110,1226.0
Kenai Peninsula Borough,Alaska,02,122,994.0
Kodiak Island Borough,Alaska,02,150,1369.0
Matanuska-Susitna Borough,Alaska,02,170,1112.0
Nome Census Area,Alaska,02,180,1297.0
North Slope Borough,Alaska,02,185,1098.0
Sitka City and Borough,Alaska,02,220,1123.0
Southeast Fairbanks Census Area,Alaska,02,240,1076.0
Valdez-Cordova Census Area,Alaska,02,261,981.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,1253.0
Aleutians East Borough,Alaska,02,013,992.0
Aleutians West Census Area,Alaska,02,016,1321.0
Dillingham Census Area,Alaska,02,070,1018.0
Lake and Peninsula Borough,Alaska,02,164,770.0
Denali Borough,Alaska,02,068,814.0
Yukon-Koyukuk Census Area,Alaska,02,290,683.0
Hoonah-Angoon Census Area,Alaska,02,105,897.0
Skagway Municipality,Alaska,02,230,1056.0
Yakutat City and Borough,Alaska,02,282,1027.0
Ketchikan Gateway Borough,Alaska,02,130,1165.0
Petersburg Borough,Alaska,02,195,950.0
Prince of Wales-Hyder Census Area,Alaska,02,198,834.0
Wrangell City and Borough,Alaska,02,275,809.0
Apache County,Arizona,04,001,486.0
Cochise County,Arizona,04,003,810.0
Coconino County,Arizona,04,005,1131.0
Gila County,Arizona,04,007,783.0
Graham County,Arizona,04,009,765.0
Greenlee County,Arizona,04,011,474.0
Maricopa County,Arizona,04,013,1079.0
Mohave County,Arizona,04,015,799.0
Navajo County,Arizona,04,017,691.0
Pima County,Arizona,04,019,885.0
Pinal County,Arizona,04,021,1037.0
Santa Cruz County,Arizona,04,023,666.0
Yavapai County,Arizona,04,025,927.0
La Paz County,Arizona,04,012,625.0
Yuma County,Arizona,04,027,854.0
Arkansas County,Arkansas,05,001,651.0
Ashley County,Arkansas,05,003,607.0
Baxter County,Arkansas,05,005,678.0
Benton County,Arkansas,05,007,873.0
Boone County,Arkansas,05,009,639.0
Bradley County,Arkansas,05,011,588.0
Calhoun County,Arkansas,05,013,644.0
Carroll County,Arkansas,05,015,585.0
Chicot County,Arkansas,05,017,597.0
Clark County,Arkansas,05,019,611.0
Clay County,Arkansas,05,021,586.0
