County,State,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,01,001,136600.0
Baldwin County,Alabama,01,003,168800.0
Barbour County,Alabama,01,005,89500.0
Bibb County,Alabama,01,007,96300.0
Blount County,Alabama,01,009,117700.0
Bullock County,Alabama,01,011,68900.0
Butler County,Alabama,01,013,76000.0
Calhoun County,Alabama,01,015,103300.0
Chambers County,Alabama,01,017,82400.0
Cherokee County,Alabama,01,019,98500.0
Chilton County,Alabama,01,021,98800.0
Choctaw County,Alabama,01,023,59100.0
Clarke County,Alabama,01,025,84700.0
Clay County,Alabama,01,027,82200.0
Cleburne County,Alabama,01,029,101000.0
Coffee County,Alabama,01,031,137000.0
Colbert County,Alabama,01,033,99900.0
Conecuh County,Alabama,01,035,65800.0
Coosa County,Alabama,01,037,73100.0
Covington County,Alabama,01,039,90600.0
Crenshaw County,Alabama,01,041,68100.0
Cullman County,Alabama,01,043,107000.0
Dale County,Alabama,01,045,103300.0
Dallas County,Alabama,01,047,79200.0
DeKalb County,Alabama,01,049,95300.0
Elmore County,Alabama,01,051,143800.0
Escambia County,Alabama,01,053,88000.0
Etowah County,Alabama,01,055,100400.0
Fayette County,Alabama,01,057,72700.0
Franklin County,Alabama,01,059,86300.0
Geneva County,Alabama,01,061,78100.0
Greene County,Alabama,01,063,69100.0
Hale County,Alabama,01,065,86800.0
Henry County,Alabama,01,067,93900.0
Houston County,Alabama,01,069,121600.0
Jackson County,Alabama,01,071,93800.0
Jefferson County,Alabama,01,073,141300.0
Lamar County,Alabama,01,075,66800.0
Lauderdale County,Alabama,01,077,115300.0
Lawrence County,Alabama,01,079,92400.0
Lee County,Alabama,01,081,150100.0
Limestone County,Alabama,01,083,138100.0
Lowndes County,Alabama,01,085,69100.0
Macon County,Alabama,01,087,73400.0
Madison County,Alabama,01,089,166500.0
Marengo County,Alabama,01,091,89600.0
Marion County,Alabama,01,093,77700.0
Marshall County,Alabama,01,095,114600.0
Mobile County,Alabama,01,097,124500.0
Monroe County,Alabama,01,099,78800.0
Montgomery County,Alabama,01,101,123100.0
Morgan County,Alabama,01,103,121900.0
