County,State,mean_life_expectancy,State_FIPS,County_FIPS,median_household_income
Autauga County,Alabama,75.7292435880376,01,001,53773
Baldwin County,Alabama,77.9271776584132,01,003,50706
Barbour County,Alabama,75.726345615993,01,005,31889
Bibb County,Alabama,73.8549042153188,01,007,36824
Blount County,Alabama,75.7031620249924,01,009,45192
Bullock County,Alabama,74.5147146410295,01,011,34500
Butler County,Alabama,74.0029270174073,01,013,30752
Calhoun County,Alabama,73.7720318613506,01,015,40093
Chambers County,Alabama,74.4618272098825,01,017,32181
Cherokee County,Alabama,74.9073645339479,01,019,36241
Chilton County,Alabama,74.1680381073103,01,021,40834
Choctaw County,Alabama,75.0330369420346,01,023,35123
Clarke County,Alabama,75.3627746026001,01,025,30954
Clay County,Alabama,74.5556200097281,01,027,34556
Cleburne County,Alabama,74.0892819227667,01,029,37244
Coffee County,Alabama,76.8920779757569,01,031,44626
Colbert County,Alabama,74.7919396971864,01,033,40158
Conecuh County,Alabama,73.9629702481659,01,035,27064
Coosa County,Alabama,75.1116367329605,01,037,37425
Covington County,Alabama,75.0377160434361,01,039,35321
Crenshaw County,Alabama,74.4090115093279,01,041,37309
Cullman County,Alabama,75.0285246631596,01,043,39244
Dale County,Alabama,76.2376078137941,01,045,45247
Dallas County,Alabama,72.3485612905477,01,047,26178
DeKalb County,Alabama,74.9900686798499,01,049,36853
Elmore County,Alabama,75.972036154942,01,051,55514
Escambia County,Alabama,74.0158797821032,01,053,31075
Etowah County,Alabama,73.2531150461842,01,055,37660
Fayette County,Alabama,74.2005416942204,01,057,33090
Franklin County,Alabama,73.4441492092538,01,059,37235
Geneva County,Alabama,75.2391510545445,01,061,33618
Greene County,Alabama,74.6190084135484,01,063,23777
Hale County,Alabama,74.1705015045921,01,065,29409
Henry County,Alabama,75.8618642097371,01,067,40680
Houston County,Alabama,76.6654865118704,01,069,41828
Jackson County,Alabama,73.8971307190983,01,071,37059
Jefferson County,Alabama,74.9923234793925,01,073,45415
Lamar County,Alabama,74.6375257695077,01,075,35271
Lauderdale County,Alabama,76.3717334494033,01,077,40701
Lawrence County,Alabama,74.0874083511881,01,079,39526
Lee County,Alabama,77.5552230695894,01,081,43189
Limestone County,Alabama,77.5349339425497,01,083,48197
Lowndes County,Alabama,72.5169545782714,01,085,28023
Macon County,Alabama,73.472029298343,01,087,27957
Madison County,Alabama,77.7777375113583,01,089,58242
Marengo County,Alabama,74.31817729379,01,091,34515
