County,State,State_FIPS,County_FIPS,median_household_income
Autauga County,Alabama,01,001,51281.0
Baldwin County,Alabama,01,003,50254.0
Barbour County,Alabama,01,005,32964.0
Bibb County,Alabama,01,007,38678.0
Blount County,Alabama,01,009,45813.0
Bullock County,Alabama,01,011,31938.0
Butler County,Alabama,01,013,32229.0
Calhoun County,Alabama,01,015,41703.0
Chambers County,Alabama,01,017,34177.0
Cherokee County,Alabama,01,019,36296.0
Chilton County,Alabama,01,021,41627.0
Choctaw County,Alabama,01,023,33536.0
Clarke County,Alabama,01,025,32011.0
Clay County,Alabama,01,027,35327.0
Cleburne County,Alabama,01,029,38056.0
Coffee County,Alabama,01,031,46729.0
Colbert County,Alabama,01,033,40576.0
Conecuh County,Alabama,01,035,24900.0
Coosa County,Alabama,01,037,31212.0
Covington County,Alabama,01,039,36444.0
Crenshaw County,Alabama,01,041,36022.0
Cullman County,Alabama,01,043,38971.0
Dale County,Alabama,01,045,45028.0
Dallas County,Alabama,01,047,27306.0
DeKalb County,Alabama,01,049,38192.0
Elmore County,Alabama,01,051,53555.0
Escambia County,Alabama,01,053,32330.0
Etowah County,Alabama,01,055,39220.0
Fayette County,Alabama,01,057,34680.0
Franklin County,Alabama,01,059,35372.0
Geneva County,Alabama,01,061,36024.0
Greene County,Alabama,01,063,20541.0
Hale County,Alabama,01,065,32714.0
Henry County,Alabama,01,067,41997.0
Houston County,Alabama,01,069,41571.0
Jackson County,Alabama,01,071,37745.0
Jefferson County,Alabama,01,073,45610.0
Lamar County,Alabama,01,075,35450.0
Lauderdale County,Alabama,01,077,43125.0
Lawrence County,Alabama,01,079,40003.0
Lee County,Alabama,01,081,44570.0
Limestone County,Alabama,01,083,49570.0
Lowndes County,Alabama,01,085,25876.0
Macon County,Alabama,01,087,30738.0
Madison County,Alabama,01,089,57993.0
Marengo County,Alabama,01,091,32042.0
Marion County,Alabama,01,093,32299.0
Marshall County,Alabama,01,095,38983.0
Mobile County,Alabama,01,097,43809.0
Monroe County,Alabama,01,099,27257.0
Montgomery County,Alabama,01,101,44369.0
Morgan County,Alabama,01,103,45751.0
Perry County,Alabama,01,105,24537.0
Pickens County,Alabama,01,107,30330.0
Pike County,Alabama,01,109,32825.0
Randolph County,Alabama,01,111,36924.0
Russell County,Alabama,01,113,37049.0
Saint Clair County,Alabama,01,115,51859.0
Shelby County,Alabama,01,117,70187.0
Sumter County,Alabama,01,119,19501.0
Talladega County,Alabama,01,121,35155.0
Tallapoosa County,Alabama,01,123,39206.0
Tuscaloosa County,Alabama,01,125,46565.0
Walker County,Alabama,01,127,35843.0
Washington County,Alabama,01,129,42811.0
Wilcox County,Alabama,01,131,23750.0
Winston County,Alabama,01,133,33194.0
Anchorage Municipality,Alaska,02,020,78326.0
Bethel Census Area,Alaska,02,050,51012.0
Bristol Bay Borough,Alaska,02,060,79750.0
Fairbanks North Star Borough,Alaska,02,090,71068.0
Haines Borough,Alaska,02,100,58750.0
Juneau City and Borough,Alaska,02,110,85746.0
Kenai Peninsula Borough,Alaska,02,122,63684.0
Kodiak Island Borough,Alaska,02,150,70887.0
Matanuska-Susitna Borough,Alaska,02,170,72983.0
Nome Census Area,Alaska,02,180,48868.0
North Slope Borough,Alaska,02,185,72576.0
Sitka City and Borough,Alaska,02,220,70376.0
Southeast Fairbanks Census Area,Alaska,02,240,62670.0
Valdez-Cordova Census Area,Alaska,02,261,78810.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,63648.0
Aleutians East Borough,Alaska,02,013,61518.0
Aleutians West Census Area,Alaska,02,016,84306.0
Dillingham Census Area,Alaska,02,070,54173.0
Lake and Peninsula Borough,Alaska,02,164,50781.0
Denali Borough,Alaska,02,068,81544.0
Yukon-Koyukuk Census Area,Alaska,02,290,38491.0
Hoonah-Angoon Census Area,Alaska,02,105,52419.0
Skagway Municipality,Alaska,02,230,69318.0
Yakutat City and Borough,Alaska,02,282,72500.0
Ketchikan Gateway Borough,Alaska,02,130,64222.0
Petersburg Borough,Alaska,02,195,67935.0
Prince of Wales-Hyder Census Area,Alaska,02,198,48523.0
Wrangell City and Borough,Alaska,02,275,48603.0
Apache County,Arizona,04,001,31757.0
Cochise County,Arizona,04,003,45075.0
Coconino County,Arizona,04,005,50234.0
Gila County,Arizona,04,007,39751.0
Graham County,Arizona,04,009,45964.0
Greenlee County,Arizona,04,011,51628.0
Maricopa County,Arizona,04,013,54229.0
Mohave County,Arizona,04,015,38488.0
Navajo County,Arizona,04,017,35921.0
Pima County,Arizona,04,019,46162.0
Pinal County,Arizona,04,021,49477.0
Santa Cruz County,Arizona,04,023,40140.0
Yavapai County,Arizona,04,025,44748.0
La Paz County,Arizona,04,012,34466.0
Yuma County,Arizona,04,027,40743.0
Arkansas County,Arkansas,05,001,36411.0
Ashley County,Arkansas,05,003,34263.0
Baxter County,Arkansas,05,005,35396.0
Benton County,Arkansas,05,007,56239.0
Boone County,Arkansas,05,009,39251.0
Bradley County,Arkansas,05,011,33701.0
Calhoun County,Arkansas,05,013,36899.0
Carroll County,Arkansas,05,015,36897.0
Chicot County,Arkansas,05,017,28913.0
Clark County,Arkansas,05,019,35031.0
Clay County,Arkansas,05,021,32552.0
Cleburne County,Arkansas,05,023,42905.0
Cleveland County,Arkansas,05,025,43158.0
Columbia County,Arkansas,05,027,36619.0
Conway County,Arkansas,05,029,37732.0
Craighead County,Arkansas,05,031,42475.0
Crawford County,Arkansas,05,033,41268.0
Crittenden County,Arkansas,05,035,38004.0
Cross County,Arkansas,05,037,38103.0
Dallas County,Arkansas,05,039,34084.0
Desha County,Arkansas,05,041,27197.0
Drew County,Arkansas,05,043,32819.0
Faulkner County,Arkansas,05,045,51223.0
Franklin County,Arkansas,05,047,39285.0
Fulton County,Arkansas,05,049,37066.0
Garland County,Arkansas,05,051,38733.0
Grant County,Arkansas,05,053,46171.0
Greene County,Arkansas,05,055,41286.0
Hempstead County,Arkansas,05,057,32122.0
Hot Spring County,Arkansas,05,059,40000.0
Howard County,Arkansas,05,061,34229.0
Independence County,Arkansas,05,063,36265.0
Izard County,Arkansas,05,065,32630.0
Jackson County,Arkansas,05,067,31261.0
Jefferson County,Arkansas,05,069,36747.0
Johnson County,Arkansas,05,071,34139.0
Lafayette County,Arkansas,05,073,31194.0
Lawrence County,Arkansas,05,075,32379.0
Lee County,Arkansas,05,077,28393.0
Lincoln County,Arkansas,05,079,32580.0
Little River County,Arkansas,05,081,36205.0
Logan County,Arkansas,05,083,35325.0
Lonoke County,Arkansas,05,085,53631.0
Madison County,Arkansas,05,087,37691.0
Marion County,Arkansas,05,089,34195.0
Miller County,Arkansas,05,091,40317.0
Mississippi County,Arkansas,05,093,34612.0
Monroe County,Arkansas,05,095,27647.0
Montgomery County,Arkansas,05,097,33037.0
Nevada County,Arkansas,05,099,30691.0
Newton County,Arkansas,05,101,34536.0
Ouachita County,Arkansas,05,103,31293.0
Perry County,Arkansas,05,105,42346.0
Phillips County,Arkansas,05,107,26844.0
Pike County,Arkansas,05,109,33097.0
Poinsett County,Arkansas,05,111,33070.0
Polk County,Arkansas,05,113,33702.0
Pope County,Arkansas,05,115,39810.0
Prairie County,Arkansas,05,117,35833.0
Pulaski County,Arkansas,05,119,46140.0
Randolph County,Arkansas,05,121,34044.0
Saint Francis County,Arkansas,05,123,32105.0
Saline County,Arkansas,05,125,55817.0
Scott County,Arkansas,05,127,37321.0
Searcy County,Arkansas,05,129,33083.0
Sebastian County,Arkansas,05,131,38575.0
Sevier County,Arkansas,05,133,36579.0
Sharp County,Arkansas,05,135,30691.0
Stone County,Arkansas,05,137,29264.0
Union County,Arkansas,05,139,38678.0
Van Buren County,Arkansas,05,141,32312.0
Washington County,Arkansas,05,143,43524.0
White County,Arkansas,05,145,42554.0
Woodruff County,Arkansas,05,147,28993.0
Yell County,Arkansas,05,149,37804.0
Alameda County,California,06,001,75619.0
Alpine County,California,06,003,52917.0
Amador County,California,06,005,54171.0
Butte County,California,06,007,43444.0
Calaveras County,California,06,009,53233.0
Colusa County,California,06,011,52168.0
Contra Costa County,California,06,013,80185.0
Del Norte County,California,06,015,40847.0
El Dorado County,California,06,017,69584.0
Fresno County,California,06,019,45233.0
Glenn County,California,06,021,39349.0
Humboldt County,California,06,023,42197.0
Imperial County,California,06,025,41079.0
Inyo County,California,06,027,45955.0
Kern County,California,06,029,49026.0
Kings County,California,06,031,46481.0
Lake County,California,06,033,35578.0
Lassen County,California,06,035,51555.0
Los Angeles County,California,06,037,56196.0
Madera County,California,06,039,45073.0
Marin County,California,06,041,93257.0
Mariposa County,California,06,043,47681.0
Mendocino County,California,06,045,42980.0
Merced County,California,06,047,42462.0
Modoc County,California,06,049,37860.0
Mono County,California,06,051,56944.0
Monterey County,California,06,053,58783.0
Napa County,California,06,055,71379.0
Nevada County,California,06,057,56521.0
Orange County,California,06,059,76509.0
Placer County,California,06,061,73948.0
Plumas County,California,06,063,47333.0
Riverside County,California,06,065,56603.0
Sacramento County,California,06,067,55987.0
San Benito County,California,06,069,71077.0
San Bernardino County,California,06,071,53433.0
San Diego County,California,06,073,64309.0
San Francisco County,California,06,075,81294.0
San Joaquin County,California,06,077,53274.0
San Luis Obispo County,California,06,079,60691.0
San Mateo County,California,06,081,93623.0
Santa Barbara County,California,06,083,63985.0
Santa Clara County,California,06,085,96310.0
Santa Cruz County,California,06,087,67256.0
Shasta County,California,06,089,44620.0
Sierra County,California,06,091,42833.0
Siskiyou County,California,06,093,37170.0
Solano County,California,06,095,66828.0
Sonoma County,California,06,097,64240.0
Stanislaus County,California,06,099,50125.0
Sutter County,California,06,101,52017.0
Tehama County,California,06,103,41001.0
Trinity County,California,06,105,34974.0
Tulare County,California,06,107,42031.0
Tuolumne County,California,06,109,50306.0
Ventura County,California,06,111,77348.0
Yolo County,California,06,113,54989.0
Yuba County,California,06,115,46892.0
Alamosa County,Colorado,08,003,32395.0
Archuleta County,Colorado,08,007,46646.0
Baca County,Colorado,08,009,38000.0
Bent County,Colorado,08,011,36791.0
Chaffee County,Colorado,08,015,51092.0
Cheyenne County,Colorado,08,017,52554.0
Clear Creek County,Colorado,08,019,67710.0
Conejos County,Colorado,08,021,36652.0
Costilla County,Colorado,08,023,31321.0
Crowley County,Colorado,08,025,31151.0
Custer County,Colorado,08,027,35000.0
Delta County,Colorado,08,029,42452.0
Dolores County,Colorado,08,033,31875.0
Douglas County,Colorado,08,035,102964.0
Eagle County,Colorado,08,037,72214.0
Elbert County,Colorado,08,039,84963.0
El Paso County,Colorado,08,041,58206.0
Fremont County,Colorado,08,043,40423.0
Garfield County,Colorado,08,045,56590.0
Gilpin County,Colorado,08,047,65670.0
Grand County,Colorado,08,049,63628.0
Gunnison County,Colorado,08,051,48071.0
Huerfano County,Colorado,08,055,31715.0
Jackson County,Colorado,08,057,46014.0
Kiowa County,Colorado,08,061,40304.0
Kit Carson County,Colorado,08,063,40603.0
Lake County,Colorado,08,065,45367.0
La Plata County,Colorado,08,067,60278.0
Larimer County,Colorado,08,069,59805.0
Las Animas County,Colorado,08,071,45067.0
Lincoln County,Colorado,08,073,39005.0
Logan County,Colorado,08,075,42319.0
Mesa County,Colorado,08,077,49322.0
Moffat County,Colorado,08,081,51387.0
Montezuma County,Colorado,08,083,43553.0
Montrose County,Colorado,08,085,43999.0
Morgan County,Colorado,08,087,48450.0
Otero County,Colorado,08,089,32311.0
Ouray County,Colorado,08,091,61624.0
Park County,Colorado,08,093,56969.0
Phillips County,Colorado,08,095,43639.0
Pitkin County,Colorado,08,097,71196.0
Prowers County,Colorado,08,099,40179.0
Pueblo County,Colorado,08,101,41286.0
Rio Blanco County,Colorado,08,103,61842.0
Rio Grande County,Colorado,08,105,39672.0
Routt County,Colorado,08,107,64963.0
Saguache County,Colorado,08,109,33393.0
San Miguel County,Colorado,08,113,56047.0
Sedgwick County,Colorado,08,115,44191.0
Summit County,Colorado,08,117,67983.0
Teller County,Colorado,08,119,62372.0
Washington County,Colorado,08,121,45541.0
Yuma County,Colorado,08,125,43105.0
Adams County,Colorado,08,001,58946.0
Arapahoe County,Colorado,08,005,63265.0
Boulder County,Colorado,08,013,70961.0
Broomfield County,Colorado,08,014,81898.0
Denver County,Colorado,08,031,53637.0
Jefferson County,Colorado,08,059,70164.0
Weld County,Colorado,08,123,60572.0
Fairfield County,Connecticut,09,001,84233.0
Hartford County,Connecticut,09,003,66395.0
Litchfield County,Connecticut,09,005,72061.0
Middlesex County,Connecticut,09,007,79893.0
New Haven County,Connecticut,09,009,61640.0
New London County,Connecticut,09,011,66233.0
Tolland County,Connecticut,09,013,79626.0
Windham County,Connecticut,09,015,59392.0
Kent County,Delaware,10,001,54976.0
New Castle County,Delaware,10,003,65476.0
Sussex County,Delaware,10,005,53751.0
Alachua County,Florida,12,001,43073.0
Baker County,Florida,12,003,47121.0
Bay County,Florida,12,005,47368.0
Bradford County,Florida,12,007,41606.0
Brevard County,Florida,12,009,48925.0
Broward County,Florida,12,011,51968.0
Calhoun County,Florida,12,013,34510.0
Charlotte County,Florida,12,015,44244.0
Citrus County,Florida,12,017,38312.0
Clay County,Florida,12,019,58290.0
Collier County,Florida,12,021,57452.0
Columbia County,Florida,12,023,41926.0
Miami-Dade County,Florida,12,086,43129.0
DeSoto County,Florida,12,027,35165.0
Dixie County,Florida,12,029,36292.0
Duval County,Florida,12,031,47690.0
Escambia County,Florida,12,033,45390.0
Flagler County,Florida,12,035,47866.0
Franklin County,Florida,12,037,40401.0
Gadsden County,Florida,12,039,35567.0
Gilchrist County,Florida,12,041,40623.0
Glades County,Florida,12,043,34877.0
Gulf County,Florida,12,045,41788.0
Hamilton County,Florida,12,047,35048.0
Hardee County,Florida,12,049,35457.0
Hendry County,Florida,12,051,36771.0
Hernando County,Florida,12,053,40945.0
Highlands County,Florida,12,055,35093.0
Hillsborough County,Florida,12,057,50579.0
Holmes County,Florida,12,059,35020.0
Indian River County,Florida,12,061,45798.0
Jackson County,Florida,12,063,35098.0
