County,State,State_FIPS,County_FIPS,native_american_population
Autauga County,Alabama,01,001,140.0
Baldwin County,Alabama,01,003,1645.0
Barbour County,Alabama,01,005,82.0
Bibb County,Alabama,01,007,30.0
Blount County,Alabama,01,009,46.0
Bullock County,Alabama,01,011,0.0
Butler County,Alabama,01,013,11.0
Calhoun County,Alabama,01,015,379.0
Chambers County,Alabama,01,017,112.0
Cherokee County,Alabama,01,019,280.0
Chilton County,Alabama,01,021,361.0
Choctaw County,Alabama,01,023,8.0
Clarke County,Alabama,01,025,26.0
Clay County,Alabama,01,027,37.0
Cleburne County,Alabama,01,029,14.0
Coffee County,Alabama,01,031,640.0
Colbert County,Alabama,01,033,319.0
Conecuh County,Alabama,01,035,25.0
Coosa County,Alabama,01,037,9.0
Covington County,Alabama,01,039,22.0
Crenshaw County,Alabama,01,041,97.0
Cullman County,Alabama,01,043,234.0
Dale County,Alabama,01,045,386.0
Dallas County,Alabama,01,047,37.0
DeKalb County,Alabama,01,049,841.0
Elmore County,Alabama,01,051,214.0
Escambia County,Alabama,01,053,1479.0
Etowah County,Alabama,01,055,581.0
Fayette County,Alabama,01,057,0.0
Franklin County,Alabama,01,059,408.0
Geneva County,Alabama,01,061,250.0
Greene County,Alabama,01,063,37.0
Hale County,Alabama,01,065,30.0
Henry County,Alabama,01,067,30.0
Houston County,Alabama,01,069,271.0
Jackson County,Alabama,01,071,629.0
Jefferson County,Alabama,01,073,1443.0
Lamar County,Alabama,01,075,3.0
Lauderdale County,Alabama,01,077,363.0
Lawrence County,Alabama,01,079,1852.0
Lee County,Alabama,01,081,296.0
Limestone County,Alabama,01,083,723.0
Lowndes County,Alabama,01,085,13.0
Macon County,Alabama,01,087,16.0
Madison County,Alabama,01,089,2124.0
Marengo County,Alabama,01,091,21.0
Marion County,Alabama,01,093,141.0
Marshall County,Alabama,01,095,378.0
Mobile County,Alabama,01,097,3192.0
Monroe County,Alabama,01,099,372.0
Montgomery County,Alabama,01,101,468.0
Morgan County,Alabama,01,103,574.0
Perry County,Alabama,01,105,3.0
Pickens County,Alabama,01,107,28.0
Pike County,Alabama,01,109,188.0
Randolph County,Alabama,01,111,38.0
Russell County,Alabama,01,113,179.0
Saint Clair County,Alabama,01,115,351.0
Shelby County,Alabama,01,117,736.0
Sumter County,Alabama,01,119,9.0
Talladega County,Alabama,01,121,342.0
Tallapoosa County,Alabama,01,123,90.0
Tuscaloosa County,Alabama,01,125,448.0
Walker County,Alabama,01,127,143.0
Washington County,Alabama,01,129,1221.0
Wilcox County,Alabama,01,131,19.0
Winston County,Alabama,01,133,81.0
Anchorage Municipality,Alaska,02,020,23241.0
Bethel Census Area,Alaska,02,050,15075.0
Bristol Bay Borough,Alaska,02,060,299.0
Fairbanks North Star Borough,Alaska,02,090,7849.0
Haines Borough,Alaska,02,100,222.0
Juneau City and Borough,Alaska,02,110,3409.0
Kenai Peninsula Borough,Alaska,02,122,4574.0
Kodiak Island Borough,Alaska,02,150,1667.0
Matanuska-Susitna Borough,Alaska,02,170,6529.0
Nome Census Area,Alaska,02,180,7572.0
North Slope Borough,Alaska,02,185,5017.0
Sitka City and Borough,Alaska,02,220,1133.0
Southeast Fairbanks Census Area,Alaska,02,240,954.0
Valdez-Cordova Census Area,Alaska,02,261,1286.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,6343.0
Aleutians East Borough,Alaska,02,013,1580.0
Aleutians West Census Area,Alaska,02,016,614.0
Dillingham Census Area,Alaska,02,070,3569.0
Lake and Peninsula Borough,Alaska,02,164,973.0
Denali Borough,Alaska,02,068,49.0
Yukon-Koyukuk Census Area,Alaska,02,290,3731.0
Hoonah-Angoon Census Area,Alaska,02,105,804.0
Skagway Municipality,Alaska,02,230,66.0
Yakutat City and Borough,Alaska,02,282,251.0
Ketchikan Gateway Borough,Alaska,02,130,1969.0
Petersburg Borough,Alaska,02,195,253.0
Prince of Wales-Hyder Census Area,Alaska,02,198,2510.0
Wrangell City and Borough,Alaska,02,275,612.0
Apache County,Arizona,04,001,52755.0
Cochise County,Arizona,04,003,1563.0
Coconino County,Arizona,04,005,37504.0
Gila County,Arizona,04,007,8733.0
Graham County,Arizona,04,009,4804.0
Greenlee County,Arizona,04,011,369.0
Maricopa County,Arizona,04,013,85876.0
Mohave County,Arizona,04,015,4727.0
Navajo County,Arizona,04,017,48795.0
Pima County,Arizona,04,019,39914.0
Pinal County,Arizona,04,021,21852.0
Santa Cruz County,Arizona,04,023,360.0
Yavapai County,Arizona,04,025,3819.0
La Paz County,Arizona,04,012,3109.0
Yuma County,Arizona,04,027,3234.0
Arkansas County,Arkansas,05,001,30.0
Ashley County,Arkansas,05,003,45.0
Baxter County,Arkansas,05,005,176.0
Benton County,Arkansas,05,007,3707.0
Boone County,Arkansas,05,009,213.0
Bradley County,Arkansas,05,011,125.0
Calhoun County,Arkansas,05,013,9.0
Carroll County,Arkansas,05,015,233.0
Chicot County,Arkansas,05,017,15.0
Clark County,Arkansas,05,019,80.0
