County,State,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,01,001,29372.0
Baldwin County,Alabama,01,003,31203.0
Barbour County,Alabama,01,005,18461.0
Bibb County,Alabama,01,007,20199.0
Blount County,Alabama,01,009,22656.0
Bullock County,Alabama,01,011,20346.0
Butler County,Alabama,01,013,20430.0
Calhoun County,Alabama,01,015,24706.0
Chambers County,Alabama,01,017,22827.0
Cherokee County,Alabama,01,019,23356.0
Chilton County,Alabama,01,021,24611.0
Choctaw County,Alabama,01,023,22182.0
Clarke County,Alabama,01,025,21111.0
Clay County,Alabama,01,027,23147.0
Cleburne County,Alabama,01,029,21989.0
Coffee County,Alabama,01,031,27577.0
Colbert County,Alabama,01,033,24918.0
Conecuh County,Alabama,01,035,17542.0
Coosa County,Alabama,01,037,22963.0
Covington County,Alabama,01,039,23071.0
Crenshaw County,Alabama,01,041,23353.0
Cullman County,Alabama,01,043,22980.0
Dale County,Alabama,01,045,23837.0
Dallas County,Alabama,01,047,18910.0
DeKalb County,Alabama,01,049,21004.0
Elmore County,Alabama,01,051,27475.0
Escambia County,Alabama,01,053,18161.0
Etowah County,Alabama,01,055,24065.0
Fayette County,Alabama,01,057,21862.0
Franklin County,Alabama,01,059,19776.0
Geneva County,Alabama,01,061,20471.0
Greene County,Alabama,01,063,14209.0
Hale County,Alabama,01,065,20272.0
Henry County,Alabama,01,067,24069.0
Houston County,Alabama,01,069,25990.0
Jackson County,Alabama,01,071,21608.0
Jefferson County,Alabama,01,073,30657.0
Lamar County,Alabama,01,075,21666.0
Lauderdale County,Alabama,01,077,27189.0
Lawrence County,Alabama,01,079,23557.0
Lee County,Alabama,01,081,26960.0
Limestone County,Alabama,01,083,27699.0
Lowndes County,Alabama,01,085,19491.0
Macon County,Alabama,01,087,20125.0
Madison County,Alabama,01,089,35526.0
Marengo County,Alabama,01,091,23056.0
Marion County,Alabama,01,093,21391.0
Marshall County,Alabama,01,095,23833.0
Mobile County,Alabama,01,097,25215.0
Monroe County,Alabama,01,099,18890.0
Montgomery County,Alabama,01,101,28008.0
Morgan County,Alabama,01,103,25907.0
Perry County,Alabama,01,105,13678.0
Pickens County,Alabama,01,107,22417.0
Pike County,Alabama,01,109,21137.0
Randolph County,Alabama,01,111,23247.0
Russell County,Alabama,01,113,22055.0
Saint Clair County,Alabama,01,115,24861.0
Shelby County,Alabama,01,117,36576.0
Sumter County,Alabama,01,119,15882.0
Talladega County,Alabama,01,121,22498.0
Tallapoosa County,Alabama,01,123,23655.0
Tuscaloosa County,Alabama,01,125,26064.0
Walker County,Alabama,01,127,22772.0
Washington County,Alabama,01,129,22776.0
Wilcox County,Alabama,01,131,16584.0
Winston County,Alabama,01,133,21799.0
Anchorage Municipality,Alaska,02,020,39839.0
Bethel Census Area,Alaska,02,050,19760.0
Bristol Bay Borough,Alaska,02,060,45259.0
Fairbanks North Star Borough,Alaska,02,090,36374.0
Haines Borough,Alaska,02,100,33521.0
Juneau City and Borough,Alaska,02,110,43276.0
Kenai Peninsula Borough,Alaska,02,122,33820.0
Kodiak Island Borough,Alaska,02,150,32516.0
Matanuska-Susitna Borough,Alaska,02,170,30943.0
Nome Census Area,Alaska,02,180,22293.0
North Slope Borough,Alaska,02,185,49903.0
Sitka City and Borough,Alaska,02,220,38423.0
Southeast Fairbanks Census Area,Alaska,02,240,32409.0
Valdez-Cordova Census Area,Alaska,02,261,38507.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,23230.0
Aleutians East Borough,Alaska,02,013,32510.0
Aleutians West Census Area,Alaska,02,016,37070.0
Dillingham Census Area,Alaska,02,070,25334.0
Lake and Peninsula Borough,Alaska,02,164,24571.0
Denali Borough,Alaska,02,068,34956.0
Yukon-Koyukuk Census Area,Alaska,02,290,22386.0
Hoonah-Angoon Census Area,Alaska,02,105,35355.0
Skagway Municipality,Alaska,02,230,39842.0
Yakutat City and Borough,Alaska,02,282,31878.0
Ketchikan Gateway Borough,Alaska,02,130,34900.0
Petersburg Borough,Alaska,02,195,33227.0
Prince of Wales-Hyder Census Area,Alaska,02,198,27236.0
Wrangell City and Borough,Alaska,02,275,31489.0
Apache County,Arizona,04,001,14499.0
Cochise County,Arizona,04,003,25436.0
Coconino County,Arizona,04,005,26387.0
Gila County,Arizona,04,007,22939.0
Graham County,Arizona,04,009,18113.0
Greenlee County,Arizona,04,011,25349.0
Maricopa County,Arizona,04,013,31697.0
Mohave County,Arizona,04,015,24829.0
Navajo County,Arizona,04,017,18333.0
Pima County,Arizona,04,019,28480.0
Pinal County,Arizona,04,021,23653.0
Santa Cruz County,Arizona,04,023,20324.0
Yavapai County,Arizona,04,025,28829.0
La Paz County,Arizona,04,012,21845.0
Yuma County,Arizona,04,027,21178.0
Arkansas County,Arkansas,05,001,24714.0
Ashley County,Arkansas,05,003,22052.0
Baxter County,Arkansas,05,005,26004.0
Benton County,Arkansas,05,007,32624.0
Boone County,Arkansas,05,009,23998.0
Bradley County,Arkansas,05,011,22411.0
Calhoun County,Arkansas,05,013,24509.0
Carroll County,Arkansas,05,015,24185.0
Chicot County,Arkansas,05,017,21843.0
