County,State,State_FIPS,County_FIPS,poverty_rate
Autauga County,Alabama,01,001,12.9
Baldwin County,Alabama,01,003,13.4
Barbour County,Alabama,01,005,26.7
Bibb County,Alabama,01,007,16.8
Blount County,Alabama,01,009,16.7
Bullock County,Alabama,01,011,24.6
Butler County,Alabama,01,013,25.4
Calhoun County,Alabama,01,015,20.5
Chambers County,Alabama,01,017,21.6
Cherokee County,Alabama,01,019,19.2
Chilton County,Alabama,01,021,19.1
Choctaw County,Alabama,01,023,23.4
Clarke County,Alabama,01,025,24.7
Clay County,Alabama,01,027,16.7
Cleburne County,Alabama,01,029,17.0
Coffee County,Alabama,01,031,17.1
Colbert County,Alabama,01,033,17.4
Conecuh County,Alabama,01,035,33.8
Coosa County,Alabama,01,037,19.3
Covington County,Alabama,01,039,20.2
Crenshaw County,Alabama,01,041,16.7
Cullman County,Alabama,01,043,18.5
Dale County,Alabama,01,045,19.1
Dallas County,Alabama,01,047,35.0
DeKalb County,Alabama,01,049,18.7
Elmore County,Alabama,01,051,13.6
Escambia County,Alabama,01,053,24.2
Etowah County,Alabama,01,055,19.7
Fayette County,Alabama,01,057,18.3
Franklin County,Alabama,01,059,22.5
Geneva County,Alabama,01,061,23.2
Greene County,Alabama,01,063,40.2
Hale County,Alabama,01,065,26.8
Henry County,Alabama,01,067,15.6
Houston County,Alabama,01,069,18.3
Jackson County,Alabama,01,071,18.0
Jefferson County,Alabama,01,073,18.8
Lamar County,Alabama,01,075,24.1
Lauderdale County,Alabama,01,077,17.9
Lawrence County,Alabama,01,079,18.7
Lee County,Alabama,01,081,23.8
Limestone County,Alabama,01,083,14.3
Lowndes County,Alabama,01,085,28.5
Macon County,Alabama,01,087,25.9
Madison County,Alabama,01,089,13.7
Marengo County,Alabama,01,091,26.1
Marion County,Alabama,01,093,20.1
Marshall County,Alabama,01,095,20.2
Mobile County,Alabama,01,097,19.3
Monroe County,Alabama,01,099,31.4
Montgomery County,Alabama,01,101,22.6
Morgan County,Alabama,01,103,16.1
Perry County,Alabama,01,105,36.4
Pickens County,Alabama,01,107,25.0
Pike County,Alabama,01,109,26.1
Randolph County,Alabama,01,111,20.4
Russell County,Alabama,01,113,21.0
Saint Clair County,Alabama,01,115,16.0
Shelby County,Alabama,01,117,8.3
Sumter County,Alabama,01,119,42.7
Talladega County,Alabama,01,121,23.0
Tallapoosa County,Alabama,01,123,22.5
Tuscaloosa County,Alabama,01,125,19.1
Walker County,Alabama,01,127,22.5
Washington County,Alabama,01,129,19.1
Wilcox County,Alabama,01,131,37.7
Winston County,Alabama,01,133,21.9
Anchorage Municipality,Alaska,02,020,8.2
Bethel Census Area,Alaska,02,050,25.2
Bristol Bay Borough,Alaska,02,060,7.2
Fairbanks North Star Borough,Alaska,02,090,8.1
Haines Borough,Alaska,02,100,5.3
Juneau City and Borough,Alaska,02,110,6.6
Kenai Peninsula Borough,Alaska,02,122,10.0
Kodiak Island Borough,Alaska,02,150,11.3
Matanuska-Susitna Borough,Alaska,02,170,10.0
Nome Census Area,Alaska,02,180,27.0
North Slope Borough,Alaska,02,185,10.2
Sitka City and Borough,Alaska,02,220,9.0
Southeast Fairbanks Census Area,Alaska,02,240,14.5
Valdez-Cordova Census Area,Alaska,02,261,10.9
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,23.8
Aleutians East Borough,Alaska,02,013,16.8
Aleutians West Census Area,Alaska,02,016,9.1
Dillingham Census Area,Alaska,02,070,18.1
Lake and Peninsula Borough,Alaska,02,164,16.8
Denali Borough,Alaska,02,068,12.7
Yukon-Koyukuk Census Area,Alaska,02,290,22.4
Hoonah-Angoon Census Area,Alaska,02,105,11.9
Skagway Municipality,Alaska,02,230,4.4
Yakutat City and Borough,Alaska,02,282,5.4
Ketchikan Gateway Borough,Alaska,02,130,12.1
Petersburg Borough,Alaska,02,195,10.2
Prince of Wales-Hyder Census Area,Alaska,02,198,14.6
Wrangell City and Borough,Alaska,02,275,11.8
Apache County,Arizona,04,001,36.6
Cochise County,Arizona,04,003,17.9
Coconino County,Arizona,04,005,22.7
Gila County,Arizona,04,007,22.7
Graham County,Arizona,04,009,22.6
Greenlee County,Arizona,04,011,13.7
Maricopa County,Arizona,04,013,17.0
Mohave County,Arizona,04,015,19.8
Navajo County,Arizona,04,017,30.6
Pima County,Arizona,04,019,19.3
Pinal County,Arizona,04,021,17.3
Santa Cruz County,Arizona,04,023,23.5
Yavapai County,Arizona,04,025,16.0
La Paz County,Arizona,04,012,19.1
Yuma County,Arizona,04,027,20.7
Arkansas County,Arkansas,05,001,20.1
Ashley County,Arkansas,05,003,20.7
