County,State,mean_life_expectancy,State_FIPS,County_FIPS,total_population
Autauga County,Alabama,76.0923839492951,01,001,55136.0
Baldwin County,Alabama,77.9590260303945,01,003,191205.0
Barbour County,Alabama,75.723760010315,01,005,27119.0
Bibb County,Alabama,74.0704786684836,01,007,22653.0
Blount County,Alabama,75.57623817677,01,009,57645.0
Bullock County,Alabama,73.9667452558383,01,011,10693.0
Butler County,Alabama,74.1879513563979,01,013,20523.0
Calhoun County,Alabama,73.7500629106712,01,015,117186.0
Chambers County,Alabama,74.4744393001101,01,017,34091.0
Cherokee County,Alabama,74.8083588255097,01,019,26042.0
Chilton County,Alabama,74.361687582335,01,021,43781.0
Choctaw County,Alabama,74.767407753043,01,023,13546.0
Clarke County,Alabama,75.234900184891,01,025,25331.0
Clay County,Alabama,74.7573360142862,01,027,13617.0
Cleburne County,Alabama,74.1228766542021,01,029,14990.0
Coffee County,Alabama,76.7812212244236,01,031,50726.0
Colbert County,Alabama,74.7421988900332,01,033,54491.0
Conecuh County,Alabama,73.8726045151823,01,035,12985.0
Coosa County,Alabama,75.2580877653134,01,037,11247.0
Covington County,Alabama,74.8659701913572,01,039,37881.0
Crenshaw County,Alabama,74.4189555245288,01,041,13938.0
Cullman County,Alabama,74.9300732935393,01,043,80668.0
Dale County,Alabama,75.9998085962609,01,045,50013.0
Dallas County,Alabama,72.1686309532854,01,047,42743.0
DeKalb County,Alabama,74.7318781453857,01,049,71074.0
Elmore County,Alabama,75.9399909370708,01,051,80321.0
Escambia County,Alabama,73.7808302047218,01,053,38042.0
Etowah County,Alabama,73.3708247850727,01,055,104126.0
Fayette County,Alabama,74.0659626546655,01,057,17019.0
Franklin County,Alabama,73.5137577154115,01,059,31663.0
Geneva County,Alabama,75.0218977493571,01,061,26816.0
Greene County,Alabama,74.4811078615176,01,063,8798.0
Hale County,Alabama,74.1560323615994,01,065,15393.0
Henry County,Alabama,75.7543594558265,01,067,17270.0
Houston County,Alabama,76.559115914522,01,069,103079.0
Jackson County,Alabama,73.5264035395202,01,071,53012.0
Jefferson County,Alabama,74.9798554080244,01,073,658834.0
Lamar County,Alabama,74.7116839103121,01,075,14268.0
Lauderdale County,Alabama,76.1300402688184,01,077,92780.0
Lawrence County,Alabama,73.989537746666,01,079,33835.0
Lee County,Alabama,77.5595991086487,01,081,147790.0
Limestone County,Alabama,77.4754459389285,01,083,87167.0
Lowndes County,Alabama,72.2634055675833,01,085,10918.0
Macon County,Alabama,73.4904632643591,01,087,20505.0
Madison County,Alabama,77.8536736827048,01,089,343229.0
Marengo County,Alabama,74.0363714016051,01,091,20489.0
Marion County,Alabama,74.4921559001086,01,093,30527.0
Marshall County,Alabama,74.1039393352051,01,095,94121.0
Mobile County,Alabama,75.1117597992232,01,097,414045.0
Monroe County,Alabama,75.0245488974323,01,099,22509.0
Montgomery County,Alabama,76.1126905968678,01,101,228850.0
Morgan County,Alabama,75.7548165522007,01,103,119744.0
Perry County,Alabama,72.5637425616024,01,105,10203.0
Pickens County,Alabama,74.4392811093029,01,107,19629.0
Pike County,Alabama,75.2623836523974,01,109,33216.0
Randolph County,Alabama,74.7053091696992,01,111,22724.0
Russell County,Alabama,74.3805861878772,01,113,56980.0
Saint Clair County,Alabama,75.1216644950582,01,115,85242.0
Shelby County,Alabama,79.9186609893026,01,117,201168.0
Sumter County,Alabama,74.4570441053706,01,119,13433.0
Talladega County,Alabama,73.6869492872818,01,121,81673.0
Tallapoosa County,Alabama,75.1270284243972,01,123,41295.0
Tuscaloosa County,Alabama,76.2841722904781,01,125,198670.0
Walker County,Alabama,70.7322477452283,01,127,66211.0
Washington County,Alabama,74.6503643642396,01,129,17137.0
Wilcox County,Alabama,72.0305770620779,01,131,11367.0
Winston County,Alabama,74.5222642002393,01,133,24256.0
Anchorage Municipality,Alaska,78.9022024656191,02,020,298178.0
Bethel Census Area,Alaska,72.9844076508492,02,050,17576.0
Bristol Bay Borough,Alaska,75.8752123759168,02,060,995.0
Fairbanks North Star Borough,Alaska,79.6481705666333,02,090,99319.0
Haines Borough,Alaska,81.5832545334811,02,100,2557.0
Juneau City and Borough,Alaska,80.0410654674188,02,110,32200.0
Kenai Peninsula Borough,Alaska,78.5607964481768,02,122,56687.0
Kodiak Island Borough,Alaska,79.5249195452452,02,150,13924.0
