County,State,State_FIPS,County_FIPS,total_population
Autauga County,Alabama,01,001,55049.0
Baldwin County,Alabama,01,003,199510.0
Barbour County,Alabama,01,005,26614.0
Bibb County,Alabama,01,007,22572.0
Blount County,Alabama,01,009,57704.0
Bullock County,Alabama,01,011,10552.0
Butler County,Alabama,01,013,20280.0
Calhoun County,Alabama,01,015,115883.0
Chambers County,Alabama,01,017,34018.0
Cherokee County,Alabama,01,019,25897.0
Chilton County,Alabama,01,021,43817.0
Choctaw County,Alabama,01,023,13287.0
Clarke County,Alabama,01,025,24847.0
Clay County,Alabama,01,027,13483.0
Cleburne County,Alabama,01,029,14991.0
Coffee County,Alabama,01,031,50991.0
Colbert County,Alabama,01,033,54377.0
Conecuh County,Alabama,01,035,12697.0
Coosa County,Alabama,01,037,10864.0
Covington County,Alabama,01,039,37729.0
Crenshaw County,Alabama,01,041,13896.0
Cullman County,Alabama,01,043,81316.0
Dale County,Alabama,01,045,49607.0
Dallas County,Alabama,01,047,41426.0
DeKalb County,Alabama,01,049,70937.0
Elmore County,Alabama,01,051,80957.0
Escambia County,Alabama,01,053,37875.0
Etowah County,Alabama,01,055,103363.0
Fayette County,Alabama,01,057,16783.0
Franklin County,Alabama,01,059,31573.0
Geneva County,Alabama,01,061,26765.0
Greene County,Alabama,01,063,8587.0
Hale County,Alabama,01,065,15159.0
Henry County,Alabama,01,067,17187.0
Houston County,Alabama,01,069,103891.0
Jackson County,Alabama,01,071,52608.0
Jefferson County,Alabama,01,073,659096.0
Lamar County,Alabama,01,075,14066.0
Lauderdale County,Alabama,01,077,92641.0
Lawrence County,Alabama,01,079,33433.0
Lee County,Alabama,01,081,153947.0
Limestone County,Alabama,01,083,90257.0
Lowndes County,Alabama,01,085,10565.0
Macon County,Alabama,01,087,19684.0
Madison County,Alabama,01,089,349973.0
Marengo County,Alabama,01,091,20066.0
Marion County,Alabama,01,093,30239.0
Marshall County,Alabama,01,095,94534.0
Mobile County,Alabama,01,097,414291.0
Monroe County,Alabama,01,099,21975.0
Montgomery County,Alabama,01,101,227392.0
Morgan County,Alabama,01,103,119555.0
Perry County,Alabama,01,105,9856.0
Pickens County,Alabama,01,107,20042.0
Pike County,Alabama,01,109,33277.0
Randolph County,Alabama,01,111,22615.0
Russell County,Alabama,01,113,58636.0
Saint Clair County,Alabama,01,115,86576.0
Shelby County,Alabama,01,117,205951.0
Sumter County,Alabama,01,119,13285.0
Talladega County,Alabama,01,121,81057.0
Tallapoosa County,Alabama,01,123,40958.0
Tuscaloosa County,Alabama,01,125,202471.0
Walker County,Alabama,01,127,65593.0
Washington County,Alabama,01,129,16909.0
Wilcox County,Alabama,01,131,11119.0
Winston County,Alabama,01,133,24013.0
Anchorage Municipality,Alaska,02,020,299321.0
Bethel Census Area,Alaska,02,050,17885.0
Bristol Bay Borough,Alaska,02,060,942.0
Fairbanks North Star Borough,Alaska,02,090,100150.0
Haines Borough,Alaska,02,100,2528.0
Juneau City and Borough,Alaska,02,110,32524.0
Kenai Peninsula Borough,Alaska,02,122,57637.0
Kodiak Island Borough,Alaska,02,150,13918.0
Matanuska-Susitna Borough,Alaska,02,170,98679.0
Nome Census Area,Alaska,02,180,9879.0
North Slope Borough,Alaska,02,185,9681.0
Sitka City and Borough,Alaska,02,220,8921.0
Southeast Fairbanks Census Area,Alaska,02,240,6970.0
Valdez-Cordova Census Area,Alaska,02,261,9522.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,7723.0
Aleutians East Borough,Alaska,02,013,3299.0
Aleutians West Census Area,Alaska,02,016,5714.0
Dillingham Census Area,Alaska,02,070,4980.0
Lake and Peninsula Borough,Alaska,02,164,1411.0
Denali Borough,Alaska,02,068,2125.0
Yukon-Koyukuk Census Area,Alaska,02,290,5600.0
Hoonah-Angoon Census Area,Alaska,02,105,2107.0
Skagway Municipality,Alaska,02,230,1014.0
Yakutat City and Borough,Alaska,02,282,646.0
Ketchikan Gateway Borough,Alaska,02,130,13715.0
Petersburg Borough,Alaska,02,195,3196.0
Prince of Wales-Hyder Census Area,Alaska,02,198,6374.0
Wrangell City and Borough,Alaska,02,275,2401.0
Apache County,Arizona,04,001,72346.0
Cochise County,Arizona,04,003,128177.0
Coconino County,Arizona,04,005,138064.0
Gila County,Arizona,04,007,53179.0
Graham County,Arizona,04,009,37529.0
Greenlee County,Arizona,04,011,9224.0
Maricopa County,Arizona,04,013,4088549.0
Mohave County,Arizona,04,015,203629.0
Navajo County,Arizona,04,017,108209.0
Pima County,Arizona,04,019,1003338.0
Pinal County,Arizona,04,021,397604.0
Santa Cruz County,Arizona,04,023,46547.0
Yavapai County,Arizona,04,025,218586.0
La Paz County,Arizona,04,012,20304.0
Yuma County,Arizona,04,027,203292.0
Arkansas County,Arkansas,05,001,18569.0
Ashley County,Arkansas,05,003,20989.0
Baxter County,Arkansas,05,005,40992.0
Benton County,Arkansas,05,007,245231.0
Boone County,Arkansas,05,009,37301.0
Bradley County,Arkansas,05,011,11096.0
Calhoun County,Arkansas,05,013,5210.0
Carroll County,Arkansas,05,015,27690.0
Chicot County,Arkansas,05,017,11189.0
Clark County,Arkansas,05,019,22684.0
Clay County,Arkansas,05,021,15202.0
Cleburne County,Arkansas,05,023,25587.0
Cleveland County,Arkansas,05,025,8421.0
Columbia County,Arkansas,05,027,24168.0
Conway County,Arkansas,05,029,21060.0
Craighead County,Arkansas,05,031,102884.0
Crawford County,Arkansas,05,033,61927.0
Crittenden County,Arkansas,05,035,49511.0
Cross County,Arkansas,05,037,17329.0
Dallas County,Arkansas,05,039,7738.0
Desha County,Arkansas,05,041,12234.0
Drew County,Arkansas,05,043,18688.0
Faulkner County,Arkansas,05,045,120417.0
Franklin County,Arkansas,05,047,17799.0
Fulton County,Arkansas,05,049,12186.0
Garland County,Arkansas,05,051,97119.0
Grant County,Arkansas,05,053,18046.0
Greene County,Arkansas,05,055,43745.0
Hempstead County,Arkansas,05,057,22208.0
Hot Spring County,Arkansas,05,059,33440.0
Howard County,Arkansas,05,061,13487.0
Independence County,Arkansas,05,063,37030.0
Izard County,Arkansas,05,065,13461.0
Jackson County,Arkansas,05,067,17495.0
Jefferson County,Arkansas,05,069,72385.0
Johnson County,Arkansas,05,071,26025.0
Lafayette County,Arkansas,05,073,7127.0
Lawrence County,Arkansas,05,075,16915.0
Lee County,Arkansas,05,077,9781.0
Lincoln County,Arkansas,05,079,13935.0
Little River County,Arkansas,05,081,12616.0
Logan County,Arkansas,05,083,21935.0
Lonoke County,Arkansas,05,085,71279.0
Madison County,Arkansas,05,087,15761.0
Marion County,Arkansas,05,089,16404.0
Miller County,Arkansas,05,091,43666.0
Mississippi County,Arkansas,05,093,44199.0
Monroe County,Arkansas,05,095,7542.0
Montgomery County,Arkansas,05,097,9100.0
Nevada County,Arkansas,05,099,8668.0
Newton County,Arkansas,05,101,7988.0
Ouachita County,Arkansas,05,103,24728.0
Perry County,Arkansas,05,105,10246.0
