County,State,State_FIPS,County_FIPS,total_population_race
Autauga County,Alabama,01,001,54590
Baldwin County,Alabama,01,003,183226
Barbour County,Alabama,01,005,27469
Bibb County,Alabama,01,007,22769
Blount County,Alabama,01,009,57466
Bullock County,Alabama,01,011,10779
Butler County,Alabama,01,013,20730
Calhoun County,Alabama,01,015,117834
Chambers County,Alabama,01,017,34228
Cherokee County,Alabama,01,019,25917
Chilton County,Alabama,01,021,43611
Choctaw County,Alabama,01,023,13838
Clarke County,Alabama,01,025,25768
Clay County,Alabama,01,027,13828
Cleburne County,Alabama,01,029,14905
Coffee County,Alabama,01,031,49966
Colbert County,Alabama,01,033,54451
Conecuh County,Alabama,01,035,13188
Coosa County,Alabama,01,037,11305
Covington County,Alabama,01,039,37803
Crenshaw County,Alabama,01,041,13971
Cullman County,Alabama,01,043,80403
Dale County,Alabama,01,045,50129
Dallas County,Alabama,01,047,43572
DeKalb County,Alabama,01,049,70949
Elmore County,Alabama,01,051,79330
Escambia County,Alabama,01,053,38122
Etowah County,Alabama,01,055,104317
Fayette County,Alabama,01,057,17219
Franklin County,Alabama,01,059,31664
Geneva County,Alabama,01,061,26769
Greene County,Alabama,01,063,9067
Hale County,Alabama,01,065,15750
Henry County,Alabama,01,067,17275
Houston County,Alabama,01,069,101459
Jackson County,Alabama,01,071,53279
Jefferson County,Alabama,01,073,658464
Lamar County,Alabama,01,075,14513
Lauderdale County,Alabama,01,077,92528
Lawrence County,Alabama,01,079,34148
Lee County,Alabama,01,081,140938
Limestone County,Alabama,01,083,83313
Lowndes County,Alabama,01,085,11304
Macon County,Alabama,01,087,21214
Madison County,Alabama,01,089,334661
Marengo County,Alabama,01,091,20909
Marion County,Alabama,01,093,30641
Marshall County,Alabama,01,095,93070
Mobile County,Alabama,01,097,412297
Monroe County,Alabama,01,099,22993
Montgomery County,Alabama,01,101,229376
Morgan County,Alabama,01,103,119330
Perry County,Alabama,01,105,10525
Pickens County,Alabama,01,107,19646
Pike County,Alabama,01,109,32750
Randolph County,Alabama,01,111,22843
Russell County,Alabama,01,113,53938
Saint Clair County,Alabama,01,115,83530
Shelby County,Alabama,01,117,195237
Sumter County,Alabama,01,119,13669
Talladega County,Alabama,01,121,82194
Tallapoosa County,Alabama,01,123,41534
Tuscaloosa County,Alabama,01,125,194254
Walker County,Alabama,01,127,67016
Washington County,Alabama,01,129,17407
Wilcox County,Alabama,01,131,11706
Winston County,Alabama,01,133,24432
Anchorage Municipality,Alaska,02,020,291470
Bethel Census Area,Alaska,02,050,17184
Bristol Bay Borough,Alaska,02,060,929
Fairbanks North Star Borough,Alaska,02,090,97523
Haines Borough,Alaska,02,100,2500
Juneau City and Borough,Alaska,02,110,31636
Kenai Peninsula Borough,Alaska,02,122,55474
Kodiak Island Borough,Alaska,02,150,13710
Matanuska-Susitna Borough,Alaska,02,170,89319
Nome Census Area,Alaska,02,180,9580
North Slope Borough,Alaska,02,185,9317
Sitka City and Borough,Alaska,02,220,8909
Southeast Fairbanks Census Area,Alaska,02,240,7039
Valdez-Cordova Census Area,Alaska,02,261,9614
Wade Hampton Census Area,Alaska,02,270,7556
Northwest Arctic Borough,Alaska,02,188,7601
Aleutians East Borough,Alaska,02,013,3114
Aleutians West Census Area,Alaska,02,016,5507
Dillingham Census Area,Alaska,02,070,4887
Lake and Peninsula Borough,Alaska,02,164,1551
Denali Borough,Alaska,02,068,1917
Yukon-Koyukuk Census Area,Alaska,02,290,5637
Hoonah-Angoon Census Area,Alaska,02,105,2153
Skagway Municipality,Alaska,02,230,1050
Yakutat City and Borough,Alaska,02,282,644
Ketchikan Gateway Borough,Alaska,02,130,13525
Petersburg Borough,Alaska,02,195,3822
Prince of Wales-Hyder Census Area,Alaska,02,198,5603
Wrangell City and Borough,Alaska,02,275,2368
Apache County,Arizona,04,001,71618
Cochise County,Arizona,04,003,131118
Coconino County,Arizona,04,005,134011
Gila County,Arizona,04,007,53436
Graham County,Arizona,04,009,37115
Greenlee County,Arizona,04,011,8592
Maricopa County,Arizona,04,013,3841819
Mohave County,Arizona,04,015,201216
Navajo County,Arizona,04,017,107415
Pima County,Arizona,04,019,981048
Pinal County,Arizona,04,021,368374
Santa Cruz County,Arizona,04,023,47057
Yavapai County,Arizona,04,025,211280
La Paz County,Arizona,04,012,20460
Yuma County,Arizona,04,027,196420
Arkansas County,Arkansas,05,001,19029
Ashley County,Arkansas,05,003,21811
Baxter County,Arkansas,05,005,41387
Benton County,Arkansas,05,007,222028
Boone County,Arkansas,05,009,37032
Bradley County,Arkansas,05,011,11510
Calhoun County,Arkansas,05,013,5373
Carroll County,Arkansas,05,015,27321
Chicot County,Arkansas,05,017,11759
Clark County,Arkansas,05,019,23050
Clay County,Arkansas,05,021,15981
Cleburne County,Arkansas,05,023,25849
Cleveland County,Arkansas,05,025,8685
Columbia County,Arkansas,05,027,24644
Conway County,Arkansas,05,029,21203
Craighead County,Arkansas,05,031,96709
Crawford County,Arkansas,05,033,61670
Crittenden County,Arkansas,05,035,50618
Cross County,Arkansas,05,037,17891
Dallas County,Arkansas,05,039,8122
Desha County,Arkansas,05,041,12922
Drew County,Arkansas,05,043,18615
Faulkner County,Arkansas,05,045,113730
Franklin County,Arkansas,05,047,18110
Fulton County,Arkansas,05,049,12301
Garland County,Arkansas,05,051,96249
Grant County,Arkansas,05,053,17852
Greene County,Arkansas,05,055,42224
Hempstead County,Arkansas,05,057,22548
Hot Spring County,Arkansas,05,059,33011
Howard County,Arkansas,05,061,13790
Independence County,Arkansas,05,063,36572
Izard County,Arkansas,05,065,13614
Jackson County,Arkansas,05,067,17885
Jefferson County,Arkansas,05,069,76836
Johnson County,Arkansas,05,071,25554
Lafayette County,Arkansas,05,073,7618
Lawrence County,Arkansas,05,075,17314
Lee County,Arkansas,05,077,10430
Lincoln County,Arkansas,05,079,14167
Little River County,Arkansas,05,081,13068
Logan County,Arkansas,05,083,22352
Lonoke County,Arkansas,05,085,68274
Madison County,Arkansas,05,087,15674
