County,State,mean_life_expectancy,State_FIPS,County_FIPS,unemployment_rate
Autauga County,Alabama,75.836928054027,01,001,9.4
Baldwin County,Alabama,77.8587885068867,01,003,9.2
Barbour County,Alabama,75.6039658679806,01,005,14.3
Bibb County,Alabama,73.8813807110977,01,007,12.2
Blount County,Alabama,75.6352536319274,01,009,9.7
Bullock County,Alabama,74.4021306908516,01,011,15.0
Butler County,Alabama,73.935514642706,01,013,14.8
Calhoun County,Alabama,73.6916993651565,01,015,14.2
Chambers County,Alabama,74.3709084353389,01,017,17.2
Cherokee County,Alabama,74.7690226049665,01,019,10.5
Chilton County,Alabama,74.2037941937705,01,021,10.3
Choctaw County,Alabama,74.7667739361553,01,023,14.1
Clarke County,Alabama,75.3078949980348,01,025,18.9
Clay County,Alabama,74.5125281044463,01,027,12.9
Cleburne County,Alabama,74.2119718397456,01,029,11.2
Coffee County,Alabama,76.8029854382398,01,031,7.7
Colbert County,Alabama,74.7012544694018,01,033,9.9
Conecuh County,Alabama,73.8578396157111,01,035,24.8
Coosa County,Alabama,75.0708584990442,01,037,17.7
Covington County,Alabama,74.939706372746,01,039,11.0
Crenshaw County,Alabama,74.4540874550923,01,041,9.5
Cullman County,Alabama,74.9509513238576,01,043,9.7
Dale County,Alabama,76.1296959155196,01,045,10.4
Dallas County,Alabama,72.2967105227705,01,047,20.0
DeKalb County,Alabama,74.7966732959206,01,049,11.4
Elmore County,Alabama,75.8412881424909,01,051,8.9
Escambia County,Alabama,73.8523605614612,01,053,15.8
Etowah County,Alabama,73.3079475598584,01,055,11.8
Fayette County,Alabama,74.057058159905,01,057,9.8
Franklin County,Alabama,73.349841367943,01,059,10.0
Geneva County,Alabama,75.2540134208833,01,061,9.4
Greene County,Alabama,74.5251950347399,01,063,24.1
Hale County,Alabama,74.2120689147012,01,065,16.2
Henry County,Alabama,75.9013490151937,01,067,12.1
Houston County,Alabama,76.6049969181304,01,069,8.2
Jackson County,Alabama,73.6075996652594,01,071,10.2
Jefferson County,Alabama,75.0012975222472,01,073,10.3
Lamar County,Alabama,74.594659571128,01,075,10.1
Lauderdale County,Alabama,76.2574810844103,01,077,9.2
Lawrence County,Alabama,74.025639809588,01,079,12.7
Lee County,Alabama,77.641756133286,01,081,9.4
Limestone County,Alabama,77.4567118555822,01,083,9.1
Lowndes County,Alabama,72.451572085185,01,085,17.5
Macon County,Alabama,73.4913418644572,01,087,18.2
