County,State,State_FIPS,County_FIPS,unemployment_rate
Autauga County,Alabama,01,001,7.6
Baldwin County,Alabama,01,003,7.5
Barbour County,Alabama,01,005,17.6
Bibb County,Alabama,01,007,8.3
Blount County,Alabama,01,009,7.7
Bullock County,Alabama,01,011,18.0
Butler County,Alabama,01,013,10.9
Calhoun County,Alabama,01,015,12.3
Chambers County,Alabama,01,017,8.9
Cherokee County,Alabama,01,019,7.9
Chilton County,Alabama,01,021,9.1
Choctaw County,Alabama,01,023,13.6
Clarke County,Alabama,01,025,19.4
Clay County,Alabama,01,027,9.4
Cleburne County,Alabama,01,029,8.3
Coffee County,Alabama,01,031,7.1
Colbert County,Alabama,01,033,9.0
Conecuh County,Alabama,01,035,22.6
Coosa County,Alabama,01,037,17.0
Covington County,Alabama,01,039,11.2
Crenshaw County,Alabama,01,041,9.7
Cullman County,Alabama,01,043,7.3
Dale County,Alabama,01,045,10.9
Dallas County,Alabama,01,047,16.4
DeKalb County,Alabama,01,049,7.7
Elmore County,Alabama,01,051,8.3
Escambia County,Alabama,01,053,15.6
Etowah County,Alabama,01,055,9.0
Fayette County,Alabama,01,057,10.0
Franklin County,Alabama,01,059,9.8
Geneva County,Alabama,01,061,11.2
Greene County,Alabama,01,063,20.4
Hale County,Alabama,01,065,13.3
Henry County,Alabama,01,067,8.1
Houston County,Alabama,01,069,8.3
Jackson County,Alabama,01,071,10.1
Jefferson County,Alabama,01,073,9.1
Lamar County,Alabama,01,075,10.2
Lauderdale County,Alabama,01,077,7.1
Lawrence County,Alabama,01,079,9.8
Lee County,Alabama,01,081,7.3
Limestone County,Alabama,01,083,7.8
Lowndes County,Alabama,01,085,13.2
Macon County,Alabama,01,087,16.9
Madison County,Alabama,01,089,8.5
Marengo County,Alabama,01,091,11.4
Marion County,Alabama,01,093,9.9
Marshall County,Alabama,01,095,8.4
Mobile County,Alabama,01,097,9.8
Monroe County,Alabama,01,099,20.7
Montgomery County,Alabama,01,101,8.8
Morgan County,Alabama,01,103,9.9
Perry County,Alabama,01,105,11.2
Pickens County,Alabama,01,107,13.8
Pike County,Alabama,01,109,10.2
Randolph County,Alabama,01,111,10.3
Russell County,Alabama,01,113,11.1
Saint Clair County,Alabama,01,115,8.4
Shelby County,Alabama,01,117,5.5
Sumter County,Alabama,01,119,16.8
Talladega County,Alabama,01,121,13.8
Tallapoosa County,Alabama,01,123,9.0
Tuscaloosa County,Alabama,01,125,7.6
Walker County,Alabama,01,127,11.4
Washington County,Alabama,01,129,20.0
Wilcox County,Alabama,01,131,20.8
Winston County,Alabama,01,133,9.6
Anchorage Municipality,Alaska,02,020,6.7
Bethel Census Area,Alaska,02,050,17.6
Bristol Bay Borough,Alaska,02,060,5.4
Fairbanks North Star Borough,Alaska,02,090,7.9
Haines Borough,Alaska,02,100,3.0
Juneau City and Borough,Alaska,02,110,5.2
Kenai Peninsula Borough,Alaska,02,122,9.4
Kodiak Island Borough,Alaska,02,150,6.3
Matanuska-Susitna Borough,Alaska,02,170,9.8
Nome Census Area,Alaska,02,180,16.5
North Slope Borough,Alaska,02,185,9.3
Sitka City and Borough,Alaska,02,220,3.8
Southeast Fairbanks Census Area,Alaska,02,240,9.4
Valdez-Cordova Census Area,Alaska,02,261,10.7
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,21.9
Aleutians East Borough,Alaska,02,013,2.9
Aleutians West Census Area,Alaska,02,016,2.1
Dillingham Census Area,Alaska,02,070,12.5
Lake and Peninsula Borough,Alaska,02,164,9.8
Denali Borough,Alaska,02,068,2.3
Yukon-Koyukuk Census Area,Alaska,02,290,18.2
Hoonah-Angoon Census Area,Alaska,02,105,13.1
Skagway Municipality,Alaska,02,230,7.8
Yakutat City and Borough,Alaska,02,282,7.9
Ketchikan Gateway Borough,Alaska,02,130,7.9
Petersburg Borough,Alaska,02,195,8.4
Prince of Wales-Hyder Census Area,Alaska,02,198,13.9
Wrangell City and Borough,Alaska,02,275,7.5
Apache County,Arizona,04,001,18.2
Cochise County,Arizona,04,003,8.7
Coconino County,Arizona,04,005,8.8
Gila County,Arizona,04,007,12.8
Graham County,Arizona,04,009,14.1
Greenlee County,Arizona,04,011,10.0
Maricopa County,Arizona,04,013,7.7
Mohave County,Arizona,04,015,13.2
Navajo County,Arizona,04,017,19.8
Pima County,Arizona,04,019,10.0
Pinal County,Arizona,04,021,10.6
Santa Cruz County,Arizona,04,023,11.3
Yavapai County,Arizona,04,025,10.0
La Paz County,Arizona,04,012,11.2
Yuma County,Arizona,04,027,13.1
Arkansas County,Arkansas,05,001,8.3
Ashley County,Arkansas,05,003,11.8
Baxter County,Arkansas,05,005,7.6
Benton County,Arkansas,05,007,4.2
Boone County,Arkansas,05,009,8.4
Bradley County,Arkansas,05,011,9.4
Calhoun County,Arkansas,05,013,7.2
Carroll County,Arkansas,05,015,6.2
Chicot County,Arkansas,05,017,11.5
Clark County,Arkansas,05,019,8.4
Clay County,Arkansas,05,021,9.5
Cleburne County,Arkansas,05,023,10.2
Cleveland County,Arkansas,05,025,9.7
Columbia County,Arkansas,05,027,10.1
Conway County,Arkansas,05,029,8.1
Craighead County,Arkansas,05,031,7.5
Crawford County,Arkansas,05,033,7.9
Crittenden County,Arkansas,05,035,9.9
Cross County,Arkansas,05,037,8.6
Dallas County,Arkansas,05,039,8.3
Desha County,Arkansas,05,041,17.7
Drew County,Arkansas,05,043,14.3
Faulkner County,Arkansas,05,045,6.6
Franklin County,Arkansas,05,047,11.0
Fulton County,Arkansas,05,049,7.6
Garland County,Arkansas,05,051,9.2
Grant County,Arkansas,05,053,9.4
Greene County,Arkansas,05,055,9.0
Hempstead County,Arkansas,05,057,7.9
Hot Spring County,Arkansas,05,059,7.6
Howard County,Arkansas,05,061,8.5
Independence County,Arkansas,05,063,6.9
Izard County,Arkansas,05,065,10.0
Jackson County,Arkansas,05,067,7.9
Jefferson County,Arkansas,05,069,11.2
Johnson County,Arkansas,05,071,6.2
Lafayette County,Arkansas,05,073,12.5
Lawrence County,Arkansas,05,075,6.9
Lee County,Arkansas,05,077,17.3
Lincoln County,Arkansas,05,079,14.2
Little River County,Arkansas,05,081,8.8
Logan County,Arkansas,05,083,8.1
Lonoke County,Arkansas,05,085,5.9
Madison County,Arkansas,05,087,7.3
Marion County,Arkansas,05,089,10.9
Miller County,Arkansas,05,091,9.6
Mississippi County,Arkansas,05,093,12.0
Monroe County,Arkansas,05,095,12.8
Montgomery County,Arkansas,05,097,4.3
Nevada County,Arkansas,05,099,9.5
Newton County,Arkansas,05,101,4.4
Ouachita County,Arkansas,05,103,8.3
Perry County,Arkansas,05,105,6.8
Phillips County,Arkansas,05,107,18.1
Pike County,Arkansas,05,109,6.6
Poinsett County,Arkansas,05,111,10.0
Polk County,Arkansas,05,113,9.0
Pope County,Arkansas,05,115,7.6
Prairie County,Arkansas,05,117,6.2
Pulaski County,Arkansas,05,119,7.5
Randolph County,Arkansas,05,121,5.4
Saint Francis County,Arkansas,05,123,11.7
Saline County,Arkansas,05,125,5.3
Scott County,Arkansas,05,127,10.9
Searcy County,Arkansas,05,129,5.9
Sebastian County,Arkansas,05,131,6.1
Sevier County,Arkansas,05,133,9.3
Sharp County,Arkansas,05,135,8.8
Stone County,Arkansas,05,137,7.0
Union County,Arkansas,05,139,9.7
Van Buren County,Arkansas,05,141,11.2
Washington County,Arkansas,05,143,6.2
White County,Arkansas,05,145,7.1
Woodruff County,Arkansas,05,147,12.4
Yell County,Arkansas,05,149,8.3
Alameda County,California,06,001,8.3
Alpine County,California,06,003,10.7
Amador County,California,06,005,14.0
Butte County,California,06,007,12.1
Calaveras County,California,06,009,12.1
Colusa County,California,06,011,10.4
Contra Costa County,California,06,013,8.8
Del Norte County,California,06,015,11.5
El Dorado County,California,06,017,11.1
Fresno County,California,06,019,13.2
Glenn County,California,06,021,12.6
Humboldt County,California,06,023,10.5
Imperial County,California,06,025,17.4
Inyo County,California,06,027,6.8
Kern County,California,06,029,12.7
Kings County,California,06,031,13.0
Lake County,California,06,033,14.6
Lassen County,California,06,035,10.9
Los Angeles County,California,06,037,10.0
Madera County,California,06,039,7.5
Marin County,California,06,041,5.7
Mariposa County,California,06,043,11.6
Mendocino County,California,06,045,12.2
Merced County,California,06,047,16.2
Modoc County,California,06,049,8.6
Mono County,California,06,051,13.4
Monterey County,California,06,053,8.4
Napa County,California,06,055,7.5
Nevada County,California,06,057,9.8
Orange County,California,06,059,7.6
Placer County,California,06,061,8.3
Plumas County,California,06,063,15.2
Riverside County,California,06,065,12.9
Sacramento County,California,06,067,11.8
San Benito County,California,06,069,12.2
San Bernardino County,California,06,071,12.6
San Diego County,California,06,073,8.7
San Francisco County,California,06,075,6.8
San Joaquin County,California,06,077,13.7
San Luis Obispo County,California,06,079,6.6
San Mateo County,California,06,081,6.7
Santa Barbara County,California,06,083,8.0
Santa Clara County,California,06,085,7.7
