County,State,State_FIPS,County_FIPS,associates_degree
Autauga County,Alabama,01,001,2841.0
Baldwin County,Alabama,01,003,12420.0
Barbour County,Alabama,01,005,1350.0
Bibb County,Alabama,01,007,954.0
Blount County,Alabama,01,009,3850.0
Bullock County,Alabama,01,011,232.0
Butler County,Alabama,01,013,1157.0
Calhoun County,Alabama,01,015,5534.0
Chambers County,Alabama,01,017,1845.0
Cherokee County,Alabama,01,019,1352.0
Chilton County,Alabama,01,021,2166.0
Choctaw County,Alabama,01,023,709.0
Clarke County,Alabama,01,025,1203.0
Clay County,Alabama,01,027,780.0
Cleburne County,Alabama,01,029,480.0
Coffee County,Alabama,01,031,3257.0
Colbert County,Alabama,01,033,2834.0
Conecuh County,Alabama,01,035,628.0
Coosa County,Alabama,01,037,521.0
Covington County,Alabama,01,039,2544.0
Crenshaw County,Alabama,01,041,705.0
Cullman County,Alabama,01,043,5947.0
Dale County,Alabama,01,045,3568.0
Dallas County,Alabama,01,047,2220.0
DeKalb County,Alabama,01,049,4215.0
Elmore County,Alabama,01,051,4893.0
Escambia County,Alabama,01,053,1710.0
Etowah County,Alabama,01,055,6113.0
Fayette County,Alabama,01,057,766.0
Franklin County,Alabama,01,059,1409.0
Geneva County,Alabama,01,061,1395.0
Greene County,Alabama,01,063,357.0
Hale County,Alabama,01,065,606.0
Henry County,Alabama,01,067,925.0
Houston County,Alabama,01,069,5993.0
Jackson County,Alabama,01,071,2988.0
Jefferson County,Alabama,01,073,34251.0
Lamar County,Alabama,01,075,667.0
Lauderdale County,Alabama,01,077,3703.0
Lawrence County,Alabama,01,079,1630.0
Lee County,Alabama,01,081,6596.0
Limestone County,Alabama,01,083,4134.0
Lowndes County,Alabama,01,085,479.0
Macon County,Alabama,01,087,769.0
Madison County,Alabama,01,089,19403.0
Marengo County,Alabama,01,091,918.0
Marion County,Alabama,01,093,1924.0
Marshall County,Alabama,01,095,5003.0
Mobile County,Alabama,01,097,20739.0
Monroe County,Alabama,01,099,1186.0
Montgomery County,Alabama,01,101,9556.0
Morgan County,Alabama,01,103,6112.0
Perry County,Alabama,01,105,369.0
Pickens County,Alabama,01,107,873.0
Pike County,Alabama,01,109,1060.0
Randolph County,Alabama,01,111,1139.0
Russell County,Alabama,01,113,3548.0
Saint Clair County,Alabama,01,115,5032.0
Shelby County,Alabama,01,117,10005.0
Sumter County,Alabama,01,119,430.0
Talladega County,Alabama,01,121,4570.0
Tallapoosa County,Alabama,01,123,2315.0
Tuscaloosa County,Alabama,01,125,7965.0
Walker County,Alabama,01,127,3805.0
Washington County,Alabama,01,129,850.0
Wilcox County,Alabama,01,131,436.0
Winston County,Alabama,01,133,1401.0
Anchorage Municipality,Alaska,02,020,15762.0
Bethel Census Area,Alaska,02,050,305.0
Bristol Bay Borough,Alaska,02,060,41.0
Fairbanks North Star Borough,Alaska,02,090,5512.0
Haines Borough,Alaska,02,100,135.0
Juneau City and Borough,Alaska,02,110,1615.0
Kenai Peninsula Borough,Alaska,02,122,3159.0
Kodiak Island Borough,Alaska,02,150,840.0
Matanuska-Susitna Borough,Alaska,02,170,5643.0
Nome Census Area,Alaska,02,180,224.0
North Slope Borough,Alaska,02,185,463.0
Sitka City and Borough,Alaska,02,220,582.0
Southeast Fairbanks Census Area,Alaska,02,240,483.0
Valdez-Cordova Census Area,Alaska,02,261,505.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,148.0
Aleutians East Borough,Alaska,02,013,155.0
Aleutians West Census Area,Alaska,02,016,203.0
Dillingham Census Area,Alaska,02,070,184.0
Lake and Peninsula Borough,Alaska,02,164,34.0
Denali Borough,Alaska,02,068,128.0
Yukon-Koyukuk Census Area,Alaska,02,290,167.0
Hoonah-Angoon Census Area,Alaska,02,105,85.0
Skagway Municipality,Alaska,02,230,35.0
Yakutat City and Borough,Alaska,02,282,24.0
Ketchikan Gateway Borough,Alaska,02,130,669.0
Petersburg Borough,Alaska,02,195,199.0
Prince of Wales-Hyder Census Area,Alaska,02,198,215.0
Wrangell City and Borough,Alaska,02,275,110.0
Apache County,Arizona,04,001,3246.0
Cochise County,Arizona,04,003,9679.0
Coconino County,Arizona,04,005,7635.0
Gila County,Arizona,04,007,3408.0
Graham County,Arizona,04,009,2043.0
Greenlee County,Arizona,04,011,569.0
Maricopa County,Arizona,04,013,219795.0
Mohave County,Arizona,04,015,11705.0
Navajo County,Arizona,04,017,5481.0
Pima County,Arizona,04,019,56565.0
Pinal County,Arizona,04,021,23984.0
Santa Cruz County,Arizona,04,023,1681.0
Yavapai County,Arizona,04,025,14593.0
La Paz County,Arizona,04,012,1063.0
Yuma County,Arizona,04,027,9122.0
Arkansas County,Arkansas,05,001,725.0
Ashley County,Arkansas,05,003,707.0
Baxter County,Arkansas,05,005,2460.0
Benton County,Arkansas,05,007,8501.0
Boone County,Arkansas,05,009,1945.0
Bradley County,Arkansas,05,011,342.0
Calhoun County,Arkansas,05,013,261.0
Carroll County,Arkansas,05,015,1128.0
Chicot County,Arkansas,05,017,332.0
Clark County,Arkansas,05,019,947.0
Clay County,Arkansas,05,021,480.0
Cleburne County,Arkansas,05,023,1060.0
Cleveland County,Arkansas,05,025,401.0
Columbia County,Arkansas,05,027,1015.0
Conway County,Arkansas,05,029,826.0
Craighead County,Arkansas,05,031,3932.0
Crawford County,Arkansas,05,033,3120.0
Crittenden County,Arkansas,05,035,1902.0
Cross County,Arkansas,05,037,467.0
Dallas County,Arkansas,05,039,269.0
Desha County,Arkansas,05,041,331.0
Drew County,Arkansas,05,043,655.0
Faulkner County,Arkansas,05,045,5475.0
Franklin County,Arkansas,05,047,988.0
Fulton County,Arkansas,05,049,532.0
Garland County,Arkansas,05,051,5247.0
Grant County,Arkansas,05,053,828.0
Greene County,Arkansas,05,055,1531.0
Hempstead County,Arkansas,05,057,958.0
Hot Spring County,Arkansas,05,059,2086.0
Howard County,Arkansas,05,061,531.0
Independence County,Arkansas,05,063,1494.0
Izard County,Arkansas,05,065,860.0
Jackson County,Arkansas,05,067,690.0
Jefferson County,Arkansas,05,069,2526.0
Johnson County,Arkansas,05,071,641.0
Lafayette County,Arkansas,05,073,318.0
Lawrence County,Arkansas,05,075,792.0
Lee County,Arkansas,05,077,314.0
Lincoln County,Arkansas,05,079,396.0
Little River County,Arkansas,05,081,575.0
Logan County,Arkansas,05,083,831.0
Lonoke County,Arkansas,05,085,3691.0
Madison County,Arkansas,05,087,414.0
Marion County,Arkansas,05,089,697.0
Miller County,Arkansas,05,091,1685.0
Mississippi County,Arkansas,05,093,2105.0
