County,State,State_FIPS,County_FIPS,bachelors_and_above_percentage
Autauga County,Alabama,01,001,23.6
Baldwin County,Alabama,01,003,28.9
Barbour County,Alabama,01,005,12.8
Bibb County,Alabama,01,007,8.4
Blount County,Alabama,01,009,11.1
Bullock County,Alabama,01,011,10.7
Butler County,Alabama,01,013,11.7
Calhoun County,Alabama,01,015,16.2
Chambers County,Alabama,01,017,11.0
Cherokee County,Alabama,01,019,10.6
Chilton County,Alabama,01,021,10.5
Choctaw County,Alabama,01,023,10.3
Clarke County,Alabama,01,025,11.3
Clay County,Alabama,01,027,8.8
Cleburne County,Alabama,01,029,8.1
Coffee County,Alabama,01,031,22.0
Colbert County,Alabama,01,033,17.3
Conecuh County,Alabama,01,035,11.3
Coosa County,Alabama,01,037,7.9
Covington County,Alabama,01,039,12.5
Crenshaw County,Alabama,01,041,10.1
Cullman County,Alabama,01,043,13.7
Dale County,Alabama,01,045,19.1
Dallas County,Alabama,01,047,10.9
DeKalb County,Alabama,01,049,10.2
Elmore County,Alabama,01,051,20.7
Escambia County,Alabama,01,053,10.1
Etowah County,Alabama,01,055,15.4
Fayette County,Alabama,01,057,10.4
Franklin County,Alabama,01,059,10.8
Geneva County,Alabama,01,061,8.7
Greene County,Alabama,01,063,5.5
Hale County,Alabama,01,065,8.7
Henry County,Alabama,01,067,13.4
Houston County,Alabama,01,069,19.9
Jackson County,Alabama,01,071,13.5
Jefferson County,Alabama,01,073,29.8
Lamar County,Alabama,01,075,8.2
Lauderdale County,Alabama,01,077,22.1
Lawrence County,Alabama,01,079,12.6
Lee County,Alabama,01,081,32.4
Limestone County,Alabama,01,083,20.8
Lowndes County,Alabama,01,085,15.5
Macon County,Alabama,01,087,18.9
Madison County,Alabama,01,089,41.1
Marengo County,Alabama,01,091,16.2
Marion County,Alabama,01,093,8.7
Marshall County,Alabama,01,095,16.5
Mobile County,Alabama,01,097,19.0
Monroe County,Alabama,01,099,10.3
Montgomery County,Alabama,01,101,31.5
Morgan County,Alabama,01,103,20.1
Perry County,Alabama,01,105,13.1
Pickens County,Alabama,01,107,8.6
Pike County,Alabama,01,109,24.3
Randolph County,Alabama,01,111,10.1
Russell County,Alabama,01,113,11.3
Saint Clair County,Alabama,01,115,13.7
Shelby County,Alabama,01,117,42.3
Sumter County,Alabama,01,119,12.3
Talladega County,Alabama,01,121,12.2
Tallapoosa County,Alabama,01,123,17.9
Tuscaloosa County,Alabama,01,125,23.7
Walker County,Alabama,01,127,10.2
Washington County,Alabama,01,129,7.3
Wilcox County,Alabama,01,131,13.7
Winston County,Alabama,01,133,11.7
Anchorage Municipality,Alaska,02,020,31.6
Bethel Census Area,Alaska,02,050,10.5
Bristol Bay Borough,Alaska,02,060,15.8
Fairbanks North Star Borough,Alaska,02,090,26.1
Haines Borough,Alaska,02,100,27.7
Juneau City and Borough,Alaska,02,110,34.8
Kenai Peninsula Borough,Alaska,02,122,20.5
