County,State,State_FIPS,County_FIPS,bachelors_degree
Autauga County,Alabama,01,001,4930.0
Baldwin County,Alabama,01,003,25444.0
Barbour County,Alabama,01,005,1481.0
Bibb County,Alabama,01,007,916.0
Blount County,Alabama,01,009,3174.0
Bullock County,Alabama,01,011,432.0
Butler County,Alabama,01,013,1162.0
Calhoun County,Alabama,01,015,8434.0
Chambers County,Alabama,01,017,1855.0
Cherokee County,Alabama,01,019,1514.0
Chilton County,Alabama,01,021,2580.0
Choctaw County,Alabama,01,023,771.0
Clarke County,Alabama,01,025,1389.0
Clay County,Alabama,01,027,521.0
Cleburne County,Alabama,01,029,589.0
Coffee County,Alabama,01,031,4891.0
Colbert County,Alabama,01,033,4230.0
Conecuh County,Alabama,01,035,394.0
Coosa County,Alabama,01,037,434.0
Covington County,Alabama,01,039,2483.0
Crenshaw County,Alabama,01,041,779.0
Cullman County,Alabama,01,043,5224.0
Dale County,Alabama,01,045,3709.0
Dallas County,Alabama,01,047,2353.0
DeKalb County,Alabama,01,049,3174.0
Elmore County,Alabama,01,051,7253.0
Escambia County,Alabama,01,053,2218.0
Etowah County,Alabama,01,055,6969.0
Fayette County,Alabama,01,057,914.0
Franklin County,Alabama,01,059,1609.0
Geneva County,Alabama,01,061,1528.0
Greene County,Alabama,01,063,476.0
Hale County,Alabama,01,065,1070.0
Henry County,Alabama,01,067,1137.0
Houston County,Alabama,01,069,9111.0
Jackson County,Alabama,01,071,2881.0
Jefferson County,Alabama,01,073,81626.0
Lamar County,Alabama,01,075,696.0
Lauderdale County,Alabama,01,077,8299.0
Lawrence County,Alabama,01,079,1800.0
Lee County,Alabama,01,081,16049.0
Limestone County,Alabama,01,083,9193.0
Lowndes County,Alabama,01,085,667.0
Macon County,Alabama,01,087,1210.0
Madison County,Alabama,01,089,55297.0
Marengo County,Alabama,01,091,1469.0
Marion County,Alabama,01,093,1478.0
Marshall County,Alabama,01,095,6459.0
Mobile County,Alabama,01,097,37981.0
Monroe County,Alabama,01,099,1245.0
Montgomery County,Alabama,01,101,27946.0
Morgan County,Alabama,01,103,10873.0
Perry County,Alabama,01,105,315.0
Pickens County,Alabama,01,107,902.0
Pike County,Alabama,01,109,2851.0
Randolph County,Alabama,01,111,1175.0
Russell County,Alabama,01,113,3854.0
Saint Clair County,Alabama,01,115,5995.0
Shelby County,Alabama,01,117,35773.0
Sumter County,Alabama,01,119,719.0
Talladega County,Alabama,01,121,4349.0
Tallapoosa County,Alabama,01,123,3354.0
Tuscaloosa County,Alabama,01,125,19971.0
Walker County,Alabama,01,127,3078.0
Washington County,Alabama,01,129,823.0
Wilcox County,Alabama,01,131,581.0
Winston County,Alabama,01,133,1211.0
Anchorage Municipality,Alaska,02,020,39638.0
Bethel Census Area,Alaska,02,050,672.0
Bristol Bay Borough,Alaska,02,060,86.0
Fairbanks North Star Borough,Alaska,02,090,11237.0
Haines Borough,Alaska,02,100,462.0
Juneau City and Borough,Alaska,02,110,5113.0
Kenai Peninsula Borough,Alaska,02,122,5900.0
Kodiak Island Borough,Alaska,02,150,1322.0
Matanuska-Susitna Borough,Alaska,02,170,8308.0
Nome Census Area,Alaska,02,180,571.0
North Slope Borough,Alaska,02,185,620.0
