County,State,State_FIPS,County_FIPS,doctorate_degree
Autauga County,Alabama,01,001,243.0
Baldwin County,Alabama,01,003,1264.0
Barbour County,Alabama,01,005,75.0
Bibb County,Alabama,01,007,100.0
Blount County,Alabama,01,009,129.0
Bullock County,Alabama,01,011,36.0
Butler County,Alabama,01,013,105.0
Calhoun County,Alabama,01,015,641.0
Chambers County,Alabama,01,017,65.0
Cherokee County,Alabama,01,019,102.0
Chilton County,Alabama,01,021,108.0
Choctaw County,Alabama,01,023,13.0
Clarke County,Alabama,01,025,88.0
Clay County,Alabama,01,027,64.0
Cleburne County,Alabama,01,029,66.0
Coffee County,Alabama,01,031,253.0
Colbert County,Alabama,01,033,225.0
Conecuh County,Alabama,01,035,9.0
Coosa County,Alabama,01,037,31.0
Covington County,Alabama,01,039,51.0
Crenshaw County,Alabama,01,041,15.0
Cullman County,Alabama,01,043,196.0
Dale County,Alabama,01,045,84.0
Dallas County,Alabama,01,047,83.0
DeKalb County,Alabama,01,049,237.0
Elmore County,Alabama,01,051,313.0
Escambia County,Alabama,01,053,76.0
Etowah County,Alabama,01,055,405.0
Fayette County,Alabama,01,057,82.0
Franklin County,Alabama,01,059,100.0
Geneva County,Alabama,01,061,0.0
Greene County,Alabama,01,063,5.0
Hale County,Alabama,01,065,20.0
Henry County,Alabama,01,067,29.0
Houston County,Alabama,01,069,511.0
Jackson County,Alabama,01,071,179.0
Jefferson County,Alabama,01,073,7388.0
Lamar County,Alabama,01,075,48.0
Lauderdale County,Alabama,01,077,637.0
Lawrence County,Alabama,01,079,23.0
Lee County,Alabama,01,081,2995.0
Limestone County,Alabama,01,083,410.0
Lowndes County,Alabama,01,085,19.0
Macon County,Alabama,01,087,151.0
Madison County,Alabama,01,089,4051.0
Marengo County,Alabama,01,091,64.0
Marion County,Alabama,01,093,33.0
Marshall County,Alabama,01,095,310.0
Mobile County,Alabama,01,097,2000.0
Monroe County,Alabama,01,099,126.0
Montgomery County,Alabama,01,101,1995.0
Morgan County,Alabama,01,103,382.0
Perry County,Alabama,01,105,66.0
Pickens County,Alabama,01,107,47.0
Pike County,Alabama,01,109,270.0
Randolph County,Alabama,01,111,61.0
Russell County,Alabama,01,113,212.0
Saint Clair County,Alabama,01,115,393.0
Shelby County,Alabama,01,117,1708.0
Sumter County,Alabama,01,119,68.0
Talladega County,Alabama,01,121,206.0
Tallapoosa County,Alabama,01,123,119.0
Tuscaloosa County,Alabama,01,125,2511.0
Walker County,Alabama,01,127,117.0
Washington County,Alabama,01,129,1.0
Wilcox County,Alabama,01,131,31.0
Winston County,Alabama,01,133,127.0
Anchorage Municipality,Alaska,02,020,2383.0
Bethel Census Area,Alaska,02,050,43.0
Bristol Bay Borough,Alaska,02,060,0.0
Fairbanks North Star Borough,Alaska,02,090,1106.0
Haines Borough,Alaska,02,100,25.0
Juneau City and Borough,Alaska,02,110,315.0
Kenai Peninsula Borough,Alaska,02,122,252.0
Kodiak Island Borough,Alaska,02,150,25.0
Matanuska-Susitna Borough,Alaska,02,170,403.0
Nome Census Area,Alaska,02,180,27.0
North Slope Borough,Alaska,02,185,20.0
Sitka City and Borough,Alaska,02,220,132.0
Southeast Fairbanks Census Area,Alaska,02,240,19.0
Valdez-Cordova Census Area,Alaska,02,261,28.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,27.0
Aleutians East Borough,Alaska,02,013,11.0
Aleutians West Census Area,Alaska,02,016,16.0
Dillingham Census Area,Alaska,02,070,23.0
Lake and Peninsula Borough,Alaska,02,164,0.0
Denali Borough,Alaska,02,068,13.0
Yukon-Koyukuk Census Area,Alaska,02,290,10.0
Hoonah-Angoon Census Area,Alaska,02,105,7.0
Skagway Municipality,Alaska,02,230,8.0
Yakutat City and Borough,Alaska,02,282,0.0
Ketchikan Gateway Borough,Alaska,02,130,89.0
Petersburg Borough,Alaska,02,195,4.0
Prince of Wales-Hyder Census Area,Alaska,02,198,38.0
Wrangell City and Borough,Alaska,02,275,3.0
Apache County,Arizona,04,001,138.0
Cochise County,Arizona,04,003,648.0
Coconino County,Arizona,04,005,1893.0
Gila County,Arizona,04,007,360.0
Graham County,Arizona,04,009,86.0
Greenlee County,Arizona,04,011,0.0
Maricopa County,Arizona,04,013,31038.0
Mohave County,Arizona,04,015,792.0
Navajo County,Arizona,04,017,397.0
Pima County,Arizona,04,019,13216.0
Pinal County,Arizona,04,021,2083.0
Santa Cruz County,Arizona,04,023,286.0
Yavapai County,Arizona,04,025,2046.0
La Paz County,Arizona,04,012,113.0
Yuma County,Arizona,04,027,435.0
Arkansas County,Arkansas,05,001,90.0
Ashley County,Arkansas,05,003,73.0
Baxter County,Arkansas,05,005,129.0
Benton County,Arkansas,05,007,1228.0
Boone County,Arkansas,05,009,181.0
Bradley County,Arkansas,05,011,22.0
Calhoun County,Arkansas,05,013,21.0
Carroll County,Arkansas,05,015,219.0
Chicot County,Arkansas,05,017,19.0
Clark County,Arkansas,05,019,214.0
Clay County,Arkansas,05,021,31.0
Cleburne County,Arkansas,05,023,146.0
Cleveland County,Arkansas,05,025,11.0
Columbia County,Arkansas,05,027,68.0
Conway County,Arkansas,05,029,106.0
Craighead County,Arkansas,05,031,948.0
Crawford County,Arkansas,05,033,260.0
Crittenden County,Arkansas,05,035,116.0
Cross County,Arkansas,05,037,42.0
Dallas County,Arkansas,05,039,0.0
Desha County,Arkansas,05,041,16.0
Drew County,Arkansas,05,043,99.0
Faulkner County,Arkansas,05,045,1153.0
Franklin County,Arkansas,05,047,42.0
Fulton County,Arkansas,05,049,10.0
Garland County,Arkansas,05,051,652.0
Grant County,Arkansas,05,053,88.0
Greene County,Arkansas,05,055,132.0
Hempstead County,Arkansas,05,057,46.0
Hot Spring County,Arkansas,05,059,63.0
Howard County,Arkansas,05,061,4.0
Independence County,Arkansas,05,063,206.0
Izard County,Arkansas,05,065,20.0
Jackson County,Arkansas,05,067,8.0
Jefferson County,Arkansas,05,069,342.0
Johnson County,Arkansas,05,071,92.0
Lafayette County,Arkansas,05,073,20.0
Lawrence County,Arkansas,05,075,62.0
Lee County,Arkansas,05,077,7.0
Lincoln County,Arkansas,05,079,39.0
Little River County,Arkansas,05,081,7.0
Logan County,Arkansas,05,083,22.0
Lonoke County,Arkansas,05,085,103.0
Madison County,Arkansas,05,087,109.0
Marion County,Arkansas,05,089,28.0
Miller County,Arkansas,05,091,114.0
Mississippi County,Arkansas,05,093,207.0
Monroe County,Arkansas,05,095,3.0
Montgomery County,Arkansas,05,097,31.0
Nevada County,Arkansas,05,099,25.0
Newton County,Arkansas,05,101,39.0
Ouachita County,Arkansas,05,103,49.0
Perry County,Arkansas,05,105,22.0
Phillips County,Arkansas,05,107,82.0
Pike County,Arkansas,05,109,37.0
Poinsett County,Arkansas,05,111,59.0
Polk County,Arkansas,05,113,70.0
Pope County,Arkansas,05,115,366.0
Prairie County,Arkansas,05,117,9.0
Pulaski County,Arkansas,05,119,4439.0
Randolph County,Arkansas,05,121,58.0
Saint Francis County,Arkansas,05,123,45.0
Saline County,Arkansas,05,125,750.0
Scott County,Arkansas,05,127,35.0
Searcy County,Arkansas,05,129,11.0
Sebastian County,Arkansas,05,131,660.0
Sevier County,Arkansas,05,133,22.0
Sharp County,Arkansas,05,135,60.0
Stone County,Arkansas,05,137,0.0
Union County,Arkansas,05,139,106.0
Van Buren County,Arkansas,05,141,46.0
Washington County,Arkansas,05,143,2792.0
White County,Arkansas,05,145,844.0
Woodruff County,Arkansas,05,147,6.0
Yell County,Arkansas,05,149,36.0
Alameda County,California,06,001,31512.0
Alpine County,California,06,003,20.0
Amador County,California,06,005,240.0
Butte County,California,06,007,1611.0
Calaveras County,California,06,009,226.0
Colusa County,California,06,011,30.0
Contra Costa County,California,06,013,14818.0
Del Norte County,California,06,015,214.0
El Dorado County,California,06,017,1900.0
Fresno County,California,06,019,4887.0
Glenn County,California,06,021,62.0
Humboldt County,California,06,023,1366.0
Imperial County,California,06,025,146.0
Inyo County,California,06,027,148.0
Kern County,California,06,029,3122.0
Kings County,California,06,031,268.0
Lake County,California,06,033,309.0
Lassen County,California,06,035,103.0
Los Angeles County,California,06,037,86083.0
Madera County,California,06,039,518.0
Marin County,California,06,041,6010.0
Mariposa County,California,06,043,137.0
Mendocino County,California,06,045,669.0
Merced County,California,06,047,1165.0
Modoc County,California,06,049,26.0
Mono County,California,06,051,20.0
Monterey County,California,06,053,3361.0
Napa County,California,06,055,1452.0
Nevada County,California,06,057,818.0
Orange County,California,06,059,32797.0
Placer County,California,06,061,2986.0
Plumas County,California,06,063,94.0
Riverside County,California,06,065,12893.0
Sacramento County,California,06,067,9868.0
San Benito County,California,06,069,233.0
San Bernardino County,California,06,071,9429.0
San Diego County,California,06,073,44596.0
San Francisco County,California,06,075,17732.0
San Joaquin County,California,06,077,2828.0
San Luis Obispo County,California,06,079,3476.0
San Mateo County,California,06,081,16375.0
Santa Barbara County,California,06,083,6101.0
Santa Clara County,California,06,085,44998.0
Santa Cruz County,California,06,087,4476.0
Shasta County,California,06,089,857.0
Sierra County,California,06,091,17.0
Siskiyou County,California,06,093,183.0
Solano County,California,06,095,2445.0
Sonoma County,California,06,097,4723.0
Stanislaus County,California,06,099,1544.0
Sutter County,California,06,101,269.0
Tehama County,California,06,103,179.0
Trinity County,California,06,105,39.0
Tulare County,California,06,107,1220.0
Tuolumne County,California,06,109,255.0
Ventura County,California,06,111,8589.0
Yolo County,California,06,113,6541.0
Yuba County,California,06,115,99.0
Alamosa County,Colorado,08,003,160.0
Archuleta County,Colorado,08,007,161.0
Baca County,Colorado,08,009,4.0
Bent County,Colorado,08,011,7.0
Chaffee County,Colorado,08,015,157.0
Cheyenne County,Colorado,08,017,2.0
Clear Creek County,Colorado,08,019,118.0
Conejos County,Colorado,08,021,25.0
Costilla County,Colorado,08,023,34.0
Crowley County,Colorado,08,025,5.0
Custer County,Colorado,08,027,40.0
Delta County,Colorado,08,029,67.0
Dolores County,Colorado,08,033,0.0
Douglas County,Colorado,08,035,3680.0
Eagle County,Colorado,08,037,274.0
Elbert County,Colorado,08,039,137.0
El Paso County,Colorado,08,041,5344.0
Fremont County,Colorado,08,043,185.0
