County,State,State_FIPS,County_FIPS,ged_or_alternative
Autauga County,Alabama,01,001,2322.0
Baldwin County,Alabama,01,003,7186.0
Barbour County,Alabama,01,005,1563.0
Bibb County,Alabama,01,007,1242.0
Blount County,Alabama,01,009,2361.0
Bullock County,Alabama,01,011,309.0
Butler County,Alabama,01,013,659.0
Calhoun County,Alabama,01,015,4929.0
Chambers County,Alabama,01,017,1841.0
Cherokee County,Alabama,01,019,1117.0
Chilton County,Alabama,01,021,1665.0
Choctaw County,Alabama,01,023,426.0
Clarke County,Alabama,01,025,986.0
Clay County,Alabama,01,027,453.0
Cleburne County,Alabama,01,029,778.0
Coffee County,Alabama,01,031,2102.0
Colbert County,Alabama,01,033,2808.0
Conecuh County,Alabama,01,035,512.0
Coosa County,Alabama,01,037,445.0
Covington County,Alabama,01,039,1859.0
Crenshaw County,Alabama,01,041,577.0
Cullman County,Alabama,01,043,3594.0
Dale County,Alabama,01,045,2295.0
Dallas County,Alabama,01,047,1260.0
DeKalb County,Alabama,01,049,3124.0
Elmore County,Alabama,01,051,4635.0
Escambia County,Alabama,01,053,2398.0
Etowah County,Alabama,01,055,4407.0
Fayette County,Alabama,01,057,959.0
Franklin County,Alabama,01,059,1378.0
Geneva County,Alabama,01,061,1646.0
Greene County,Alabama,01,063,216.0
Hale County,Alabama,01,065,765.0
Henry County,Alabama,01,067,814.0
Houston County,Alabama,01,069,4076.0
Jackson County,Alabama,01,071,3047.0
Jefferson County,Alabama,01,073,17529.0
Lamar County,Alabama,01,075,702.0
Lauderdale County,Alabama,01,077,3861.0
Lawrence County,Alabama,01,079,1743.0
Lee County,Alabama,01,081,4226.0
Limestone County,Alabama,01,083,4586.0
Lowndes County,Alabama,01,085,291.0
Macon County,Alabama,01,087,565.0
Madison County,Alabama,01,089,9730.0
Marengo County,Alabama,01,091,499.0
Marion County,Alabama,01,093,1527.0
Marshall County,Alabama,01,095,4258.0
Mobile County,Alabama,01,097,13516.0
Monroe County,Alabama,01,099,722.0
Montgomery County,Alabama,01,101,7570.0
Morgan County,Alabama,01,103,5460.0
Perry County,Alabama,01,105,474.0
Pickens County,Alabama,01,107,623.0
Pike County,Alabama,01,109,986.0
Randolph County,Alabama,01,111,991.0
Russell County,Alabama,01,113,2161.0
Saint Clair County,Alabama,01,115,4133.0
Shelby County,Alabama,01,117,4557.0
Sumter County,Alabama,01,119,287.0
Talladega County,Alabama,01,121,3907.0
Tallapoosa County,Alabama,01,123,1881.0
Tuscaloosa County,Alabama,01,125,5610.0
Walker County,Alabama,01,127,3876.0
Washington County,Alabama,01,129,623.0
Wilcox County,Alabama,01,131,241.0
Winston County,Alabama,01,133,1134.0
Anchorage Municipality,Alaska,02,020,8424.0
Bethel Census Area,Alaska,02,050,633.0
Bristol Bay Borough,Alaska,02,060,24.0
Fairbanks North Star Borough,Alaska,02,090,2961.0
Haines Borough,Alaska,02,100,43.0
