County,State,State_FIPS,County_FIPS,high_school_grads
Autauga County,Alabama,01,001,10288.0
Baldwin County,Alabama,01,003,32640.0
Barbour County,Alabama,01,005,5015.0
Bibb County,Alabama,01,007,5204.0
Blount County,Alabama,01,009,10869.0
Bullock County,Alabama,01,011,2302.0
Butler County,Alabama,01,013,4864.0
Calhoun County,Alabama,01,015,20167.0
Chambers County,Alabama,01,017,7615.0
Cherokee County,Alabama,01,019,5631.0
Chilton County,Alabama,01,021,10483.0
Choctaw County,Alabama,01,023,2994.0
Clarke County,Alabama,01,025,6623.0
Clay County,Alabama,01,027,2836.0
Cleburne County,Alabama,01,029,3188.0
Coffee County,Alabama,01,031,8143.0
Colbert County,Alabama,01,033,10382.0
Conecuh County,Alabama,01,035,3684.0
Coosa County,Alabama,01,037,2313.0
Covington County,Alabama,01,039,7283.0
Crenshaw County,Alabama,01,041,3142.0
Cullman County,Alabama,01,043,15776.0
Dale County,Alabama,01,045,8575.0
Dallas County,Alabama,01,047,8462.0
DeKalb County,Alabama,01,049,13012.0
Elmore County,Alabama,01,051,14640.0
Escambia County,Alabama,01,053,8514.0
Etowah County,Alabama,01,055,18524.0
Fayette County,Alabama,01,057,3626.0
Franklin County,Alabama,01,059,6227.0
Geneva County,Alabama,01,061,5311.0
Greene County,Alabama,01,063,2272.0
Hale County,Alabama,01,065,3666.0
Henry County,Alabama,01,067,3608.0
Houston County,Alabama,01,069,18764.0
Jackson County,Alabama,01,071,12304.0
Jefferson County,Alabama,01,073,100560.0
Lamar County,Alabama,01,075,2894.0
Lauderdale County,Alabama,01,077,17908.0
Lawrence County,Alabama,01,079,7604.0
Lee County,Alabama,01,081,17659.0
Limestone County,Alabama,01,083,14964.0
Lowndes County,Alabama,01,085,2405.0
Macon County,Alabama,01,087,3282.0
Madison County,Alabama,01,089,39378.0
Marengo County,Alabama,01,091,5052.0
Marion County,Alabama,01,093,6039.0
Marshall County,Alabama,01,095,16145.0
Mobile County,Alabama,01,097,76050.0
Monroe County,Alabama,01,099,6141.0
Montgomery County,Alabama,01,101,30700.0
Morgan County,Alabama,01,103,19144.0
Perry County,Alabama,01,105,1909.0
Pickens County,Alabama,01,107,4911.0
Pike County,Alabama,01,109,5454.0
Randolph County,Alabama,01,111,4612.0
Russell County,Alabama,01,113,9896.0
Saint Clair County,Alabama,01,115,17240.0
Shelby County,Alabama,01,117,24803.0
Sumter County,Alabama,01,119,3203.0
Talladega County,Alabama,01,121,15870.0
Tallapoosa County,Alabama,01,123,8203.0
Tuscaloosa County,Alabama,01,125,31701.0
Walker County,Alabama,01,127,12997.0
Washington County,Alabama,01,129,4663.0
Wilcox County,Alabama,01,131,3100.0
Winston County,Alabama,01,133,4771.0
Anchorage Municipality,Alaska,02,020,37350.0
Bethel Census Area,Alaska,02,050,3574.0
Bristol Bay Borough,Alaska,02,060,207.0
Fairbanks North Star Borough,Alaska,02,090,10508.0
Haines Borough,Alaska,02,100,421.0
Juneau City and Borough,Alaska,02,110,3630.0
