County,State,State_FIPS,County_FIPS,high_school_only_percentage
Autauga County,Alabama,01,001,33.6
Baldwin County,Alabama,01,003,28.5
Barbour County,Alabama,01,005,32.7
Bibb County,Alabama,01,007,43.0
Blount County,Alabama,01,009,36.1
Bullock County,Alabama,01,011,37.2
Butler County,Alabama,01,013,35.5
Calhoun County,Alabama,01,015,33.0
Chambers County,Alabama,01,017,34.4
Cherokee County,Alabama,01,019,36.7
Chilton County,Alabama,01,021,37.3
Choctaw County,Alabama,01,023,41.2
Clarke County,Alabama,01,025,40.9
Clay County,Alabama,01,027,40.0
Cleburne County,Alabama,01,029,37.0
Coffee County,Alabama,01,031,26.9
Colbert County,Alabama,01,033,34.5
Conecuh County,Alabama,01,035,35.9
Coosa County,Alabama,01,037,45.3
Covington County,Alabama,01,039,37.8
Crenshaw County,Alabama,01,041,38.6
Cullman County,Alabama,01,043,32.2
Dale County,Alabama,01,045,29.3
Dallas County,Alabama,01,047,38.4
DeKalb County,Alabama,01,049,36.5
Elmore County,Alabama,01,051,34.2
Escambia County,Alabama,01,053,35.5
Etowah County,Alabama,01,055,33.9
Fayette County,Alabama,01,057,43.4
Franklin County,Alabama,01,059,34.4
Geneva County,Alabama,01,061,41.3
Greene County,Alabama,01,063,42.8
Hale County,Alabama,01,065,37.3
Henry County,Alabama,01,067,38.5
Houston County,Alabama,01,069,34.3
Jackson County,Alabama,01,071,37.9
Jefferson County,Alabama,01,073,28.0
Lamar County,Alabama,01,075,47.3
Lauderdale County,Alabama,01,077,35.4
Lawrence County,Alabama,01,079,42.5
Lee County,Alabama,01,081,26.2
Limestone County,Alabama,01,083,30.8
Lowndes County,Alabama,01,085,42.9
Macon County,Alabama,01,087,30.9
Madison County,Alabama,01,089,21.2
Marengo County,Alabama,01,091,38.1
Marion County,Alabama,01,093,38.0
Marshall County,Alabama,01,095,30.5
Mobile County,Alabama,01,097,34.8
Monroe County,Alabama,01,099,42.0
Montgomery County,Alabama,01,101,27.3
Morgan County,Alabama,01,103,32.4
Perry County,Alabama,01,105,42.2
Pickens County,Alabama,01,107,47.9
Pike County,Alabama,01,109,34.8
Randolph County,Alabama,01,111,32.2
Russell County,Alabama,01,113,34.6
Saint Clair County,Alabama,01,115,36.2
Shelby County,Alabama,01,117,20.6
Sumter County,Alabama,01,119,39.2
Talladega County,Alabama,01,121,37.6
Tallapoosa County,Alabama,01,123,31.8
Tuscaloosa County,Alabama,01,125,32.8
Walker County,Alabama,01,127,37.8
Washington County,Alabama,01,129,52.5
Wilcox County,Alabama,01,131,37.6
Winston County,Alabama,01,133,31.6
Anchorage Municipality,Alaska,02,020,24.4
Bethel Census Area,Alaska,02,050,42.3
Bristol Bay Borough,Alaska,02,060,24.6
Fairbanks North Star Borough,Alaska,02,090,28.4
Haines Borough,Alaska,02,100,33.3
Juneau City and Borough,Alaska,02,110,26.4
Kenai Peninsula Borough,Alaska,02,122,36.8
Kodiak Island Borough,Alaska,02,150,28.5
Matanuska-Susitna Borough,Alaska,02,170,33.9
Nome Census Area,Alaska,02,180,46.5
North Slope Borough,Alaska,02,185,40.7
Sitka City and Borough,Alaska,02,220,27.3
Southeast Fairbanks Census Area,Alaska,02,240,29.8
Valdez-Cordova Census Area,Alaska,02,261,23.4
Wade Hampton Census Area,Alaska,02,270,50.1
Northwest Arctic Borough,Alaska,02,188,47.9
Aleutians East Borough,Alaska,02,013,37.7
Aleutians West Census Area,Alaska,02,016,34.5
Dillingham Census Area,Alaska,02,070,36.7
Lake and Peninsula Borough,Alaska,02,164,36.5
Denali Borough,Alaska,02,068,35.6
Yukon-Koyukuk Census Area,Alaska,02,290,40.5
Hoonah-Angoon Census Area,Alaska,02,105,29.8
Skagway Municipality,Alaska,02,230,32.9
Yakutat City and Borough,Alaska,02,282,31.8
Ketchikan Gateway Borough,Alaska,02,130,35.6
Petersburg Borough,Alaska,02,195,38.2
Prince of Wales-Hyder Census Area,Alaska,02,198,43.6
Wrangell City and Borough,Alaska,02,275,40.7
Apache County,Arizona,04,001,34.8
Cochise County,Arizona,04,003,25.5
Coconino County,Arizona,04,005,25.7
Gila County,Arizona,04,007,33.0
Graham County,Arizona,04,009,34.5
Greenlee County,Arizona,04,011,39.1
Maricopa County,Arizona,04,013,22.7
Mohave County,Arizona,04,015,32.8
Navajo County,Arizona,04,017,30.9
Pima County,Arizona,04,019,23.4
Pinal County,Arizona,04,021,29.0
Santa Cruz County,Arizona,04,023,27.6
Yavapai County,Arizona,04,025,25.9
La Paz County,Arizona,04,012,29.3
Yuma County,Arizona,04,027,26.2
Arkansas County,Arkansas,05,001,44.8
Ashley County,Arkansas,05,003,45.7
Baxter County,Arkansas,05,005,35.9
Benton County,Arkansas,05,007,28.2
Boone County,Arkansas,05,009,40.4
Bradley County,Arkansas,05,011,38.8
Calhoun County,Arkansas,05,013,55.3
Carroll County,Arkansas,05,015,34.2
Chicot County,Arkansas,05,017,42.0
Clark County,Arkansas,05,019,42.3
Clay County,Arkansas,05,021,42.4
Cleburne County,Arkansas,05,023,39.3
Cleveland County,Arkansas,05,025,46.6
Columbia County,Arkansas,05,027,39.6
Conway County,Arkansas,05,029,48.8
Craighead County,Arkansas,05,031,36.1
Crawford County,Arkansas,05,033,35.1
Crittenden County,Arkansas,05,035,37.0
Cross County,Arkansas,05,037,50.9
Dallas County,Arkansas,05,039,48.9
Desha County,Arkansas,05,041,41.8
Drew County,Arkansas,05,043,37.6
Faulkner County,Arkansas,05,045,32.1
Franklin County,Arkansas,05,047,44.1
Fulton County,Arkansas,05,049,41.7
Garland County,Arkansas,05,051,33.1
Grant County,Arkansas,05,053,44.3
Greene County,Arkansas,05,055,45.3
Hempstead County,Arkansas,05,057,44.9
Hot Spring County,Arkansas,05,059,42.2
Howard County,Arkansas,05,061,44.3
Independence County,Arkansas,05,063,42.7
Izard County,Arkansas,05,065,41.7
Jackson County,Arkansas,05,067,47.5
Jefferson County,Arkansas,05,069,42.6
Johnson County,Arkansas,05,071,39.0
Lafayette County,Arkansas,05,073,45.3
Lawrence County,Arkansas,05,075,43.7
Lee County,Arkansas,05,077,40.4
Lincoln County,Arkansas,05,079,42.3
Little River County,Arkansas,05,081,47.7
Logan County,Arkansas,05,083,39.6
Lonoke County,Arkansas,05,085,35.8
Madison County,Arkansas,05,087,41.3
Marion County,Arkansas,05,089,39.3
Miller County,Arkansas,05,091,43.5
Mississippi County,Arkansas,05,093,39.6
Monroe County,Arkansas,05,095,33.4
Montgomery County,Arkansas,05,097,40.7
Nevada County,Arkansas,05,099,38.6
Newton County,Arkansas,05,101,44.0
