County,State,State_FIPS,County_FIPS,less_than_9th_grade_percentage
Autauga County,Alabama,01,001,4.9
Baldwin County,Alabama,01,003,5.2
Barbour County,Alabama,01,005,11.2
Bibb County,Alabama,01,007,11.5
Blount County,Alabama,01,009,11.0
Bullock County,Alabama,01,011,12.4
Butler County,Alabama,01,013,10.1
Calhoun County,Alabama,01,015,7.9
Chambers County,Alabama,01,017,9.7
Cherokee County,Alabama,01,019,10.5
Chilton County,Alabama,01,021,11.9
Choctaw County,Alabama,01,023,13.2
Clarke County,Alabama,01,025,6.6
Clay County,Alabama,01,027,10.9
Cleburne County,Alabama,01,029,9.3
Coffee County,Alabama,01,031,9.7
Colbert County,Alabama,01,033,7.2
Conecuh County,Alabama,01,035,11.8
Coosa County,Alabama,01,037,5.6
Covington County,Alabama,01,039,9.6
Crenshaw County,Alabama,01,041,9.8
Cullman County,Alabama,01,043,8.9
Dale County,Alabama,01,045,5.6
Dallas County,Alabama,01,047,8.6
DeKalb County,Alabama,01,049,12.6
Elmore County,Alabama,01,051,5.1
Escambia County,Alabama,01,053,11.3
Etowah County,Alabama,01,055,6.8
Fayette County,Alabama,01,057,10.3
Franklin County,Alabama,01,059,11.4
Geneva County,Alabama,01,061,10.5
Greene County,Alabama,01,063,11.5
Hale County,Alabama,01,065,9.3
Henry County,Alabama,01,067,6.5
Houston County,Alabama,01,069,6.3
Jackson County,Alabama,01,071,10.3
Jefferson County,Alabama,01,073,4.6
Lamar County,Alabama,01,075,8.0
Lauderdale County,Alabama,01,077,6.0
Lawrence County,Alabama,01,079,7.7
Lee County,Alabama,01,081,5.0
Limestone County,Alabama,01,083,8.5
Lowndes County,Alabama,01,085,12.0
Macon County,Alabama,01,087,6.7
Madison County,Alabama,01,089,3.6
Marengo County,Alabama,01,091,7.8
Marion County,Alabama,01,093,12.3
Marshall County,Alabama,01,095,12.4
Mobile County,Alabama,01,097,5.2
Monroe County,Alabama,01,099,6.5
Montgomery County,Alabama,01,101,5.1
Morgan County,Alabama,01,103,7.8
Perry County,Alabama,01,105,9.8
Pickens County,Alabama,01,107,7.8
Pike County,Alabama,01,109,6.8
Randolph County,Alabama,01,111,12.5
Russell County,Alabama,01,113,7.8
Saint Clair County,Alabama,01,115,6.3
Shelby County,Alabama,01,117,3.2
Sumter County,Alabama,01,119,10.6
Talladega County,Alabama,01,121,8.1
Tallapoosa County,Alabama,01,123,8.2
Tuscaloosa County,Alabama,01,125,5.1
Walker County,Alabama,01,127,8.5
Washington County,Alabama,01,129,8.2
Wilcox County,Alabama,01,131,12.6
Winston County,Alabama,01,133,13.1
Anchorage Municipality,Alaska,02,020,2.4
Bethel Census Area,Alaska,02,050,11.1
Bristol Bay Borough,Alaska,02,060,4.0
Fairbanks North Star Borough,Alaska,02,090,2.9
Haines Borough,Alaska,02,100,0.0
Juneau City and Borough,Alaska,02,110,1.2
Kenai Peninsula Borough,Alaska,02,122,2.6
Kodiak Island Borough,Alaska,02,150,3.1
Matanuska-Susitna Borough,Alaska,02,170,1.8
Nome Census Area,Alaska,02,180,6.2
North Slope Borough,Alaska,02,185,4.4
Sitka City and Borough,Alaska,02,220,1.5
Southeast Fairbanks Census Area,Alaska,02,240,2.6
Valdez-Cordova Census Area,Alaska,02,261,2.9
Wade Hampton Census Area,Alaska,02,270,11.7
Northwest Arctic Borough,Alaska,02,188,8.6
Aleutians East Borough,Alaska,02,013,10.9
Aleutians West Census Area,Alaska,02,016,14.6
Dillingham Census Area,Alaska,02,070,12.0
Lake and Peninsula Borough,Alaska,02,164,3.7
Denali Borough,Alaska,02,068,0.6
Yukon-Koyukuk Census Area,Alaska,02,290,10.5
Hoonah-Angoon Census Area,Alaska,02,105,5.3
Skagway Municipality,Alaska,02,230,0.5
Yakutat City and Borough,Alaska,02,282,3.3
Ketchikan Gateway Borough,Alaska,02,130,1.5
Petersburg Borough,Alaska,02,195,0.3
Prince of Wales-Hyder Census Area,Alaska,02,198,1.3
