County,State,State_FIPS,County_FIPS,masters_degree
Autauga County,Alabama,01,001,2354.0
Baldwin County,Alabama,01,003,9188.0
Barbour County,Alabama,01,005,840.0
Bibb County,Alabama,01,007,549.0
Blount County,Alabama,01,009,1244.0
Bullock County,Alabama,01,011,361.0
Butler County,Alabama,01,013,635.0
Calhoun County,Alabama,01,015,3664.0
Chambers County,Alabama,01,017,768.0
Cherokee County,Alabama,01,019,746.0
Chilton County,Alabama,01,021,1170.0
Choctaw County,Alabama,01,023,344.0
Clarke County,Alabama,01,025,508.0
Clay County,Alabama,01,027,238.0
Cleburne County,Alabama,01,029,320.0
Coffee County,Alabama,01,031,2346.0
Colbert County,Alabama,01,033,1676.0
Conecuh County,Alabama,01,035,289.0
Coosa County,Alabama,01,037,257.0
Covington County,Alabama,01,039,1016.0
Crenshaw County,Alabama,01,041,355.0
Cullman County,Alabama,01,043,2103.0
Dale County,Alabama,01,045,1462.0
Dallas County,Alabama,01,047,1297.0
DeKalb County,Alabama,01,049,1702.0
Elmore County,Alabama,01,051,3445.0
Escambia County,Alabama,01,053,755.0
Etowah County,Alabama,01,055,3004.0
Fayette County,Alabama,01,057,655.0
Franklin County,Alabama,01,059,540.0
Geneva County,Alabama,01,061,519.0
Greene County,Alabama,01,063,157.0
Hale County,Alabama,01,065,264.0
Henry County,Alabama,01,067,804.0
Houston County,Alabama,01,069,3456.0
Jackson County,Alabama,01,071,1493.0
Jefferson County,Alabama,01,073,33145.0
Lamar County,Alabama,01,075,356.0
Lauderdale County,Alabama,01,077,3964.0
Lawrence County,Alabama,01,079,701.0
Lee County,Alabama,01,081,7911.0
Limestone County,Alabama,01,083,3831.0
Lowndes County,Alabama,01,085,233.0
Macon County,Alabama,01,087,809.0
Madison County,Alabama,01,089,25884.0
Marengo County,Alabama,01,091,591.0
Marion County,Alabama,01,093,756.0
Marshall County,Alabama,01,095,2728.0
Mobile County,Alabama,01,097,13742.0
Monroe County,Alabama,01,099,426.0
Montgomery County,Alabama,01,101,13090.0
Morgan County,Alabama,01,103,3972.0
Perry County,Alabama,01,105,203.0
Pickens County,Alabama,01,107,270.0
Pike County,Alabama,01,109,1124.0
Randolph County,Alabama,01,111,686.0
Russell County,Alabama,01,113,1459.0
Saint Clair County,Alabama,01,115,2264.0
Shelby County,Alabama,01,117,13230.0
Sumter County,Alabama,01,119,438.0
Talladega County,Alabama,01,121,1957.0
Tallapoosa County,Alabama,01,123,1300.0
Tuscaloosa County,Alabama,01,125,9048.0
Walker County,Alabama,01,127,1259.0
Washington County,Alabama,01,129,300.0
Wilcox County,Alabama,01,131,198.0
Winston County,Alabama,01,133,536.0
Anchorage Municipality,Alaska,02,020,15763.0
Bethel Census Area,Alaska,02,050,286.0
Bristol Bay Borough,Alaska,02,060,49.0
Fairbanks North Star Borough,Alaska,02,090,5100.0
Haines Borough,Alaska,02,100,81.0
Juneau City and Borough,Alaska,02,110,2347.0
Kenai Peninsula Borough,Alaska,02,122,2479.0
Kodiak Island Borough,Alaska,02,150,384.0
Matanuska-Susitna Borough,Alaska,02,170,2900.0
Nome Census Area,Alaska,02,180,180.0
North Slope Borough,Alaska,02,185,181.0
Sitka City and Borough,Alaska,02,220,525.0
Southeast Fairbanks Census Area,Alaska,02,240,254.0
Valdez-Cordova Census Area,Alaska,02,261,396.0
Wade Hampton Census Area,Alaska,02,270,46.0
Northwest Arctic Borough,Alaska,02,188,134.0
Aleutians East Borough,Alaska,02,013,27.0
Aleutians West Census Area,Alaska,02,016,191.0
Dillingham Census Area,Alaska,02,070,101.0
Lake and Peninsula Borough,Alaska,02,164,43.0
Denali Borough,Alaska,02,068,84.0
Yukon-Koyukuk Census Area,Alaska,02,290,100.0
Hoonah-Angoon Census Area,Alaska,02,105,150.0
Skagway Municipality,Alaska,02,230,54.0
Yakutat City and Borough,Alaska,02,282,18.0
Ketchikan Gateway Borough,Alaska,02,130,423.0
Petersburg Borough,Alaska,02,195,137.0
Prince of Wales-Hyder Census Area,Alaska,02,198,191.0
Wrangell City and Borough,Alaska,02,275,57.0
Apache County,Arizona,04,001,1366.0
Cochise County,Arizona,04,003,6001.0
Coconino County,Arizona,04,005,7019.0
Gila County,Arizona,04,007,2056.0
Graham County,Arizona,04,009,973.0
Greenlee County,Arizona,04,011,131.0
Maricopa County,Arizona,04,013,197003.0
Mohave County,Arizona,04,015,4584.0
Navajo County,Arizona,04,017,2796.0
Pima County,Arizona,04,019,55652.0
Pinal County,Arizona,04,021,12467.0
Santa Cruz County,Arizona,04,023,1395.0
Yavapai County,Arizona,04,025,10223.0
La Paz County,Arizona,04,012,414.0
Yuma County,Arizona,04,027,4330.0
Arkansas County,Arkansas,05,001,531.0
Ashley County,Arkansas,05,003,374.0
Baxter County,Arkansas,05,005,1006.0
Benton County,Arkansas,05,007,11314.0
Boone County,Arkansas,05,009,1038.0
Bradley County,Arkansas,05,011,132.0
Calhoun County,Arkansas,05,013,121.0
Carroll County,Arkansas,05,015,972.0
Chicot County,Arkansas,05,017,177.0
Clark County,Arkansas,05,019,853.0
Clay County,Arkansas,05,021,231.0
Cleburne County,Arkansas,05,023,698.0
Cleveland County,Arkansas,05,025,154.0
Columbia County,Arkansas,05,027,919.0
Conway County,Arkansas,05,029,564.0
Craighead County,Arkansas,05,031,3729.0
Crawford County,Arkansas,05,033,1255.0
Crittenden County,Arkansas,05,035,950.0
Cross County,Arkansas,05,037,367.0
Dallas County,Arkansas,05,039,147.0
Desha County,Arkansas,05,041,280.0
Drew County,Arkansas,05,043,543.0
Faulkner County,Arkansas,05,045,4648.0
Franklin County,Arkansas,05,047,358.0
Fulton County,Arkansas,05,049,324.0
Garland County,Arkansas,05,051,4026.0
Grant County,Arkansas,05,053,501.0
Greene County,Arkansas,05,055,1098.0
Hempstead County,Arkansas,05,057,542.0
Hot Spring County,Arkansas,05,059,962.0
Howard County,Arkansas,05,061,380.0
Independence County,Arkansas,05,063,900.0
Izard County,Arkansas,05,065,320.0
Jackson County,Arkansas,05,067,234.0
Jefferson County,Arkansas,05,069,1992.0
Johnson County,Arkansas,05,071,569.0
Lafayette County,Arkansas,05,073,114.0
Lawrence County,Arkansas,05,075,358.0
Lee County,Arkansas,05,077,136.0
Lincoln County,Arkansas,05,079,172.0
Little River County,Arkansas,05,081,279.0
Logan County,Arkansas,05,083,346.0
Lonoke County,Arkansas,05,085,1998.0
Madison County,Arkansas,05,087,190.0
Marion County,Arkansas,05,089,346.0
Miller County,Arkansas,05,091,995.0
Mississippi County,Arkansas,05,093,1144.0
Monroe County,Arkansas,05,095,149.0
Montgomery County,Arkansas,05,097,246.0
Nevada County,Arkansas,05,099,208.0
Newton County,Arkansas,05,101,195.0
Ouachita County,Arkansas,05,103,672.0
Perry County,Arkansas,05,105,207.0
Phillips County,Arkansas,05,107,473.0
Pike County,Arkansas,05,109,304.0
Poinsett County,Arkansas,05,111,218.0
Polk County,Arkansas,05,113,504.0
Pope County,Arkansas,05,115,1964.0
Prairie County,Arkansas,05,117,189.0
Pulaski County,Arkansas,05,119,19235.0
Randolph County,Arkansas,05,121,447.0
Saint Francis County,Arkansas,05,123,725.0
Saline County,Arkansas,05,125,4014.0
Scott County,Arkansas,05,127,238.0
Searcy County,Arkansas,05,129,306.0
Sebastian County,Arkansas,05,131,3690.0
Sevier County,Arkansas,05,133,224.0
Sharp County,Arkansas,05,135,504.0
Stone County,Arkansas,05,137,318.0
Union County,Arkansas,05,139,1037.0
Van Buren County,Arkansas,05,141,374.0
Washington County,Arkansas,05,143,9871.0
White County,Arkansas,05,145,2408.0
Woodruff County,Arkansas,05,147,113.0
Yell County,Arkansas,05,149,322.0
Alameda County,California,06,001,127775.0
Alpine County,California,06,003,47.0
Amador County,California,06,005,1067.0
Butte County,California,06,007,7585.0
Calaveras County,California,06,009,1517.0
Colusa County,California,06,011,225.0
Contra Costa County,California,06,013,68914.0
Del Norte County,California,06,015,642.0
El Dorado County,California,06,017,9224.0
Fresno County,California,06,019,22909.0
Glenn County,California,06,021,558.0
Humboldt County,California,06,023,5169.0
Imperial County,California,06,025,3361.0
Inyo County,California,06,027,730.0
Kern County,California,06,029,17956.0
Kings County,California,06,031,2065.0
Lake County,California,06,033,1745.0
Lassen County,California,06,035,695.0
Los Angeles County,California,06,037,442258.0
Madera County,California,06,039,2452.0
Marin County,California,06,041,27681.0
Mariposa County,California,06,043,696.0
Mendocino County,California,06,045,3227.0
Merced County,California,06,047,4009.0
Modoc County,California,06,049,144.0
Mono County,California,06,051,588.0
Monterey County,California,06,053,15924.0
Napa County,California,06,055,6486.0
Nevada County,California,06,057,5484.0
Orange County,California,06,059,179886.0
Placer County,California,06,061,19691.0
Plumas County,California,06,063,906.0
Riverside County,California,06,065,73494.0
Sacramento County,California,06,067,59253.0
San Benito County,California,06,069,1262.0
San Bernardino County,California,06,071,60071.0
San Diego County,California,06,073,181805.0
San Francisco County,California,06,075,87685.0
San Joaquin County,California,06,077,15921.0
San Luis Obispo County,California,06,079,14387.0
San Mateo County,California,06,081,59754.0
Santa Barbara County,California,06,083,21078.0
Santa Clara County,California,06,085,189646.0
Santa Cruz County,California,06,087,16915.0
Shasta County,California,06,089,5446.0
Sierra County,California,06,091,74.0
Siskiyou County,California,06,093,1860.0
Solano County,California,06,095,13014.0
Sonoma County,California,06,097,25309.0
Stanislaus County,California,06,099,11419.0
Sutter County,California,06,101,2127.0
Tehama County,California,06,103,1276.0
Trinity County,California,06,105,430.0
Tulare County,California,06,107,7420.0
Tuolumne County,California,06,109,1709.0
Ventura County,California,06,111,43588.0
Yolo County,California,06,113,11716.0
Yuba County,California,06,115,1365.0
Alamosa County,Colorado,08,003,697.0
Archuleta County,Colorado,08,007,787.0
Baca County,Colorado,08,009,85.0
Bent County,Colorado,08,011,98.0
Chaffee County,Colorado,08,015,1191.0
Cheyenne County,Colorado,08,017,67.0
Clear Creek County,Colorado,08,019,764.0
Conejos County,Colorado,08,021,246.0
Costilla County,Colorado,08,023,222.0
Crowley County,Colorado,08,025,107.0
Custer County,Colorado,08,027,379.0
Delta County,Colorado,08,029,1053.0
Dolores County,Colorado,08,033,51.0
Douglas County,Colorado,08,035,27170.0
Eagle County,Colorado,08,037,2992.0
Elbert County,Colorado,08,039,1008.0
El Paso County,Colorado,08,041,43592.0
Fremont County,Colorado,08,043,1671.0
Garfield County,Colorado,08,045,2601.0
Gilpin County,Colorado,08,047,339.0
Grand County,Colorado,08,049,630.0
Gunnison County,Colorado,08,051,1006.0
Huerfano County,Colorado,08,055,500.0
Jackson County,Colorado,08,057,39.0
Kiowa County,Colorado,08,061,36.0
Kit Carson County,Colorado,08,063,173.0
Lake County,Colorado,08,065,356.0
La Plata County,Colorado,08,067,3838.0
Larimer County,Colorado,08,069,22746.0
Las Animas County,Colorado,08,071,457.0
Lincoln County,Colorado,08,073,109.0
Logan County,Colorado,08,075,673.0
Mesa County,Colorado,08,077,6044.0
Moffat County,Colorado,08,081,223.0
Montezuma County,Colorado,08,083,1523.0
Montrose County,Colorado,08,085,2261.0
Morgan County,Colorado,08,087,671.0
Otero County,Colorado,08,089,516.0
Ouray County,Colorado,08,091,483.0
Park County,Colorado,08,093,893.0
Phillips County,Colorado,08,095,95.0
Pitkin County,Colorado,08,097,1406.0
Prowers County,Colorado,08,099,250.0
Pueblo County,Colorado,08,101,6720.0
Rio Blanco County,Colorado,08,103,257.0
Rio Grande County,Colorado,08,105,525.0
Routt County,Colorado,08,107,1998.0
Saguache County,Colorado,08,109,323.0
San Miguel County,Colorado,08,113,592.0
Sedgwick County,Colorado,08,115,78.0
Summit County,Colorado,08,117,2468.0
Teller County,Colorado,08,119,1805.0
Washington County,Colorado,08,121,136.0
Yuma County,Colorado,08,125,346.0
Adams County,Colorado,08,001,15519.0
Arapahoe County,Colorado,08,005,40015.0
Boulder County,Colorado,08,013,34828.0
Broomfield County,Colorado,08,014,5367.0
Denver County,Colorado,08,031,50483.0
Jefferson County,Colorado,08,059,42979.0
Weld County,Colorado,08,123,10347.0
Fairfield County,Connecticut,09,001,92566.0
Hartford County,Connecticut,09,003,67949.0
Litchfield County,Connecticut,09,005,14278.0
Middlesex County,Connecticut,09,007,16322.0
New Haven County,Connecticut,09,009,61474.0
New London County,Connecticut,09,011,20343.0
Tolland County,Connecticut,09,013,11889.0
Windham County,Connecticut,09,015,5593.0
Kent County,Delaware,10,001,7249.0
New Castle County,Delaware,10,003,35852.0
Sussex County,Delaware,10,005,9632.0
Alachua County,Florida,12,001,15941.0
Baker County,Florida,12,003,555.0
Bay County,Florida,12,005,6524.0
Bradford County,Florida,12,007,403.0
Brevard County,Florida,12,009,30191.0
Broward County,Florida,12,011,91946.0
Calhoun County,Florida,12,013,233.0
Charlotte County,Florida,12,015,7038.0
Citrus County,Florida,12,017,4466.0
Clay County,Florida,12,019,7554.0
Collier County,Florida,12,021,20272.0
Columbia County,Florida,12,023,2012.0
Miami-Dade County,Florida,12,086,105829.0
DeSoto County,Florida,12,027,580.0
Dixie County,Florida,12,029,229.0
Duval County,Florida,12,031,34103.0
Escambia County,Florida,12,033,11694.0
Flagler County,Florida,12,035,4362.0
Franklin County,Florida,12,037,316.0
Gadsden County,Florida,12,039,1599.0
Gilchrist County,Florida,12,041,283.0
Glades County,Florida,12,043,312.0
Gulf County,Florida,12,045,292.0
Hamilton County,Florida,12,047,172.0
Hardee County,Florida,12,049,341.0
Hendry County,Florida,12,051,722.0
Hernando County,Florida,12,053,4735.0
Highlands County,Florida,12,055,2938.0
