County,State,State_FIPS,County_FIPS,population_aged_25_plus
Autauga County,Alabama,01,001,37367.0
Baldwin County,Alabama,01,003,151112.0
Barbour County,Alabama,01,005,17964.0
Bibb County,Alabama,01,007,16168.0
Blount County,Alabama,01,009,39791.0
Bullock County,Alabama,01,011,7101.0
Butler County,Alabama,01,013,13819.0
Calhoun County,Alabama,01,015,79108.0
Chambers County,Alabama,01,017,23789.0
Cherokee County,Alabama,01,019,18874.0
Chilton County,Alabama,01,021,30046.0
Choctaw County,Alabama,01,023,9329.0
Clarke County,Alabama,01,025,16770.0
Clay County,Alabama,01,027,9459.0
Cleburne County,Alabama,01,029,10481.0
Coffee County,Alabama,01,031,35293.0
Colbert County,Alabama,01,033,38959.0
Conecuh County,Alabama,01,035,8833.0
Coosa County,Alabama,01,037,8259.0
Covington County,Alabama,01,039,26324.0
Crenshaw County,Alabama,01,041,9690.0
Cullman County,Alabama,01,043,57726.0
Dale County,Alabama,01,045,33509.0
Dallas County,Alabama,01,047,26200.0
DeKalb County,Alabama,01,049,47990.0
Elmore County,Alabama,01,051,56093.0
Escambia County,Alabama,01,053,25859.0
Etowah County,Alabama,01,055,72032.0
Fayette County,Alabama,01,057,11706.0
Franklin County,Alabama,01,059,20786.0
Geneva County,Alabama,01,061,18660.0
Greene County,Alabama,01,063,5793.0
Hale County,Alabama,01,065,9921.0
Henry County,Alabama,01,067,12168.0
Houston County,Alabama,01,069,72199.0
Jackson County,Alabama,01,071,36999.0
Jefferson County,Alabama,01,073,449743.0
Lamar County,Alabama,01,075,9837.0
Lauderdale County,Alabama,01,077,63606.0
Lawrence County,Alabama,01,079,23314.0
Lee County,Alabama,01,081,97055.0
Limestone County,Alabama,01,083,65942.0
Lowndes County,Alabama,01,085,7062.0
Macon County,Alabama,01,087,12033.0
Madison County,Alabama,01,089,247760.0
Marengo County,Alabama,01,091,13092.0
Marion County,Alabama,01,093,21272.0
Marshall County,Alabama,01,095,63955.0
Mobile County,Alabama,01,097,278838.0
Monroe County,Alabama,01,099,14718.0
Montgomery County,Alabama,01,101,150570.0
Morgan County,Alabama,01,103,82478.0
Perry County,Alabama,01,105,5883.0
Pickens County,Alabama,01,107,14495.0
Pike County,Alabama,01,109,19298.0
Randolph County,Alabama,01,111,15776.0
Russell County,Alabama,01,113,38920.0
Saint Clair County,Alabama,01,115,61424.0
Shelby County,Alabama,01,117,145427.0
Sumter County,Alabama,01,119,8088.0
Talladega County,Alabama,01,121,55993.0
Tallapoosa County,Alabama,01,123,28667.0
Tuscaloosa County,Alabama,01,125,129056.0
Walker County,Alabama,01,127,44782.0
Washington County,Alabama,01,129,11346.0
Wilcox County,Alabama,01,131,7114.0
Winston County,Alabama,01,133,17156.0
Anchorage Municipality,Alaska,02,020,191870.0
Bethel Census Area,Alaska,02,050,9801.0
Bristol Bay Borough,Alaska,02,060,635.0
Fairbanks North Star Borough,Alaska,02,090,61846.0
Haines Borough,Alaska,02,100,1850.0
Juneau City and Borough,Alaska,02,110,22561.0
Kenai Peninsula Borough,Alaska,02,122,40651.0
Kodiak Island Borough,Alaska,02,150,8934.0
Matanuska-Susitna Borough,Alaska,02,170,68186.0
Nome Census Area,Alaska,02,180,5520.0
North Slope Borough,Alaska,02,185,6505.0
Sitka City and Borough,Alaska,02,220,6146.0
Southeast Fairbanks Census Area,Alaska,02,240,4518.0
Valdez-Cordova Census Area,Alaska,02,261,6480.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,4209.0
Aleutians East Borough,Alaska,02,013,2616.0
Aleutians West Census Area,Alaska,02,016,4127.0
Dillingham Census Area,Alaska,02,070,2895.0
Lake and Peninsula Borough,Alaska,02,164,918.0
Denali Borough,Alaska,02,068,1627.0
Yukon-Koyukuk Census Area,Alaska,02,290,3442.0
Hoonah-Angoon Census Area,Alaska,02,105,1711.0
Skagway Municipality,Alaska,02,230,867.0
Yakutat City and Borough,Alaska,02,282,442.0
Ketchikan Gateway Borough,Alaska,02,130,9642.0
Petersburg Borough,Alaska,02,195,2195.0
Prince of Wales-Hyder Census Area,Alaska,02,198,4457.0
Wrangell City and Borough,Alaska,02,275,1925.0
Apache County,Arizona,04,001,44949.0
Cochise County,Arizona,04,003,87639.0
Coconino County,Arizona,04,005,83080.0
