County,State,State_FIPS,County_FIPS,professional_degree
Autauga County,Alabama,01,001,495.0
Baldwin County,Alabama,01,003,2258.0
Barbour County,Alabama,01,005,178.0
Bibb County,Alabama,01,007,64.0
Blount County,Alabama,01,009,222.0
Bullock County,Alabama,01,011,199.0
Butler County,Alabama,01,013,108.0
Calhoun County,Alabama,01,015,642.0
Chambers County,Alabama,01,017,196.0
Cherokee County,Alabama,01,019,225.0
Chilton County,Alabama,01,021,115.0
Choctaw County,Alabama,01,023,95.0
Clarke County,Alabama,01,025,104.0
Clay County,Alabama,01,027,34.0
Cleburne County,Alabama,01,029,142.0
Coffee County,Alabama,01,031,495.0
Colbert County,Alabama,01,033,447.0
Conecuh County,Alabama,01,035,50.0
Coosa County,Alabama,01,037,28.0
Covington County,Alabama,01,039,253.0
Crenshaw County,Alabama,01,041,25.0
Cullman County,Alabama,01,043,828.0
Dale County,Alabama,01,045,330.0
Dallas County,Alabama,01,047,255.0
DeKalb County,Alabama,01,049,290.0
Elmore County,Alabama,01,051,563.0
Escambia County,Alabama,01,053,209.0
Etowah County,Alabama,01,055,762.0
Fayette County,Alabama,01,057,17.0
Franklin County,Alabama,01,059,118.0
Geneva County,Alabama,01,061,54.0
Greene County,Alabama,01,063,42.0
Hale County,Alabama,01,065,89.0
Henry County,Alabama,01,067,104.0
Houston County,Alabama,01,069,923.0
Jackson County,Alabama,01,071,302.0
Jefferson County,Alabama,01,073,12844.0
Lamar County,Alabama,01,075,79.0
Lauderdale County,Alabama,01,077,801.0
Lawrence County,Alabama,01,079,117.0
Lee County,Alabama,01,081,1587.0
Limestone County,Alabama,01,083,355.0
Lowndes County,Alabama,01,085,58.0
Macon County,Alabama,01,087,222.0
Madison County,Alabama,01,089,4008.0
Marengo County,Alabama,01,091,106.0
Marion County,Alabama,01,093,139.0
Marshall County,Alabama,01,095,656.0
Mobile County,Alabama,01,097,3832.0
Monroe County,Alabama,01,099,81.0
Montgomery County,Alabama,01,101,2953.0
Morgan County,Alabama,01,103,840.0
Perry County,Alabama,01,105,15.0
Pickens County,Alabama,01,107,43.0
Pike County,Alabama,01,109,193.0
Randolph County,Alabama,01,111,42.0
Russell County,Alabama,01,113,291.0
Saint Clair County,Alabama,01,115,420.0
Shelby County,Alabama,01,117,3456.0
Sumter County,Alabama,01,119,27.0
Talladega County,Alabama,01,121,445.0
Tallapoosa County,Alabama,01,123,290.0
Tuscaloosa County,Alabama,01,125,2003.0
Walker County,Alabama,01,127,438.0
Washington County,Alabama,01,129,54.0
Wilcox County,Alabama,01,131,52.0
Winston County,Alabama,01,133,87.0
Anchorage Municipality,Alaska,02,020,4130.0
Bethel Census Area,Alaska,02,050,38.0
Bristol Bay Borough,Alaska,02,060,0.0
Fairbanks North Star Borough,Alaska,02,090,788.0
Haines Borough,Alaska,02,100,25.0
Juneau City and Borough,Alaska,02,110,611.0
Kenai Peninsula Borough,Alaska,02,122,365.0
Kodiak Island Borough,Alaska,02,150,87.0
Matanuska-Susitna Borough,Alaska,02,170,696.0
Nome Census Area,Alaska,02,180,16.0
North Slope Borough,Alaska,02,185,18.0
Sitka City and Borough,Alaska,02,220,92.0
Southeast Fairbanks Census Area,Alaska,02,240,40.0
Valdez-Cordova Census Area,Alaska,02,261,80.0
Wade Hampton Census Area,Alaska,02,270,2.0
Northwest Arctic Borough,Alaska,02,188,42.0
