County,State,State_FIPS,County_FIPS,some_college_1_plus_year
Autauga County,Alabama,01,001,5562
Baldwin County,Alabama,01,003,22278
Barbour County,Alabama,01,005,2779
Bibb County,Alabama,01,007,2285
Blount County,Alabama,01,009,5539
Bullock County,Alabama,01,011,1208
Butler County,Alabama,01,013,1867
Calhoun County,Alabama,01,015,12346
Chambers County,Alabama,01,017,3478
Cherokee County,Alabama,01,019,3136
Chilton County,Alabama,01,021,3337
Choctaw County,Alabama,01,023,1191
Clarke County,Alabama,01,025,1994
Clay County,Alabama,01,027,1477
Cleburne County,Alabama,01,029,1419
Coffee County,Alabama,01,031,4976
Colbert County,Alabama,01,033,6102
Conecuh County,Alabama,01,035,1069
Coosa County,Alabama,01,037,995
Covington County,Alabama,01,039,3961
Crenshaw County,Alabama,01,041,1249
Cullman County,Alabama,01,043,9172
Dale County,Alabama,01,045,6001
Dallas County,Alabama,01,047,3945
DeKalb County,Alabama,01,049,5406
Elmore County,Alabama,01,051,9331
Escambia County,Alabama,01,053,4037
Etowah County,Alabama,01,055,13435
Fayette County,Alabama,01,057,1196
Franklin County,Alabama,01,059,3277
Geneva County,Alabama,01,061,2460
Greene County,Alabama,01,063,913
Hale County,Alabama,01,065,1367
Henry County,Alabama,01,067,1751
Houston County,Alabama,01,069,10399
Jackson County,Alabama,01,071,4529
Jefferson County,Alabama,01,073,80707
Lamar County,Alabama,01,075,1520
Lauderdale County,Alabama,01,077,9760
Lawrence County,Alabama,01,079,3334
Lee County,Alabama,01,081,12152
Limestone County,Alabama,01,083,8104
Lowndes County,Alabama,01,085,970
Macon County,Alabama,01,087,2563
Madison County,Alabama,01,089,38497
Marengo County,Alabama,01,091,2128
Marion County,Alabama,01,093,3040
Marshall County,Alabama,01,095,9097
Mobile County,Alabama,01,097,45253
Monroe County,Alabama,01,099,2115
Montgomery County,Alabama,01,101,24735
Morgan County,Alabama,01,103,12403
Perry County,Alabama,01,105,816
Pickens County,Alabama,01,107,1790
Pike County,Alabama,01,109,2646
Randolph County,Alabama,01,111,1732
Russell County,Alabama,01,113,5843
Saint Clair County,Alabama,01,115,9460
Shelby County,Alabama,01,117,22258
Sumter County,Alabama,01,119,1146
Talladega County,Alabama,01,121,8281
Tallapoosa County,Alabama,01,123,3832
Tuscaloosa County,Alabama,01,125,20535
Walker County,Alabama,01,127,6912
Washington County,Alabama,01,129,1264
Wilcox County,Alabama,01,131,815
Winston County,Alabama,01,133,2655
Anchorage Municipality,Alaska,02,020,39181
Bethel Census Area,Alaska,02,050,1336
Bristol Bay Borough,Alaska,02,060,211
