County,State,State_FIPS,County_FIPS,some_college_less_1_year
Autauga County,Alabama,01,001,2235.0
Baldwin County,Alabama,01,003,9930.0
Barbour County,Alabama,01,005,1257.0
Bibb County,Alabama,01,007,752.0
Blount County,Alabama,01,009,2844.0
Bullock County,Alabama,01,011,211.0
Butler County,Alabama,01,013,526.0
Calhoun County,Alabama,01,015,6068.0
Chambers County,Alabama,01,017,1431.0
Cherokee County,Alabama,01,019,1106.0
Chilton County,Alabama,01,021,1500.0
Choctaw County,Alabama,01,023,631.0
Clarke County,Alabama,01,025,787.0
Clay County,Alabama,01,027,441.0
Cleburne County,Alabama,01,029,767.0
Coffee County,Alabama,01,031,2263.0
Colbert County,Alabama,01,033,2185.0
Conecuh County,Alabama,01,035,317.0
Coosa County,Alabama,01,037,481.0
Covington County,Alabama,01,039,2051.0
Crenshaw County,Alabama,01,041,478.0
Cullman County,Alabama,01,043,4290.0
Dale County,Alabama,01,045,2556.0
Dallas County,Alabama,01,047,1103.0
DeKalb County,Alabama,01,049,3078.0
Elmore County,Alabama,01,051,2983.0
Escambia County,Alabama,01,053,1274.0
Etowah County,Alabama,01,055,4976.0
Fayette County,Alabama,01,057,904.0
Franklin County,Alabama,01,059,1252.0
Geneva County,Alabama,01,061,1265.0
Greene County,Alabama,01,063,232.0
Hale County,Alabama,01,065,508.0
Henry County,Alabama,01,067,824.0
Houston County,Alabama,01,069,4736.0
Jackson County,Alabama,01,071,1924.0
Jefferson County,Alabama,01,073,24580.0
Lamar County,Alabama,01,075,567.0
Lauderdale County,Alabama,01,077,3848.0
Lawrence County,Alabama,01,079,1162.0
Lee County,Alabama,01,081,6053.0
Limestone County,Alabama,01,083,3762.0
Lowndes County,Alabama,01,085,258.0
Macon County,Alabama,01,087,591.0
Madison County,Alabama,01,089,13667.0
Marengo County,Alabama,01,091,857.0
Marion County,Alabama,01,093,1707.0
Marshall County,Alabama,01,095,4537.0
Mobile County,Alabama,01,097,15184.0
Monroe County,Alabama,01,099,593.0
Montgomery County,Alabama,01,101,8102.0
Morgan County,Alabama,01,103,5408.0
Perry County,Alabama,01,105,212.0
Pickens County,Alabama,01,107,937.0
Pike County,Alabama,01,109,959.0
Randolph County,Alabama,01,111,1160.0
Russell County,Alabama,01,113,2874.0
Saint Clair County,Alabama,01,115,4124.0
Shelby County,Alabama,01,117,9221.0
Sumter County,Alabama,01,119,239.0
Talladega County,Alabama,01,121,4214.0
Tallapoosa County,Alabama,01,123,1765.0
Tuscaloosa County,Alabama,01,125,6725.0
Walker County,Alabama,01,127,3525.0
Washington County,Alabama,01,129,718.0
Wilcox County,Alabama,01,131,385.0
Winston County,Alabama,01,133,1434.0
Anchorage Municipality,Alaska,02,020,13892.0
Bethel Census Area,Alaska,02,050,617.0
Bristol Bay Borough,Alaska,02,060,30.0
Fairbanks North Star Borough,Alaska,02,090,5059.0
Haines Borough,Alaska,02,100,110.0
Juneau City and Borough,Alaska,02,110,1674.0
Kenai Peninsula Borough,Alaska,02,122,3092.0
Kodiak Island Borough,Alaska,02,150,570.0
Matanuska-Susitna Borough,Alaska,02,170,5553.0
Nome Census Area,Alaska,02,180,443.0
North Slope Borough,Alaska,02,185,315.0
Sitka City and Borough,Alaska,02,220,485.0
Southeast Fairbanks Census Area,Alaska,02,240,380.0
Valdez-Cordova Census Area,Alaska,02,261,504.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,222.0
Aleutians East Borough,Alaska,02,013,122.0
Aleutians West Census Area,Alaska,02,016,98.0
Dillingham Census Area,Alaska,02,070,249.0
Lake and Peninsula Borough,Alaska,02,164,49.0
Denali Borough,Alaska,02,068,64.0
Yukon-Koyukuk Census Area,Alaska,02,290,260.0
Hoonah-Angoon Census Area,Alaska,02,105,104.0
Skagway Municipality,Alaska,02,230,36.0
Yakutat City and Borough,Alaska,02,282,21.0
Ketchikan Gateway Borough,Alaska,02,130,1043.0
Petersburg Borough,Alaska,02,195,87.0
Prince of Wales-Hyder Census Area,Alaska,02,198,290.0
Wrangell City and Borough,Alaska,02,275,155.0
Apache County,Arizona,04,001,1478.0
Cochise County,Arizona,04,003,6881.0
Coconino County,Arizona,04,005,4740.0
Gila County,Arizona,04,007,3930.0
Graham County,Arizona,04,009,2146.0
Greenlee County,Arizona,04,011,461.0
Maricopa County,Arizona,04,013,206090.0
Mohave County,Arizona,04,015,16021.0
Navajo County,Arizona,04,017,4276.0
Pima County,Arizona,04,019,49811.0
Pinal County,Arizona,04,021,27920.0
Santa Cruz County,Arizona,04,023,1533.0
Yavapai County,Arizona,04,025,15855.0
La Paz County,Arizona,04,012,1167.0
Yuma County,Arizona,04,027,9727.0
Arkansas County,Arkansas,05,001,829.0
Ashley County,Arkansas,05,003,927.0
Baxter County,Arkansas,05,005,2909.0
Benton County,Arkansas,05,007,10136.0
Boone County,Arkansas,05,009,2595.0
Bradley County,Arkansas,05,011,247.0
Calhoun County,Arkansas,05,013,178.0
Carroll County,Arkansas,05,015,1409.0
Chicot County,Arkansas,05,017,332.0
Clark County,Arkansas,05,019,896.0
Clay County,Arkansas,05,021,897.0
Cleburne County,Arkansas,05,023,1332.0
Cleveland County,Arkansas,05,025,296.0
Columbia County,Arkansas,05,027,820.0
Conway County,Arkansas,05,029,911.0
Craighead County,Arkansas,05,031,4343.0
Crawford County,Arkansas,05,033,3792.0
Crittenden County,Arkansas,05,035,2016.0
Cross County,Arkansas,05,037,948.0
Dallas County,Arkansas,05,039,321.0
Desha County,Arkansas,05,041,592.0
Drew County,Arkansas,05,043,587.0
Faulkner County,Arkansas,05,045,4440.0
Franklin County,Arkansas,05,047,993.0
Fulton County,Arkansas,05,049,1008.0
Garland County,Arkansas,05,051,5876.0
Grant County,Arkansas,05,053,964.0
Greene County,Arkansas,05,055,2171.0
Hempstead County,Arkansas,05,057,873.0
Hot Spring County,Arkansas,05,059,2270.0
Howard County,Arkansas,05,061,377.0
Independence County,Arkansas,05,063,1697.0
Izard County,Arkansas,05,065,695.0
Jackson County,Arkansas,05,067,850.0
Jefferson County,Arkansas,05,069,3906.0
Johnson County,Arkansas,05,071,970.0
Lafayette County,Arkansas,05,073,277.0
Lawrence County,Arkansas,05,075,914.0
Lee County,Arkansas,05,077,391.0
Lincoln County,Arkansas,05,079,539.0
Little River County,Arkansas,05,081,713.0
Logan County,Arkansas,05,083,993.0
Lonoke County,Arkansas,05,085,3609.0
Madison County,Arkansas,05,087,463.0
Marion County,Arkansas,05,089,1034.0
Miller County,Arkansas,05,091,2796.0
Mississippi County,Arkansas,05,093,2451.0
Monroe County,Arkansas,05,095,238.0
Montgomery County,Arkansas,05,097,574.0
Nevada County,Arkansas,05,099,256.0
Newton County,Arkansas,05,101,164.0
Ouachita County,Arkansas,05,103,998.0
Perry County,Arkansas,05,105,621.0
Phillips County,Arkansas,05,107,1113.0
Pike County,Arkansas,05,109,718.0
Poinsett County,Arkansas,05,111,956.0
Polk County,Arkansas,05,113,1163.0
Pope County,Arkansas,05,115,3125.0
Prairie County,Arkansas,05,117,282.0
Pulaski County,Arkansas,05,119,15721.0
Randolph County,Arkansas,05,121,1029.0
Saint Francis County,Arkansas,05,123,1234.0
Saline County,Arkansas,05,125,5655.0
Scott County,Arkansas,05,127,619.0
Searcy County,Arkansas,05,129,308.0
Sebastian County,Arkansas,05,131,6396.0
Sevier County,Arkansas,05,133,539.0
Sharp County,Arkansas,05,135,863.0
Stone County,Arkansas,05,137,610.0
Union County,Arkansas,05,139,1575.0
