County,State,State_FIPS,County_FIPS,gini_index
Autauga County,Alabama,01,001,0.4227
Baldwin County,Alabama,01,003,0.4564
Barbour County,Alabama,01,005,0.4642
Bibb County,Alabama,01,007,0.441
Blount County,Alabama,01,009,0.4037
Bullock County,Alabama,01,011,0.4648
Butler County,Alabama,01,013,0.4506
Calhoun County,Alabama,01,015,0.4464
Chambers County,Alabama,01,017,0.4831
Cherokee County,Alabama,01,019,0.4573
Chilton County,Alabama,01,021,0.4462
Choctaw County,Alabama,01,023,0.4849
Clarke County,Alabama,01,025,0.531
Clay County,Alabama,01,027,0.4217
Cleburne County,Alabama,01,029,0.4381
Coffee County,Alabama,01,031,0.4476
Colbert County,Alabama,01,033,0.4432
Conecuh County,Alabama,01,035,0.5014
Coosa County,Alabama,01,037,0.4207
Covington County,Alabama,01,039,0.4613
Crenshaw County,Alabama,01,041,0.4756
Cullman County,Alabama,01,043,0.4517
Dale County,Alabama,01,045,0.4426
Dallas County,Alabama,01,047,0.5255
DeKalb County,Alabama,01,049,0.443
Elmore County,Alabama,01,051,0.4204
Escambia County,Alabama,01,053,0.4645
Etowah County,Alabama,01,055,0.4363
Fayette County,Alabama,01,057,0.459
Franklin County,Alabama,01,059,0.439
Geneva County,Alabama,01,061,0.4567
Greene County,Alabama,01,063,0.5138
Hale County,Alabama,01,065,0.4868
Henry County,Alabama,01,067,0.4536
Houston County,Alabama,01,069,0.4815
Jackson County,Alabama,01,071,0.4421
Jefferson County,Alabama,01,073,0.4994
Lamar County,Alabama,01,075,0.4808
Lauderdale County,Alabama,01,077,0.4589
Lawrence County,Alabama,01,079,0.4357
Lee County,Alabama,01,081,0.4976
Limestone County,Alabama,01,083,0.4604
Lowndes County,Alabama,01,085,0.5464
Macon County,Alabama,01,087,0.4664
Madison County,Alabama,01,089,0.4676
Marengo County,Alabama,01,091,0.5357
Marion County,Alabama,01,093,0.4755
Marshall County,Alabama,01,095,0.4744
Mobile County,Alabama,01,097,0.4693
Monroe County,Alabama,01,099,0.5194
Montgomery County,Alabama,01,101,0.4819
Morgan County,Alabama,01,103,0.4542
Perry County,Alabama,01,105,0.515
Pickens County,Alabama,01,107,0.478
Pike County,Alabama,01,109,0.4992
Randolph County,Alabama,01,111,0.4515
Russell County,Alabama,01,113,0.443
Saint Clair County,Alabama,01,115,0.426
Shelby County,Alabama,01,117,0.4265
Sumter County,Alabama,01,119,0.5068
Talladega County,Alabama,01,121,0.4615
Tallapoosa County,Alabama,01,123,0.4523
Tuscaloosa County,Alabama,01,125,0.4671
Walker County,Alabama,01,127,0.4594
Washington County,Alabama,01,129,0.4245
Wilcox County,Alabama,01,131,0.536
Winston County,Alabama,01,133,0.4552
Anchorage Municipality,Alaska,02,020,0.4225
Bethel Census Area,Alaska,02,050,0.4205
Bristol Bay Borough,Alaska,02,060,0.3571
Fairbanks North Star Borough,Alaska,02,090,0.4026
Haines Borough,Alaska,02,100,0.4124
Juneau City and Borough,Alaska,02,110,0.3878
Kenai Peninsula Borough,Alaska,02,122,0.4226
Kodiak Island Borough,Alaska,02,150,0.3988
Matanuska-Susitna Borough,Alaska,02,170,0.3997
Nome Census Area,Alaska,02,180,0.4361
North Slope Borough,Alaska,02,185,0.4047
Sitka City and Borough,Alaska,02,220,0.3876
Southeast Fairbanks Census Area,Alaska,02,240,0.3958
Valdez-Cordova Census Area,Alaska,02,261,0.4138
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,0.4067
Aleutians East Borough,Alaska,02,013,0.3743
Aleutians West Census Area,Alaska,02,016,0.3711
Dillingham Census Area,Alaska,02,070,0.4377
Lake and Peninsula Borough,Alaska,02,164,0.4403
Denali Borough,Alaska,02,068,0.3633
Yukon-Koyukuk Census Area,Alaska,02,290,0.4531
Hoonah-Angoon Census Area,Alaska,02,105,0.4063
Skagway Municipality,Alaska,02,230,0.3282
