County,State,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,01,001,423
Baldwin County,Alabama,01,003,1085
Barbour County,Alabama,01,005,188
Bibb County,Alabama,01,007,146
Blount County,Alabama,01,009,153
Bullock County,Alabama,01,011,43
Butler County,Alabama,01,013,121
Calhoun County,Alabama,01,015,837
Chambers County,Alabama,01,017,291
Cherokee County,Alabama,01,019,151
Chilton County,Alabama,01,021,246
Choctaw County,Alabama,01,023,35
Clarke County,Alabama,01,025,188
Clay County,Alabama,01,027,89
Cleburne County,Alabama,01,029,99
Coffee County,Alabama,01,031,414
Colbert County,Alabama,01,033,344
Conecuh County,Alabama,01,035,79
Coosa County,Alabama,01,037,3
Covington County,Alabama,01,039,242
Crenshaw County,Alabama,01,041,89
Cullman County,Alabama,01,043,428
Dale County,Alabama,01,045,630
Dallas County,Alabama,01,047,462
DeKalb County,Alabama,01,049,406
Elmore County,Alabama,01,051,331
Escambia County,Alabama,01,053,159
Etowah County,Alabama,01,055,830
Fayette County,Alabama,01,057,130
Franklin County,Alabama,01,059,278
Geneva County,Alabama,01,061,144
Greene County,Alabama,01,063,40
Hale County,Alabama,01,065,56
Henry County,Alabama,01,067,65
Houston County,Alabama,01,069,950
Jackson County,Alabama,01,071,396
Jefferson County,Alabama,01,073,6096
Lamar County,Alabama,01,075,127
Lauderdale County,Alabama,01,077,663
Lawrence County,Alabama,01,079,153
Lee County,Alabama,01,081,1412
Limestone County,Alabama,01,083,587
Lowndes County,Alabama,01,085,49
Macon County,Alabama,01,087,149
Madison County,Alabama,01,089,3091
Marengo County,Alabama,01,091,172
Marion County,Alabama,01,093,185
Marshall County,Alabama,01,095,509
Mobile County,Alabama,01,097,3315
Monroe County,Alabama,01,099,178
Montgomery County,Alabama,01,101,2745
Morgan County,Alabama,01,103,723
Perry County,Alabama,01,105,43
Pickens County,Alabama,01,107,229
Pike County,Alabama,01,109,305
Randolph County,Alabama,01,111,191
Russell County,Alabama,01,113,837
Saint Clair County,Alabama,01,115,322
Shelby County,Alabama,01,117,1261
Sumter County,Alabama,01,119,67
Talladega County,Alabama,01,121,690
Tallapoosa County,Alabama,01,123,461
Tuscaloosa County,Alabama,01,125,1760
Walker County,Alabama,01,127,428
Washington County,Alabama,01,129,48
Wilcox County,Alabama,01,131,134
Winston County,Alabama,01,133,184
Anchorage Municipality,Alaska,02,020,4019
Bethel Census Area,Alaska,02,050,41
Bristol Bay Borough,Alaska,02,060,16
Fairbanks North Star Borough,Alaska,02,090,1202
Haines Borough,Alaska,02,100,4
Juneau City and Borough,Alaska,02,110,452
Kenai Peninsula Borough,Alaska,02,122,423
Kodiak Island Borough,Alaska,02,150,159
Matanuska-Susitna Borough,Alaska,02,170,538
Nome Census Area,Alaska,02,180,32
North Slope Borough,Alaska,02,185,0
Sitka City and Borough,Alaska,02,220,159
Southeast Fairbanks Census Area,Alaska,02,240,5
Valdez-Cordova Census Area,Alaska,02,261,138
Wade Hampton Census Area,Alaska,02,270,14
Northwest Arctic Borough,Alaska,02,188,9
Aleutians East Borough,Alaska,02,013,2
Aleutians West Census Area,Alaska,02,016,15
Dillingham Census Area,Alaska,02,070,26
Lake and Peninsula Borough,Alaska,02,164,8
Denali Borough,Alaska,02,068,9
Yukon-Koyukuk Census Area,Alaska,02,290,21
Hoonah-Angoon Census Area,Alaska,02,105,14
Skagway Municipality,Alaska,02,230,16
Yakutat City and Borough,Alaska,02,282,4
Ketchikan Gateway Borough,Alaska,02,130,171
Petersburg Borough,Alaska,02,195,26
Prince of Wales-Hyder Census Area,Alaska,02,198,43
Wrangell City and Borough,Alaska,02,275,14
Apache County,Arizona,04,001,149
Cochise County,Arizona,04,003,1107
Coconino County,Arizona,04,005,1283
Gila County,Arizona,04,007,414
Graham County,Arizona,04,009,195
Greenlee County,Arizona,04,011,62
Maricopa County,Arizona,04,013,42416
Mohave County,Arizona,04,015,1866
Navajo County,Arizona,04,017,400
Pima County,Arizona,04,019,11730
Pinal County,Arizona,04,021,2215
Santa Cruz County,Arizona,04,023,296
Yavapai County,Arizona,04,025,2276
La Paz County,Arizona,04,012,175
Yuma County,Arizona,04,027,1776
Arkansas County,Arkansas,05,001,360
Ashley County,Arkansas,05,003,139
Baxter County,Arkansas,05,005,504
Benton County,Arkansas,05,007,1713
Boone County,Arkansas,05,009,242
Bradley County,Arkansas,05,011,67
Calhoun County,Arkansas,05,013,25
Carroll County,Arkansas,05,015,147
Chicot County,Arkansas,05,017,101
Clark County,Arkansas,05,019,286
Clay County,Arkansas,05,021,158
Cleburne County,Arkansas,05,023,156
Cleveland County,Arkansas,05,025,28
Columbia County,Arkansas,05,027,232
Conway County,Arkansas,05,029,189
Craighead County,Arkansas,05,031,973
Crawford County,Arkansas,05,033,507
Crittenden County,Arkansas,05,035,715
Cross County,Arkansas,05,037,59
Dallas County,Arkansas,05,039,112
Desha County,Arkansas,05,041,190
Drew County,Arkansas,05,043,138
Faulkner County,Arkansas,05,045,1034
Franklin County,Arkansas,05,047,39
Fulton County,Arkansas,05,049,123
Garland County,Arkansas,05,051,943
Grant County,Arkansas,05,053,50
Greene County,Arkansas,05,055,373
Hempstead County,Arkansas,05,057,148
Hot Spring County,Arkansas,05,059,312
Howard County,Arkansas,05,061,152
Independence County,Arkansas,05,063,340
Izard County,Arkansas,05,065,89
Jackson County,Arkansas,05,067,105
Jefferson County,Arkansas,05,069,646
Johnson County,Arkansas,05,071,317
Lafayette County,Arkansas,05,073,36
Lawrence County,Arkansas,05,075,151
Lee County,Arkansas,05,077,119
Lincoln County,Arkansas,05,079,227
Little River County,Arkansas,05,081,114
Logan County,Arkansas,05,083,204
Lonoke County,Arkansas,05,085,519
Madison County,Arkansas,05,087,45
Marion County,Arkansas,05,089,62
Miller County,Arkansas,05,091,492
Mississippi County,Arkansas,05,093,592
Monroe County,Arkansas,05,095,139
Montgomery County,Arkansas,05,097,20
Nevada County,Arkansas,05,099,54
Newton County,Arkansas,05,101,19
Ouachita County,Arkansas,05,103,235
