County,State,mean_life_expectancy,State_FIPS,County_FIPS,housing_cost_burden
Autauga County,Alabama,76.0246312323304,01,001,531.0
Baldwin County,Alabama,77.8952429034613,01,003,1788.0
Barbour County,Alabama,74.6572190352659,01,005,268.0
Bibb County,Alabama,73.6342805287431,01,007,191.0
Blount County,Alabama,74.8974607079908,01,009,318.0
Bullock County,Alabama,73.7079253175275,01,011,138.0
Butler County,Alabama,73.7151229204611,01,013,194.0
Calhoun County,Alabama,73.3078477077272,01,015,1017.0
Chambers County,Alabama,74.2425871374709,01,017,323.0
Cherokee County,Alabama,74.3480110237785,01,019,228.0
Chilton County,Alabama,74.1052560370855,01,021,501.0
Choctaw County,Alabama,74.2757388369681,01,023,121.0
Clarke County,Alabama,74.6238045774491,01,025,359.0
Clay County,Alabama,74.3591398533707,01,027,44.0
Cleburne County,Alabama,74.0840978801744,01,029,96.0
Coffee County,Alabama,76.2048720238035,01,031,432.0
Colbert County,Alabama,74.2982544702841,01,033,381.0
Conecuh County,Alabama,73.3561349626999,01,035,29.0
Coosa County,Alabama,75.3441712856155,01,037,44.0
Covington County,Alabama,74.078109873637,01,039,228.0
Crenshaw County,Alabama,73.9820921275375,01,041,89.0
Cullman County,Alabama,74.3545019878194,01,043,567.0
Dale County,Alabama,75.4733509430588,01,045,773.0
Dallas County,Alabama,72.03447738714,01,047,597.0
DeKalb County,Alabama,74.524309920443,01,049,403.0
Elmore County,Alabama,75.8544515314726,01,051,900.0
Escambia County,Alabama,73.1026233420298,01,053,386.0
Etowah County,Alabama,73.023382014908,01,055,837.0
Fayette County,Alabama,73.6468181376117,01,057,155.0
Franklin County,Alabama,73.4916922949218,01,059,241.0
Geneva County,Alabama,74.2527953119664,01,061,142.0
Greene County,Alabama,73.8570082667757,01,063,66.0
Hale County,Alabama,73.6467181824322,01,065,35.0
Henry County,Alabama,75.4887946207952,01,067,35.0
Houston County,Alabama,76.032673861126,01,069,1003.0
Jackson County,Alabama,73.3946413725398,01,071,481.0
Jefferson County,Alabama,74.5743774281111,01,073,7162.0
Lamar County,Alabama,74.3774503003945,01,075,69.0
Lauderdale County,Alabama,76.0388971623086,01,077,762.0
Lawrence County,Alabama,73.6788440834402,01,079,97.0
Lee County,Alabama,77.5526205196881,01,081,1182.0
Limestone County,Alabama,77.3036396921757,01,083,598.0
Lowndes County,Alabama,71.8712681595456,01,085,55.0
Macon County,Alabama,72.9264822618015,01,087,166.0
Madison County,Alabama,77.4457800370199,01,089,3751.0
Marengo County,Alabama,73.4699638933891,01,091,176.0
Marion County,Alabama,74.0260626515723,01,093,356.0
