County,State,State_FIPS,County_FIPS,median_gross_rent
Autauga County,Alabama,01,001,851
Baldwin County,Alabama,01,003,876
Barbour County,Alabama,01,005,587
Bibb County,Alabama,01,007,568
Blount County,Alabama,01,009,600
Bullock County,Alabama,01,011,492
Butler County,Alabama,01,013,560
Calhoun County,Alabama,01,015,615
Chambers County,Alabama,01,017,635
Cherokee County,Alabama,01,019,609
Chilton County,Alabama,01,021,626
Choctaw County,Alabama,01,023,593
Clarke County,Alabama,01,025,479
Clay County,Alabama,01,027,424
Cleburne County,Alabama,01,029,574
Coffee County,Alabama,01,031,647
Colbert County,Alabama,01,033,617
Conecuh County,Alabama,01,035,525
Coosa County,Alabama,01,037,574
Covington County,Alabama,01,039,579
Crenshaw County,Alabama,01,041,505
Cullman County,Alabama,01,043,605
Dale County,Alabama,01,045,616
Dallas County,Alabama,01,047,537
DeKalb County,Alabama,01,049,518
Elmore County,Alabama,01,051,774
Escambia County,Alabama,01,053,582
Etowah County,Alabama,01,055,615
Fayette County,Alabama,01,057,451
Franklin County,Alabama,01,059,527
Geneva County,Alabama,01,061,573
Greene County,Alabama,01,063,428
Hale County,Alabama,01,065,426
Henry County,Alabama,01,067,545
Houston County,Alabama,01,069,663
Jackson County,Alabama,01,071,516
Jefferson County,Alabama,01,073,809
Lamar County,Alabama,01,075,447
Lauderdale County,Alabama,01,077,588
Lawrence County,Alabama,01,079,531
Lee County,Alabama,01,081,767
Limestone County,Alabama,01,083,615
Lowndes County,Alabama,01,085,534
Macon County,Alabama,01,087,584
Madison County,Alabama,01,089,744
Marengo County,Alabama,01,091,527
Marion County,Alabama,01,093,477
Marshall County,Alabama,01,095,594
Mobile County,Alabama,01,097,756
Monroe County,Alabama,01,099,536
Montgomery County,Alabama,01,101,812
Morgan County,Alabama,01,103,603
Perry County,Alabama,01,105,461
Pickens County,Alabama,01,107,412
Pike County,Alabama,01,109,587
Randolph County,Alabama,01,111,588
Russell County,Alabama,01,113,712
Saint Clair County,Alabama,01,115,757
Shelby County,Alabama,01,117,917
Sumter County,Alabama,01,119,550
Talladega County,Alabama,01,121,589
Tallapoosa County,Alabama,01,123,585
Tuscaloosa County,Alabama,01,125,762
Walker County,Alabama,01,127,614
Washington County,Alabama,01,129,614
Wilcox County,Alabama,01,131,395
Winston County,Alabama,01,133,520
Anchorage Municipality,Alaska,02,020,1142
Bethel Census Area,Alaska,02,050,1177
Bristol Bay Borough,Alaska,02,060,1117
Fairbanks North Star Borough,Alaska,02,090,1179
Haines Borough,Alaska,02,100,828
Juneau City and Borough,Alaska,02,110,1178
Kenai Peninsula Borough,Alaska,02,122,917
Kodiak Island Borough,Alaska,02,150,973
Matanuska-Susitna Borough,Alaska,02,170,1026
Nome Census Area,Alaska,02,180,1127
North Slope Borough,Alaska,02,185,1025
Sitka City and Borough,Alaska,02,220,1139
Southeast Fairbanks Census Area,Alaska,02,240,1175
Valdez-Cordova Census Area,Alaska,02,261,871
Wade Hampton Census Area,Alaska,02,270,666
Northwest Arctic Borough,Alaska,02,188,1121
Aleutians East Borough,Alaska,02,013,888
Aleutians West Census Area,Alaska,02,016,1246
Dillingham Census Area,Alaska,02,070,979
Lake and Peninsula Borough,Alaska,02,164,768
Denali Borough,Alaska,02,068,837
Yukon-Koyukuk Census Area,Alaska,02,290,669
Hoonah-Angoon Census Area,Alaska,02,105,733
Skagway Municipality,Alaska,02,230,1057
Yakutat City and Borough,Alaska,02,282,972
Ketchikan Gateway Borough,Alaska,02,130,1022
Petersburg Borough,Alaska,02,195,847
Prince of Wales-Hyder Census Area,Alaska,02,198,761
Wrangell City and Borough,Alaska,02,275,772
Apache County,Arizona,04,001,536
Cochise County,Arizona,04,003,778
Coconino County,Arizona,04,005,996
Gila County,Arizona,04,007,743
Graham County,Arizona,04,009,711
Greenlee County,Arizona,04,011,381
Maricopa County,Arizona,04,013,943
Mohave County,Arizona,04,015,803
