County,State,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,01,001,147900.0
Baldwin County,Alabama,01,003,189800.0
Barbour County,Alabama,01,005,92900.0
Bibb County,Alabama,01,007,96500.0
Blount County,Alabama,01,009,124700.0
Bullock County,Alabama,01,011,77500.0
Butler County,Alabama,01,013,88300.0
Calhoun County,Alabama,01,015,113800.0
Chambers County,Alabama,01,017,88400.0
Cherokee County,Alabama,01,019,123100.0
Chilton County,Alabama,01,021,102200.0
Choctaw County,Alabama,01,023,75200.0
Clarke County,Alabama,01,025,100800.0
Clay County,Alabama,01,027,102200.0
Cleburne County,Alabama,01,029,112000.0
Coffee County,Alabama,01,031,149100.0
Colbert County,Alabama,01,033,113500.0
Conecuh County,Alabama,01,035,76600.0
Coosa County,Alabama,01,037,87900.0
Covington County,Alabama,01,039,95500.0
Crenshaw County,Alabama,01,041,79500.0
Cullman County,Alabama,01,043,124100.0
Dale County,Alabama,01,045,110100.0
Dallas County,Alabama,01,047,82600.0
DeKalb County,Alabama,01,049,102700.0
Elmore County,Alabama,01,051,161100.0
Escambia County,Alabama,01,053,98200.0
Etowah County,Alabama,01,055,109900.0
Fayette County,Alabama,01,057,83800.0
Franklin County,Alabama,01,059,87800.0
Geneva County,Alabama,01,061,92300.0
Greene County,Alabama,01,063,66400.0
Hale County,Alabama,01,065,92700.0
Henry County,Alabama,01,067,115100.0
Houston County,Alabama,01,069,130500.0
Jackson County,Alabama,01,071,105300.0
Jefferson County,Alabama,01,073,154400.0
Lamar County,Alabama,01,075,77200.0
Lauderdale County,Alabama,01,077,136400.0
Lawrence County,Alabama,01,079,107200.0
Lee County,Alabama,01,081,165000.0
Limestone County,Alabama,01,083,152900.0
Lowndes County,Alabama,01,085,66300.0
Macon County,Alabama,01,087,79500.0
Madison County,Alabama,01,089,180600.0
Marengo County,Alabama,01,091,90000.0
Marion County,Alabama,01,093,86500.0
Marshall County,Alabama,01,095,122500.0
Mobile County,Alabama,01,097,126600.0
Monroe County,Alabama,01,099,103000.0
Montgomery County,Alabama,01,101,127500.0
Morgan County,Alabama,01,103,131000.0
Perry County,Alabama,01,105,65900.0
Pickens County,Alabama,01,107,97500.0
Pike County,Alabama,01,109,117400.0
Randolph County,Alabama,01,111,88700.0
Russell County,Alabama,01,113,118600.0
Saint Clair County,Alabama,01,115,148200.0
Shelby County,Alabama,01,117,204500.0
Sumter County,Alabama,01,119,74600.0
Talladega County,Alabama,01,121,101800.0
Tallapoosa County,Alabama,01,123,107800.0
Tuscaloosa County,Alabama,01,125,166000.0
Walker County,Alabama,01,127,93100.0
Washington County,Alabama,01,129,85200.0
Wilcox County,Alabama,01,131,82200.0
Winston County,Alabama,01,133,87800.0
Anchorage Municipality,Alaska,02,020,308000.0
Bethel Census Area,Alaska,02,050,110200.0
Bristol Bay Borough,Alaska,02,060,179500.0
Fairbanks North Star Borough,Alaska,02,090,236800.0
Haines Borough,Alaska,02,100,258100.0
Juneau City and Borough,Alaska,02,110,344000.0
Kenai Peninsula Borough,Alaska,02,122,239800.0
Kodiak Island Borough,Alaska,02,150,275000.0
Matanuska-Susitna Borough,Alaska,02,170,243000.0
Nome Census Area,Alaska,02,180,149600.0
North Slope Borough,Alaska,02,185,143000.0
Sitka City and Borough,Alaska,02,220,349300.0
Southeast Fairbanks Census Area,Alaska,02,240,184000.0
Valdez-Cordova Census Area,Alaska,02,261,229800.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,131400.0
Aleutians East Borough,Alaska,02,013,123000.0
Aleutians West Census Area,Alaska,02,016,247900.0
Dillingham Census Area,Alaska,02,070,183200.0
Lake and Peninsula Borough,Alaska,02,164,120200.0
Denali Borough,Alaska,02,068,203500.0
Yukon-Koyukuk Census Area,Alaska,02,290,77700.0
Hoonah-Angoon Census Area,Alaska,02,105,228500.0
Skagway Municipality,Alaska,02,230,314500.0
Yakutat City and Borough,Alaska,02,282,169300.0
Ketchikan Gateway Borough,Alaska,02,130,272300.0
Petersburg Borough,Alaska,02,195,213100.0
Prince of Wales-Hyder Census Area,Alaska,02,198,172700.0
Wrangell City and Borough,Alaska,02,275,212600.0
Apache County,Arizona,04,001,62300.0
Cochise County,Arizona,04,003,143800.0
Coconino County,Arizona,04,005,261300.0
Gila County,Arizona,04,007,157600.0
Graham County,Arizona,04,009,127000.0
Greenlee County,Arizona,04,011,82400.0
Maricopa County,Arizona,04,013,242700.0
Mohave County,Arizona,04,015,151100.0
Navajo County,Arizona,04,017,118800.0
Pima County,Arizona,04,019,173500.0
Pinal County,Arizona,04,021,169800.0
Santa Cruz County,Arizona,04,023,148500.0
Yavapai County,Arizona,04,025,231600.0
La Paz County,Arizona,04,012,77600.0
Yuma County,Arizona,04,027,122000.0
Arkansas County,Arkansas,05,001,83600.0
Ashley County,Arkansas,05,003,71500.0
Baxter County,Arkansas,05,005,128800.0
Benton County,Arkansas,05,007,172000.0
Boone County,Arkansas,05,009,124900.0
Bradley County,Arkansas,05,011,77800.0
Calhoun County,Arkansas,05,013,69400.0
Carroll County,Arkansas,05,015,126800.0
Chicot County,Arkansas,05,017,63000.0
Clark County,Arkansas,05,019,100900.0
Clay County,Arkansas,05,021,72400.0
Cleburne County,Arkansas,05,023,132400.0
Cleveland County,Arkansas,05,025,83000.0
Columbia County,Arkansas,05,027,82800.0
Conway County,Arkansas,05,029,101400.0
Craighead County,Arkansas,05,031,138500.0
Crawford County,Arkansas,05,033,116900.0
Crittenden County,Arkansas,05,035,110500.0
Cross County,Arkansas,05,037,83600.0
Dallas County,Arkansas,05,039,66600.0
Desha County,Arkansas,05,041,62800.0
Drew County,Arkansas,05,043,97600.0
Faulkner County,Arkansas,05,045,157600.0
Franklin County,Arkansas,05,047,94200.0
Fulton County,Arkansas,05,049,93500.0
Garland County,Arkansas,05,051,138400.0
Grant County,Arkansas,05,053,127100.0
Greene County,Arkansas,05,055,113100.0
Hempstead County,Arkansas,05,057,79400.0
Hot Spring County,Arkansas,05,059,91900.0
Howard County,Arkansas,05,061,92500.0
Independence County,Arkansas,05,063,105200.0
Izard County,Arkansas,05,065,81500.0
Jackson County,Arkansas,05,067,66900.0
Jefferson County,Arkansas,05,069,83800.0
Johnson County,Arkansas,05,071,98900.0
Lafayette County,Arkansas,05,073,63300.0
Lawrence County,Arkansas,05,075,75700.0
Lee County,Arkansas,05,077,72700.0
Lincoln County,Arkansas,05,079,74400.0
Little River County,Arkansas,05,081,72200.0
Logan County,Arkansas,05,083,90200.0
Lonoke County,Arkansas,05,085,136200.0
Madison County,Arkansas,05,087,107200.0
Marion County,Arkansas,05,089,119000.0
Miller County,Arkansas,05,091,106500.0
Mississippi County,Arkansas,05,093,82700.0
Monroe County,Arkansas,05,095,64300.0
Montgomery County,Arkansas,05,097,106700.0
Nevada County,Arkansas,05,099,64500.0
Newton County,Arkansas,05,101,105100.0
Ouachita County,Arkansas,05,103,72200.0
Perry County,Arkansas,05,105,95400.0
Phillips County,Arkansas,05,107,68200.0
Pike County,Arkansas,05,109,82300.0
Poinsett County,Arkansas,05,111,75500.0
Polk County,Arkansas,05,113,90100.0
Pope County,Arkansas,05,115,125000.0
Prairie County,Arkansas,05,117,68000.0
Pulaski County,Arkansas,05,119,153700.0
Randolph County,Arkansas,05,121,82400.0
Saint Francis County,Arkansas,05,123,63300.0
Saline County,Arkansas,05,125,151700.0
Scott County,Arkansas,05,127,72800.0
Searcy County,Arkansas,05,129,98000.0
Sebastian County,Arkansas,05,131,119900.0
Sevier County,Arkansas,05,133,79200.0
Sharp County,Arkansas,05,135,81000.0
Stone County,Arkansas,05,137,113900.0
Union County,Arkansas,05,139,82800.0
Van Buren County,Arkansas,05,141,101600.0
Washington County,Arkansas,05,143,167600.0
White County,Arkansas,05,145,121300.0
Woodruff County,Arkansas,05,147,66200.0
Yell County,Arkansas,05,149,110500.0
Alameda County,California,06,001,707800.0
Alpine County,California,06,003,349000.0
Amador County,California,06,005,296400.0
Butte County,California,06,007,248100.0
Calaveras County,California,06,009,297700.0
Colusa County,California,06,011,249800.0
Contra Costa County,California,06,013,582400.0
Del Norte County,California,06,015,204000.0
El Dorado County,California,06,017,437200.0
Fresno County,California,06,019,237500.0
Glenn County,California,06,021,222000.0
Humboldt County,California,06,023,296600.0
Imperial County,California,06,025,177100.0
Inyo County,California,06,027,262400.0
Kern County,California,06,029,205200.0
Kings County,California,06,031,202800.0
Lake County,California,06,033,195400.0
Lassen County,California,06,035,184200.0
Los Angeles County,California,06,037,543400.0
Madera County,California,06,039,235200.0
Marin County,California,06,041,959200.0
Mariposa County,California,06,043,269500.0
Mendocino County,California,06,045,356800.0
Merced County,California,06,047,229500.0
Modoc County,California,06,049,133300.0
Mono County,California,06,051,326400.0
Monterey County,California,06,053,477200.0
Napa County,California,06,055,603700.0
Nevada County,California,06,057,400000.0
Orange County,California,06,059,652900.0
Placer County,California,06,061,443700.0
Plumas County,California,06,063,234900.0
Riverside County,California,06,065,330600.0
Sacramento County,California,06,067,330100.0
San Benito County,California,06,069,496200.0
San Bernardino County,California,06,071,305400.0
San Diego County,California,06,073,526300.0
San Francisco County,California,06,075,1009500.0
San Joaquin County,California,06,077,313800.0
San Luis Obispo County,California,06,079,537900.0
San Mateo County,California,06,081,994100.0
Santa Barbara County,California,06,083,549900.0
Santa Clara County,California,06,085,913000.0
Santa Cruz County,California,06,087,711000.0
Shasta County,California,06,089,242500.0
