County,State,State_FIPS,County_FIPS,median_household_income
Autauga County,Alabama,01,001,53682
Baldwin County,Alabama,01,003,50221
Barbour County,Alabama,01,005,32911
Bibb County,Alabama,01,007,36447
Blount County,Alabama,01,009,44145
Bullock County,Alabama,01,011,32033
Butler County,Alabama,01,013,29918
Calhoun County,Alabama,01,015,39962
Chambers County,Alabama,01,017,32402
Cherokee County,Alabama,01,019,34907
Chilton County,Alabama,01,021,41250
Choctaw County,Alabama,01,023,33941
Clarke County,Alabama,01,025,29357
Clay County,Alabama,01,027,34002
Cleburne County,Alabama,01,029,38019
Coffee County,Alabama,01,031,43768
Colbert County,Alabama,01,033,39077
Conecuh County,Alabama,01,035,24658
Coosa County,Alabama,01,037,37277
Covington County,Alabama,01,039,35869
Crenshaw County,Alabama,01,041,36275
Cullman County,Alabama,01,043,38847
Dale County,Alabama,01,045,44889
Dallas County,Alabama,01,047,26519
DeKalb County,Alabama,01,049,37851
Elmore County,Alabama,01,051,54766
Escambia County,Alabama,01,053,30687
Etowah County,Alabama,01,055,38013
Fayette County,Alabama,01,057,33838
Franklin County,Alabama,01,059,36415
Geneva County,Alabama,01,061,35625
Greene County,Alabama,01,063,24226
Hale County,Alabama,01,065,30051
Henry County,Alabama,01,067,41650
Houston County,Alabama,01,069,40948
Jackson County,Alabama,01,071,37634
Jefferson County,Alabama,01,073,45429
Lamar County,Alabama,01,075,36028
Lauderdale County,Alabama,01,077,42844
Lawrence County,Alabama,01,079,38551
Lee County,Alabama,01,081,43542
Limestone County,Alabama,01,083,48619
Lowndes County,Alabama,01,085,26230
Macon County,Alabama,01,087,30724
Madison County,Alabama,01,089,58434
Marengo County,Alabama,01,091,35079
Marion County,Alabama,01,093,32888
Marshall County,Alabama,01,095,39526
Mobile County,Alabama,01,097,43028
Monroe County,Alabama,01,099,29203
Montgomery County,Alabama,01,101,44790
Morgan County,Alabama,01,103,44800
Perry County,Alabama,01,105,28209
Pickens County,Alabama,01,107,28741
Pike County,Alabama,01,109,33090
Randolph County,Alabama,01,111,35213
Russell County,Alabama,01,113,36143
Saint Clair County,Alabama,01,115,50786
Shelby County,Alabama,01,117,68770
Sumter County,Alabama,01,119,22186
Talladega County,Alabama,01,121,35439
Tallapoosa County,Alabama,01,123,39130
Tuscaloosa County,Alabama,01,125,45408
Walker County,Alabama,01,127,37566
Washington County,Alabama,01,129,42156
Wilcox County,Alabama,01,131,23642
Winston County,Alabama,01,133,32900
Anchorage Municipality,Alaska,02,020,77454
Bethel Census Area,Alaska,02,050,51689
Bristol Bay Borough,Alaska,02,060,79531
Fairbanks North Star Borough,Alaska,02,090,69223
Haines Borough,Alaska,02,100,52866
Juneau City and Borough,Alaska,02,110,81490
Kenai Peninsula Borough,Alaska,02,122,61793
Kodiak Island Borough,Alaska,02,150,68718
Matanuska-Susitna Borough,Alaska,02,170,71037
Nome Census Area,Alaska,02,180,49974
North Slope Borough,Alaska,02,185,80761
Sitka City and Borough,Alaska,02,220,69405
Southeast Fairbanks Census Area,Alaska,02,240,56801
Valdez-Cordova Census Area,Alaska,02,261,74878
Wade Hampton Census Area,Alaska,02,270,40176
Northwest Arctic Borough,Alaska,02,188,61607
Aleutians East Borough,Alaska,02,013,61250
Aleutians West Census Area,Alaska,02,016,81853
Dillingham Census Area,Alaska,02,070,54150
Lake and Peninsula Borough,Alaska,02,164,51786
Denali Borough,Alaska,02,068,72500
Yukon-Koyukuk Census Area,Alaska,02,290,34710
Hoonah-Angoon Census Area,Alaska,02,105,49545
Skagway Municipality,Alaska,02,230,71667
Yakutat City and Borough,Alaska,02,282,72500
Ketchikan Gateway Borough,Alaska,02,130,62519
Petersburg Borough,Alaska,02,195,63934
Prince of Wales-Hyder Census Area,Alaska,02,198,46071
Wrangell City and Borough,Alaska,02,275,45841
Apache County,Arizona,04,001,31476
Cochise County,Arizona,04,003,45755
Coconino County,Arizona,04,005,49555
Gila County,Arizona,04,007,39954
Graham County,Arizona,04,009,44943
Greenlee County,Arizona,04,011,47992
Maricopa County,Arizona,04,013,53596
Mohave County,Arizona,04,015,39200
Navajo County,Arizona,04,017,36927
Pima County,Arizona,04,019,45841
Pinal County,Arizona,04,021,50027
Santa Cruz County,Arizona,04,023,37745
Yavapai County,Arizona,04,025,42987
La Paz County,Arizona,04,012,35776
Yuma County,Arizona,04,027,41595
Arkansas County,Arkansas,05,001,39633
Ashley County,Arkansas,05,003,35683
Baxter County,Arkansas,05,005,35343
Benton County,Arkansas,05,007,54515
Boone County,Arkansas,05,009,38506
Bradley County,Arkansas,05,011,30409
Calhoun County,Arkansas,05,013,30980
Carroll County,Arkansas,05,015,36584
Chicot County,Arkansas,05,017,26201
Clark County,Arkansas,05,019,32721
Clay County,Arkansas,05,021,31502
Cleburne County,Arkansas,05,023,40246
Cleveland County,Arkansas,05,025,39420
Columbia County,Arkansas,05,027,35128
Conway County,Arkansas,05,029,35225
Craighead County,Arkansas,05,031,41393
Crawford County,Arkansas,05,033,39479
Crittenden County,Arkansas,05,035,37751
Cross County,Arkansas,05,037,38085
Dallas County,Arkansas,05,039,28931
Desha County,Arkansas,05,041,28680
Drew County,Arkansas,05,043,31171
Faulkner County,Arkansas,05,045,50314
Franklin County,Arkansas,05,047,36766
Fulton County,Arkansas,05,049,35522
Garland County,Arkansas,05,051,39162
Grant County,Arkansas,05,053,49004
Greene County,Arkansas,05,055,38413
Hempstead County,Arkansas,05,057,32056
Hot Spring County,Arkansas,05,059,41193
Howard County,Arkansas,05,061,35879
Independence County,Arkansas,05,063,35026
Izard County,Arkansas,05,065,30661
Jackson County,Arkansas,05,067,30284
Jefferson County,Arkansas,05,069,37140
Johnson County,Arkansas,05,071,31003
Lafayette County,Arkansas,05,073,29732
Lawrence County,Arkansas,05,075,32239
Lee County,Arkansas,05,077,25034
Lincoln County,Arkansas,05,079,32697
Little River County,Arkansas,05,081,39673
Logan County,Arkansas,05,083,34996
Lonoke County,Arkansas,05,085,52582
Madison County,Arkansas,05,087,35771
Marion County,Arkansas,05,089,34494
Miller County,Arkansas,05,091,41319
Mississippi County,Arkansas,05,093,36428
Monroe County,Arkansas,05,095,27263
Montgomery County,Arkansas,05,097,31345
Nevada County,Arkansas,05,099,33694
Newton County,Arkansas,05,101,30038
Ouachita County,Arkansas,05,103,32015
Perry County,Arkansas,05,105,42455
Phillips County,Arkansas,05,107,26737
Pike County,Arkansas,05,109,32206
Poinsett County,Arkansas,05,111,32089
Polk County,Arkansas,05,113,32835
Pope County,Arkansas,05,115,40453
Prairie County,Arkansas,05,117,34855
Pulaski County,Arkansas,05,119,46013
Randolph County,Arkansas,05,121,34418
Saint Francis County,Arkansas,05,123,30873
Saline County,Arkansas,05,125,55348
Scott County,Arkansas,05,127,37448
Searcy County,Arkansas,05,129,30779
Sebastian County,Arkansas,05,131,40471
Sevier County,Arkansas,05,133,35153
Sharp County,Arkansas,05,135,30861
Stone County,Arkansas,05,137,29832
Union County,Arkansas,05,139,37435
Van Buren County,Arkansas,05,141,32517
Washington County,Arkansas,05,143,41248
White County,Arkansas,05,145,42487
Woodruff County,Arkansas,05,147,28259
Yell County,Arkansas,05,149,35535
Alameda County,California,06,001,72112
Alpine County,California,06,003,58636
Amador County,California,06,005,53684
Butte County,California,06,007,43752
Calaveras County,California,06,009,55295
Colusa County,California,06,011,52158
Contra Costa County,California,06,013,78756
Del Norte County,California,06,015,37909
El Dorado County,California,06,017,69297
Fresno County,California,06,019,45563
Glenn County,California,06,021,43023
Humboldt County,California,06,023,41426
Imperial County,California,06,025,41807
Inyo County,California,06,027,44796
Kern County,California,06,029,48552
Kings County,California,06,031,48133
Lake County,California,06,033,36548
Lassen County,California,06,035,53107
Los Angeles County,California,06,037,55909
Madera County,California,06,039,45625
Marin County,California,06,041,90839
Mariposa County,California,06,043,49820
Mendocino County,California,06,045,43469
Merced County,California,06,047,42591
Modoc County,California,06,049,36212
Mono County,California,06,051,61757
Monterey County,California,06,053,59168
Napa County,California,06,055,70443
Nevada County,California,06,057,57353
Orange County,California,06,059,75422
Placer County,California,06,061,72725
Plumas County,California,06,063,45794
Riverside County,California,06,065,56529
Sacramento County,California,06,067,55064
San Benito County,California,06,069,66237
San Bernardino County,California,06,071,54090
San Diego County,California,06,073,62962
San Francisco County,California,06,075,75604
San Joaquin County,California,06,077,53380
San Luis Obispo County,California,06,079,58697
San Mateo County,California,06,081,88202
Santa Barbara County,California,06,083,62779
Santa Clara County,California,06,085,91702
Santa Cruz County,California,06,087,66519
Shasta County,California,06,089,44651
Sierra County,California,06,091,39009
Siskiyou County,California,06,093,37709
Solano County,California,06,095,67177
Sonoma County,California,06,097,63356
Stanislaus County,California,06,099,49297
Sutter County,California,06,101,50408
Tehama County,California,06,103,41924
Trinity County,California,06,105,36890
Tulare County,California,06,107,42708
Tuolumne County,California,06,109,48426
Ventura County,California,06,111,76544
Yolo County,California,06,113,55918
Yuba County,California,06,115,44902
Alamosa County,Colorado,08,003,34520
Archuleta County,Colorado,08,007,48933
Baca County,Colorado,08,009,38829
Bent County,Colorado,08,011,37340
Chaffee County,Colorado,08,015,46504
Cheyenne County,Colorado,08,017,51641
Clear Creek County,Colorado,08,019,67259
Conejos County,Colorado,08,021,34526
Costilla County,Colorado,08,023,29145
Crowley County,Colorado,08,025,31477
Custer County,Colorado,08,027,32427
Delta County,Colorado,08,029,42078
