County,State,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,01,001,24568.0
Baldwin County,Alabama,01,003,26469.0
Barbour County,Alabama,01,005,15875.0
Bibb County,Alabama,01,007,19918.0
Blount County,Alabama,01,009,21070.0
Bullock County,Alabama,01,011,20289.0
Butler County,Alabama,01,013,16916.0
Calhoun County,Alabama,01,015,20574.0
Chambers County,Alabama,01,017,16626.0
Cherokee County,Alabama,01,019,21322.0
Chilton County,Alabama,01,021,20517.0
Choctaw County,Alabama,01,023,17214.0
Clarke County,Alabama,01,025,17372.0
Clay County,Alabama,01,027,18332.0
Cleburne County,Alabama,01,029,17490.0
Coffee County,Alabama,01,031,22797.0
Colbert County,Alabama,01,033,21079.0
Conecuh County,Alabama,01,035,15755.0
Coosa County,Alabama,01,037,19209.0
Covington County,Alabama,01,039,19822.0
Crenshaw County,Alabama,01,041,19793.0
Cullman County,Alabama,01,043,20284.0
Dale County,Alabama,01,045,21722.0
Dallas County,Alabama,01,047,16646.0
DeKalb County,Alabama,01,049,18152.0
Elmore County,Alabama,01,051,22640.0
Escambia County,Alabama,01,053,16259.0
Etowah County,Alabama,01,055,20439.0
Fayette County,Alabama,01,057,17711.0
Franklin County,Alabama,01,059,18094.0
Geneva County,Alabama,01,061,18351.0
Greene County,Alabama,01,063,14738.0
Hale County,Alabama,01,065,16523.0
Henry County,Alabama,01,067,19716.0
Houston County,Alabama,01,069,22725.0
Jackson County,Alabama,01,071,18905.0
Jefferson County,Alabama,01,073,26529.0
Lamar County,Alabama,01,075,19789.0
Lauderdale County,Alabama,01,077,22341.0
Lawrence County,Alabama,01,079,19370.0
Lee County,Alabama,01,081,22794.0
Limestone County,Alabama,01,083,24007.0
Lowndes County,Alabama,01,085,16524.0
Macon County,Alabama,01,087,16380.0
Madison County,Alabama,01,089,29918.0
Marengo County,Alabama,01,091,18323.0
Marion County,Alabama,01,093,19030.0
Marshall County,Alabama,01,095,19875.0
Mobile County,Alabama,01,097,21548.0
Monroe County,Alabama,01,099,17652.0
Montgomery County,Alabama,01,101,24622.0
Morgan County,Alabama,01,103,23090.0
Perry County,Alabama,01,105,13433.0
Pickens County,Alabama,01,107,16278.0
Pike County,Alabama,01,109,19013.0
Randolph County,Alabama,01,111,19844.0
Russell County,Alabama,01,113,17415.0
Saint Clair County,Alabama,01,115,22192.0
Shelby County,Alabama,01,117,33978.0
Sumter County,Alabama,01,119,14460.0
Talladega County,Alabama,01,121,18713.0
Tallapoosa County,Alabama,01,123,22542.0
Tuscaloosa County,Alabama,01,125,22546.0
Walker County,Alabama,01,127,20516.0
Washington County,Alabama,01,129,18824.0
Wilcox County,Alabama,01,131,12573.0
Winston County,Alabama,01,133,18055.0
Anchorage Municipality,Alaska,02,020,34678.0
Bethel Census Area,Alaska,02,050,18584.0
Bristol Bay Borough,Alaska,02,060,31260.0
Fairbanks North Star Borough,Alaska,02,090,30395.0
Haines Borough,Alaska,02,100,27979.0
Juneau City and Borough,Alaska,02,110,34923.0
Kenai Peninsula Borough,Alaska,02,122,29127.0
Kodiak Island Borough,Alaska,02,150,26413.0
Matanuska-Susitna Borough,Alaska,02,170,27910.0
Nome Census Area,Alaska,02,180,20549.0
North Slope Borough,Alaska,02,185,22109.0
Sitka City and Borough,Alaska,02,220,29982.0
Southeast Fairbanks Census Area,Alaska,02,240,27657.0
Valdez-Cordova Census Area,Alaska,02,261,30703.0
Wade Hampton Census Area,Alaska,02,270,11269.0
Northwest Arctic Borough,Alaska,02,188,21278.0
Aleutians East Borough,Alaska,02,013,22279.0
Aleutians West Census Area,Alaska,02,016,29920.0
Dillingham Census Area,Alaska,02,070,22597.0
Lake and Peninsula Borough,Alaska,02,164,15161.0
Denali Borough,Alaska,02,068,42245.0
Yukon-Koyukuk Census Area,Alaska,02,290,18614.0
Hoonah-Angoon Census Area,Alaska,02,105,24932.0
Skagway Municipality,Alaska,02,230,35536.0
Yakutat City and Borough,Alaska,02,282,28576.0
Ketchikan Gateway Borough,Alaska,02,130,29520.0
Petersburg Borough,Alaska,02,195,30971.0
Prince of Wales-Hyder Census Area,Alaska,02,198,24193.0
Wrangell City and Borough,Alaska,02,275,28731.0
Apache County,Arizona,04,001,12294.0
Cochise County,Arizona,04,003,23010.0
Coconino County,Arizona,04,005,22632.0
Gila County,Arizona,04,007,19600.0
Graham County,Arizona,04,009,15644.0
Greenlee County,Arizona,04,011,21281.0
Maricopa County,Arizona,04,013,27816.0
Mohave County,Arizona,04,015,21523.0
Navajo County,Arizona,04,017,16745.0
Pima County,Arizona,04,019,25093.0
Pinal County,Arizona,04,021,21716.0
Santa Cruz County,Arizona,04,023,16209.0
Yavapai County,Arizona,04,025,25527.0
La Paz County,Arizona,04,012,21165.0
Yuma County,Arizona,04,027,18418.0
Arkansas County,Arkansas,05,001,22142.0
Ashley County,Arkansas,05,003,18779.0
Baxter County,Arkansas,05,005,21513.0
Benton County,Arkansas,05,007,25186.0
Boone County,Arkansas,05,009,20507.0
Bradley County,Arkansas,05,011,18845.0
Calhoun County,Arkansas,05,013,16457.0
Carroll County,Arkansas,05,015,19743.0
Chicot County,Arkansas,05,017,14668.0
Clark County,Arkansas,05,019,17186.0
Clay County,Arkansas,05,021,18892.0
Cleburne County,Arkansas,05,023,20371.0
Cleveland County,Arkansas,05,025,19481.0
Columbia County,Arkansas,05,027,20110.0
Conway County,Arkansas,05,029,19909.0
Craighead County,Arkansas,05,031,21728.0
Crawford County,Arkansas,05,033,18715.0
Crittenden County,Arkansas,05,035,18241.0
Cross County,Arkansas,05,037,18248.0
Dallas County,Arkansas,05,039,16457.0
Desha County,Arkansas,05,041,17582.0
Drew County,Arkansas,05,043,18903.0
Faulkner County,Arkansas,05,045,22811.0
Franklin County,Arkansas,05,047,18010.0
Fulton County,Arkansas,05,049,17067.0
Garland County,Arkansas,05,051,22786.0
Grant County,Arkansas,05,053,22229.0
Greene County,Arkansas,05,055,18225.0
Hempstead County,Arkansas,05,057,17177.0
Hot Spring County,Arkansas,05,059,18248.0
Howard County,Arkansas,05,061,18216.0
Independence County,Arkansas,05,063,19912.0
Izard County,Arkansas,05,065,17737.0
Jackson County,Arkansas,05,067,14874.0
Jefferson County,Arkansas,05,069,18681.0
Johnson County,Arkansas,05,071,16937.0
Lafayette County,Arkansas,05,073,17699.0
Lawrence County,Arkansas,05,075,15168.0
Lee County,Arkansas,05,077,13103.0
Lincoln County,Arkansas,05,079,15024.0
Little River County,Arkansas,05,081,18808.0
Logan County,Arkansas,05,083,19121.0
Lonoke County,Arkansas,05,085,22473.0
Madison County,Arkansas,05,087,18611.0
Marion County,Arkansas,05,089,19532.0
Miller County,Arkansas,05,091,19654.0
Mississippi County,Arkansas,05,093,17736.0
Monroe County,Arkansas,05,095,17084.0
Montgomery County,Arkansas,05,097,20010.0
Nevada County,Arkansas,05,099,21020.0
Newton County,Arkansas,05,101,15904.0
Ouachita County,Arkansas,05,103,18244.0
Perry County,Arkansas,05,105,19844.0
Phillips County,Arkansas,05,107,15244.0
Pike County,Arkansas,05,109,18122.0
Poinsett County,Arkansas,05,111,16625.0
Polk County,Arkansas,05,113,16913.0
Pope County,Arkansas,05,115,19693.0
Prairie County,Arkansas,05,117,18134.0
Pulaski County,Arkansas,05,119,27158.0
Randolph County,Arkansas,05,121,18751.0
Saint Francis County,Arkansas,05,123,13693.0
Saline County,Arkansas,05,125,24584.0
Scott County,Arkansas,05,127,17668.0
Searcy County,Arkansas,05,129,15298.0
Sebastian County,Arkansas,05,131,22284.0
Sevier County,Arkansas,05,133,15590.0
Sharp County,Arkansas,05,135,16570.0
Stone County,Arkansas,05,137,16090.0
Union County,Arkansas,05,139,20447.0
Van Buren County,Arkansas,05,141,17999.0
Washington County,Arkansas,05,143,22421.0
White County,Arkansas,05,145,20900.0
Woodruff County,Arkansas,05,147,18344.0
Yell County,Arkansas,05,149,16345.0
Alameda County,California,06,001,33961.0
Alpine County,California,06,003,32159.0
Amador County,California,06,005,26329.0
Butte County,California,06,007,23404.0
Calaveras County,California,06,009,28408.0
Colusa County,California,06,011,21317.0
Contra Costa County,California,06,013,37818.0
Del Norte County,California,06,015,18974.0
El Dorado County,California,06,017,34393.0
Fresno County,California,06,019,20329.0
Glenn County,California,06,021,19987.0
Humboldt County,California,06,023,24025.0
Imperial County,California,06,025,16395.0
Inyo County,California,06,027,26762.0
Kern County,California,06,029,20100.0
Kings County,California,06,031,17875.0
Lake County,California,06,033,21531.0
Lassen County,California,06,035,19756.0
Los Angeles County,California,06,037,27344.0
Madera County,California,06,039,18724.0
Marin County,California,06,041,53940.0
Mariposa County,California,06,043,27064.0
Mendocino County,California,06,045,23357.0
Merced County,California,06,047,18041.0
Modoc County,California,06,049,20536.0
Mono County,California,06,051,27321.0
Monterey County,California,06,053,25776.0
Napa County,California,06,055,34310.0
Nevada County,California,06,057,30727.0
Orange County,California,06,059,34017.0
Placer County,California,06,061,35680.0
Plumas County,California,06,063,28732.0
Riverside County,California,06,065,24431.0
Sacramento County,California,06,067,26953.0
San Benito County,California,06,069,25508.0
San Bernardino County,California,06,071,21867.0
San Diego County,California,06,073,30715.0
San Francisco County,California,06,075,45478.0
San Joaquin County,California,06,077,22851.0
San Luis Obispo County,California,06,079,29790.0
San Mateo County,California,06,081,43958.0
Santa Barbara County,California,06,083,29731.0
Santa Clara County,California,06,085,39804.0
Santa Cruz County,California,06,087,32862.0
Shasta County,California,06,089,23772.0
