County,State,mean_life_expectancy,State_FIPS,County_FIPS,total_population
Autauga County,Alabama,76.0037780188588,01,001,55221.0
Baldwin County,Alabama,77.883491815899,01,003,195121.0
Barbour County,Alabama,75.0673228497808,01,005,26932.0
Bibb County,Alabama,73.9292406132677,01,007,22604.0
Blount County,Alabama,75.4045795365122,01,009,57710.0
Bullock County,Alabama,73.9942587358532,01,011,10678.0
Butler County,Alabama,73.8747097831596,01,013,20354.0
Calhoun County,Alabama,73.4914898222883,01,015,116648.0
Chambers County,Alabama,74.3558450542163,01,017,34079.0
Cherokee County,Alabama,74.3869269438084,01,019,26008.0
Chilton County,Alabama,74.1846042084152,01,021,43819.0
Choctaw County,Alabama,74.4079125158607,01,023,13395.0
Clarke County,Alabama,75.0600852353112,01,025,25070.0
Clay County,Alabama,74.5433505768891,01,027,13537.0
Cleburne County,Alabama,73.9868040627659,01,029,15002.0
Coffee County,Alabama,76.3605391350353,01,031,50884.0
Colbert County,Alabama,74.4371800102949,01,033,54444.0
Conecuh County,Alabama,73.5347778763338,01,035,12865.0
Coosa County,Alabama,75.1708542815166,01,037,11027.0
Covington County,Alabama,74.5258130018285,01,039,37886.0
Crenshaw County,Alabama,74.3461382236033,01,041,13938.0
Cullman County,Alabama,74.594611891369,01,043,80965.0
Dale County,Alabama,75.8955853753065,01,045,49866.0
Dallas County,Alabama,72.0822622575986,01,047,42154.0
DeKalb County,Alabama,74.708246577618,01,049,71068.0
Elmore County,Alabama,75.7371836971991,01,051,80763.0
Escambia County,Alabama,73.4683660064676,01,053,37935.0
Etowah County,Alabama,73.1955443341744,01,055,103766.0
Fayette County,Alabama,73.9431045571677,01,057,16896.0
Franklin County,Alabama,73.589235938182,01,059,31634.0
Geneva County,Alabama,74.6570847479417,01,061,26815.0
Greene County,Alabama,74.2538349549859,01,063,8697.0
Hale County,Alabama,73.9653852957873,01,065,15256.0
Henry County,Alabama,75.6190349537947,01,067,17252.0
Houston County,Alabama,76.3382467172531,01,069,103534.0
Jackson County,Alabama,73.4843045744864,01,071,52860.0
Jefferson County,Alabama,74.806564666839,01,073,659026.0
Lamar County,Alabama,74.4774859000498,01,075,14133.0
Lauderdale County,Alabama,75.9992408194207,01,077,92737.0
Lawrence County,Alabama,73.7066029348587,01,079,33586.0
Lee County,Alabama,77.5898607027561,01,081,150982.0
Limestone County,Alabama,77.3894821829376,01,083,88805.0
Lowndes County,Alabama,72.0601797573648,01,085,10742.0
Macon County,Alabama,73.2131086140897,01,087,20018.0
Madison County,Alabama,77.542194549947,01,089,346438.0
Marengo County,Alabama,73.8566544196385,01,091,20306.0
Marion County,Alabama,74.1929234345737,01,093,30387.0
Marshall County,Alabama,74.0778968695931,01,095,94318.0
Mobile County,Alabama,74.9316859921305,01,097,414251.0
Monroe County,Alabama,74.6797751742885,01,099,22217.0
Montgomery County,Alabama,75.9457637313632,01,101,228138.0
Morgan County,Alabama,75.4240194723048,01,103,119786.0
Perry County,Alabama,72.5719425521565,01,105,10038.0
Pickens County,Alabama,74.2789980479796,01,107,19856.0
Pike County,Alabama,75.1713243378534,01,109,33155.0
Randolph County,Alabama,74.3483287431609,01,111,22648.0
Russell County,Alabama,73.9955853835697,01,113,58302.0
Saint Clair County,Alabama,74.9401222127531,01,115,85864.0
Shelby County,Alabama,79.8710141007163,01,117,203530.0
Sumter County,Alabama,74.1681754789273,01,119,13341.0
Talladega County,Alabama,73.4032144228388,01,121,81437.0
Tallapoosa County,Alabama,74.9865840695302,01,123,41153.0
Tuscaloosa County,Alabama,76.1685915869627,01,125,200458.0
Walker County,Alabama,70.4970068309202,01,127,65923.0
Washington County,Alabama,74.5099724381317,01,129,16997.0
Wilcox County,Alabama,71.6706696339144,01,131,11235.0
Winston County,Alabama,74.3226672753976,01,133,24130.0
Anchorage Municipality,Alaska,78.7971775250135,02,020,299107.0
Bethel Census Area,Alaska,72.760049452657,02,050,17776.0
Bristol Bay Borough,Alaska,75.7106106970199,02,060,970.0
Fairbanks North Star Borough,Alaska,79.6096657350875,02,090,99705.0
Haines Borough,Alaska,80.9337426747029,02,100,2560.0
Juneau City and Borough,Alaska,80.1067083342921,02,110,32531.0
Kenai Peninsula Borough,Alaska,78.4351200208393,02,122,57221.0
Kodiak Island Borough,Alaska,79.3090118396675,02,150,13973.0
Matanuska-Susitna Borough,Alaska,78.3543344277665,02,170,96178.0
Nome Census Area,Alaska,70.9748357308832,02,180,9854.0
North Slope Borough,Alaska,75.2524724050958,02,185,9667.0
Sitka City and Borough,Alaska,79.9190519910414,02,220,8943.0
Southeast Fairbanks Census Area,Alaska,77.4883947234674,02,240,7029.0
Valdez-Cordova Census Area,Alaska,78.6528030299488,02,261,9617.0
Wade Hampton Census Area,Alaska,68.8032376995035,02,270,
Northwest Arctic Borough,Alaska,72.5903940613242,02,188,7732.0
Aleutians East Borough,Alaska,83.6925973715872,02,013,3304.0
Aleutians West Census Area,Alaska,83.6925973715872,02,016,5684.0
Dillingham Census Area,Alaska,73.8682389376079,02,070,4979.0
Lake and Peninsula Borough,Alaska,73.8682389376079,02,164,1474.0
Denali Borough,Alaska,74.0063517464913,02,068,2060.0
Yukon-Koyukuk Census Area,Alaska,74.0063517464913,02,290,5644.0
Hoonah-Angoon Census Area,Alaska,80.3736271859755,02,105,2128.0
Skagway Municipality,Alaska,80.3736271859755,02,230,999.0
Yakutat City and Borough,Alaska,80.3736271859755,02,282,643.0
Ketchikan Gateway Borough,Alaska,78.5902228752611,02,130,13699.0
Petersburg Borough,Alaska,78.5902228752611,02,195,3221.0
Prince of Wales-Hyder Census Area,Alaska,78.5902228752611,02,198,6376.0
Wrangell City and Borough,Alaska,78.5902228752611,02,275,2387.0
Apache County,Arizona,72.9181363379107,04,001,72124.0
Cochise County,Arizona,78.119983366633,04,003,129647.0
Coconino County,Arizona,78.931025157056,04,005,136701.0
Gila County,Arizona,75.0503083905522,04,007,53165.0
Graham County,Arizona,77.1100940117466,04,009,37407.0
Greenlee County,Arizona,78.4583746096311,04,011,9023.0
Maricopa County,Arizona,79.8969712767261,04,013,4018143.0
Mohave County,Arizona,75.2604543393176,04,015,203362.0
Navajo County,Arizona,74.5503556715819,04,017,107656.0
Pima County,Arizona,78.9331302432117,04,019,998537.0
Pinal County,Arizona,80.8259975376458,04,021,389772.0
Santa Cruz County,Arizona,81.7263683042861,04,023,47073.0
Yavapai County,Arizona,78.3358060013505,04,025,215996.0
La Paz County,Arizona,81.1097217666482,04,012,20335.0
Yuma County,Arizona,81.1097217666482,04,027,202987.0
Arkansas County,Arkansas,73.6289747804566,05,001,18731.0
Ashley County,Arkansas,74.2938084067879,05,003,21229.0
Baxter County,Arkansas,76.0025111932438,05,005,41040.0
