County,State,State_FIPS,County_FIPS,people_below_poverty
Autauga County,Alabama,01,001,6697.0
Baldwin County,Alabama,01,003,25551.0
Barbour County,Alabama,01,005,6235.0
Bibb County,Alabama,01,007,3390.0
Blount County,Alabama,01,009,9441.0
Bullock County,Alabama,01,011,2728.0
Butler County,Alabama,01,013,5126.0
Calhoun County,Alabama,01,015,22135.0
Chambers County,Alabama,01,017,6805.0
Cherokee County,Alabama,01,019,4188.0
Chilton County,Alabama,01,021,8779.0
Choctaw County,Alabama,01,023,2743.0
Clarke County,Alabama,01,025,6023.0
Clay County,Alabama,01,027,2195.0
Cleburne County,Alabama,01,029,2889.0
Coffee County,Alabama,01,031,8219.0
Colbert County,Alabama,01,033,8910.0
Conecuh County,Alabama,01,035,4107.0
Coosa County,Alabama,01,037,1610.0
Covington County,Alabama,01,039,7031.0
Crenshaw County,Alabama,01,041,2484.0
Cullman County,Alabama,01,043,13718.0
Dale County,Alabama,01,045,9897.0
Dallas County,Alabama,01,047,14027.0
DeKalb County,Alabama,01,049,13872.0
Elmore County,Alabama,01,051,10893.0
Escambia County,Alabama,01,053,8894.0
Etowah County,Alabama,01,055,18713.0
Fayette County,Alabama,01,057,2863.0
Franklin County,Alabama,01,059,6951.0
Geneva County,Alabama,01,061,6011.0
Greene County,Alabama,01,063,3233.0
Hale County,Alabama,01,065,3858.0
Henry County,Alabama,01,067,2586.0
Houston County,Alabama,01,069,19415.0
Jackson County,Alabama,01,071,9780.0
Jefferson County,Alabama,01,073,116750.0
Lamar County,Alabama,01,075,3322.0
Lauderdale County,Alabama,01,077,16538.0
Lawrence County,Alabama,01,079,6050.0
Lee County,Alabama,01,081,34085.0
Limestone County,Alabama,01,083,12290.0
Lowndes County,Alabama,01,085,3005.0
Macon County,Alabama,01,087,4442.0
Madison County,Alabama,01,089,45287.0
Marengo County,Alabama,01,091,5504.0
Marion County,Alabama,01,093,5509.0
Marshall County,Alabama,01,095,19138.0
Mobile County,Alabama,01,097,78633.0
Monroe County,Alabama,01,099,6972.0
Montgomery County,Alabama,01,101,46982.0
Morgan County,Alabama,01,103,19172.0
Perry County,Alabama,01,105,3605.0
Pickens County,Alabama,01,107,4575.0
Pike County,Alabama,01,109,8074.0
Randolph County,Alabama,01,111,4542.0
Russell County,Alabama,01,113,12423.0
Saint Clair County,Alabama,01,115,11582.0
Shelby County,Alabama,01,117,17227.0
Sumter County,Alabama,01,119,4582.0
Talladega County,Alabama,01,121,16119.0
Tallapoosa County,Alabama,01,123,9431.0
Tuscaloosa County,Alabama,01,125,34470.0
Walker County,Alabama,01,127,14174.0
Washington County,Alabama,01,129,3585.0
Wilcox County,Alabama,01,131,3768.0
Winston County,Alabama,01,133,4833.0
Anchorage Municipality,Alaska,02,020,23652.0
Bethel Census Area,Alaska,02,050,4619.0
Bristol Bay Borough,Alaska,02,060,67.0
Fairbanks North Star Borough,Alaska,02,090,7444.0
Haines Borough,Alaska,02,100,132.0
Juneau City and Borough,Alaska,02,110,2365.0
Kenai Peninsula Borough,Alaska,02,122,6175.0
Kodiak Island Borough,Alaska,02,150,1247.0
Matanuska-Susitna Borough,Alaska,02,170,9350.0
Nome Census Area,Alaska,02,180,2593.0
North Slope Borough,Alaska,02,185,1070.0
Sitka City and Borough,Alaska,02,220,796.0
Southeast Fairbanks Census Area,Alaska,02,240,941.0
Valdez-Cordova Census Area,Alaska,02,261,802.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,1874.0
Aleutians East Borough,Alaska,02,013,510.0
Aleutians West Census Area,Alaska,02,016,426.0
Dillingham Census Area,Alaska,02,070,815.0
Lake and Peninsula Borough,Alaska,02,164,263.0
Denali Borough,Alaska,02,068,233.0
Yukon-Koyukuk Census Area,Alaska,02,290,1304.0
Hoonah-Angoon Census Area,Alaska,02,105,260.0
Skagway Municipality,Alaska,02,230,53.0
Yakutat City and Borough,Alaska,02,282,51.0
Ketchikan Gateway Borough,Alaska,02,130,1453.0
Petersburg Borough,Alaska,02,195,294.0
Prince of Wales-Hyder Census Area,Alaska,02,198,938.0
