County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,53591
Baldwin County,Alabama,01,003,177223
Barbour County,Alabama,01,005,24610
Bibb County,Alabama,01,007,22057
Blount County,Alabama,01,009,56703
Bullock County,Alabama,01,011,10465
Butler County,Alabama,01,013,20565
Calhoun County,Alabama,01,015,114792
Chambers County,Alabama,01,017,33918
Cherokee County,Alabama,01,019,25325
Chilton County,Alabama,01,021,42980
Choctaw County,Alabama,01,023,13793
Clarke County,Alabama,01,025,25810
Clay County,Alabama,01,027,13677
Cleburne County,Alabama,01,029,14720
Coffee County,Alabama,01,031,48381
Colbert County,Alabama,01,033,53853
Conecuh County,Alabama,01,035,13211
Coosa County,Alabama,01,037,10938
Covington County,Alabama,01,039,37150
Crenshaw County,Alabama,01,041,13759
Cullman County,Alabama,01,043,79160
Dale County,Alabama,01,045,48117
Dallas County,Alabama,01,047,43384
DeKalb County,Alabama,01,049,69853
Elmore County,Alabama,01,051,72501
Escambia County,Alabama,01,053,35268
Etowah County,Alabama,01,055,102313
Fayette County,Alabama,01,057,17053
Franklin County,Alabama,01,059,31098
Geneva County,Alabama,01,061,26276
Greene County,Alabama,01,063,9130
Hale County,Alabama,01,065,15688
Henry County,Alabama,01,067,17012
Houston County,Alabama,01,069,98975
Jackson County,Alabama,01,071,52725
Jefferson County,Alabama,01,073,643346
Lamar County,Alabama,01,075,14447
Lauderdale County,Alabama,01,077,90292
Lawrence County,Alabama,01,079,34010
Lee County,Alabama,01,081,132434
Limestone County,Alabama,01,083,76910
Lowndes County,Alabama,01,085,11465
Macon County,Alabama,01,087,19090
Madison County,Alabama,01,089,321740
Marengo County,Alabama,01,091,20867
Marion County,Alabama,01,093,29746
Marshall County,Alabama,01,095,90993
Mobile County,Alabama,01,097,402006
Monroe County,Alabama,01,099,22943
Montgomery County,Alabama,01,101,219780
Morgan County,Alabama,01,103,117031
Perry County,Alabama,01,105,9949
Pickens County,Alabama,01,107,19478
Pike County,Alabama,01,109,30549
Randolph County,Alabama,01,111,22190
Russell County,Alabama,01,113,51768
Saint Clair County,Alabama,01,115,80019
Shelby County,Alabama,01,117,189420
Sumter County,Alabama,01,119,13476
Talladega County,Alabama,01,121,78850
Tallapoosa County,Alabama,01,123,40929
Tuscaloosa County,Alabama,01,125,182538
Walker County,Alabama,01,127,66128
Washington County,Alabama,01,129,17280
Wilcox County,Alabama,01,131,11545
Winston County,Alabama,01,133,24139
Anchorage Municipality,Alaska,02,020,281124
Bethel Census Area,Alaska,02,050,16629
Bristol Bay Borough,Alaska,02,060,1030
Fairbanks North Star Borough,Alaska,02,090,92929
Haines Borough,Alaska,02,100,2489
Juneau City and Borough,Alaska,02,110,30654
Kenai Peninsula Borough,Alaska,02,122,53327
Kodiak Island Borough,Alaska,02,150,12997
Matanuska-Susitna Borough,Alaska,02,170,85390
Nome Census Area,Alaska,02,180,9185
North Slope Borough,Alaska,02,185,8956
Sitka City and Borough,Alaska,02,220,8603
Southeast Fairbanks Census Area,Alaska,02,240,6872
Valdez-Cordova Census Area,Alaska,02,261,9427
Wade Hampton Census Area,Alaska,02,270,7431
Northwest Arctic Borough,Alaska,02,188,7464
Aleutians East Borough,Alaska,02,013,3080
Aleutians West Census Area,Alaska,02,016,5193
Dillingham Census Area,Alaska,02,070,4813
Lake and Peninsula Borough,Alaska,02,164,1535
Denali Borough,Alaska,02,068,1579
Yukon-Koyukuk Census Area,Alaska,02,290,5555
Hoonah-Angoon Census Area,Alaska,02,105,2017
Skagway Municipality,Alaska,02,230,1094
Yakutat City and Borough,Alaska,02,282,729
Ketchikan Gateway Borough,Alaska,02,130,12921
Petersburg Borough,Alaska,02,195,3762
Prince of Wales-Hyder Census Area,Alaska,02,198,5505
Wrangell City and Borough,Alaska,02,275,2318
Apache County,Arizona,04,001,69516
Cochise County,Arizona,04,003,123802
Coconino County,Arizona,04,005,126036
Gila County,Arizona,04,007,52242
Graham County,Arizona,04,009,32793
Greenlee County,Arizona,04,011,8386
Maricopa County,Arizona,04,013,3748938
Mohave County,Arizona,04,015,196396
Navajo County,Arizona,04,017,104471
Pima County,Arizona,04,019,948746
Pinal County,Arizona,04,021,324948
Santa Cruz County,Arizona,04,023,46453
Yavapai County,Arizona,04,025,207642
La Paz County,Arizona,04,012,20308
Yuma County,Arizona,04,027,186513
Arkansas County,Arkansas,05,001,18628
Ashley County,Arkansas,05,003,21693
Baxter County,Arkansas,05,005,40750
Benton County,Arkansas,05,007,213115
Boone County,Arkansas,05,009,36247
Bradley County,Arkansas,05,011,11393
Calhoun County,Arkansas,05,013,5329
Carroll County,Arkansas,05,015,26715
Chicot County,Arkansas,05,017,11105
Clark County,Arkansas,05,019,20331
Clay County,Arkansas,05,021,16013
Cleburne County,Arkansas,05,023,25357
Cleveland County,Arkansas,05,025,8681
Columbia County,Arkansas,05,027,23158
Conway County,Arkansas,05,029,20886
Craighead County,Arkansas,05,031,91570
Crawford County,Arkansas,05,033,60814
Crittenden County,Arkansas,05,035,50052
Cross County,Arkansas,05,037,17731
Dallas County,Arkansas,05,039,7776
Desha County,Arkansas,05,041,13013
Drew County,Arkansas,05,043,17634
Faulkner County,Arkansas,05,045,105905
Franklin County,Arkansas,05,047,17873
Fulton County,Arkansas,05,049,12018
Garland County,Arkansas,05,051,93825
Grant County,Arkansas,05,053,17604
Greene County,Arkansas,05,055,40961
Hempstead County,Arkansas,05,057,22290
Hot Spring County,Arkansas,05,059,31282
Howard County,Arkansas,05,061,13554
Independence County,Arkansas,05,063,35162
Izard County,Arkansas,05,065,12863
Jackson County,Arkansas,05,067,15660
Jefferson County,Arkansas,05,069,72390
Johnson County,Arkansas,05,071,24623
Lafayette County,Arkansas,05,073,7530
Lawrence County,Arkansas,05,075,16615
Lee County,Arkansas,05,077,9183
Lincoln County,Arkansas,05,079,11066
Little River County,Arkansas,05,081,12916
Logan County,Arkansas,05,083,22080
