County,State,State_FIPS,County_FIPS,asian_population
Autauga County,Alabama,01,001,43011.0
Baldwin County,Alabama,01,003,165673.0
Barbour County,Alabama,01,005,12806.0
Bibb County,Alabama,01,007,17379.0
Blount County,Alabama,01,009,54927.0
Bullock County,Alabama,01,011,2803.0
Butler County,Alabama,01,013,11204.0
Calhoun County,Alabama,01,015,88125.0
Chambers County,Alabama,01,017,19771.0
Cherokee County,Alabama,01,019,24207.0
Chilton County,Alabama,01,021,37018.0
Choctaw County,Alabama,01,023,7558.0
Clarke County,Alabama,01,025,13613.0
Clay County,Alabama,01,027,11150.0
Cleburne County,Alabama,01,029,14095.0
Coffee County,Alabama,01,031,39064.0
Colbert County,Alabama,01,033,43356.0
Conecuh County,Alabama,01,035,6778.0
Coosa County,Alabama,01,037,7549.0
Covington County,Alabama,01,039,32025.0
Crenshaw County,Alabama,01,041,10007.0
Cullman County,Alabama,01,043,77079.0
Dale County,Alabama,01,045,37509.0
Dallas County,Alabama,01,047,12318.0
DeKalb County,Alabama,01,049,62960.0
Elmore County,Alabama,01,051,60602.0
Escambia County,Alabama,01,053,23633.0
Etowah County,Alabama,01,055,84904.0
Fayette County,Alabama,01,057,14663.0
Franklin County,Alabama,01,059,28420.0
Geneva County,Alabama,01,061,23215.0
Greene County,Alabama,01,063,1559.0
Hale County,Alabama,01,065,6133.0
Henry County,Alabama,01,067,12050.0
Houston County,Alabama,01,069,72001.0
Jackson County,Alabama,01,071,48395.0
Jefferson County,Alabama,01,073,349052.0
Lamar County,Alabama,01,075,12460.0
Lauderdale County,Alabama,01,077,80695.0
Lawrence County,Alabama,01,079,26344.0
Lee County,Alabama,01,081,104328.0
Limestone County,Alabama,01,083,70843.0
Lowndes County,Alabama,01,085,2820.0
Macon County,Alabama,01,087,3377.0
Madison County,Alabama,01,089,236921.0
Marengo County,Alabama,01,091,9623.0
Marion County,Alabama,01,093,28674.0
Marshall County,Alabama,01,095,87082.0
Mobile County,Alabama,01,097,249439.0
Monroe County,Alabama,01,099,12436.0
Montgomery County,Alabama,01,101,90109.0
Morgan County,Alabama,01,103,99065.0
Perry County,Alabama,01,105,3110.0
Pickens County,Alabama,01,107,11012.0
Pike County,Alabama,01,109,19497.0
Randolph County,Alabama,01,111,17491.0
Russell County,Alabama,01,113,30610.0
Saint Clair County,Alabama,01,115,75106.0
Shelby County,Alabama,01,117,164508.0
Sumter County,Alabama,01,119,3322.0
Talladega County,Alabama,01,121,53259.0
Tallapoosa County,Alabama,01,123,29076.0
Tuscaloosa County,Alabama,01,125,132211.0
Walker County,Alabama,01,127,60224.0
Washington County,Alabama,01,129,11225.0
Wilcox County,Alabama,01,131,3082.0
Winston County,Alabama,01,133,23330.0
Anchorage Municipality,Alaska,02,020,195593.0
Bethel Census Area,Alaska,02,050,2043.0
Bristol Bay Borough,Alaska,02,060,561.0
Fairbanks North Star Borough,Alaska,02,090,76755.0
Haines Borough,Alaska,02,100,2076.0
Juneau City and Borough,Alaska,02,110,22362.0
Kenai Peninsula Borough,Alaska,02,122,47751.0
Kodiak Island Borough,Alaska,02,150,7606.0
Matanuska-Susitna Borough,Alaska,02,170,79273.0
Nome Census Area,Alaska,02,180,1690.0
North Slope Borough,Alaska,02,185,3156.0
Sitka City and Borough,Alaska,02,220,5897.0
Southeast Fairbanks Census Area,Alaska,02,240,5675.0
Valdez-Cordova Census Area,Alaska,02,261,7086.0
Wade Hampton Census Area,Alaska,02,270,317.0
Northwest Arctic Borough,Alaska,02,188,921.0
Aleutians East Borough,Alaska,02,013,747.0
Aleutians West Census Area,Alaska,02,016,1849.0
Dillingham Census Area,Alaska,02,070,926.0
Lake and Peninsula Borough,Alaska,02,164,333.0
Denali Borough,Alaska,02,068,1780.0
Yukon-Koyukuk Census Area,Alaska,02,290,1265.0
Hoonah-Angoon Census Area,Alaska,02,105,1065.0
Skagway Municipality,Alaska,02,230,792.0
Yakutat City and Borough,Alaska,02,282,240.0
Ketchikan Gateway Borough,Alaska,02,130,9349.0
Petersburg Borough,Alaska,02,195,2373.0
Prince of Wales-Hyder Census Area,Alaska,02,198,3000.0
Wrangell City and Borough,Alaska,02,275,1714.0
Apache County,Arizona,04,001,16881.0
Cochise County,Arizona,04,003,104360.0
Coconino County,Arizona,04,005,84667.0
Gila County,Arizona,04,007,42170.0
Graham County,Arizona,04,009,28436.0
Greenlee County,Arizona,04,011,7590.0
Maricopa County,Arizona,04,013,3162279.0
Mohave County,Arizona,04,015,180836.0
Navajo County,Arizona,04,017,52875.0
Pima County,Arizona,04,019,782395.0
Pinal County,Arizona,04,021,309920.0
Santa Cruz County,Arizona,04,023,35779.0
Yavapai County,Arizona,04,025,196410.0
La Paz County,Arizona,04,012,14617.0
Yuma County,Arizona,04,027,154867.0
Arkansas County,Arkansas,05,001,13643.0
Ashley County,Arkansas,05,003,15124.0
Baxter County,Arkansas,05,005,39830.0
Benton County,Arkansas,05,007,204379.0
Boone County,Arkansas,05,009,35846.0
Bradley County,Arkansas,05,011,6835.0
Calhoun County,Arkansas,05,013,3895.0
Carroll County,Arkansas,05,015,25845.0
Chicot County,Arkansas,05,017,4844.0
Clark County,Arkansas,05,019,16706.0
Clay County,Arkansas,05,021,15101.0
Cleburne County,Arkansas,05,023,25026.0
Cleveland County,Arkansas,05,025,7367.0
Columbia County,Arkansas,05,027,14641.0
Conway County,Arkansas,05,029,18145.0
Craighead County,Arkansas,05,031,82354.0
Crawford County,Arkansas,05,033,56515.0
Crittenden County,Arkansas,05,035,23000.0
Cross County,Arkansas,05,037,13221.0
Dallas County,Arkansas,05,039,4422.0
Desha County,Arkansas,05,041,6209.0
Drew County,Arkansas,05,043,12961.0
Faulkner County,Arkansas,05,045,99701.0
Franklin County,Arkansas,05,047,17093.0
Fulton County,Arkansas,05,049,11854.0
Garland County,Arkansas,05,051,82155.0
Grant County,Arkansas,05,053,17064.0
Greene County,Arkansas,05,055,41459.0
Hempstead County,Arkansas,05,057,14841.0
Hot Spring County,Arkansas,05,059,28644.0
Howard County,Arkansas,05,061,9398.0
Independence County,Arkansas,05,063,34874.0
Izard County,Arkansas,05,065,12939.0
Jackson County,Arkansas,05,067,14208.0
Jefferson County,Arkansas,05,069,31287.0
Johnson County,Arkansas,05,071,23793.0
Lafayette County,Arkansas,05,073,4551.0
Lawrence County,Arkansas,05,075,16716.0
Lee County,Arkansas,05,077,4283.0
Lincoln County,Arkansas,05,079,9447.0
Little River County,Arkansas,05,081,9558.0
Logan County,Arkansas,05,083,20635.0
Lonoke County,Arkansas,05,085,62852.0
Madison County,Arkansas,05,087,14956.0
Marion County,Arkansas,05,089,15979.0
Miller County,Arkansas,05,091,31251.0
Mississippi County,Arkansas,05,093,28513.0
Monroe County,Arkansas,05,095,4431.0
Montgomery County,Arkansas,05,097,8776.0
Nevada County,Arkansas,05,099,5978.0
Newton County,Arkansas,05,101,7755.0
Ouachita County,Arkansas,05,103,14580.0
Perry County,Arkansas,05,105,9784.0
Phillips County,Arkansas,05,107,7606.0
Pike County,Arkansas,05,109,10026.0
Poinsett County,Arkansas,05,111,21807.0
Polk County,Arkansas,05,113,18949.0
Pope County,Arkansas,05,115,56921.0
Prairie County,Arkansas,05,117,7321.0
Pulaski County,Arkansas,05,119,230370.0
Randolph County,Arkansas,05,121,17160.0
Saint Francis County,Arkansas,05,123,12228.0
Saline County,Arkansas,05,125,101651.0
Scott County,Arkansas,05,127,9866.0
Searcy County,Arkansas,05,129,7721.0
Sebastian County,Arkansas,05,131,104542.0
Sevier County,Arkansas,05,133,11255.0
Sharp County,Arkansas,05,135,16417.0
Stone County,Arkansas,05,137,12350.0
Union County,Arkansas,05,139,26552.0
Van Buren County,Arkansas,05,141,16347.0
Washington County,Arkansas,05,143,166745.0
White County,Arkansas,05,145,71425.0
Woodruff County,Arkansas,05,147,4951.0
Yell County,Arkansas,05,149,18599.0
Alameda County,California,06,001,707017.0
Alpine County,California,06,003,854.0
Amador County,California,06,005,32551.0
Butte County,California,06,007,185077.0
Calaveras County,California,06,009,41129.0
Colusa County,California,06,011,17439.0
Contra Costa County,California,06,013,671384.0
Del Norte County,California,06,015,21437.0
El Dorado County,California,06,017,158367.0
Fresno County,California,06,019,555967.0
Glenn County,California,06,021,23858.0
Humboldt County,California,06,023,110595.0
Imperial County,California,06,025,120826.0
Inyo County,California,06,027,15267.0
Kern County,California,06,029,632452.0
Kings County,California,06,031,106922.0
Lake County,California,06,033,51591.0
Lassen County,California,06,035,24131.0
Los Angeles County,California,06,037,5329333.0
Madera County,California,06,039,125830.0
Marin County,California,06,041,203975.0
Mariposa County,California,06,043,15850.0
Mendocino County,California,06,045,72141.0
Merced County,California,06,047,168794.0
Modoc County,California,06,049,8396.0
Mono County,California,06,051,11993.0
Monterey County,California,06,053,319839.0
Napa County,California,06,055,107543.0
Nevada County,California,06,057,91335.0
Orange County,California,06,059,1942675.0
Placer County,California,06,061,303509.0
Plumas County,California,06,063,17273.0
Riverside County,California,06,065,1480532.0
Sacramento County,California,06,067,865905.0
San Benito County,California,06,069,48133.0
San Bernardino County,California,06,071,1306230.0
San Diego County,California,06,073,2259494.0
San Francisco County,California,06,075,410245.0
San Joaquin County,California,06,077,405458.0
San Luis Obispo County,California,06,079,231961.0
San Mateo County,California,06,081,417138.0
Santa Barbara County,California,06,083,319490.0
Santa Clara County,California,06,085,907336.0
Santa Cruz County,California,06,087,215832.0
Shasta County,California,06,089,155559.0
Sierra County,California,06,091,2793.0
Siskiyou County,California,06,093,38114.0
Solano County,California,06,095,226669.0
Sonoma County,California,06,097,387044.0
Stanislaus County,California,06,099,396628.0
Sutter County,California,06,101,65256.0
Tehama County,California,06,103,54972.0
Trinity County,California,06,105,11917.0
Tulare County,California,06,107,365823.0
Tuolumne County,California,06,109,47833.0
Ventura County,California,06,111,649278.0
Yolo County,California,06,113,134790.0
Yuba County,California,06,115,51133.0
Alamosa County,Colorado,08,003,13666.0
Archuleta County,Colorado,08,007,10629.0
Baca County,Colorado,08,009,3575.0
Bent County,Colorado,08,011,4845.0
Chaffee County,Colorado,08,015,16979.0
Cheyenne County,Colorado,08,017,2084.0
Clear Creek County,Colorado,08,019,8601.0
Conejos County,Colorado,08,021,7417.0
Costilla County,Colorado,08,023,3207.0
Crowley County,Colorado,08,025,4621.0
Custer County,Colorado,08,027,4102.0
Delta County,Colorado,08,029,28820.0
Dolores County,Colorado,08,033,1641.0
Douglas County,Colorado,08,035,272630.0
Eagle County,Colorado,08,037,46882.0
Elbert County,Colorado,08,039,22495.0
El Paso County,Colorado,08,041,521280.0
Fremont County,Colorado,08,043,40496.0
Garfield County,Colorado,08,045,50191.0
Gilpin County,Colorado,08,047,5132.0
Grand County,Colorado,08,049,13269.0
Gunnison County,Colorado,08,051,14852.0
Huerfano County,Colorado,08,055,5261.0
Jackson County,Colorado,08,057,1283.0
Kiowa County,Colorado,08,061,1330.0
Kit Carson County,Colorado,08,063,7443.0
Lake County,Colorado,08,065,6476.0
La Plata County,Colorado,08,067,46210.0
Larimer County,Colorado,08,069,282786.0
Las Animas County,Colorado,08,071,12504.0
Lincoln County,Colorado,08,073,4594.0
Logan County,Colorado,08,075,20866.0
Mesa County,Colorado,08,077,135965.0
Moffat County,Colorado,08,081,12331.0
Montezuma County,Colorado,08,083,21246.0
Montrose County,Colorado,08,085,37489.0
Morgan County,Colorado,08,087,25350.0
Otero County,Colorado,08,089,16999.0
Ouray County,Colorado,08,091,4421.0
Park County,Colorado,08,093,15508.0
Phillips County,Colorado,08,095,4080.0
Pitkin County,Colorado,08,097,16413.0
Prowers County,Colorado,08,099,11667.0
Pueblo County,Colorado,08,101,126386.0
Rio Blanco County,Colorado,08,103,6405.0
Rio Grande County,Colorado,08,105,9714.0
Routt County,Colorado,08,107,22103.0
Saguache County,Colorado,08,109,5309.0
San Miguel County,Colorado,08,113,7334.0
Sedgwick County,Colorado,08,115,2159.0
Summit County,Colorado,08,117,25418.0
Teller County,Colorado,08,119,22000.0
Washington County,Colorado,08,121,4607.0
Yuma County,Colorado,08,125,9093.0
Adams County,Colorado,08,001,376581.0
Arapahoe County,Colorado,08,005,439517.0
Boulder County,Colorado,08,013,267572.0
Broomfield County,Colorado,08,014,51294.0
Denver County,Colorado,08,031,473269.0
Jefferson County,Colorado,08,059,496471.0
Weld County,Colorado,08,123,229905.0
Fairfield County,Connecticut,09,001,694475.0
Hartford County,Connecticut,09,003,653648.0
Litchfield County,Connecticut,09,005,175327.0
Middlesex County,Connecticut,09,007,147394.0
New Haven County,Connecticut,09,009,649232.0
New London County,Connecticut,09,011,224950.0
Tolland County,Connecticut,09,013,136545.0
Windham County,Connecticut,09,015,107534.0
Kent County,Delaware,10,001,113563.0
New Castle County,Delaware,10,003,360264.0
Sussex County,Delaware,10,005,165527.0
Alachua County,Florida,12,001,175713.0
Baker County,Florida,12,003,22713.0
Bay County,Florida,12,005,142262.0
Bradford County,Florida,12,007,21368.0
Brevard County,Florida,12,009,456683.0
Broward County,Florida,12,011,1146423.0
Calhoun County,Florida,12,013,11947.0
Charlotte County,Florida,12,015,147782.0
Citrus County,Florida,12,017,130161.0
Clay County,Florida,12,019,160247.0
Collier County,Florida,12,021,291481.0
Columbia County,Florida,12,023,52253.0
Miami-Dade County,Florida,12,086,1963920.0
DeSoto County,Florida,12,027,28654.0
Dixie County,Florida,12,029,14081.0
Duval County,Florida,12,031,543264.0
Escambia County,Florida,12,033,210631.0
Flagler County,Florida,12,035,80341.0
