County,State,State_FIPS,County_FIPS,black_population
Autauga County,Alabama,01,001,10315.0
Baldwin County,Alabama,01,003,18735.0
Barbour County,Alabama,01,005,12595.0
Bibb County,Alabama,01,007,4846.0
Blount County,Alabama,01,009,884.0
Bullock County,Alabama,01,011,7550.0
Butler County,Alabama,01,013,8961.0
Calhoun County,Alabama,01,015,23895.0
Chambers County,Alabama,01,017,13738.0
Cherokee County,Alabama,01,019,1281.0
Chilton County,Alabama,01,021,4528.0
Choctaw County,Alabama,01,023,5801.0
Clarke County,Alabama,01,025,11346.0
Clay County,Alabama,01,027,1963.0
Cleburne County,Alabama,01,029,442.0
Coffee County,Alabama,01,031,8829.0
Colbert County,Alabama,01,033,8478.0
Conecuh County,Alabama,01,035,5752.0
Coosa County,Alabama,01,037,3384.0
Covington County,Alabama,01,039,4933.0
Crenshaw County,Alabama,01,041,3277.0
Cullman County,Alabama,01,043,964.0
Dale County,Alabama,01,045,9798.0
Dallas County,Alabama,01,047,29164.0
DeKalb County,Alabama,01,049,1295.0
Elmore County,Alabama,01,051,17137.0
Escambia County,Alabama,01,053,12678.0
Etowah County,Alabama,01,055,16025.0
Fayette County,Alabama,01,057,2093.0
Franklin County,Alabama,01,059,1554.0
Geneva County,Alabama,01,061,2387.0
Greene County,Alabama,01,063,7015.0
Hale County,Alabama,01,065,8886.0
Henry County,Alabama,01,067,4891.0
Houston County,Alabama,01,069,27359.0
Jackson County,Alabama,01,071,1635.0
Jefferson County,Alabama,01,073,279086.0
Lamar County,Alabama,01,075,1565.0
Lauderdale County,Alabama,01,077,9239.0
Lawrence County,Alabama,01,079,3848.0
Lee County,Alabama,01,081,35095.0
Limestone County,Alabama,01,083,11426.0
Lowndes County,Alabama,01,085,7955.0
Macon County,Alabama,01,087,16271.0
Madison County,Alabama,01,089,83437.0
Marengo County,Alabama,01,091,10443.0
Marion County,Alabama,01,093,1170.0
Marshall County,Alabama,01,095,1811.0
Mobile County,Alabama,01,097,145175.0
Monroe County,Alabama,01,099,9382.0
Montgomery County,Alabama,01,101,127961.0
Morgan County,Alabama,01,103,14717.0
Perry County,Alabama,01,105,6829.0
Pickens County,Alabama,01,107,8412.0
Pike County,Alabama,01,109,12665.0
Randolph County,Alabama,01,111,4520.0
Russell County,Alabama,01,113,24411.0
Saint Clair County,Alabama,01,115,8134.0
Shelby County,Alabama,01,117,23940.0
Sumter County,Alabama,01,119,9665.0
Talladega County,Alabama,01,121,26023.0
Tallapoosa County,Alabama,01,123,11404.0
Tuscaloosa County,Alabama,01,125,61307.0
Walker County,Alabama,01,127,3801.0
Washington County,Alabama,01,129,4224.0
Wilcox County,Alabama,01,131,8092.0
Winston County,Alabama,01,133,122.0
Anchorage Municipality,Alaska,02,020,17511.0
Bethel Census Area,Alaska,02,050,142.0
Bristol Bay Borough,Alaska,02,060,5.0
Fairbanks North Star Borough,Alaska,02,090,4340.0
Haines Borough,Alaska,02,100,1.0
Juneau City and Borough,Alaska,02,110,413.0
Kenai Peninsula Borough,Alaska,02,122,363.0
Kodiak Island Borough,Alaska,02,150,66.0
Matanuska-Susitna Borough,Alaska,02,170,959.0
Nome Census Area,Alaska,02,180,72.0
North Slope Borough,Alaska,02,185,64.0
Sitka City and Borough,Alaska,02,220,97.0
Southeast Fairbanks Census Area,Alaska,02,240,80.0
Valdez-Cordova Census Area,Alaska,02,261,0.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,25.0
Aleutians East Borough,Alaska,02,013,304.0
Aleutians West Census Area,Alaska,02,016,269.0
Dillingham Census Area,Alaska,02,070,17.0
Lake and Peninsula Borough,Alaska,02,164,8.0
Denali Borough,Alaska,02,068,13.0
Yukon-Koyukuk Census Area,Alaska,02,290,17.0
Hoonah-Angoon Census Area,Alaska,02,105,47.0
Skagway Municipality,Alaska,02,230,0.0
Yakutat City and Borough,Alaska,02,282,9.0
Ketchikan Gateway Borough,Alaska,02,130,58.0
Petersburg Borough,Alaska,02,195,97.0
