County,State,State_FIPS,County_FIPS,total_population_race
Autauga County,Alabama,01,001,55221.0
Baldwin County,Alabama,01,003,195121.0
Barbour County,Alabama,01,005,26932.0
Bibb County,Alabama,01,007,22604.0
Blount County,Alabama,01,009,57710.0
Bullock County,Alabama,01,011,10678.0
Butler County,Alabama,01,013,20354.0
Calhoun County,Alabama,01,015,116648.0
Chambers County,Alabama,01,017,34079.0
Cherokee County,Alabama,01,019,26008.0
Chilton County,Alabama,01,021,43819.0
Choctaw County,Alabama,01,023,13395.0
Clarke County,Alabama,01,025,25070.0
Clay County,Alabama,01,027,13537.0
Cleburne County,Alabama,01,029,15002.0
Coffee County,Alabama,01,031,50884.0
Colbert County,Alabama,01,033,54444.0
Conecuh County,Alabama,01,035,12865.0
Coosa County,Alabama,01,037,11027.0
Covington County,Alabama,01,039,37886.0
Crenshaw County,Alabama,01,041,13938.0
Cullman County,Alabama,01,043,80965.0
Dale County,Alabama,01,045,49866.0
Dallas County,Alabama,01,047,42154.0
DeKalb County,Alabama,01,049,71068.0
Elmore County,Alabama,01,051,80763.0
Escambia County,Alabama,01,053,37935.0
Etowah County,Alabama,01,055,103766.0
Fayette County,Alabama,01,057,16896.0
Franklin County,Alabama,01,059,31634.0
Geneva County,Alabama,01,061,26815.0
Greene County,Alabama,01,063,8697.0
Hale County,Alabama,01,065,15256.0
Henry County,Alabama,01,067,17252.0
Houston County,Alabama,01,069,103534.0
Jackson County,Alabama,01,071,52860.0
Jefferson County,Alabama,01,073,659026.0
Lamar County,Alabama,01,075,14133.0
Lauderdale County,Alabama,01,077,92737.0
Lawrence County,Alabama,01,079,33586.0
Lee County,Alabama,01,081,150982.0
Limestone County,Alabama,01,083,88805.0
Lowndes County,Alabama,01,085,10742.0
Macon County,Alabama,01,087,20018.0
Madison County,Alabama,01,089,346438.0
Marengo County,Alabama,01,091,20306.0
Marion County,Alabama,01,093,30387.0
Marshall County,Alabama,01,095,94318.0
Mobile County,Alabama,01,097,414251.0
Monroe County,Alabama,01,099,22217.0
Montgomery County,Alabama,01,101,228138.0
Morgan County,Alabama,01,103,119786.0
Perry County,Alabama,01,105,10038.0
Pickens County,Alabama,01,107,19856.0
Pike County,Alabama,01,109,33155.0
Randolph County,Alabama,01,111,22648.0
Russell County,Alabama,01,113,58302.0
Saint Clair County,Alabama,01,115,85864.0
Shelby County,Alabama,01,117,203530.0
Sumter County,Alabama,01,119,13341.0
Talladega County,Alabama,01,121,81437.0
Tallapoosa County,Alabama,01,123,41153.0
Tuscaloosa County,Alabama,01,125,200458.0
Walker County,Alabama,01,127,65923.0
Washington County,Alabama,01,129,16997.0
Wilcox County,Alabama,01,131,11235.0
Winston County,Alabama,01,133,24130.0
Anchorage Municipality,Alaska,02,020,299107.0
Bethel Census Area,Alaska,02,050,17776.0
Bristol Bay Borough,Alaska,02,060,970.0
Fairbanks North Star Borough,Alaska,02,090,99705.0
Haines Borough,Alaska,02,100,2560.0
Juneau City and Borough,Alaska,02,110,32531.0
Kenai Peninsula Borough,Alaska,02,122,57221.0
Kodiak Island Borough,Alaska,02,150,13973.0
