County,State,State_FIPS,County_FIPS,white_population
Autauga County,Alabama,01,001,42159.0
Baldwin County,Alabama,01,003,175961.0
Barbour County,Alabama,01,005,12200.0
Bibb County,Alabama,01,007,17323.0
Blount County,Alabama,01,009,55045.0
Bullock County,Alabama,01,011,2299.0
Butler County,Alabama,01,013,10547.0
Calhoun County,Alabama,01,015,86136.0
Chambers County,Alabama,01,017,19552.0
Cherokee County,Alabama,01,019,24072.0
Chilton County,Alabama,01,021,36497.0
Choctaw County,Alabama,01,023,7456.0
Clarke County,Alabama,01,025,13108.0
Clay County,Alabama,01,027,11148.0
Cleburne County,Alabama,01,029,14127.0
Coffee County,Alabama,01,031,38956.0
Colbert County,Alabama,01,033,43315.0
Conecuh County,Alabama,01,035,6494.0
Coosa County,Alabama,01,037,7165.0
Covington County,Alabama,01,039,31758.0
Crenshaw County,Alabama,01,041,9911.0
Cullman County,Alabama,01,043,78056.0
Dale County,Alabama,01,045,36202.0
Dallas County,Alabama,01,047,11497.0
DeKalb County,Alabama,01,049,61415.0
Elmore County,Alabama,01,051,60877.0
Escambia County,Alabama,01,053,23087.0
Etowah County,Alabama,01,055,83436.0
Fayette County,Alabama,01,057,14240.0
Franklin County,Alabama,01,059,27055.0
Geneva County,Alabama,01,061,23014.0
Greene County,Alabama,01,063,1459.0
Hale County,Alabama,01,065,5928.0
Henry County,Alabama,01,067,12144.0
Houston County,Alabama,01,069,72271.0
Jackson County,Alabama,01,071,47628.0
Jefferson County,Alabama,01,073,343449.0
Lamar County,Alabama,01,075,12264.0
Lauderdale County,Alabama,01,077,80456.0
Lawrence County,Alabama,01,079,25978.0
Lee County,Alabama,01,081,109481.0
Limestone County,Alabama,01,083,74794.0
Lowndes County,Alabama,01,085,2559.0
Macon County,Alabama,01,087,3060.0
Madison County,Alabama,01,089,242114.0
Marengo County,Alabama,01,091,8954.0
Marion County,Alabama,01,093,28032.0
Marshall County,Alabama,01,095,87765.0
Mobile County,Alabama,01,097,245542.0
Monroe County,Alabama,01,099,11973.0
Montgomery County,Alabama,01,101,84134.0
Morgan County,Alabama,01,103,96748.0
Perry County,Alabama,01,105,2875.0
Pickens County,Alabama,01,107,11305.0
Pike County,Alabama,01,109,18995.0
Randolph County,Alabama,01,111,17341.0
Russell County,Alabama,01,113,29568.0
Saint Clair County,Alabama,01,115,76026.0
Shelby County,Alabama,01,117,168535.0
Sumter County,Alabama,01,119,3235.0
Talladega County,Alabama,01,121,51980.0
Tallapoosa County,Alabama,01,123,28455.0
Tuscaloosa County,Alabama,01,125,132281.0
Walker County,Alabama,01,127,59223.0
Washington County,Alabama,01,129,10970.0
Wilcox County,Alabama,01,131,2937.0
Winston County,Alabama,01,133,23135.0
Anchorage Municipality,Alaska,02,020,189826.0
Bethel Census Area,Alaska,02,050,1968.0
Bristol Bay Borough,Alaska,02,060,477.0
Fairbanks North Star Borough,Alaska,02,090,76189.0
Haines Borough,Alaska,02,100,2033.0
Juneau City and Borough,Alaska,02,110,22360.0
Kenai Peninsula Borough,Alaska,02,122,48462.0
Kodiak Island Borough,Alaska,02,150,7402.0
Matanuska-Susitna Borough,Alaska,02,170,84138.0
Nome Census Area,Alaska,02,180,1616.0
North Slope Borough,Alaska,02,185,3113.0
Sitka City and Borough,Alaska,02,220,5712.0
Southeast Fairbanks Census Area,Alaska,02,240,5380.0
Valdez-Cordova Census Area,Alaska,02,261,6908.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,901.0
Aleutians East Borough,Alaska,02,013,574.0
Aleutians West Census Area,Alaska,02,016,1723.0
Dillingham Census Area,Alaska,02,070,868.0
Lake and Peninsula Borough,Alaska,02,164,292.0
Denali Borough,Alaska,02,068,1912.0
Yukon-Koyukuk Census Area,Alaska,02,290,1231.0
Hoonah-Angoon Census Area,Alaska,02,105,982.0
Skagway Municipality,Alaska,02,230,859.0
Yakutat City and Borough,Alaska,02,282,314.0
Ketchikan Gateway Borough,Alaska,02,130,9234.0
Petersburg Borough,Alaska,02,195,2495.0
Prince of Wales-Hyder Census Area,Alaska,02,198,3044.0
Wrangell City and Borough,Alaska,02,275,1632.0
Apache County,Arizona,04,001,16314.0
Cochise County,Arizona,04,003,106782.0
Coconino County,Arizona,04,005,88147.0
Gila County,Arizona,04,007,41211.0
Graham County,Arizona,04,009,29782.0
Greenlee County,Arizona,04,011,8533.0
Maricopa County,Arizona,04,013,3241643.0
Mohave County,Arizona,04,015,185042.0
Navajo County,Arizona,04,017,51648.0
Pima County,Arizona,04,019,774499.0
Pinal County,Arizona,04,021,326120.0
Santa Cruz County,Arizona,04,023,39955.0
Yavapai County,Arizona,04,025,203251.0
La Paz County,Arizona,04,012,15428.0
Yuma County,Arizona,04,027,149306.0
Arkansas County,Arkansas,05,001,13255.0
Ashley County,Arkansas,05,003,14939.0
Baxter County,Arkansas,05,005,39599.0
Benton County,Arkansas,05,007,221937.0
Boone County,Arkansas,05,009,35843.0
Bradley County,Arkansas,05,011,6850.0
Calhoun County,Arkansas,05,013,3951.0
Carroll County,Arkansas,05,015,25751.0
Chicot County,Arkansas,05,017,4753.0
Clark County,Arkansas,05,019,16186.0
Clay County,Arkansas,05,021,14621.0
Cleburne County,Arkansas,05,023,24614.0
Cleveland County,Arkansas,05,025,7197.0
Columbia County,Arkansas,05,027,14556.0
Conway County,Arkansas,05,029,17846.0
Craighead County,Arkansas,05,031,83290.0
Crawford County,Arkansas,05,033,55677.0
Crittenden County,Arkansas,05,035,22100.0
Cross County,Arkansas,05,037,12763.0
Dallas County,Arkansas,05,039,4169.0
Desha County,Arkansas,05,041,5875.0
Drew County,Arkansas,05,043,12803.0
Faulkner County,Arkansas,05,045,100115.0
Franklin County,Arkansas,05,047,16820.0
Fulton County,Arkansas,05,049,11667.0
Garland County,Arkansas,05,051,83955.0
Grant County,Arkansas,05,053,17207.0
Greene County,Arkansas,05,055,42279.0
Hempstead County,Arkansas,05,057,13204.0
Hot Spring County,Arkansas,05,059,28419.0
Howard County,Arkansas,05,061,8984.0
Independence County,Arkansas,05,063,34197.0
Izard County,Arkansas,05,065,12830.0
Jackson County,Arkansas,05,067,13851.0
Jefferson County,Arkansas,05,069,28952.0
Johnson County,Arkansas,05,071,24040.0
Lafayette County,Arkansas,05,073,4234.0
Lawrence County,Arkansas,05,075,16262.0
Lee County,Arkansas,05,077,4032.0
Lincoln County,Arkansas,05,079,9256.0
Little River County,Arkansas,05,081,9223.0
Logan County,Arkansas,05,083,20058.0
Lonoke County,Arkansas,05,085,63760.0
Madison County,Arkansas,05,087,15046.0
Marion County,Arkansas,05,089,15767.0
Miller County,Arkansas,05,091,30876.0
Mississippi County,Arkansas,05,093,26522.0
Monroe County,Arkansas,05,095,4142.0
Montgomery County,Arkansas,05,097,8311.0
Nevada County,Arkansas,05,099,5437.0
Newton County,Arkansas,05,101,7545.0
Ouachita County,Arkansas,05,103,13949.0
Perry County,Arkansas,05,105,9641.0
Phillips County,Arkansas,05,107,7073.0
Pike County,Arkansas,05,109,9749.0
Poinsett County,Arkansas,05,111,21378.0
Polk County,Arkansas,05,113,18535.0
Pope County,Arkansas,05,115,57766.0
Prairie County,Arkansas,05,117,7088.0
Pulaski County,Arkansas,05,119,224285.0
Randolph County,Arkansas,05,121,16860.0
Saint Francis County,Arkansas,05,123,11016.0
Saline County,Arkansas,05,125,104143.0
Scott County,Arkansas,05,127,9499.0
Searcy County,Arkansas,05,129,7489.0
Sebastian County,Arkansas,05,131,98970.0
Sevier County,Arkansas,05,133,11079.0
Sharp County,Arkansas,05,135,16218.0
Stone County,Arkansas,05,137,12006.0
Union County,Arkansas,05,139,25808.0
Van Buren County,Arkansas,05,141,16032.0
Washington County,Arkansas,05,143,174108.0
White County,Arkansas,05,145,71712.0
Woodruff County,Arkansas,05,147,4713.0
Yell County,Arkansas,05,149,17458.0
Alameda County,California,06,001,694720.0
Alpine County,California,06,003,826.0
Amador County,California,06,005,32453.0
Butte County,California,06,007,185221.0
Calaveras County,California,06,009,41356.0
Colusa County,California,06,011,18964.0
Contra Costa County,California,06,013,658569.0
Del Norte County,California,06,015,21073.0
El Dorado County,California,06,017,161881.0
Fresno County,California,06,019,617322.0
Glenn County,California,06,021,23191.0
Humboldt County,California,06,023,109346.0
Imperial County,California,06,025,117188.0
Inyo County,California,06,027,14685.0
Kern County,California,06,029,660196.0
Kings County,California,06,031,99117.0
Lake County,California,06,033,49841.0
Lassen County,California,06,035,25615.0
Los Angeles County,California,06,037,5232835.0
Madera County,California,06,039,118390.0
Marin County,California,06,041,203898.0
Mariposa County,California,06,043,15715.0
Mendocino County,California,06,045,72378.0
Merced County,California,06,047,153649.0
Modoc County,California,06,049,8244.0
Mono County,California,06,051,11987.0
Monterey County,California,06,053,281181.0
Napa County,California,06,055,102418.0
Nevada County,California,06,057,91016.0
Orange County,California,06,059,1960484.0
Placer County,California,06,061,310295.0
Plumas County,California,06,063,16781.0
Riverside County,California,06,065,1450473.0
Sacramento County,California,06,067,877495.0
San Benito County,California,06,069,48136.0
San Bernardino County,California,06,071,1312700.0
San Diego County,California,06,073,2325434.0
San Francisco County,California,06,075,408266.0
San Joaquin County,California,06,077,404806.0
San Luis Obispo County,California,06,079,240584.0
San Mateo County,California,06,081,397718.0
Santa Barbara County,California,06,083,330827.0
Santa Clara County,California,06,085,869630.0
Santa Cruz County,California,06,087,211116.0
Shasta County,California,06,089,155538.0
Sierra County,California,06,091,2797.0
Siskiyou County,California,06,093,37064.0
Solano County,California,06,095,229351.0
Sonoma County,California,06,097,377401.0
Stanislaus County,California,06,099,400661.0
Sutter County,California,06,101,67211.0
Tehama County,California,06,103,54371.0
