County,State,State_FIPS,County_FIPS,gini_index
Autauga County,Alabama,01,001,0.4295
Baldwin County,Alabama,01,003,0.4608
Barbour County,Alabama,01,005,0.462
Bibb County,Alabama,01,007,0.4494
Blount County,Alabama,01,009,0.4165
Bullock County,Alabama,01,011,0.4701
Butler County,Alabama,01,013,0.4588
Calhoun County,Alabama,01,015,0.4543
Chambers County,Alabama,01,017,0.4734
Cherokee County,Alabama,01,019,0.4464
Chilton County,Alabama,01,021,0.4575
Choctaw County,Alabama,01,023,0.4799
Clarke County,Alabama,01,025,0.5259
Clay County,Alabama,01,027,0.4497
Cleburne County,Alabama,01,029,0.4441
Coffee County,Alabama,01,031,0.4485
Colbert County,Alabama,01,033,0.4396
Conecuh County,Alabama,01,035,0.4791
Coosa County,Alabama,01,037,0.4263
Covington County,Alabama,01,039,0.4555
Crenshaw County,Alabama,01,041,0.468
Cullman County,Alabama,01,043,0.4529
Dale County,Alabama,01,045,0.4576
Dallas County,Alabama,01,047,0.517
DeKalb County,Alabama,01,049,0.4438
Elmore County,Alabama,01,051,0.427
Escambia County,Alabama,01,053,0.4891
Etowah County,Alabama,01,055,0.4391
Fayette County,Alabama,01,057,0.4579
Franklin County,Alabama,01,059,0.4415
Geneva County,Alabama,01,061,0.4508
Greene County,Alabama,01,063,0.5086
Hale County,Alabama,01,065,0.4906
Henry County,Alabama,01,067,0.459
Houston County,Alabama,01,069,0.4809
Jackson County,Alabama,01,071,0.4543
Jefferson County,Alabama,01,073,0.4995
Lamar County,Alabama,01,075,0.471
Lauderdale County,Alabama,01,077,0.464
Lawrence County,Alabama,01,079,0.433
Lee County,Alabama,01,081,0.5003
Limestone County,Alabama,01,083,0.4595
Lowndes County,Alabama,01,085,0.5244
Macon County,Alabama,01,087,0.4753
Madison County,Alabama,01,089,0.4664
Marengo County,Alabama,01,091,0.519
Marion County,Alabama,01,093,0.475
Marshall County,Alabama,01,095,0.473
Mobile County,Alabama,01,097,0.4703
Monroe County,Alabama,01,099,0.537
Montgomery County,Alabama,01,101,0.4858
Morgan County,Alabama,01,103,0.4531
Perry County,Alabama,01,105,0.4983
Pickens County,Alabama,01,107,0.4958
Pike County,Alabama,01,109,0.5205
Randolph County,Alabama,01,111,0.4446
Russell County,Alabama,01,113,0.4554
Saint Clair County,Alabama,01,115,0.4144
Shelby County,Alabama,01,117,0.4296
Sumter County,Alabama,01,119,0.5215
Talladega County,Alabama,01,121,0.4567
Tallapoosa County,Alabama,01,123,0.4548
Tuscaloosa County,Alabama,01,125,0.4686
Walker County,Alabama,01,127,0.4599
Washington County,Alabama,01,129,0.4354
Wilcox County,Alabama,01,131,0.5301
Winston County,Alabama,01,133,0.4415
Anchorage Municipality,Alaska,02,020,0.4201
Bethel Census Area,Alaska,02,050,0.4289
Bristol Bay Borough,Alaska,02,060,0.3808
Fairbanks North Star Borough,Alaska,02,090,0.4029
Haines Borough,Alaska,02,100,0.4263
Juneau City and Borough,Alaska,02,110,0.379
Kenai Peninsula Borough,Alaska,02,122,0.4179
Kodiak Island Borough,Alaska,02,150,0.3845
Matanuska-Susitna Borough,Alaska,02,170,0.4061
Nome Census Area,Alaska,02,180,0.4413
North Slope Borough,Alaska,02,185,0.4155
Sitka City and Borough,Alaska,02,220,0.3924
Southeast Fairbanks Census Area,Alaska,02,240,0.3899
Valdez-Cordova Census Area,Alaska,02,261,0.4122
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,0.42
Aleutians East Borough,Alaska,02,013,0.3868
Aleutians West Census Area,Alaska,02,016,0.3659
Dillingham Census Area,Alaska,02,070,0.4268
Lake and Peninsula Borough,Alaska,02,164,0.4409
Denali Borough,Alaska,02,068,0.3762
Yukon-Koyukuk Census Area,Alaska,02,290,0.4587
Hoonah-Angoon Census Area,Alaska,02,105,0.3908
Skagway Municipality,Alaska,02,230,0.3262
Yakutat City and Borough,Alaska,02,282,0.3499
Ketchikan Gateway Borough,Alaska,02,130,0.4158
Petersburg Borough,Alaska,02,195,0.4475
Prince of Wales-Hyder Census Area,Alaska,02,198,0.4103
Wrangell City and Borough,Alaska,02,275,0.3991
Apache County,Arizona,04,001,0.4847
Cochise County,Arizona,04,003,0.4529
Coconino County,Arizona,04,005,0.4767
Gila County,Arizona,04,007,0.4328
Graham County,Arizona,04,009,0.4244
Greenlee County,Arizona,04,011,0.4102
Maricopa County,Arizona,04,013,0.4682
Mohave County,Arizona,04,015,0.4455
Navajo County,Arizona,04,017,0.4696
Pima County,Arizona,04,019,0.4713
Pinal County,Arizona,04,021,0.4202
Santa Cruz County,Arizona,04,023,0.4818
Yavapai County,Arizona,04,025,0.4415
La Paz County,Arizona,04,012,0.4389
Yuma County,Arizona,04,027,0.4388
Arkansas County,Arkansas,05,001,0.4876
Ashley County,Arkansas,05,003,0.4546
Baxter County,Arkansas,05,005,0.4388
Benton County,Arkansas,05,007,0.4477
Boone County,Arkansas,05,009,0.452
Bradley County,Arkansas,05,011,0.4794
Calhoun County,Arkansas,05,013,0.4401
Carroll County,Arkansas,05,015,0.4365
Chicot County,Arkansas,05,017,0.5425
Clark County,Arkansas,05,019,0.4654
Clay County,Arkansas,05,021,0.4528
Cleburne County,Arkansas,05,023,0.4727
Cleveland County,Arkansas,05,025,0.4317
Columbia County,Arkansas,05,027,0.463
Conway County,Arkansas,05,029,0.4702
Craighead County,Arkansas,05,031,0.4762
Crawford County,Arkansas,05,033,0.4387
Crittenden County,Arkansas,05,035,0.4512
Cross County,Arkansas,05,037,0.4626
Dallas County,Arkansas,05,039,0.3892
Desha County,Arkansas,05,041,0.4747
Drew County,Arkansas,05,043,0.4903
Faulkner County,Arkansas,05,045,0.4488
Franklin County,Arkansas,05,047,0.4239
Fulton County,Arkansas,05,049,0.4171
Garland County,Arkansas,05,051,0.4851
Grant County,Arkansas,05,053,0.4477
Greene County,Arkansas,05,055,0.4325
Hempstead County,Arkansas,05,057,0.4469
Hot Spring County,Arkansas,05,059,0.4431
Howard County,Arkansas,05,061,0.5215
Independence County,Arkansas,05,063,0.467
Izard County,Arkansas,05,065,0.4192
Jackson County,Arkansas,05,067,0.5096
Jefferson County,Arkansas,05,069,0.471
Johnson County,Arkansas,05,071,0.463
Lafayette County,Arkansas,05,073,0.5885
Lawrence County,Arkansas,05,075,0.438
Lee County,Arkansas,05,077,0.5081
Lincoln County,Arkansas,05,079,0.4611
Little River County,Arkansas,05,081,0.4288
Logan County,Arkansas,05,083,0.4578
Lonoke County,Arkansas,05,085,0.387
Madison County,Arkansas,05,087,0.4712
Marion County,Arkansas,05,089,0.4266
Miller County,Arkansas,05,091,0.4429
Mississippi County,Arkansas,05,093,0.4665
Monroe County,Arkansas,05,095,0.4698
Montgomery County,Arkansas,05,097,0.4177
Nevada County,Arkansas,05,099,0.4539
Newton County,Arkansas,05,101,0.4366
Ouachita County,Arkansas,05,103,0.4813
Perry County,Arkansas,05,105,0.4374
Phillips County,Arkansas,05,107,0.4994
Pike County,Arkansas,05,109,0.4432
Poinsett County,Arkansas,05,111,0.4138
Polk County,Arkansas,05,113,0.4247
Pope County,Arkansas,05,115,0.4534
Prairie County,Arkansas,05,117,0.4267
Pulaski County,Arkansas,05,119,0.492
Randolph County,Arkansas,05,121,0.4498
Saint Francis County,Arkansas,05,123,0.4488
Saline County,Arkansas,05,125,0.3869
Scott County,Arkansas,05,127,0.4305
Searcy County,Arkansas,05,129,0.4625
Sebastian County,Arkansas,05,131,0.4911
Sevier County,Arkansas,05,133,0.4066
Sharp County,Arkansas,05,135,0.4777
Stone County,Arkansas,05,137,0.486
Union County,Arkansas,05,139,0.4697
Van Buren County,Arkansas,05,141,0.4445
Washington County,Arkansas,05,143,0.4931
White County,Arkansas,05,145,0.4686
Woodruff County,Arkansas,05,147,0.4724
Yell County,Arkansas,05,149,0.4231
Alameda County,California,06,001,0.4688
